标题,开发商,房子信息,发布信息,售价/万,单价
步行街小两室带装修；无高税；    产权在手,三公街9号 -北湖公园,2室1厅 | 48.5平米 | 东 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,28,"5,774元/平"
水厂宿舍；全新装修3房；产权在手；,金鱼街117号水厂宿舍 -延安路,3室1厅 | 72平米 | 东南 | 精装 | 高楼层(共4层)  | 板楼,1人关注 / 4个月以前发布,29.9,"4,153元/平"
清泉坝品质小区，纯改善型住宅，客厅朝中庭,雍锦半岛 -清泉坝,3室1厅 | 103平米 | 东南 | 毛坯 | 低楼层(共29层)  | 塔楼,3人关注 / 8个月以前发布,78,"7,573元/平"
顺庆 五桥头 鸿升凯旋城 精装套3 花园洋房 家电齐全,鸿升凯旋城 -市政新区,3室2厅 | 83平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,61.9,"7,458元/平"
带产权车位出售，精装修，全屋品牌家具家电！,蓝光COCO香江2期 -清泉坝,3室2厅 | 81平米 | 东 | 精装 | 低楼层(共27层)  | 塔楼,1人关注 / 6个月以前发布,75,"9,260元/平"
顶跃上下两层带平台标准的4室2厅2卫,明宇•帝壹家东区 -南门坝,4室2厅 | 151.75平米 | 西南 | 精装 | 高楼层(共6层)  | 板楼,16人关注 / 一年前发布,75,"4,943元/平"
中南世纪城洋房看江 三房 欧式装修 拎包入住,中南·世纪城 -清泉坝,3室2厅 | 97平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,126,"12,990元/平"
精装三房双卫  拎包入住.........,蓝光COCO香江一期二区 -清泉坝,3室2厅 | 71平米 | 西南 | 精装 | 中楼层(共21层)  | 塔楼,3人关注 / 10个月以前发布,76,"10,705元/平"
阳光御府 3室2厅 南 北,阳光御府 -南湖,3室2厅 | 83平米 | 南 北 | 精装 | 高楼层(共19层)  | 塔楼,0人关注 / 2个月以前发布,55,"6,627元/平"
正规三室两厅两卫，房主诚心出售。,怡家苑 -嘉陵广场,3室2厅 | 117.1平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,50,"4,270元/平"
房子精装修，电梯洋房，一梯两户，拎包入住,阳光西山秘境 -西山风景区,3室2厅 | 88平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,78.2,"8,887元/平"
白马湖水街精装大三房家具家电齐全,美宇悦庭 -白马湖,3室1厅 | 104.5平米 | 东南 东 | 其他 | 中楼层(共27层)  | 塔楼,2人关注 / 3个月以前发布,79,"7,560元/平"
经典的三房设计  配套成熟  出行便捷,中虹国际一区 -嘉陵广场,3室2厅 | 94.3平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,4人关注 / 一年前发布,69.8,"7,402元/平"
高坪区 江东新区电梯三房双卫 精装家具家电齐全 拎包,阳光江山金岸小区 -江东大道,3室1厅 | 66平米 | 南 西南 | 精装 | 高楼层(共26层)  | 塔楼,13人关注 / 一年前发布,45.99,"6,969元/平"
楼层好 采光通风效果好 配套设施齐全 交通便利,逸合山语城 -江东大道,3室2厅 | 113.4平米 | 东南 | 毛坯 | 低楼层(共6层)  | 塔楼,20人关注 / 一年前发布,76,"6,702元/平"
慢城八岛 大盘小区 环境优美 人车分流,泰合慢城八岛 -江东大道,4室2厅 | 155平米 | 东南 | 毛坯 | 高楼层(共6层)  | 塔楼,35人关注 / 一年前发布,94,"6,065元/平"
大盘小区，洋房顶跃，采光通风，户型方正,逸合山语城 -江东大道,5室3厅 | 146平米 | 东南 | 毛坯 | 高楼层(共7层)  | 板楼,15人关注 / 8个月以前发布,105,"7,192元/平"
川北医学院职工楼，舒适三房，地段成熟，临安汉广场,川北医学院职工小区 -安汉广场,3室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 7个月以前发布,64,"5,566元/平"
房东亏10万！急售！安汉商圈品质洋房，户型好！,王府井绿洲郡 -安汉广场,3室2厅 | 109.52平米 | 南 | 毛坯 | 中楼层(共10层)  | 塔楼,15人关注 / 一年前发布,60,"5,479元/平"
户型方正，下中坝热门小区，小区环境优美,交投置地上河湾三期 -川东北金融中心,3室2厅 | 106平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 5个月以前发布,69,"6,510元/平"
急售急售，房东亏十几万出售，小区中间位置，大阳台,天誉珑城 -江东大道,3室2厅 | 96.06平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,1人关注 / 3个月以前发布,64,"6,663元/平"
高坪 南高旁 鸿升凯旋天地 清水电梯3室2厅2卫可便4房,鸿升凯旋天地 -江东大道,3室2厅 | 103平米 | 东南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 2个月以前发布,67.8,"6,583元/平"
东方国际社区 3室2厅 东南,东方国际社区 -安汉广场,3室2厅 | 91平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,62,"6,814元/平"
顺庆气象公园公务员小区清水顶跃五室两厅两卫急售,北岭颐园北区 -华凤,4室2厅 | 156.44平米 | 东南 | 毛坯 | 高楼层(共6层)  | 塔楼,0人关注 / 1个月以前发布,123,"7,863元/平"
慢城八岛。别墅小区，多层品质。大盘江湾。环境宜人,泰合慢城八岛 -江东大道,3室2厅 | 108平米 | 东南 | 毛坯 | 高楼层(共6层)  | 塔楼,19人关注 / 一年前发布,63,"5,834元/平"
此房满五 无高税 采光好 楼层好 拎包入住,红花街84号 -金泉路,3室2厅 | 76平米 | 东南 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 2个月以前发布,43,"5,658元/平"
大盘小区   环境优美   配套成熟,碧桂园 -文峰,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,10人关注 / 一年前发布,59,"5,620元/平"
下中坝品质小区，中南品质，中间楼层，业主诚心出售。,中南漫悦湾一期 -都京坝,3室2厅 | 96.83平米 | 西南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 7个月以前发布,70,"7,230元/平"
急售高坪会展旁，新小区，独栋独单元。,中南春江阅 -江东大道,3室2厅 | 84.09平米 | 东 东南 西 | 毛坯 | 中楼层(共30层)  | 塔楼,15人关注 / 11个月以前发布,57,"6,779元/平"
水厂宿舍；全新装修3房；产权在手；,金鱼街117号水厂宿舍 -延安路,3室1厅 | 72平米 | 东南 | 精装 | 高楼层(共4层)  | 板楼,1人关注 / 4个月以前发布,29.9,"4,153元/平"
白土坝商圈，大三房，精装修，拎包入住,白土坝路85号 -白土坝,3室3厅 | 148.11平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,18人关注 / 一年前发布,51.9,"3,505元/平"
保利金融旁看江三房 急于出售 价格好说,中南漫悦湾一期 -都京坝,3室2厅 | 85.11平米 | 西北 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,53.5,"6,286元/平"
南门坝 一线江景房 大户型 两层楼 带顶楼露台,滨江名城 -南门坝,4室2厅 | 184平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,23人关注 / 一年前发布,88,"4,783元/平"
南门坝 红墙街优质套三，清水可以随意装修，随时过户,庆园（商住楼） -南门坝,3室2厅 | 102.49平米 | 西南 | 毛坯 | 高楼层(共7层)  | 板楼,11人关注 / 一年前发布,32,"3,123元/平"
永辉旁，正规三室两厅，步梯中间楼层，地理位置优越,南虹路三段37号 -嘉陵广场,3室2厅 | 105平米 | 东南 | 毛坯 | 中楼层(共6层)  | 板楼,14人关注 / 一年前发布,43,"4,096元/平"
笋盘：中南品质大盘，72万买4室2厅2卫，全线江景！！,中南漫悦湾二期 -都京坝,4室2厅 | 107.37平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,21人关注 / 一年前发布,61,"5,682元/平"
顺庆主城区，采光好，有电梯，配套齐全，读书方便，。,红星苑 -金泉路,3室2厅 | 125平米 | 东南 | 简装 | 中楼层(共9层)  | 板楼,1人关注 / 5个月以前发布,45,"3,600元/平"
下中坝中南大盘 位置安静 可看江,中南漫悦湾二期 -都京坝,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,4人关注 / 一年前发布,60,"6,186元/平"
小区停车方便  物业管理成本低  居住环境好,荣欣小区 -安汉广场,3室2厅 | 119.05平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,5人关注 / 7个月以前发布,51.5,"4,326元/平"
红墙街48号庆园大3房位置好楼层好南北通透,庆园（商住楼） -南门坝,3室2厅 | 119平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,4人关注 / 一年前发布,52,"4,370元/平"
顺庆主城区，采光好，有电梯，配套齐全，读书方便，。,红星苑 -金泉路,3室2厅 | 125平米 | 东南 | 简装 | 中楼层(共9层)  | 板楼,1人关注 / 5个月以前发布,45,"3,600元/平"
嘉陵主城 位置  大3房  精装修,香洲郡 -嘉陵广场,3室2厅 | 114.8平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,66,"5,750元/平"
高坪电梯花园洋房，一梯两户纯洋房 产证齐全无纠纷,逸合山语城 -江东大道,3室1厅 | 110平米 | 东南 | 毛坯 | 高楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,82,"7,455元/平"
精装三房双卫  拎包入住.........,蓝光COCO香江一期二区 -清泉坝,3室2厅 | 71平米 | 西南 | 精装 | 中楼层(共21层)  | 塔楼,3人关注 / 10个月以前发布,76,"10,705元/平"
顺庆 五桥头 鸿升凯旋城 精装套3 花园洋房 家电齐全,鸿升凯旋城 -市政新区,3室2厅 | 83平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,61.9,"7,458元/平"
上河城江景房 四房双卫  带车位出售,雍景上河城一区 -川东北金融中心,4室2厅 | 128平米 | 东南 | 毛坯 | 中楼层(共19层)  | 暂无数据,0人关注 / 2个月以前发布,100,"7,813元/平"
嘉陵主城区 三室两厅 读书方便 房东诚心出售,香槟尚城 -嘉陵广场,3室2厅 | 94平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,50.8,"5,405元/平"
嘉陵主城区  优质江景大平层  全面看江  大面积三房,奥斯汀小镇 -嘉陵广场,3室2厅 | 130平米 | 东南 | 精装 | 中楼层(共31层)  | 塔楼,2人关注 / 4个月以前发布,89,"6,847元/平"
嘉陵区 四 小旁正规三房，看房有钥匙,益欣维多利亚 -嘉陵广场,3室2厅 | 108平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,45,"4,167元/平"
下中坝万科精装大套三，位置安静，满二,万科金润华府 -川东北金融中心,3室2厅 | 94.09平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,2人关注 / 4个月以前发布,70,"7,440元/平"
改善型大三房，业主诚心出售，此房无高税,鸿升凯旋门 -安汉广场,3室2厅 | 103平米 | 北 南 | 精装 | 高楼层(共28层)  | 塔楼,5人关注 / 一年前发布,64.8,"6,292元/平"
楼层视野采光好，读书就在家的小区里,师院老校区宿舍 -北湖公园,3室1厅 | 75.75平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 3个月以前发布,74.2,"9,796元/平"
蓝光香江国际二期 电梯高层带车位出售 户型方正采光好,蓝光香江国际二期四区 -西山风景区,3室2厅 | 104.72平米 | 东北 | 其他 | 高楼层(共30层)  | 塔楼,0人关注 / 一年前发布,59,"5,635元/平"
南门壹号四房 精装修 南高 三小,南门壹号 -西山风景区,3室2厅 | 99平米 | 南 北 | 简装 | 高楼层(共33层)  | 塔楼,3人关注 / 9个月以前发布,65,"6,566元/平"
永辉旁，正规三室两厅，步梯中间楼层，地理位置优越,南虹路三段37号 -嘉陵广场,3室2厅 | 105平米 | 东南 | 毛坯 | 中楼层(共6层)  | 板楼,14人关注 / 一年前发布,43,"4,096元/平"
下中坝中南大盘 位置安静 可看江,中南漫悦湾二期 -都京坝,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,4人关注 / 一年前发布,60,"6,186元/平"
笋盘：中南品质大盘，72万买4室2厅2卫，全线江景！！,中南漫悦湾二期 -都京坝,4室2厅 | 107.37平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,21人关注 / 一年前发布,61,"5,682元/平"
南门坝 一线江景房 大户型 两层楼 带顶楼露台,滨江名城 -南门坝,4室2厅 | 184平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,23人关注 / 一年前发布,88,"4,783元/平"
南门坝 红墙街优质套三，清水可以随意装修，随时过户,庆园（商住楼） -南门坝,3室2厅 | 102.49平米 | 西南 | 毛坯 | 高楼层(共7层)  | 板楼,11人关注 / 一年前发布,32,"3,123元/平"
水厂宿舍；全新装修3房；产权在手；,金鱼街117号水厂宿舍 -延安路,3室1厅 | 72平米 | 东南 | 精装 | 高楼层(共4层)  | 板楼,1人关注 / 4个月以前发布,29.9,"4,153元/平"
白土坝商圈，大三房，精装修，拎包入住,白土坝路85号 -白土坝,3室3厅 | 148.11平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,18人关注 / 一年前发布,51.9,"3,505元/平"
保利金融旁看江三房 急于出售 价格好说,中南漫悦湾一期 -都京坝,3室2厅 | 85.11平米 | 西北 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,53.5,"6,286元/平"
下中坝中南品质大盘，清水房位置安静，高楼层,中南漫悦湾一期 -都京坝,3室2厅 | 97平米 | 东 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,60,"6,186元/平"
恒河常春藤大院 精装三房 家私家电齐全 拎包入住,恒河·常春藤大院 -市政新区,3室2厅 | 104.57平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,8人关注 / 7个月以前发布,62.9,"6,016元/平"
中航物业，国家首批一级资质企业，人民大会堂御用物业,南充恒大中航城 -清泉坝,3室1厅 | 80.38平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 一年前发布,65,"8,087元/平"
顶跃上下两层带平台标准的4室2厅2卫,明宇•帝壹家东区 -南门坝,4室2厅 | 151.75平米 | 西南 | 精装 | 高楼层(共6层)  | 板楼,16人关注 / 一年前发布,75,"4,943元/平"
中南世纪城洋房看江 三房 欧式装修 拎包入住,中南·世纪城 -清泉坝,3室2厅 | 97平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,126,"12,990元/平"
带产权车位出售，精装修，全屋品牌家具家电！,蓝光COCO香江2期 -清泉坝,3室2厅 | 81平米 | 东 | 精装 | 低楼层(共27层)  | 塔楼,1人关注 / 6个月以前发布,75,"9,260元/平"
白塔精装房 带大阳台 房东诚意出售,鸿华华盛国际南苑 -营山县,3室2厅 | 106.39平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,5人关注 / 7个月以前发布,57,"5,358元/平"
奥斯汀小镇 小区中庭不临街 步梯中层 户型方正,奥斯汀小镇 -嘉陵广场,3室2厅 | 112.84平米 | 东北 | 毛坯 | 中楼层(共5层)  | 板楼,6人关注 / 一年前发布,68.8,"6,098元/平"
中南春江阅 3室2厅 东南,中南春江阅 -江东大道,3室2厅 | 99平米 | 东南 | 毛坯 | 中楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,73,"7,374元/平"
市政新区塞维利亚小区三房大洋房,塞维利亚 -市政新区,3室2厅 | 114平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,24人关注 / 一年前发布,72,"6,316元/平"
圣桦时代广场旁新小区，信智城，业主诚心出售,营山信智城 -营山县,3室2厅 | 83.19平米 | 东南 | 毛坯 | 高楼层(共15层)  | 暂无数据,2人关注 / 一年前发布,49.5,"5,951元/平"
清水房之金域鸿都户型方正，带花园。,金域鸿都 -营山县,3室2厅 | 89.14平米 | 南 | 毛坯 | 低楼层(共15层)  | 塔楼,5人关注 / 一年前发布,54.8,"6,148元/平"
清泉坝 竖厅三房 朝中庭 视野无遮挡 业主诚意出售,金科集美天宸 -清泉坝,3室2厅 | 88.92平米 | 东南 | 毛坯 | 低楼层(共30层)  | 塔楼,0人关注 / 5个月以前发布,66,"7,423元/平"
新生街小区，户型方正，两个房间都带大阳台，坐北朝南,新生街小区 -西门市场,3室1厅 | 75平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,35,"4,667元/平"
房子视野开阔，顶楼外带一个房间，电梯楼中楼。,南湖凯旋广场 -南湖,3室2厅 | 92平米 | 东南 | 毛坯 | 高楼层(共23层)  | 塔楼,1人关注 / 一年前发布,69.5,"7,555元/平"
南高  光彩 奥斯汀顶越 小区中庭  采光好,奥斯汀小镇 -嘉陵广场,3室2厅 | 119平米 | 东南 | 毛坯 | 高楼层(共5层)  | 塔楼,0人关注 / 7个月以前发布,70,"5,883元/平"
安汉广场现浇房三室两厅急售····,九洲东景西区 -安汉广场,3室2厅 | 93平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,49.5,"5,323元/平"
业主诚心出售 清泉坝 正规四房双卫任你设计 采光好,中梁华府 -清泉坝,4室2厅 | 115平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,9人关注 / 一年前发布,88,"7,653元/平"
精品大三房，视野江景房交通出行方便,恒大中航城二期 -清泉坝,3室2厅 | 96.06平米 | 东南 南 | 精装 | 低楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,98,"10,202元/平"
嘉陵区 三房两卫   电梯中间 楼层朝向朝南 采光很好,华雅财富城 -嘉陵广场,3室2厅 | 96平米 | 东南 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 3个月以前发布,66.6,"6,938元/平"
江东大道现房 临江近公园 横厅户型,江东华府 -江东大道,3室2厅 | 101平米 | 西南 | 毛坯 | 中楼层(共25层)  | 塔楼,7人关注 / 7个月以前发布,62.1,"6,149元/平"
精装江景房  朝东 家具家电齐全 南门坝,明宇•帝壹家东区 -南门坝,3室1厅 | 105平米 | 东 | 精装 | 高楼层(共32层)  | 塔楼,2人关注 / 8个月以前发布,92.8,"8,839元/平"
中间楼层格局通透 采光充足 户型方正,水井巷43号 -五星花园,3室1厅 | 92平米 | 东南 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,45.8,"4,979元/平"
霓云锦庭精装修九成新，家具家电齐全，大三房,霓云锦庭 -南湖,3室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共12层)  | 塔楼,0人关注 / 11个月以前发布,77.8,"6,825元/平"
诚心卖房，二梯四户大平层，视野开阔。,蓝光香江花园 -南湖,4室2厅 | 137平米 | 东南 | 其他 | 中楼层(共30层)  | 塔楼,2人关注 / 5个月以前发布,80,"5,840元/平"
火车北站 欧香花园 电梯洋房 诚心出售,欧香花园 -南充北站,3室2厅 | 92平米 | 东 | 毛坯 | 中楼层(共7层)  | 塔楼,3人关注 / 一年前发布,74,"8,044元/平"
南门坝  步梯2楼  无高税   精装修拎包入住,明宇·帝壹家西区 -南门坝,3室2厅 | 123.66平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,79.8,"6,454元/平"
南湖公园旁电梯洋房大三房带车位出售,圣辉观湖国际小区 -南湖,3室2厅 | 108平米 | 西南 南 东南 | 毛坯 | 中楼层(共7层)  | 塔楼,2人关注 / 一年前发布,84.5,"7,825元/平"
绿地城3房 精装修 大户型 高品质！,绿地城上海滩花园一区 -南充北站,3室2厅 | 83平米 | 东 | 精装 | 中楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,66,"7,952元/平"
配套成熟，交通便利，视野宽阔，楼层好，干净小区,金龙小区 -南充北站,3室2厅 | 97.76平米 | 东南 | 其他 | 低楼层(共3层)  | 暂无数据,1人关注 / 一年前发布,30,"3,069元/平"
主城区和平东路套四精装房 低楼层,半环巷85号 -火车站,4室2厅 | 115平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,17人关注 / 一年前发布,46,"4,000元/平"
此房子没有高税，没有抵押贷款，诚心出售！,玉金·假日星城 -火车站,3室2厅 | 119.86平米 | 东南 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,53,"4,422元/平"
南门坝品质小区，中庭清水三房，户型方正，看房方便,蓝光·香江国际 -南门坝,3室2厅 | 111平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,1人关注 / 4个月以前发布,101,"9,100元/平"
此房是正规的二房，有小区，停车也方便,大西街87号 -大西街,2室1厅 | 77平米 | 东南 | 简装 | 低楼层(共9层)  | 暂无数据,0人关注 / 4个月以前发布,32,"4,156元/平"
春天花城人车分流，有电梯，24小时安保，居住更安全,春天花城 -南充北站,3室2厅 | 88平米 | 东南 | 毛坯 | 高楼层(共12层)  | 板塔结合,1人关注 / 一年前发布,58,"6,591元/平"
卖点：大盘小区 小区绿化也很不错出行相当方便,瑞露嘉都·彼岸 -南门坝,2室2厅 | 87平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,0人关注 / 9个月以前发布,68,"7,817元/平"
碧桂园，3室2厅，可拎包入住。,碧桂园 -文峰,3室2厅 | 85平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,31人关注 / 一年前发布,56.8,"6,683元/平"
位置好 挨近校 菜市场 交通方便。 离1227广场近,西湖小区 -南门坝,2室2厅 | 77.41平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,39.8,"5,142元/平"
便。位于北湖公园，精装大三房，拎包入住，交通出行方,西河南路120号 -西门市场,3室2厅 | 72平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,45人关注 / 一年前发布,38,"5,278元/平"
房子楼层不错，总价不高房东诚心出售，看上房子价好谈,中南尚景阅 -清泉坝,3室2厅 | 91.63平米 | 东南 | 毛坯 | 中楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,69,"7,531元/平"
蓝光香江国际 精装三房 采光好 拎包入住,蓝光·香江国际 -南门坝,3室2厅 | 87.51平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,1人关注 / 8个月以前发布,78,"8,914元/平"
蓝光·香江国际 3室1厅 东南,蓝光·香江国际 -南门坝,3室1厅 | 95平米 | 东南 | 毛坯 | 高楼层(共34层)  | 塔楼,17人关注 / 一年前发布,85,"8,948元/平"
绿地城2期 3房2厅2卫 低区 户型通透,绿地城上海滩花园二区 -南充北站,3室2厅 | 95平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,13人关注 / 一年前发布,65,"6,843元/平"
拥有前后大花园，大平层舒适度高,碧桂园天玺湾 -文峰,5室2厅 | 270平米 | 东北 | 精装 | 低楼层(共24层)  | 塔楼,9人关注 / 一年前发布,163,"6,038元/平"
业主积*配 合卖房，户型也比较稀有，有钥匙随时看房,格兰星河湾 -南门坝,4室2厅 | 160平米 | 东南 | 毛坯 | 高楼层(共5层)  | 塔楼,27人关注 / 一年前发布,88,"5,500元/平"
位置好、楼层好、房屋格局好的三好房源,金鱼岭81号 -火车站,2室2厅 | 77.45平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,27,"3,487元/平"
嘉陵新城 三房二厅一卫清水 随意装修,希望城二区 -南湖,3室2厅 | 98.6平米 | 西南 | 毛坯 | 中楼层(共21层)  | 塔楼,8人关注 / 一年前发布,55,"5,579元/平"
绿地城上海滩花园二区四室两厅一厨两卫,绿地城上海滩花园二区 -南充北站,4室2厅 | 112.28平米 | 东 西南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,77,"6,858元/平"
带83平大露台 采光好 有车位 小区24小时物业,頤和嘉園 -市政新区,4室1厅 | 181.96平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 6个月以前发布,169,"9,288元/平"
房子满五  精装修 随时可签 附  近配套齐全,城北公寓 -市政新区,3室2厅 | 96.44平米 | 西 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,59.9,"6,212元/平"
户型通透格局，楼层好，采光充足，交通便利,阳光白马城二区 -白马湖,3室2厅 | 92平米 | 南 | 简装 | 中楼层(共9层)  | 塔楼,3人关注 / 一年前发布,68,"7,392元/平"
小区可停大小车、配套齐全、户型方正合理,柳林路141号 -金泉路,2室2厅 | 100.67平米 | 东南 | 简装 | 高楼层(共9层)  | 板楼,1人关注 / 一年前发布,33.8,"3,358元/平"
龙川半岛 大盘小区  2楼   毛坯房,龙川半岛 -西山风景区,3室2厅 | 117.27平米 | 西南 | 毛坯 | 低楼层(共18层)  | 塔楼,7人关注 / 一年前发布,79.8,"6,805元/平"
简装大三房  嘉陵经济区域 交通枢纽,陈寿中学教师公寓 -嘉陵广场,3室2厅 | 101平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,4人关注 / 一年前发布,38.8,"3,842元/平"
西山天地山水 大三室 户型方正 环境好 采光好,天地山水 -西山风景区,3室2厅 | 133.04平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,20人关注 / 一年前发布,69.9,"5,255元/平"
顺庆主城区，生活配套齐全，交通便利。,金麟小区 -金泉路,3室2厅 | 91平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,40,"4,396元/平"
西华路 米兰阳光 一梯两户 精装3房双卫 拧包入住,米兰阳光 -市政新区,3室2厅 | 91平米 | 西南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,59.8,"6,572元/平"
西河北路顺庆社保局宿舍 出门学 校 北湖公园 配套完善,顺庆社保 -北湖公园,3室2厅 | 92.33平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,51.5,"5,578元/平"
顺庆主城区，交通方便，配套齐全，户型方正，采光好。,柳林路108号 -西门市场,4室2厅 | 150平米 | 东南 | 简装 | 中楼层(共8层)  | 平房,1人关注 / 5个月以前发布,50,"3,334元/平"
6楼电梯房，采光好，05年的房，房子装修的好，,喜来居 -西山风景区,3室2厅 | 130.64平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,59.8,"4,578元/平"
柳林路小区，05年房子，精装，齐全。有小区门卫,丽景富苑 -西山风景区,3室2厅 | 120平米 | 东南 | 精装 | 中楼层(共6层)  | 塔楼,2人关注 / 2个月以前发布,53,"4,417元/平"
电信小区 2室2厅 东南,电信小区 -西山风景区,2室2厅 | 93平米 | 东南 | 简装 | 中楼层(共10层)  | 板楼,1人关注 / 7个月以前发布,44.9,"4,828元/平"
丝绸路，单位房，免费停车，不临街,南充市审计局宿舍 -西山风景区,4室1厅 | 123平米 | 东 | 精装 | 中楼层(共8层)  | 暂无数据,1人关注 / 2个月以前发布,66,"5,366元/平"
中.心医院职工宿舍电梯房，繁华地段，采光好，急售,内小北街68号 -滨江大道,2室2厅 | 89平米 | 东南 | 简装 | 高楼层(共9层)  | 平房,9人关注 / 一年前发布,38,"4,270元/平"
中虹国际朝南，出行方便，户型方正，楼下就是商场,中虹国际二区 -嘉陵广场,3室2厅 | 100.98平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,17人关注 / 一年前发布,63,"6,239元/平"
户型方正，楼层好，采光好阳光充足视野开阔无阻挡,蓝光香江国际二期六区 -西山风景区,3室2厅 | 114平米 | 东南 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 一年前发布,66,"5,790元/平"
大盘小区，花园洋房底楼，正规三房双卫清水,阳光中心城 -江东大道,3室2厅 | 97.7平米 | 西南 | 其他 | 低楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,85,"8,701元/平"
