标题,开发商,房子信息,发布信息,售价/万,单价
盛和园 3室2厅 东南,盛和园 -赤坎开发区,3室2厅 | 102平米 | 东南 | 毛坯 | 中楼层(共36层)  | 塔楼,0人关注 / 29天以前发布,133,"13,040元/平"
户型方正，采光充足，配套齐全。,城市美林1区 -城市美林片区,4室2厅 | 152平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,2人关注 / 一年前发布,200,"13,158元/平"
江南世家 看小区花园 通风好 楼层好,江南世家 -城市假日片区,4室2厅 | 135.6平米 | 南 北 | 精装 | 中楼层(共28层)  | 暂无数据,4人关注 / 一年前发布,162,"11,947元/平"
萃福苑 三房简装 户型方正看房方便,萃福苑 -京基片区,3室2厅 | 104.95平米 | 南 | 简装 | 中楼层(共9层)  | 板塔结合,0人关注 / 7个月以前发布,80,"7,623元/平"
开发区皇冠城 毛坯四房两厅 配套齐全 闹中安静宜居,皇冠城 -城市假日片区,4室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共42层)  | 暂无数据,2人关注 / 一年前发布,155,"12,205元/平"
盛和园 看房方便 户型方正 客餐分离,盛和园 -赤坎开发区,4室2厅 | 137平米 | 南 西北 北 | 精装 | 中楼层(共27层)  | 暂无数据,3人关注 / 一年前发布,223,"16,278元/平"
西粤京基城一期 5室2厅 南,西粤京基城一期 -赤坎开发区,5室2厅 | 198平米 | 南 | 精装 | 31层  | 塔楼,12人关注 / 一年前发布,268,"13,536元/平"
凯顺花园 3室2厅 南 北,凯顺花园 -赤坎开发区,3室2厅 | 94平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,122,"12,979元/平"
雅仕居  户型方正  采光好  带露台,雅仕居 -城市美林片区,3室2厅 | 102.65平米 | 南 | 精装 | 高楼层(共15层)  | 板塔结合,6人关注 / 一年前发布,125,"12,178元/平"
精装5房，通风采光好，居住舒服,荣盛华府 -赤坎开发区,5室2厅 | 143平米 | 东北 | 精装 | 低楼层(共37层)  | 板塔结合,8人关注 / 一年前发布,210,"14,686元/平"
采光充足 南北对流户型 视野好 无遮挡 拎包入住,西粤京基城 -赤坎开发区,4室2厅 | 122平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,9人关注 / 一年前发布,166,"13,607元/平"
开发区区域 生活配套齐全 笋盘四房,皇冠城 -城市假日片区,4室2厅 | 126.25平米 | 东 | 毛坯 | 低楼层(共42层)  | 暂无数据,0人关注 / 9个月以前发布,152,"12,040元/平"
恒俪湾 3室2厅 东,恒俪湾 -城市假日片区,3室2厅 | 87.2平米 | 东 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,150,"17,202元/平"
鼎能•东盟城 精装三房 配套齐全 看房方便,鼎能•东盟城 -京基片区,3室2厅 | 97平米 | 东 | 精装 | 中楼层(共30层)  | 塔楼,15人关注 / 8个月以前发布,108,"11,135元/平"
城市假日花园E区一期 4室2厅 东南,城市假日花园E区一期 -城市假日片区,4室2厅 | 145平米 | 东南 | 精装 | 中楼层(共29层)  | 板塔结合,1人关注 / 8个月以前发布,190,"13,104元/平"
此房业主诚心出售随时签约，看房方便，户型方正。,雍豪园 -湿地公园片区,4室2厅 | 120平米 | 东 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 4个月以前发布,155,"12,917元/平"
开发区恒俪湾住宅小区  电梯三房诚意出售,恒俪湾 -城市假日片区,3室2厅 | 102.04平米 | 东 | 毛坯 | 中楼层(共37层)  | 暂无数据,0人关注 / 1个月以前发布,136,"13,329元/平"
山海华府   东南向看花园   户型方正  小区环境好,山海华府 -城市假日片区,4室2厅 | 128平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 11个月以前发布,183,"14,297元/平"
颐和花园 4室2厅 南,颐和花园 -城市美林片区,4室2厅 | 200平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,0人关注 / 1个月以前发布,138,"6,900元/平"
清晖嘉园 3室2厅 南,清晖嘉园 -赤坎开发区,3室2厅 | 113平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,155,"13,717元/平"
江南世家 南北对流 双阳台4房 诚意出售。,江南世家 -城市假日片区,4室2厅 | 126平米 | 东 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 5个月以前发布,163,"12,937元/平"
雅居乐雍逸廷 4室2厅 南,雅居乐雍逸廷 -京基片区,4室2厅 | 142.35平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,1人关注 / 9个月以前发布,280,"19,670元/平"
此房业主诚心出售随时签约，看房方便，户型方正,银盛豪庭 -新澳城市花园片区,4室2厅 | 120.5平米 | 东南 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,125,"10,374元/平"
房子户型正，视野宽阔，楼层靓，生活便利,金海湾二期 -金城片区,3室2厅 | 125平米 | 东 | 精装 | 中楼层(共31层)  | 塔楼,2人关注 / 一年前发布,155,"12,400元/平"
嘉粤汇景豪庭 3室2厅 东,嘉粤汇景豪庭 -城市美林片区,3室2厅 | 135平米 | 东 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 3个月以前发布,150,"11,112元/平"
鼎能•东盟城 4室2厅 东南,鼎能•东盟城 -京基片区,4室2厅 | 96平米 | 东南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 3个月以前发布,150,"15,625元/平"
御景豪庭  地段好，配套成熟  小区管理好,御景豪庭 -城市假日片区,4室2厅 | 195平米 | 东南 | 简装 | 中楼层(共26层)  | 板塔结合,0人关注 / 8个月以前发布,195,"10,000元/平"
南国花苑 户型方正 业主诚意出售,南國豪苑 -赤坎开发区,5室2厅 | 320平米 | 东南 | 精装 | 高楼层(共29层)  | 板塔结合,11人关注 / 一年前发布,800,"25,000元/平"
恒俪湾 3室2厅 东,恒俪湾 -城市假日片区,3室2厅 | 87.2平米 | 东 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,150,"17,202元/平"
此房业主诚心出售随时签约，看房方便，户型方正。,雍豪园 -湿地公园片区,4室2厅 | 120平米 | 东 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 4个月以前发布,155,"12,917元/平"
开发区恒俪湾住宅小区  电梯三房诚意出售,恒俪湾 -城市假日片区,3室2厅 | 102.04平米 | 东 | 毛坯 | 中楼层(共37层)  | 暂无数据,0人关注 / 1个月以前发布,136,"13,329元/平"
楼层好户型方正， 南向望花园，景色怡人，,华盛城市花园 -金城片区,5室2厅 | 112平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,1人关注 / 11个月以前发布,168,"15,000元/平"
电梯高层精品小户型，视野开阔。,香槟花园 -鼎盛片区,2室2厅 | 84.77平米 | 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,4人关注 / 一年前发布,115,"13,567元/平"
此房满五不唯一，中高层南向看小区花园,公园一号 -赤坎开发区,3室2厅 | 90平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,4人关注 / 一年前发布,125,"13,889元/平"
万和乐华花园，靓地段，少有放卖。,万和乐华花园 -城市假日片区,3室2厅 | 143平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 8个月以前发布,218,"15,245元/平"
绿景园林楼盘，温馨精装带大阳台，小区环境安静舒适,保利宸悦 -工农片区,3室2厅 | 97平米 | 东 | 精装 | 高楼层(共33层)  | 暂无数据,6人关注 / 一年前发布,113,"11,650元/平"
正规4房两厅两卫，采光通风俱佳，产权清晰,骏景居 -城市假日片区,4室2厅 | 166.5平米 | 东 | 精装 | 高楼层(共9层)  | 板塔结合,0人关注 / 5个月以前发布,116,"6,967元/平"
新澳城市花园  大三房毛坯出售,新澳城市花园 -新澳城市花园片区,3室2厅 | 96平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 一年前发布,140,"14,584元/平"
湛江市二轻企业集团公司霞山宿舍区 3室2厅 东,湛江市二轻企业集团公司霞山宿舍区 -工农片区,3室2厅 | 95平米 | 东 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,48,"5,053元/平"
澳海城 4室2厅 南 北,澳海城 -赤坎开发区,4室2厅 | 158.43平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,205.4,"12,965元/平"
雅仕居  东南向  户型方正  楼层好,雅仕居 -城市美林片区,4室2厅 | 154.45平米 | 东南 | 精装 | 中楼层(共22层)  | 塔楼,6人关注 / 一年前发布,175,"11,331元/平"
物资总局宿舍  三居室  精装  使用面积高,湛江市物资总公司宿舍 -南站片区,3室2厅 | 114平米 | 东南 | 精装 | 高楼层(共9层)  | 暂无数据,14人关注 / 一年前发布,50,"4,386元/平"
年丰豪庭 3室2厅 南,年丰豪庭 -金城片区,3室2厅 | 126平米 | 南 | 毛坯 | 高楼层(共21层)  | 暂无数据,1人关注 / 8个月以前发布,159,"12,620元/平"
霞山区 百合家园 3房2厅 看房方便，户型方正,嘉粤百合家园 -国贸中心区,3室2厅 | 104平米 | 西南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 7个月以前发布,97,"9,327元/平"
金沙湾三期海天园 4室2厅 东南,金沙湾三期海天园 -金沙湾片区,4室2厅 | 174.33平米 | 东南 | 简装 | 低楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,218,"12,506元/平"
金沙湾兆兴苑三房两厅，诚心出售！,兆兴苑 -金沙湾片区,3室2厅 | 136平米 | 南 北 | 简装 | 中楼层(共9层)  | 板楼,4人关注 / 一年前发布,116,"8,530元/平"
标准两房户型方正，交通便利，配套成熟，购物生活方便,万裕豪苑 -南站片区,2室2厅 | 98平米 | 东 | 精装 | 高楼层(共9层)  | 板楼,32人关注 / 一年前发布,45,"4,592元/平"
鸿生花园名雅苑，3房2厅，客厅大，楼层低，光线好。,鸿生花园名雅苑 -新澳城市花园片区,3室2厅 | 121平米 | 东 | 精装 | 中楼层(共8层)  | 板塔结合,2人关注 / 一年前发布,88,"7,273元/平"
户型方正，空间利用合理，配有独立电动车房,橡胶厂宿舍 -新澳城市花园片区,3室2厅 | 70平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,48,"6,858元/平"
龙泉湾 3室2厅 南,龙泉湾 -海滨片区,3室2厅 | 143平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 一年前发布,175,"12,238元/平"
户型方正  楼距大  视野宽阔  交通、教育便利,海港小区南区 -工农片区,3室2厅 | 78平米 | 西南 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 一年前发布,45,"5,770元/平"
皇家公寓第一生活区 3室2厅 南,皇家公寓第一生活区 -海滨片区,3室2厅 | 105平米 | 南 | 简装 | 中楼层(共10层)  | 板楼,0人关注 / 4个月以前发布,70,"6,667元/平"
泰汇广场3房厅出阳台带装修安静看花园,泰汇广场 -工农片区,3室2厅 | 88平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,7人关注 / 一年前发布,85,"9,660元/平"
周 边配套完善，近公园，园林绿化高，居住舒适,华德力雍景城 -金城片区,3室2厅 | 155.1平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,3人关注 / 一年前发布,170,"10,961元/平"
正规两房 业主诚心出售 有诚意客户看房可联系,荷花村港务局宿舍 -南站片区,2室2厅 | 68平米 | 东 | 简装 | 低楼层(共8层)  | 板楼,1人关注 / 一年前发布,45,"6,618元/平"
君临世纪 4室2厅 东南,君临世纪 -京基片区,4室2厅 | 125平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,190,"15,200元/平"
空气质量高，采光通风俱佳；客厅南向出阳台,龙湾悦府 -金沙湾片区,4室2厅 | 125.9平米 | 东南 | 毛坯 | 高楼层(共30层)  | 板楼,6人关注 / 一年前发布,180,"14,298元/平"
湛化第二宿舍区 2室1厅 南,湛化第二宿舍区 -工农片区,2室1厅 | 55平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,31,"5,637元/平"
正规两房 业主诚心出售 有诚意客户看房可联系,荷花村港务局宿舍 -南站片区,2室2厅 | 68平米 | 东 | 简装 | 低楼层(共8层)  | 板楼,1人关注 / 一年前发布,45,"6,618元/平"
泰汇广场3房厅出阳台带装修安静看花园,泰汇广场 -工农片区,3室2厅 | 88平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,7人关注 / 一年前发布,85,"9,660元/平"
周 边配套完善，近公园，园林绿化高，居住舒适,华德力雍景城 -金城片区,3室2厅 | 155.1平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,3人关注 / 一年前发布,170,"10,961元/平"
金沙湾靓房诚意出售，满五唯一税费低,金沙湾五期御海园 -金沙湾片区,3室2厅 | 150平米 | 东南 | 精装 | 高楼层(共30层)  | 板塔结合,2人关注 / 6个月以前发布,206,"13,734元/平"
顺江帝景城 3室2厅 东,顺江帝景城 -京基片区,3室2厅 | 155平米 | 东 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 5个月以前发布,260,"16,775元/平"
湛化第二宿舍区 2室1厅 南,湛化第二宿舍区 -工农片区,2室1厅 | 55平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,31,"5,637元/平"
新港路8号 2室2厅 东,新港路8号 -工农片区,2室2厅 | 67平米 | 东 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,30,"4,478元/平"
金华大厦 电梯精装三房 出入便利 业主诚意出售,金华大厦 -新澳城市花园片区,3室2厅 | 83平米 | 东 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 5个月以前发布,70,"8,434元/平"
金地豪苑 正规三房两厅 业主诚意出售,金地豪苑 -海滨片区,3室2厅 | 156平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼,0人关注 / 一年前发布,186,"11,924元/平"
万达商圈 少有理想户型 房子装修靓丽保养新,澳海城 -赤坎开发区,3室2厅 | 111平米 | 北 | 精装 | 中楼层(共26层)  | 板塔结合,6人关注 / 一年前发布,168,"15,136元/平"
南國豪苑 4室2厅 东,南國豪苑 -赤坎开发区,4室2厅 | 138平米 | 东 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,215,"15,580元/平"
您期待已久房子 已经出炉 东新福居 精致3房在抛,东新福居 -南站片区,3室2厅 | 116平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,12人关注 / 一年前发布,85,"7,328元/平"
赤坎总价低的南北对流大五房 低首付,方圆云山诗意 -赤坎开发区,5室2厅 | 134平米 | 东 | 毛坯 | 高楼层(共29层)  | 塔楼,0人关注 / 一年前发布,143,"10,672元/平"
业主诚心出售，满5不唯一，看上可谈,银地绿洲 -湿地公园片区,2室2厅 | 89.13平米 | 西南 | 精装 | 高楼层(共32层)  | 板楼,5人关注 / 一年前发布,110,"12,342元/平"
两房两厅 业主诚心出售 看房提前约,绿洲豪苑 -湿地公园片区,2室2厅 | 86平米 | 东 | 毛坯 | 高楼层(共31层)  | 塔楼,3人关注 / 一年前发布,95,"11,047元/平"
业主诚心出售，小区有花园，有诚意客户看房可联系，,东新豪园 -南站片区,3室2厅 | 93平米 | 西南 | 简装 | 低楼层(共21层)  | 塔楼,0人关注 / 一年前发布,108,"11,613元/平"
此房户型方正，光线充足，业主诚心出售，随时可看房。,泰汇广场 -工农片区,2室2厅 | 88平米 | 东 | 精装 | 高楼层(共32层)  | 塔楼,9人关注 / 一年前发布,81,"9,205元/平"
荣盛华府 3室2厅 南,荣盛华府 -赤坎开发区,3室2厅 | 126.18平米 | 南 | 毛坯 | 低楼层(共38层)  | 板塔结合,0人关注 / 1个月以前发布,165,"13,077元/平"
锦绣华景一二期 3室2厅 东南 南,锦绣华景一二期 -城市假日片区,3室2厅 | 147平米 | 东南 南 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,90,"6,123元/平"
海景房，正面看海，南北对流户型，全新装修。,保利宸悦 -工农片区,4室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,4人关注 / 2个月以前发布,126,"10,000元/平"
御景名城 5室2厅 南,御景名城 -京基片区,5室2厅 | 175平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,2人关注 / 4个月以前发布,235,"13,429元/平"
龙凤花园 2室2厅 东,龙凤花园 -南站片区,2室2厅 | 80平米 | 东 | 简装 | 低楼层(共9层)  | 板楼,1人关注 / 2个月以前发布,58,"7,250元/平"
碧绿花园 电梯中层 业主诚意出售！,碧绿花园一期 -湿地公园片区,3室2厅 | 135.8平米 | 北 | 精装 | 中楼层(共20层)  | 塔楼,0人关注 / 一年前发布,132,"9,721元/平"
急售标准3+1房，精装修户型方正，交通便利，配套成熟,保利原宇花园 -工农片区,4室2厅 | 130平米 | 南 | 精装 | 低楼层(共39层)  | 塔楼,4人关注 / 8个月以前发布,135,"10,385元/平"
公园一号 4室2厅 南 北,公园一号 -赤坎开发区,4室2厅 | 183平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,230,"12,569元/平"
湛江海运集团公司宿舍（友谊一横路42号） 2室2厅 南,湛江海运集团公司宿舍（友谊一横路42号） -工农片区,2室2厅 | 64平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 10个月以前发布,35,"5,469元/平"
御景珺庭A区 3室2厅 东 西,御景珺庭A区 -赤坎开发区,3室2厅 | 119平米 | 东 西 | 精装 | 低楼层(共29层)  | 塔楼,0人关注 / 3个月以前发布,180,"15,127元/平"
绿塘农垦局西院 3室2厅 西南,绿塘农垦局西院 -湿地公园片区,3室2厅 | 76.5平米 | 西南 | 精装 | 高楼层(共8层)  | 暂无数据,1人关注 / 4个月以前发布,48,"6,275元/平"
大运家园一期 3室2厅 南,大运家园一期 -南站片区,3室2厅 | 99平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,1人关注 / 一年前发布,111,"11,213元/平"
南海港小区 2室2厅 南,南海港小区 -南站片区,2室2厅 | 67平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 10个月以前发布,37,"5,523元/平"
碧绿花园一期136平方三房诚意出售,碧绿花园一期 -湿地公园片区,3室2厅 | 136平米 | 西南 | 精装 | 中楼层(共20层)  | 塔楼,0人关注 / 11个月以前发布,136,"10,000元/平"
碧绿花园一期 3室2厅 南,碧绿花园一期 -湿地公园片区,3室2厅 | 136平米 | 南 | 精装 | 高楼层(共20层)  | 塔楼,0人关注 / 4个月以前发布,136,"10,000元/平"
绿塘农垦局西院 3室2厅 西南,绿塘农垦局西院 -湿地公园片区,3室2厅 | 76.5平米 | 西南 | 精装 | 高楼层(共8层)  | 暂无数据,1人关注 / 4个月以前发布,48,"6,275元/平"
您期待已久房子 已经出炉 东新福居 精致3房在抛,东新福居 -南站片区,3室2厅 | 116平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,12人关注 / 一年前发布,85,"7,328元/平"
赤坎总价低的南北对流大五房 低首付,方圆云山诗意 -赤坎开发区,5室2厅 | 134平米 | 东 | 毛坯 | 高楼层(共29层)  | 塔楼,0人关注 / 一年前发布,143,"10,672元/平"
碧绿花园 电梯中层 业主诚意出售！,碧绿花园一期 -湿地公园片区,3室2厅 | 135.8平米 | 北 | 精装 | 中楼层(共20层)  | 塔楼,0人关注 / 一年前发布,132,"9,721元/平"
急售标准3+1房，精装修户型方正，交通便利，配套成熟,保利原宇花园 -工农片区,4室2厅 | 130平米 | 南 | 精装 | 低楼层(共39层)  | 塔楼,4人关注 / 8个月以前发布,135,"10,385元/平"
公园一号 4室2厅 南 北,公园一号 -赤坎开发区,4室2厅 | 183平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,230,"12,569元/平"
华新小区 2室2厅 东南,华新小区 -南站片区,2室2厅 | 79平米 | 东南 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 8个月以前发布,48,"6,076元/平"
龙凤花园 2室2厅 东,龙凤花园 -南站片区,2室2厅 | 80平米 | 东 | 简装 | 低楼层(共9层)  | 板楼,1人关注 / 2个月以前发布,58,"7,250元/平"
御景名城 5室2厅 南,御景名城 -京基片区,5室2厅 | 175平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,2人关注 / 4个月以前发布,235,"13,429元/平"
业主诚心出售，满5不唯一，看上可谈,银地绿洲 -湿地公园片区,2室2厅 | 89.13平米 | 西南 | 精装 | 高楼层(共32层)  | 板楼,5人关注 / 一年前发布,110,"12,342元/平"
两房两厅 业主诚心出售 看房提前约,绿洲豪苑 -湿地公园片区,2室2厅 | 86平米 | 东 | 毛坯 | 高楼层(共31层)  | 塔楼,3人关注 / 一年前发布,95,"11,047元/平"
业主诚心出售，小区有花园，有诚意客户看房可联系，,东新豪园 -南站片区,3室2厅 | 93平米 | 西南 | 简装 | 低楼层(共21层)  | 塔楼,0人关注 / 一年前发布,108,"11,613元/平"
此房户型方正，光线充足，业主诚心出售，随时可看房。,泰汇广场 -工农片区,2室2厅 | 88平米 | 东 | 精装 | 高楼层(共32层)  | 塔楼,9人关注 / 一年前发布,81,"9,205元/平"
大运家园一期 3室2厅 南,大运家园一期 -南站片区,3室2厅 | 99平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,1人关注 / 一年前发布,111,"11,213元/平"
南海港小区 2室2厅 南,南海港小区 -南站片区,2室2厅 | 67平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 10个月以前发布,37,"5,523元/平"
方兴苑 3室2厅 南,方兴苑 -国贸中心区,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 7个月以前发布,46,"4,600元/平"
采光视野无遮挡  户型方正格局合理,市运输集团宿舍 -南站片区,2室1厅 | 84.5平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 8个月以前发布,50,"5,918元/平"
小区名字 满五年唯一，精装修，格局方正，靠谱卖,晟安小区 -城市假日片区,4室2厅 | 143平米 | 南 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 一年前发布,102,"7,133元/平"
北海港小区 2室2厅 东,北海港小区 -南站片区,2室2厅 | 65平米 | 东 | 简装 | 高楼层(共4层)  | 板楼,0人关注 / 8个月以前发布,35,"5,385元/平"
工农西二路4号税局宿舍 2室2厅 西南,工农西二路4号税局宿舍 -工农片区,2室2厅 | 76平米 | 西南 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,30,"3,948元/平"
户型好格局通透 小区安静不临马路 配套成熟,万豪世家 -湿地公园片区,2室2厅 | 80平米 | 东 | 精装 | 中楼层(共26层)  | 板楼,27人关注 / 一年前发布,100,"12,500元/平"
此房户型方正，光线充足，业主诚心出售，随时可看房,保利原宇花园 -工农片区,3室2厅 | 94.89平米 | 南 | 精装 | 低楼层(共37层)  | 暂无数据,0人关注 / 8个月以前发布,115,"12,120元/平"
精装南向三房 拎包入住 看房方便,绿洲豪苑 -湿地公园片区,3室2厅 | 93平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,1人关注 / 一年前发布,118,"12,689元/平"
入户花园 海景三房电梯房 三面采光 有车房 双阳台,渔业公司宿舍 -东风片区,3室2厅 | 118平米 | 东 | 简装 | 高楼层(共9层)  | 板楼,6人关注 / 一年前发布,82.8,"7,017元/平"
人民东二路5号 3室2厅 东,人民东二路5号 -东风片区,3室2厅 | 83.65平米 | 东 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 一年前发布,42,"5,021元/平"
供销社 2室2厅 南,供销社 -工农片区,2室2厅 | 69平米 | 南 | 简装 | 中楼层(共9层)  | 塔楼,1人关注 / 10个月以前发布,55,"7,972元/平"
结核防治所宿舍（新港路） 3室2厅 南,结核防治所宿舍（新港路） -工农片区,3室2厅 | 80平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,48,"6,000元/平"
金豪居苑 3室2厅 南 北,金豪居苑 -工农片区,3室2厅 | 111.04平米 | 南 北 | 简装 | 低楼层(共9层)  | 板楼,1人关注 / 5个月以前发布,65,"5,854元/平"
此房业主诚心出售随时签约，看房方便，户型方正。,国贸新天地 -国贸中心区,5室2厅 | 165平米 | 东南 | 简装 | 中楼层(共29层)  | 板塔结合,3人关注 / 一年前发布,150,"9,091元/平"
赤坎城区大四房，精装修，高层，拎包入住！,华德力雍景城 -金城片区,4室2厅 | 164平米 | 东 | 精装 | 高楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,172,"10,488元/平"
光华小区9小后面，房大厅大采光好,人民西四路1号 -国贸中心区,2室2厅 | 83.4平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,4人关注 / 一年前发布,46,"5,516元/平"
中基新城优质房，业主诚意出售，随时可看,中基新城 -国贸中心区,2室2厅 | 81平米 | 东 | 精装 | 高楼层(共7层)  | 板楼,9人关注 / 一年前发布,46,"5,680元/平"
此房业主诚心出售随时签约，看房方便，户型方正,东新豪园 -南站片区,2室2厅 | 60平米 | 南 | 精装 | 低楼层(共21层)  | 板塔结合,1人关注 / 4个月以前发布,62,"10,334元/平"
大阳台很舒适，装修漂亮，业主诚心出售,华盛新城 -金城片区,4室2厅 | 150平米 | 东 | 精装 | 高楼层(共12层)  | 板塔结合,1人关注 / 3个月以前发布,162,"10,800元/平"
人大宿舍 2室2厅 南,人大宿舍 -十四小片区,2室2厅 | 70平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,3人关注 / 3个月以前发布,55,"7,858元/平"
此房业主诚心出售，看房方便，户型方正，客餐分离。。,碧绿花园一期 -湿地公园片区,3室2厅 | 136平米 | 南 北 | 精装 | 中楼层(共20层)  | 塔楼,1人关注 / 一年前发布,130,"9,559元/平"
视野开阔，布局方正，面积实用，光线充足,金茂大厦 -国贸中心区,4室2厅 | 156平米 | 东南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 一年前发布,200,"12,821元/平"
刚需复式，业主诚心卖。家具全留。,建实碧绿花园二期 -湿地公园片区,4室3厅 | 91平米 | 南 | 精装 | 高楼层(共12层)  | 塔楼,9人关注 / 一年前发布,120,"13,187元/平"
户型方正，采光充足，配套齐全。,龙泉湾 -海滨片区,4室2厅 | 160平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 一年前发布,165,"10,313元/平"
城市广场 中层大四房 让您的孩子赢在起跑线上,城市广场 -国贸中心区,4室2厅 | 176平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,150,"8,523元/平"
楼龄新 楼层低 间隔好 大3房 通风采光不错,新园福居 -国贸中心区,3室2厅 | 135平米 | 东南 | 精装 | 中楼层(共9层)  | 板楼,1人关注 / 7个月以前发布,105,"7,778元/平"
椹川大道南38号 3室2厅 东,椹川大道南38号 -国贸中心区,3室2厅 | 105平米 | 东 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 3个月以前发布,65,"6,191元/平"
裕华住宅楼 147平方 大三房 中层 诚意出售,裕华商住楼 -国贸中心区,3室2厅 | 147平米 | 西南 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 11个月以前发布,97,"6,599元/平"
城市广场 3室2厅 南,城市广场 -国贸中心区,3室2厅 | 157平米 | 南 | 简装 | 高楼层(共27层)  | 塔楼,0人关注 / 一年前发布,168,"10,701元/平"
中国人民财产保险股份有限公司宿舍 3室2厅 东,中国人民财产保险股份有限公司宿舍 -国贸中心区,3室2厅 | 114平米 | 东 | 简装 | 中楼层(共5层)  | 板楼,5人关注 / 4个月以前发布,55,"4,825元/平"
