标题,开发商,房子信息,发布信息,售价/万,单价
南岗区 学府地铁好房 复旦街 哈西 枫蓝国际 采光充足,枫蓝国际 -哈西商圈,1室1厅 | 62.83平米 | 南 | 精装 | 32层  | 板楼,1人关注 / 8个月以前发布,68,"10,823元/平"
群力哈西顾乡交界 交通便利地理位置优越 装修保存较好,丽水雅居 -工农大街,2室1厅 | 51.08平米 | 北 | 简装 | 中楼层(共32层)  | 板楼,1人关注 / 8个月以前发布,39.8,"7,792元/平"
商大美丽洋房 电梯两室明厅 毛坯可贷款随时看房,美丽洋房小区 -松北商圈,2室1厅 | 106.11平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,55,"5,184元/平"
儿童公园 永和街 果戈里 3楼 南北通透 采光嘎嘎地,永和街 -儿童公园,3室1厅 | 99平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,76,"7,677元/平"
哈药路 2室1厅 南 北,哈药路 -公路大桥,2室1厅 | 99平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,69.8,"7,051元/平"
小区环境好 周卫配套成熟 户型设计合理 公交地铁便捷,河松小区三期 -公路大桥,2室1厅 | 83.17平米 | 东 西 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,62,"7,455元/平"
装修好 楼层好 户型板正 南北通透,恒盛皇家花园 -群力新区,3室2厅 | 122.5平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 8个月以前发布,158,"12,898元/平"
西大直街 西大桥 三室通透户型  120米 55万 98年,桥西小区 -哈特百脑汇教化工大,3室2厅 | 120平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 4个月以前发布,52,"4,334元/平"
此房满两年   视野开阔 封闭小区,恒盛皇家花园 -群力新区,3室1厅 | 128平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 1个月以前发布,165,"12,891元/平"
哈东万达 高层电梯 南向 三阳 两室一厅 交通便利,永泰城 -永泰商圈,2室1厅 | 68.29平米 | 东 | 精装 | 33层  | 塔楼,4人关注 / 5个月以前发布,38.8,"5,682元/平"
群力家园 南北通透 前后无遮挡  全天采光,群力家园S区 -群力新区,2室2厅 | 113.33平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 5个月以前发布,115,"10,148元/平"
招商贝肯山3居室 精装修  南北通透  不顶不底,招商贝肯山 -群力新区,3室2厅 | 177平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,1人关注 / 1个月以前发布,270,"15,255元/平"
现代风格 60万装修 使用100 招商贝肯山三期三室双卫,招商贝肯山二期 -群力新区,3室2厅 | 136平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,9人关注 / 5个月以前发布,215,"15,809元/平"
丽景花园两室大明厅 近地铁 南北通透 看房方便,丽景花园 -哈尔滨新区,2室1厅 | 138平米 | 南 北 | 简装 | 高楼层(共31层)  | 板楼,0人关注 / 4个月以前发布,68,"4,928元/平"
万象上东  中间楼层采光好  可公积金贷款,万象上东 -省医院商圈,1室1厅 | 59.3平米 | 东 | 精装 | 中楼层(共45层)  | 板楼,0人关注 / 8个月以前发布,89,"15,009元/平"
司徒街  中间楼层  一室格局  采光嘎嘎好  交通便利,司徒街 -菜艺商圈,2室1厅 | 50.1平米 | 西 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 4个月以前发布,25.8,"5,150元/平"
有电梯 两室明厅 采光充足 配套设施齐全,欧洲新城 -西大桥商圈,2室1厅 | 111平米 | 南 北 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 3个月以前发布,109,"9,820元/平"
道里  安阳路  海富康城 两室一厅 看房方便 拎包入住,海富康城 -公路大桥,2室1厅 | 58.76平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,8人关注 / 4个月以前发布,40,"6,808元/平"
品质小区 三室明厅 精装修 好楼层 拎包入住,顺迈欣郡一期 -哈尔滨新区,3室1厅 | 104平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,0人关注 / 1个月以前发布,90,"8,654元/平"
哈西  西雅图水岸 精装小两室  看房方便,西雅图水岸 -哈西商圈,2室1厅 | 74平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 6个月以前发布,93,"12,568元/平"
欧洲新城 洋房电梯3楼 H格局 南北通透 104米117万,欧洲新城 -西大桥商圈,2室1厅 | 104平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 3个月以前发布,117,"11,250元/平"
红星威尼斯 封闭小区 一楼带花园 花园嘎嘎地！,红星威尼斯庄园 -松北商圈,3室2厅 | 125.17平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,5人关注 / 5个月以前发布,168,"13,422元/平"
大正财政家属楼 封闭小区 物业好 绿化面积大 满五唯一,大正莅江一期 -松北商圈,3室1厅 | 157.19平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,145,"9,225元/平"
鲁商凤凰城新上两室H户型，拎包精装，价格能谈。,鲁商凤凰城 -哈南商圈,2室1厅 | 87.7平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 3个月以前发布,115,"13,113元/平"
华润中海江城3-2-1-2 119.05m²,华润中海江城 -松北商圈,3室2厅 | 119.05平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,108,"9,072元/平"
红星威尼斯小区 小区环境优雅 临公交站 视野好,红星威尼斯庄园 -松北商圈,3室2厅 | 111平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,114,"10,271元/平"
鲁商凤凰城 精装南北三居室 明卫 无尾贷 拎包入住,鲁商凤凰城 -哈南商圈,3室2厅 | 113平米 | 南 北 西 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 5个月以前发布,152,"13,452元/平"
恒大绿洲 采光好 精装修 业主急售 看房随时,恒大绿洲 -松浦商圈,3室2厅 | 113平米 | 东 西 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,76,"6,726元/平"
四季上东二期  南北通透  封闭小区  地铁出行,四季上东第二期 -省医院商圈,3室2厅 | 146.17平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,252,"17,241元/平"
电梯两居群力新区出色户型 特惠业主急售,中海寰宇天下 -群力新区,2室1厅 | 99.84平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,137,"13,722元/平"
房屋基础装修都很好 简洁干净 简单收拾收拾即可入住,金瑞林城 -动力区,2室1厅 | 89.3平米 | 东 北 | 精装 | 低楼层(共30层)  | 板楼,3人关注 / 6个月以前发布,78,"8,735元/平"
三室明厅南北通透适合过渡老人居住,三辅街 -菜艺商圈,3室1厅 | 114.92平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,9人关注 / 5个月以前发布,34.6,"3,011元/平"
此房朝向好 视野开拓 采光充足 交通便利 配套设施齐全,北兴教育园B区 -阿拉伯广场,3室1厅 | 163.31平米 | 东 南 西 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 5个月以前发布,145.8,"8,928元/平"
虹桥 三楼 东西通透 H格局 104米108.8万可谈 不临桥,泰山小区 -南岗会展商圈,2室1厅 | 104平米 | 东 西 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,107.2,"10,308元/平"
保利水韵联排别墅 带花园60米 2个车库 精装修 前后门,保利水韵长滩一期 -松北商圈,4室3厅 | 290平米 | 南 北 | 精装 | 3层  | 板楼,1人关注 / 2个月以前发布,320,"11,035元/平"
鲁商凤凰城.128米三室双卫.看好可谈,鲁商凤凰城 -哈南商圈,3室1厅 | 127.52平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,140,"10,979元/平"
浦江国际 2室1厅 南 北,浦江国际 -哈尔滨新区,2室1厅 | 105平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 8天以前发布,44.6,"4,248元/平"
滨江凤凰城小区2007年建成进户,滨江凤凰城 -玛克威,2室1厅 | 92.52平米 | 南 北 | 简装 | 中楼层(共16层)  | 板楼,0人关注 / 23天以前发布,85,"9,188元/平"
视野好全屋采光精装两室大明厅近地铁,爱达88 -哈西商圈,2室1厅 | 99平米 | 南 | 其他 | 中楼层(共27层)  | 板楼,1人关注 / 31天以前发布,140,"14,142元/平"
品牌家电 地理位置俱佳.楼层好.视野宽阔采光充..,三中家属楼 -阿城商圈,2室1厅 | 76.37平米 | 西 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 29天以前发布,35.8,"4,688元/平"
悦然臻城精装修  南向明厅  拎包入住,悦然臻城 -动力区,2室1厅 | 67.24平米 | 南 | 精装 | 中楼层(共21层)  | 板楼,0人关注 / 27天以前发布,61.8,"9,191元/平"
格局好，没有浪费空间，布局合理，采光充足，交通便利,红星凯悦 -王岗商圈,2室1厅 | 60平米 | 西 | 其他 | 中楼层(共14层)  | 板楼,0人关注 / 28天以前发布,45,"7,500元/平"
明悦浪漫城 2室1厅 南 北,明悦浪漫城 -哈尔滨新区,2室1厅 | 112平米 | 南 北 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 25天以前发布,66.9,"5,974元/平"
19楼，单价6100带精装修，无大税，随时看房；,明悦浪漫城 -哈尔滨新区,2室1厅 | 110.4平米 | 南 北 | 其他 | 中楼层(共28层)  | 板楼,0人关注 / 30天以前发布,67.8,"6,142元/平"
焊接小区 1室1厅 东北,焊接小区 -西大桥商圈,1室1厅 | 35.4平米 | 东北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 22天以前发布,49,"13,842元/平"
道理 海富康城 南北通透 精装修 中间楼层 拎包就能住,海富康城 -公路大桥,2室1厅 | 54平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 28天以前发布,43,"7,963元/平"
安埠商圈盛新领地南北通透两室明厅09年可公积金,盛新领地 -安埠商圈,2室1厅 | 64.23平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 22天以前发布,41,"6,384元/平"
地理位置俱佳.楼层好.视野宽阔采光充足,高明小区 -阿城商圈,2室1厅 | 75.99平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 21天以前发布,35.8,"4,712元/平"
湘江家园 2室1厅 东 西,湘江家园 -南岗会展商圈,2室1厅 | 114平米 | 东 西 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 18天以前发布,73.5,"6,448元/平"
精装修，无大税，可贷款，中间楼层，,远大都市明珠南区 -群力新区,2室1厅 | 72.84平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 19天以前发布,75,"10,297元/平"
地灵街 2室1厅 南 北,地灵街 -阿拉伯广场,2室1厅 | 40平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 29天以前发布,26.8,"6,700元/平"
宜居家园 南北通透 采光视野好 业主急卖,宜居家园 -群力新区,2室1厅 | 103平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 27天以前发布,60,"5,826元/平"
此房东西通透，满五，中楼层，交通方便,文景街 -省医院商圈,3室1厅 | 90平米 | 东 西 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 20天以前发布,52,"5,778元/平"
两室明厅 无冷山不挡光 封闭小区 24小时保安,梧桐郡 -哈东站商圈,2室1厅 | 75平米 | 西北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 25天以前发布,55,"7,334元/平"
装修好，楼层居中，无论采光还是视野都很好,东方新天地 -哈西商圈,2室1厅 | 97平米 | 北 南 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 22天以前发布,106,"10,928元/平"
哈西民主家园小区两室一厅精装修拎包即住,哈西民主家园 -哈西商圈,2室1厅 | 93.88平米 | 西北 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 17天以前发布,75,"7,989元/平"
小区环境好 周卫配套成熟 户型设计合理 采光充足,光华小区 -公路大桥,2室1厅 | 77平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 27天以前发布,54.8,"7,117元/平"
此房楼层好，精装修， 拎包即住，采光充足，无大税,钻石湾地中海阳光 -松北商圈,2室1厅 | 95平米 | 东南 | 精装 | 低楼层(共25层)  | 暂无数据,0人关注 / 25天以前发布,82,"8,632元/平"
保利上城3室，不临桥，好楼层，房主诚心出售，装修好,保利上城 -群力新区,3室1厅 | 93平米 | 南 北 | 其他 | 低楼层(共24层)  | 板楼,0人关注 / 20天以前发布,120,"12,904元/平"
新松未来ONE两室明厅风华精装现房,新松未来ONE -永泰商圈,2室1厅 | 88平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 20天以前发布,69,"7,841元/平"
爱达1号 精装修 下楼宜家 有房本可按揭 随时看房,爱达·壹号 -哈西商圈,2室2厅 | 117.23平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,2人关注 / 28天以前发布,159,"13,564元/平"
西大直街 曲线街 新曲线小区 使用46米 两室南北1999年,新曲线小区 -哈特百脑汇教化工大,2室1厅 | 69平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 20天以前发布,55,"7,972元/平"
此房格局好，精装修，视野开阔，交通便利 随时能看,清河湾小区 -顾乡凯德广场,2室1厅 | 97平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 21天以前发布,69.8,"7,196元/平"
航道住宅 2室1厅 东 西,航道住宅 -阿拉伯广场,2室1厅 | 52平米 | 东 西 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 19天以前发布,35,"6,731元/平"
松浦·观江国际B区 2室1厅 西北,松浦·观江国际B区 -松浦商圈,2室1厅 | 94平米 | 西北 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 18天以前发布,67,"7,128元/平"
光华小区 2室1厅 南 北,光华小区 -公路大桥,2室1厅 | 68平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 20天以前发布,58.8,"8,648元/平"
进步小区 2室1厅 南 北,进步小区 -先锋路商圈,2室1厅 | 85平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 17天以前发布,55,"6,471元/平"
天合俊景两室明厅，封闭小区楼下凯德，看房方便！,天合俊景 -顾乡凯德广场,2室1厅 | 57.8平米 | 东南 | 简装 | 低楼层(共24层)  | 板楼,0人关注 / 28天以前发布,50,"8,651元/平"
果园星城电梯房 东西通透 两室明厅 格局好 精装修,果园星城B区 -安埠商圈,2室1厅 | 127平米 | 西 东 | 简装 | 高楼层(共16层)  | 板塔结合,0人关注 / 19天以前发布,87,"6,851元/平"
澜悦东方唯一一套在售两室单南向户型  好楼层价格可谈,瀾悦東方 -动力区,2室1厅 | 72.16平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,1人关注 / 20天以前发布,90,"12,473元/平"
下楼就是公交站点 出行购物方便 楼下就是银行 市场,阿什河乡企楼 -阿城商圈,2室1厅 | 89平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 19天以前发布,44.6,"5,012元/平"
新阳路安德街 两室一厅  交通便利 小区整洁,安德街 -安字片,2室1厅 | 50.03平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 27天以前发布,46,"9,195元/平"
此房满五唯一，两室一厅带装修，拎包入住，拎包即住,宜居家园C区 -群力新区,2室1厅 | 82平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 27天以前发布,62.8,"7,659元/平"
此房源  为两室一厅  格局好  采光好  视野好,金京壹号官邸 -阿城商圈,2室1厅 | 84平米 | 南 北 | 其他 | 中楼层(共14层)  | 暂无数据,0人关注 / 16天以前发布,46.8,"5,572元/平"
此房楼层好，采光好，格局好，南向，房主诚心卖房,体东名城 -阿城商圈,2室1厅 | 83平米 | 南 | 其他 | 中楼层(共30层)  | 塔楼,0人关注 / 16天以前发布,44.8,"5,398元/平"
此房源  为两室一厅  格局好  视野宽阔采光好,祥泰小区 -阿城商圈,3室1厅 | 87平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 28天以前发布,42.6,"4,897元/平"
征跃小区 2室1厅 南,征跃小区 -哈南商圈,2室1厅 | 67平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 28天以前发布,44,"6,568元/平"
西十五道街 1室1厅 南,西十五道街 -兆麟校,1室1厅 | 52.99平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 27天以前发布,19.8,"3,737元/平"
金水国际 随时看房 价位可谈 可贷款,中荣金水国际花园B区 -阿城商圈,2室1厅 | 60平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 25天以前发布,31.8,"5,300元/平"
格局通透 南北朝向  拎包入住  楼层便利,建国街 -建国公园,2室1厅 | 83平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 17天以前发布,65,"7,832元/平"
下楼就是公交站点 出行购物方便 楼下就是银行 市场,阿什河乡企楼 -阿城商圈,2室1厅 | 89平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 19天以前发布,44.6,"5,012元/平"
新阳路安德街 两室一厅  交通便利 小区整洁,安德街 -安字片,2室1厅 | 50.03平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 27天以前发布,46,"9,195元/平"
澜悦东方唯一一套在售两室单南向户型  好楼层价格可谈,瀾悦東方 -动力区,2室1厅 | 72.16平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,1人关注 / 20天以前发布,90,"12,473元/平"
南岗，西大直街，通达街，13年电梯房，精装,江城之珠 -哈特百脑汇教化工大,2室1厅 | 64.86平米 | 西南 | 精装 | 高楼层(共36层)  | 板楼,0人关注 / 26天以前发布,70,"10,793元/平"
此房满五唯一，两室一厅带装修，拎包入住，拎包即住,宜居家园C区 -群力新区,2室1厅 | 82平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 27天以前发布,62.8,"7,659元/平"
三室明厅带衣帽间 格局板正 采光好 封闭小区 停车方便,名人府邸 -万达商圈,3室2厅 | 223平米 | 东 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 29天以前发布,140,"6,279元/平"
人和街2楼 92年 南北通透  单元门临街 交通便利,人和街 -儿童公园,2室1厅 | 47平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,36,"7,660元/平"
仪兴小区 3楼   南北通透       精装修,仪兴小区 -仪兴商圈,2室1厅 | 56平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 24天以前发布,34.5,"6,161元/平"
菜艺街 东西 通透 交通便利 ，配套全套地铁,菜艺街 -菜艺商圈,1室0厅 | 29平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 29天以前发布,16.5,"5,690元/平"
正阳南二楼一室简装近地铁交通便利购物方便,正阳南小区 -阿拉伯广场,1室0厅 | 32平米 | 西 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,18.5,"5,782元/平"
保利颐和家园 2室1厅 南 北,保利颐和家园 -哈西商圈,2室1厅 | 84平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 30天以前发布,45,"5,358元/平"
香林名苑 一室明厅 10楼 南向 有证 可贷款 价格可谈,香林名苑 -动力区,1室1厅 | 55.72平米 | 南 西 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 19天以前发布,39,"7,000元/平"
安德街 2室1厅 东 西,安德街 -安字片,2室1厅 | 42平米 | 东 西 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 18天以前发布,13.8,"3,286元/平"
地理位置俱佳.楼层好.视野宽阔采光充足,金上京公馆 -阿城商圈,1室1厅 | 61平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 15天以前发布,29,"4,755元/平"
格局好 户型佳 拎包入住 可贷款 视野好,阳光印象 -工农大街,1室1厅 | 57.34平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,0人关注 / 16天以前发布,57,"9,941元/平"
征跃小区一室户型 有装修户型好,征跃小区 -哈南商圈,1室1厅 | 68平米 | 南 | 简装 | 低楼层(共24层)  | 板楼,0人关注 / 12天以前发布,38,"5,589元/平"
群力家园2室1厅   无大税   中间楼层  产权清晰,群力家园k区 -群力新区,2室1厅 | 113.12平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 17天以前发布,120,"10,609元/平"
南北通透格局好 商圈成熟 交通便利  采光充足 楼层好,果园星城C区 -安埠商圈,2室1厅 | 56.18平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,1人关注 / 3个月以前发布,32,"5,696元/平"
柏林四季 一屋一厨 南向 出行方便 配套全,柏林四季 -哈尔滨新区,1室0厅 | 35平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,18,"5,143元/平"
翠海花园 三楼南向一室一厅带10米大阳台 大平台可烧烤,翠海花园 -动力区,1室1厅 | 62.91平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 5个月以前发布,41.8,"6,645元/平"
此房格局好，户型好，一室大明厅，配套设施齐,恒大雅苑 -群力新区,1室1厅 | 59.85平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 13天以前发布,59,"9,858元/平"
高层电梯房 小户型 总价低 单价低 可过渡可养老,征跃小区 -哈南商圈,1室1厅 | 52平米 | 西北 | 简装 | 中楼层(共24层)  | 板楼,0人关注 / 14天以前发布,30,"5,770元/平"
哈东站地铁口年限新南棵绿荫一室一厅拎包就住,南棵绿荫小区一期 -哈东站商圈,1室1厅 | 37.69平米 | 西 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,23,"6,103元/平"
高层电梯房 小户型 总价低 单价低 可过渡可养老,征跃小区 -哈南商圈,1室1厅 | 52平米 | 西北 | 简装 | 中楼层(共24层)  | 板楼,0人关注 / 14天以前发布,30,"5,770元/平"
西南两室明厅带观景阳台，价格可谈，好楼层；,明悦浪漫城 -哈尔滨新区,2室1厅 | 71平米 | 西南 | 其他 | 中楼层(共30层)  | 板楼,0人关注 / 13天以前发布,42.8,"6,029元/平"
保利观澜三期，纯毛坯房，有房本，看房随时，格局好,保利观澜 -松北商圈,2室1厅 | 93平米 | 南 北 | 其他 | 中楼层(共23层)  | 板楼,0人关注 / 5个月以前发布,100,"10,753元/平"
三合园小区  中间楼层 格局方正  价格便宜,三合园小区 -动力区,2室1厅 | 65平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,39,"6,000元/平"
白毛 空置状态 看房方便  东风 39  地铁,白毛小区 -尚志公园,2室1厅 | 94.46平米 | 东 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,74,"7,835元/平"
精装修 不是顶楼 无遮无挡 带部分家具家电 交通便利,北岸明珠 -松北商圈,2室1厅 | 107平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,95,"8,879元/平"
楼层好，格局好，视野宽阔，交通便利,乐民小区 -动力区,2室1厅 | 110.9平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,58,"5,230元/平"
精装 两室一厅 拎包即住 看房方便,海吉雅·乐都 -哈尔滨新区,2室1厅 | 103.33平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,75.8,"7,336元/平"
新华小区(道里区) 2室1厅 南 北,新华小区(道里区) -顾乡大街,2室1厅 | 63.41平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,7人关注 / 8个月以前发布,36.8,"5,804元/平"
封闭小区 南北通透 4楼 万达商圈  省医院商圈,香安电力小区 -菜艺商圈,2室1厅 | 75.88平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,54.8,"7,222元/平"
金瑞林城两室明厅精装83.9米80万,金瑞林城 -动力区,2室1厅 | 83.9平米 | 西南 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,80,"9,536元/平"
过渡手选 过渡手选 可贷款  带装修 好楼层,地恒托斯卡纳五期 -哈尔滨新区,1室1厅 | 71平米 | 南 | 其他 | 高楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,35,"4,930元/平"
公滨城市花园 两室 精装修 拎包入住,公滨城市花园 -农大商圈,2室1厅 | 72.77平米 | 东 西 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,49.8,"6,844元/平"
珑瑞小区 2室1厅 东 西,珑瑞小区 -尚志公园,2室1厅 | 90.68平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,68,"7,499元/平"
司徒街 两室 精装修 拎包入住,司徒街 -菜艺商圈,2室1厅 | 42.05平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,39.5,"9,394元/平"
万达秀园前排 精装两室南北通透户型 房主诚心出售,万达·秀园 -松北商圈,2室1厅 | 88.19平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,82,"9,299元/平"
南岗区 哈工大 工大左岸 南北通透,工大左岸 -海城市场商圈,1室1厅 | 72.77平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,71.8,"9,867元/平"
松北区华润中海江城小区 配套成熟 交通便利,华润中海江城 -松北商圈,2室1厅 | 87.27平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,75,"8,595元/平"
金瑞林城一期好位置出门带三号铁线右面大润发,金瑞林城 -动力区,2室1厅 | 103.39平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,2人关注 / 4个月以前发布,89.8,"8,686元/平"
【香和街】西香坊 省医院 香和街中间楼层 香1 两室,香和街 -省医院商圈,2室1厅 | 45.98平米 | 东 西 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,29.8,"6,482元/平"
精装修，拎包即住， 南北朝向。,地恒托斯卡纳四期 -哈尔滨新区,2室1厅 | 53.45平米 | 北 南 | 精装 | 中楼层(共10层)  | 板楼,1人关注 / 3个月以前发布,42,"7,858元/平"
两室明厅 精装修 拎包即住 看房方便,伸马托斯卡纳 -哈尔滨新区,2室1厅 | 96平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,88.8,"9,250元/平"
维也纳河畔新城 地点好 南北通透 两室一厅,维也纳河畔新城 -太平商圈,2室1厅 | 54.81平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,38.8,"7,080元/平"
红星威尼斯小三室 中间楼层 方便看房 可以贷款,红星威尼斯庄园 -松北商圈,3室1厅 | 103平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,2人关注 / 1个月以前发布,83,"8,059元/平"
一楼  阳光房 地下室 家装  拎包即住 看房方便,地恒托斯卡纳二期 -哈尔滨新区,2室1厅 | 48.06平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,2人关注 / 3个月以前发布,58.8,"12,235元/平"
房子现在有装修，中等装修，可以拎包入住，楼层也比较,军安绿色家园 -松北商圈,2室1厅 | 103.84平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,7人关注 / 4个月以前发布,58.5,"5,634元/平"
