标题,开发商,房子信息,发布信息,售价/万,单价
地理位置好，小区环境好，户型通透 采光好，读书方便,电信花园 -八字门,3室1厅 | 127.78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,77.88,"6,095元/平"
东升社区 证齐可贷款 简装两房 停车方便,东升社区 -东升社区,2室1厅 | 74平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,46,"6,217元/平"
大润发 天伦国际 花园小区全新精装两房 家具家电齐全,天伦国际 -五里牌,2室2厅 | 78平米 | 南 北 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,95,"12,180元/平"
交通方便，环境良好，采光通透。,湘爱园社区 -火车站,2室2厅 | 78.97平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,39,"4,939元/平"
小区已经改造完成，房子户型周正。,一百家属区 -新路口,3室2厅 | 109平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 29天以前发布,63,"5,780元/平"
连接步行街与美食街，装修保养好，证件在手，满五,雅典新城 -螺丝港,3室2厅 | 125平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 31天以前发布,92.8,"7,424元/平"
南湖贰拾中旁 滨湖新境界毛坯大三房 产权清晰可以贷款,滨湖•新境界 -南湖新区,3室2厅 | 117平米 | 南 | 毛坯 | 低楼层(共26层)  | 塔楼,1人关注 / 25天以前发布,66.8,"5,710元/平"
五里牌天伦国际旁 东升社区 锦绣华城全新精装三房,锦绣华城 -东升社区,3室2厅 | 107.56平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 25天以前发布,95,"8,833元/平"
华菱融域精装修南北通透纯板楼拎包入住,华菱融域 -花板桥,3室2厅 | 150.3平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 26天以前发布,113,"7,519元/平"
小区绿化环境好　环境优美　雅礼旁,江河颐璟城 -岳阳县,3室2厅 | 114平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,65,"5,702元/平"
恒大绿洲  精装三房 拎包入住 接受贷款,恒大绿洲 -东站,3室2厅 | 112平米 | 南 | 简装 | 高楼层(共21层)  | 暂无数据,0人关注 / 30天以前发布,105,"9,375元/平"
双拼别墅，大花园大露台，业主诚心出售。,岳阳碧桂園 -城陵矶,5室2厅 | 217平米 | 南 北 | 毛坯 | 3层  | 暂无数据 | 双拼别墅 ,0人关注 / 29天以前发布,239,"11,014元/平"
南湖新区 赶山路 园林小区 保利中央公园,保利中央公园 -南湖新区,3室2厅 | 116.38平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板楼,0人关注 / 22天以前发布,70,"6,015元/平"
保利中航复式楼带80平三面花园,中航·翡翠湾 -八字门,4室2厅 | 142平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,1人关注 / 21天以前发布,200,"14,085元/平"
高铁东站 环境好，恒大绿洲 房子证件满两年，税费低,恒大绿洲 -东站,3室2厅 | 130.73平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,89,"6,808元/平"
珍珠山 翡翠湾 高层视野无遮挡 接受贷款,中航·翡翠湾 -八字门,3室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,102,"8,718元/平"
王家河畔，大型单位园林小区，精装大四房。,新电园 -八字门,4室2厅 | 163平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 21天以前发布,142,"8,712元/平"
小区环境好，旁边就是雅礼，边上就是洞庭湖,江河颐璟城 -岳阳县,4室2厅 | 134平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 30天以前发布,90,"6,717元/平"
物业管理完善，采光良好，物业人员贴心，热情,江河颐璟城 -岳阳县,3室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 29天以前发布,58.6,"5,096元/平"
杨树塘 城市之光 南湖小  学 四中  十四中哦 金鄂山,岳阳广播电视中心家属院 -杨树塘,3室2厅 | 96.08平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 25天以前发布,53,"5,517元/平"
南湖别墅区 棠溪人家精装修 带前后花园 露台车库,棠溪人家 -南湖新区,6室3厅 | 338平米 | 南 北 | 精装 | 3层  | 板塔结合 | 双拼别墅 ,0人关注 / 19天以前发布,700,"20,711元/平"
步行街550平办公居家一起带200平露台带2000平空中花园,洪富大厦 -步行街,4室2厅 | 511平米 | 南 | 精装 | 低楼层(共15层)  | 塔楼,0人关注 / 21天以前发布,500,"9,785元/平"
高铁东站旁毛坯三房两厅两卫证齐接受贷款,东城雅苑 -东站,3室2厅 | 129平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 20天以前发布,72.8,"5,644元/平"
证件满五，装修新，全屋暖气小区治安好,岳阳市老检察院家属房 -杨树塘,3室2厅 | 113.31平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 28天以前发布,96,"8,473元/平"
步行街商圈，院子好停车，证件齐全，东方红,老印刷厂家属区 -炮台山,3室2厅 | 85.34平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 21天以前发布,39.5,"4,629元/平"
千亩湖  湖景花园  楼中楼  九层新 带家电 阳光房,湖景花园 -螺丝港,5室2厅 | 256平米 | 南 | 精装 | 高楼层(共16层)  | 塔楼,0人关注 / 21天以前发布,195,"7,618元/平"
南湖广场旁湖尚小区精装电梯三房,湖尚小区 -苗圃,3室2厅 | 116.38平米 | 南 北 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 25天以前发布,88,"7,562元/平"
站前路 五里 中  学 斜对   面 小区 拎包入住,东城花园 -火车站,3室2厅 | 134平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,1人关注 / 27天以前发布,62,"4,627元/平"
人车分流 小区环境好 雅礼旁 洞庭湖风光,江河颐璟城 -岳阳县,3室2厅 | 99平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 19天以前发布,47,"4,748元/平"
小区改造完成，房子户型周正，南北通透。,一百家属区 -新路口,3室2厅 | 93平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,55,"5,914元/平"
佳利壹品苑 3室2厅 南,佳利壹品苑 -天伦城,3室2厅 | 110平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 20天以前发布,120,"10,910元/平"
朝阳  3房2厅2卫 直接网签 可以贷款  步步高旁,尚书佳苑 -花板桥,3室2厅 | 134.62平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 24天以前发布,99.4,"7,384元/平"
采光通透，环境良好，视野开阔，交通方便。,金水园小区 -鲤鱼嘴社区,4室2厅 | 138.66平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 24天以前发布,69,"4,977元/平"
两梯两户纯板房，户型方正通透，,民院学府 -齐家岭,3室1厅 | 136平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 25天以前发布,80,"5,883元/平"
香洲名都南园 出门千亩湖 顶楼晾晒方便,香洲名都南园 -南湖,3室2厅 | 126.68平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 28天以前发布,77,"6,079元/平"
环境良好，交通方便，地段好，采光通透,环球中心 -桥西,3室2厅 | 127平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 19天以前发布,115,"9,056元/平"
南湖千亩湖 恒大南湖半岛 精装大三房拎包入住,恒大南湖半岛 -桥西,3室2厅 | 170.24平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 19天以前发布,219,"12,865元/平"
恒大御景湾 精装三房 中间楼层 89万看中可谈,恒大御景湾 -岳城,3室1厅 | 98平米 | 南 北 | 精装 | 中楼层(共23层)  | 暂无数据,0人关注 / 18天以前发布,89,"9,082元/平"
阳光美居 3室2厅 南,阳光美居 -冷水铺,3室2厅 | 123平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 30天以前发布,74.8,"6,082元/平"
金鹗公园旁 三房 业主诚心卖 户型周正,荣盛·金鹗御府 -螺丝港,3室2厅 | 112平米 | 南 | 简装 | 低楼层(共34层)  | 暂无数据,0人关注 / 25天以前发布,86,"7,679元/平"
金鄂公园旁 恒立小区 精装3房52万 带院子,岳阳市恒立经济适用房 -螺丝港,3室2厅 | 93平米 | 南 | 精装 | 低楼层(共5层)  | 暂无数据,0人关注 / 22天以前发布,52,"5,592元/平"
缤纷年华小区，交通，购物，居家好位置。,缤纷年华 -新路口,3室2厅 | 132.78平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 18天以前发布,87.8,"6,613元/平"
中建彩虹阁 精装 三房 采光好 户型周转,中建彩虹阁 -新路口,3室2厅 | 108平米 | 南 北 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 17天以前发布,79.8,"7,389元/平"
南湖广场 岳州帝苑 精装两房 证件满五唯一，接受贷款,晋兴·岳州帝苑 -南湖,2室2厅 | 101平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 16天以前发布,100,"9,901元/平"
精装3+1房装修保养好，采光好，生活很方便,星河国际 -八字门,4室2厅 | 138平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 27天以前发布,102,"7,392元/平"
八字门花园小区 维益家园毛坯三房 户型周正可贷款,中天· 维益家园 -八字门,3室2厅 | 124平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 19天以前发布,70,"5,646元/平"
临湖双拼别墅花园200多平房子,中航云玺 -八字门,5室2厅 | 327.77平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 31天以前发布,1000,"30,510元/平"
此房户型周正，诚心出售，价格实惠，交通方便,六九零六康王工业园小区 -未知商圈,3室2厅 | 96.79平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 31天以前发布,38.7,"3,999元/平"
运通街社区   三房两厅一卫   简单装修,运通街社区 -五里牌,3室2厅 | 83平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 27天以前发布,36,"4,338元/平"
民乐苑 3室2厅 南 北,民乐苑 -鲤鱼嘴社区,3室2厅 | 98平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 17天以前发布,50,"5,103元/平"
朝阳  3房2厅2卫 直接网签 无过户户,尚书佳苑 -花板桥,3室2厅 | 134.62平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 24天以前发布,99.6,"7,399元/平"
物业管理完善，采光良好，物业人员贴心，热情，,田园牧歌 -南湖新区,3室2厅 | 112.99平米 | 南 | 精装 | 高楼层(共16层)  | 暂无数据,0人关注 / 23天以前发布,77.6,"6,868元/平"
滨水翡丽城旁 滨湖新境界两梯两户 大四房,滨湖•新境界 -南湖新区,4室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 21天以前发布,82,"5,735元/平"
青年中路锦城家园精装4房带车位楼层好,锦城嘉园 -新路口,4室2厅 | 151平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 17天以前发布,102,"6,755元/平"
滨水·新境界 3室2厅 南,滨水·新境界 -八字门,3室2厅 | 114.55平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 29天以前发布,99.8,"8,713元/平"
花板桥 配套齐全接受贷款采光好通透 周正看房提前联系,缤纷年华 -新路口,2室2厅 | 103平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 16天以前发布,75,"7,282元/平"
房子证件满2，过户便宜。南湖附件品牌新楼盘,滨水翡丽城 -南湖新区,3室2厅 | 123平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 26天以前发布,85,"6,911元/平"
岳阳楼旁 新世苑 楼梯三房 好楼层 精装修 拎包入住,新世苑 -九华山,3室2厅 | 92.02平米 | 东 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 22天以前发布,71,"7,716元/平"
新辉华府大平层 四室精装含车位160平米双阳台东边户,新輝華府 -八字门,4室2厅 | 160平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 26天以前发布,145,"9,063元/平"
巴陵东路  汇景城  毛坯大三房  视野好 电梯中层,星浩汇景城 -八字门,3室2厅 | 124.61平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 22天以前发布,88,"7,063元/平"
八字门繁华地段永兴佳园精装三房,永兴佳园 -八字门,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 21天以前发布,75,"6,356元/平"
天伦国际 2室2厅 南 北,天伦国际 -五里牌,2室2厅 | 70平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 24天以前发布,78,"11,143元/平"
中航翡翠湾旁  步行读书200米 出门即北港风光带,裕泰·翰林华府 -八字门,3室2厅 | 124.13平米 | 南 | 毛坯 | 中楼层(共14层)  | 暂无数据,0人关注 / 22天以前发布,105,"8,459元/平"
珍珠山 开发区管委会珍珠山小区毛坯 带车库带阁楼,珍珠山小区 -八字门,4室2厅 | 189平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 塔楼,0人关注 / 18天以前发布,136,"7,196元/平"
富兴御城，四室大阳台，视野开阔。,富兴御城 -八字门,4室2厅 | 154.6平米 | 南 | 毛坯 | 低楼层(共8层)  | 暂无数据,0人关注 / 30天以前发布,150,"9,703元/平"
星河国际 4室2厅 南,星河国际 -八字门,4室2厅 | 132平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 19天以前发布,130,"9,849元/平"
中南大市场，银伦世家正对门。可经营旅店，足疗，教育,中南批发交易大市场 -八字门,6室0厅 | 600平米 | 西 | 毛坯 | 低楼层(共1层)  | 暂无数据,0人关注 / 26天以前发布,350,"5,834元/平"
新辉华府  精装三室二厅 户型周正,新輝華府 -八字门,3室2厅 | 132.14平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 26天以前发布,116,"8,779元/平"
书香名邸  临湖而居  览山意境  一线湖光山色,裕泰·翰林华府 -八字门,3室2厅 | 124.13平米 | 南 | 毛坯 | 中楼层(共14层)  | 暂无数据,0人关注 / 21天以前发布,107,"8,620元/平"
现房带冷暖空调！宏润家园精装修 家电齐全拎包入住,宏润家園 -南湖新区,3室2厅 | 120.09平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 22天以前发布,75,"6,246元/平"
恒大南湖半岛 精装大三方 边户 看房方便,恒大南湖半岛 -桥西,3室2厅 | 122平米 | 北 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 19天以前发布,101,"8,279元/平"
小区环境好，散步方便，千亩湖，采光好，湖景房,恒大南湖半岛 -桥西,4室2厅 | 169平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 30天以前发布,140,"8,285元/平"
富兴鹏城 3室2厅 南,富兴鹏城 -八字门,3室2厅 | 97.21平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 19天以前发布,82,"8,436元/平"
八字门富兴景城精装2房优质楼层,富興景城 -八字门,2室2厅 | 90平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 25天以前发布,58,"6,445元/平"
广济医院旁 洞麻三区精装三房 南北通风户型 证齐可贷,洞麻三区 -岳纺,3室2厅 | 102平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 29天以前发布,58,"5,687元/平"
珍珠山 央企翡翠湾 湖景房 诚心出售,中航·翡翠湾 -八字门,3室2厅 | 123.6平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 26天以前发布,125,"10,114元/平"
东升小X旁 全新精装带车位 全屋中 央空调 拎包入住,锦绣华城 -东升社区,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 17天以前发布,99.6,"9,223元/平"
湘岳兰庭 3室2厅 南 北,湘岳兰庭 -新路口,3室2厅 | 142平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 19天以前发布,91,"6,409元/平"
岳阳市经信委家属区 高层三室两厅 满二 小区有院子,岳阳市经信委北院家属区 -步行街,3室2厅 | 119.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,70,"5,848元/平"
七里山二区 三楼 停车方便 物业尽责 居家便利,七里山社区二区 -七里山,2室2厅 | 67.99平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,37.5,"5,516元/平"
七里山步梯2楼简装2房带杂物间,七里山社区四区 -七里山,2室2厅 | 72.76平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,41,"5,635元/平"
天伦城 妇幼旁 单位房 简装三房 证齐可贷,建委家属区 -新路口,3室2厅 | 105平米 | 东 | 简装 | 高楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,43.9,"4,181元/平"
十八中，七里山社区，楼层好，装修保养好，满五唯一,七里山社区一区 -七里山,2室1厅 | 63.22平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,4人关注 / 10个月以前发布,32,"5,062元/平"
新路口 湘岳兰庭 单间 电梯精装修 市妇幼保健院旁,湘岳兰庭 -新路口,1室1厅 | 55.12平米 | 北 | 简装 | 中楼层(共18层)  | 塔楼,2人关注 / 5个月以前发布,41,"7,439元/平"
东风广场梅溪桥市场旁 军招单位房 两房带装修35万,芋头田军招小区 -桥西,2室1厅 | 65.26平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,35,"5,364元/平"
金鄂山  美食街 附  近  证 件 齐全,螺丝港安居工程A区 -螺丝港,3室2厅 | 91.21平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,41,"4,496元/平"
美食街金鄂山 恒立单位房 大两房 两证可贷款 过户便宜,岳阳市恒立经济适用房 -螺丝港,2室2厅 | 91平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,46,"5,055元/平"
湖滨 南湖新区 别墅 边户 两证可贷款 有花园露台车库,洞庭湖国际公馆 -岳阳楼区,3室3厅 | 200平米 | 南 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,8人关注 / 一年前发布,221,"11,050元/平"
广济旁，出让土地，过户便宜，楼层好适合居住,新颜小区 -岳纺,2室1厅 | 67.16平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,40,"5,956元/平"
南湖千亩湖  婚房精装小三房 两证可贷 业主诚心出售,湖景花园 -螺丝港,3室2厅 | 91平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,5人关注 / 一年前发布,72,"7,913元/平"
东升社区两房带装修满五年小区环境好,东升社区 -东升社区,2室1厅 | 69平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,40,"5,798元/平"
路过别错过的好房子，看看就知道耽误不了你几分 钟,螺丝港安居工程A区 -螺丝港,3室2厅 | 88.6平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,48.8,"5,508元/平"
王家河恒大华府旁山水一城精装四房急售接受贷款,山水一城 -冷水铺,4室2厅 | 127.36平米 | 南 北 | 精装 | 高楼层(共33层)  | 平房,3人关注 / 一年前发布,86,"6,753元/平"
"上海如海C市旁 冷水铺路,临街商铺",冷水铺村 -冷水铺,1室2厅 | 89.88平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,148,"16,467元/平"
五里牌，火车站，水利小区，步行街,岳阳市水利水电勘测设计院 -五里牌,3室1厅 | 73平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,34,"4,658元/平"
房子地段好，中间楼层，性价 比高。,岳阳电业局家属区 -五里牌,3室2厅 | 98.4平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,6人关注 / 一年前发布,53,"5,387元/平"
五里牌单位房 中装三房 证齐可贷款 好停车有地下室,五里家园 -五里牌,3室2厅 | 110平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,71,"6,455元/平"
摩登国际 4室2厅 南 北,摩登国际 -五里牌,4室2厅 | 200平米 | 南 北 | 简装 | 高楼层(共21层)  | 塔楼,0人关注 / 4个月以前发布,120,"6,000元/平"
南湖美食街 螺丝港安居工程 中装两房 步梯三楼 可贷款,螺丝港小区 -螺丝港,2室2厅 | 92.3平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,46.8,"5,071元/平"
金鹗公园青年中路炮台山 交通生活方便 配套齐全,岳阳市建筑设计院家属区 -炮台山,2室2厅 | 75平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,4人关注 / 7个月以前发布,37,"4,934元/平"
洞庭湖畔岳阳楼巴陵广场茶巷子简装两室35万急售,茶巷子66号 -桥西,2室1厅 | 55.7平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,33,"5,925元/平"
友阿国际旁 楼梯房 居2楼 温馨3房 证齐可贷,桥头社区 -步行街,3室2厅 | 81.88平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,43.5,"5,313元/平"
东风湖 恒大御景湾 旁 枫桥湖中医院 东风家园带杂物间,东风家园 -岳城,2室2厅 | 90.6平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 8个月以前发布,56,"6,182元/平"
总价低，交通方便，居住适宜，小区停车方便。,紫园小区 -无效,2室1厅 | 63平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,5人关注 / 一年前发布,19,"3,016元/平"
枫桥尚城 精装三房，证齐满两年，采光视野好,枫桥尚城 -岳城,3室2厅 | 117.74平米 | 南 北 | 精装 | 高楼层(共11层)  | 塔楼,2人关注 / 一年前发布,96,"8,154元/平"
南湖单位房 已装电梯 精装大四房 两证可贷杂物间,岳阳广播电视中心家属院 -杨树塘,4室2厅 | 167平米 | 南 | 精装 | 高楼层(共4层)  | 暂无数据,6人关注 / 一年前发布,105,"6,288元/平"
王家河畔东升，锦绣华城电梯精装两房，拎包入住，可贷,锦绣华城 -东升社区,2室2厅 | 86平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,65.8,"7,652元/平"
梅溪桥芋头天社区-满五唯一。出让土地。,芋头田社区 -桥西,2室1厅 | 56.09平米 | 西 | 精装 | 高楼层(共5层)  | 暂无数据,5人关注 / 一年前发布,27,"4,814元/平"
洞庭大道 巴陵石化单位房 精三房 两证可贷款 有杂物间,鹰山社区 -岳城,3室2厅 | 86平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,54,"6,280元/平"
东风湖 恒大御景湾 旁 枫桥湖中医院 东风家园带杂物间,东风家园 -岳城,2室2厅 | 90.6平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 8个月以前发布,56,"6,182元/平"
总价低，交通方便，居住适宜，小区停车方便。,紫园小区 -无效,2室1厅 | 63平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,5人关注 / 一年前发布,19,"3,016元/平"
金中环广场 1室0厅 南 北,金中环广场 -火车站,1室0厅 | 43平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 16天以前发布,33,"7,675元/平"
东风湖 广济医院旁 宝德麓湖旁 岳纺洞麻2房 诚心出售,洞麻二区 -岳纺,2室2厅 | 50.73平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,26.5,"5,224元/平"
天伦城大润发湘隆园小区房屋出售,湘隆园 -天伦城,4室2厅 | 135平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 4个月以前发布,92,"6,815元/平"
白杨坡卡布奇诺，电梯精装大两房诚心出售可贷,德郡•卡布奇诺 -李家冲,2室2厅 | 89平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,1人关注 / 13天以前发布,70,"7,866元/平"
融创环球小区隔壁磨子山精装两房41万拎包直住,岳阳么子山 -桥西,2室2厅 | 62.64平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,40.8,"6,514元/平"
天和园 3室2厅 南,天和园 -齐家岭,3室2厅 | 136.18平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 6个月以前发布,53,"3,892元/平"
中桂园南湖新区电视台 别墅区环境优雅交通便利,中桂园 -南湖新区,5室2厅 | 181.02平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 一年前发布,120,"6,630元/平"
千庙湖旁 南湖区域 南湖天著旁 天马小区 精装修,天马小区 -南湖,4室2厅 | 156.86平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 10个月以前发布,56.8,"3,622元/平"
花板桥  证件齐全 满二  可贷,政通楼 -花板桥,4室2厅 | 179平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,80,"4,470元/平"
通透格局 楼层好 视野宽阔 配套设施齐全 交通便利,万象瑞城 -鲤鱼嘴社区,2室2厅 | 63平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,1人关注 / 7个月以前发布,52,"8,254元/平"
王家河东城小 学 精装四房 杂物间 两证可贷款 随时看,亮山花园 -八字门,4室2厅 | 167.28平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 一年前发布,98,"5,859元/平"
八字门中天维益家园 毛坯大三房 证满两年  随时可签,中天· 维益家园 -八字门,3室2厅 | 124.27平米 | 南 | 毛坯 | 低楼层(共26层)  | 塔楼,0人关注 / 一年前发布,76,"6,116元/平"
南湖广场岳州帝苑大三房单价仅八千出头,晋兴·岳州帝苑 -南湖,3室2厅 | 135平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,6人关注 / 一年前发布,105,"7,778元/平"
南湖国家电网单位房2-2-1-1 92.32m² 72 万,南湖国家电网单位房 -南湖,2室2厅 | 92.32平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,58.5,"6,337元/平"
十五中珍珠山附 近精装修大两房电梯房 优价出售 ！,东郡首府 -八字门,2室2厅 | 86.87平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,1人关注 / 一年前发布,86,"9,900元/平"
八字门天邦珍珠湾精装电梯两房两厅可拎包入住,天邦珍珠湾 -八字门,2室2厅 | 90平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 7个月以前发布,79,"8,778元/平"
湖滨单位小区 赶山路 碧桂园 田园牧歌,田园牧歌 -南湖新区,3室2厅 | 115.39平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,3人关注 / 一年前发布,58,"5,027元/平"
洛王冷水铺长动社区好楼层两房可贷款,长动社区 -冷水铺,2室1厅 | 66平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,32,"4,849元/平"
八字门园林小区，电梯精装两房，拎包入住，满2,天邦·钻石山 -八字门,2室2厅 | 90平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 10天以前发布,62,"6,889元/平"
