标题,开发商,房子信息,发布信息,售价/万,单价
攀大学院旁两室电梯房朝小区中庭出行出售,龙箐花园小区 -九附二+九附六,2室1厅 | 85平米 | 东 南 西北 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 2天以前发布,32.8,"3,859元/平"
精装海德堡4室双卫诚心出售，看房方便,海德堡 -炳三区,4室2厅 | 133平米 | 南 北 | 精装 | 中楼层(共32层)  | 暂无数据,2人关注 / 10个月以前发布,108,"8,121元/平"
竹湖园湖光小区精装3室，保持好，出行方便,湖滨路30号 -竹湖园,3室2厅 | 147平米 | 东南 | 精装 | 高楼层(共10层)  | 暂无数据,0人关注 / 一年前发布,47,"3,198元/平"
华芝精装 一楼带花园 看房方便,华芝安置房 -仁和区,3室2厅 | 89.82平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,50,"5,567元/平"
金瓯广场出行方便，户型方正居住舒适,云锦金瓯广场 -九附二+九附六,3室2厅 | 139.6平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,107,"7,665元/平"
瓜子坪街精装三室两厅精美装修诚心出售,瓜子坪街85号 -瓜子坪,3室2厅 | 101平米 | 东南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,33,"3,268元/平"
怡景阳光四室带花园 户型通透 成熟地段,怡景阳光小区 -仁和区,4室2厅 | 142.26平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,150,"10,545元/平"
南山花园 精装大套四 低楼层 拎包入住 带花园,南山花园 -南山,4室3厅 | 123.5平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,55,"4,454元/平"
普达套三双卫带50多平花园户型好结构方正,康和南苑 -仁和区,3室2厅 | 111平米 | 东南 | 毛坯 | 中楼层(共4层)  | 暂无数据,3人关注 / 一年前发布,110,"9,910元/平"
火车南站三室清水出售 近公园 近市场,金泰观澜湾 -仁和区,3室2厅 | 115.78平米 | 东南 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,72,"6,219元/平"
天星湖旁套三精装房出售出行方便,香榭丽都一期 -仁和区,3室2厅 | 126平米 | 东北 | 精装 | 低楼层(共26层)  | 暂无数据,6人关注 / 一年前发布,68,"5,397元/平"
东区梨园祥楼上套四出售出行方便,冶建大厦 -电影院+中心广场,4室2厅 | 148.17平米 | 东南 | 简装 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,52,"3,510元/平"
仁和广场旁春天花园套三住房出售 出行很方便,春天花园 -仁和区,3室2厅 | 128平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,79,"6,172元/平"
香榭丽都简装三室，房东换房，诚心出售,香榭丽都一期 -仁和区,3室2厅 | 97平米 | 东南 | 简装 | 高楼层(共23层)  | 塔楼,1人关注 / 一年前发布,46,"4,743元/平"
五十一精装三室，视野开阔，采光优越。,攀枝花市公路养护管理总段二期经济适用房 -仁和区,3室2厅 | 102平米 | 东南 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,40,"3,922元/平"
九号公馆 3室2厅 东南,九号公馆 -仁和区,3室2厅 | 103.54平米 | 东南 | 精装 | 高楼层(共27层)  | 塔楼,2人关注 / 一年前发布,126,"12,170元/平"
此房满五唯一 无贷款没有债务纠纷，好交易,海德堡 -炳三区,3室2厅 | 113平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 7个月以前发布,80,"7,080元/平"
曼哈顿精装3室 全新装修 交通便利 配套齐全,曼哈顿 -电影院+中心广场,3室2厅 | 127平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 10个月以前发布,74,"5,827元/平"
沃尔玛机场路口次新精装三室电梯房户型方正出行方便,华芝中央铭城 -电影院+中心广场,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共22层)  | 暂无数据,0人关注 / 11个月以前发布,105,"9,131元/平"
炳二区 三中旁万达旁 精装四室 配套成熟,三中电梯公寓 -九附二+九附六,4室2厅 | 179平米 | 东南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 9个月以前发布,62,"3,464元/平"
西海岸精装三室带家具家电齐全价格小刀,民众巷27号 -电影院+中心广场,3室2厅 | 98.56平米 | 东南 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 4个月以前发布,39,"3,957元/平"
房子满五年，家具家电齐全，保持比较新,金海泊林郡 -九附二+九附六,3室2厅 | 110平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 4个月以前发布,58,"5,273元/平"
东区万达旁九附二，精装修四室，随时看房,阳光骊景 -九附二+九附六,4室2厅 | 160平米 | 东南 | 精装 | 低楼层(共12层)  | 暂无数据,1人关注 / 2个月以前发布,68,"4,250元/平"
东区南博湾精装套三，业主诚心出售，户型方正生活便利,南博湾 -电影院+中心广场,3室2厅 | 110平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,43,"3,910元/平"
瓜子坪精致两室，户型方正，南北通透采光好诚心出售。,雅竹苑 -瓜子坪,3室1厅 | 85.35平米 | 东南 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,22,"2,578元/平"
上城精装两室 电梯房出售拎包入住,麓苑 -仁和区,2室2厅 | 89平米 | 西南 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,70,"7,866元/平"
东区经济适用房，房子交易金额不算高。,东风景秀 -瓜子坪,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共23层)  | 暂无数据,0人关注 / 11个月以前发布,36,"3,429元/平"
上城景苑三室双卫 户型方正 朝向好 楼层好,上城景苑 -仁和区,3室2厅 | 106平米 | 东南 | 毛坯 | 低楼层(共24层)  | 暂无数据,0人关注 / 7个月以前发布,70,"6,604元/平"
金泰公园大地 3室2厅 西南 西,金泰公园大地 -炳三区,3室2厅 | 103平米 | 西南 西 | 毛坯 | 高楼层(共29层)  | 暂无数据,4人关注 / 一年前发布,70,"6,797元/平"
富麒家园三室两厅出售价格美丽诚心可谈,富麒家园 -九附二+九附六,3室2厅 | 152平米 | 东南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,65,"4,277元/平"
户型方正 是大户型 适合人多居住。配套设施齐全。,阳光水岸 -米易县,3室2厅 | 126.45平米 | 东 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,85,"6,723元/平"
炳三区稀有别墅 朝南 带180平大花园 房东诚心出售,恒大城 -炳三区,3室1厅 | 151平米 | 南 | 毛坯 | 低楼层(共2层)  | 暂无数据,6人关注 / 一年前发布,240,"15,895元/平"
龙阳丽园精装套三可以分成两套适合投 资,龙阳丽园 -米易县,3室2厅 | 121平米 | 东南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 9个月以前发布,82.8,"6,843元/平"
仁和区金科新小区 户型好 板式楼  视野宽 看房方便,金科集美阳光二期 -仁和区,3室2厅 | 111.87平米 | 东南 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 6个月以前发布,75,"6,705元/平"
炳三区  菩提苑 精装4室 环境好 空气好 公园里好房子,菩提苑 -炳三区,4室2厅 | 126平米 | 东南 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,126,"10,000元/平"
曼哈顿中间楼层精装三室家具家电齐全拎包入住,曼哈顿 -电影院+中心广场,3室2厅 | 106平米 | 西北 | 简装 | 中楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,49.8,"4,699元/平"
仁和 河景房 精装别墅 出行方便 交通便利 配套成熟,上海花园 -仁和区,4室3厅 | 240平米 | 东南 | 精装 | 低楼层(共2层)  | 暂无数据,3人关注 / 10个月以前发布,273,"11,375元/平"
图书馆家属楼 2室2厅 南,图书馆家属楼 -电影院+中心广场,2室2厅 | 88平米 | 南 | 精装 | 低楼层(共10层)  | 暂无数据,1人关注 / 一年前发布,48,"5,455元/平"
临 金 瓯 沃 尔 玛， 低价出售,鸿福巷1号 -九附二+九附六,2室2厅 | 83平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,36,"4,338元/平"
金域阳光精装三室带车位出售 装修保持九成新出行便利,金域阳光 -炳三区,3室2厅 | 81.81平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 7个月以前发布,78,"9,535元/平"
炳二区三中电梯公寓精装三室双卫带车位好房出售,三中电梯公寓 -九附二+九附六,3室2厅 | 120平米 | 东南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 5个月以前发布,70,"5,834元/平"
花城新区 品质洋房 港式横厅 毛坯4室 环境优美,高宇御峰 -仁和区,3室2厅 | 133平米 | 东南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 8个月以前发布,103,"7,745元/平"
望江苑三室两厅两卫，此房满五不唯一，户型采光好,望江苑 -电影院+中心广场,4室2厅 | 154平米 | 东南 | 精装 | 高楼层(共12层)  | 暂无数据,0人关注 / 7个月以前发布,52,"3,377元/平"
炳三区阳城龙庭清水三室房东诚心,阳城龙庭 -九附二+九附六,3室2厅 | 122平米 | 南 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,75,"6,148元/平"
金海世纪城四期精装修四室南北通透,金海世纪城 -炳三区,4室2厅 | 139平米 | 东南 | 精装 | 中楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,140,"10,072元/平"
房子满五唯一 精装房 小区环境优美 出行方便,银泰城泰悦居 -仁和区,3室2厅 | 121平米 | 南 | 精装 | 中楼层(共34层)  | 暂无数据,0人关注 / 10个月以前发布,76,"6,281元/平"
金瓯 万象城 沃尔玛 一梯一户 三室两厅 出售,长途通信传输局家属院 -九附二+九附六,3室2厅 | 113平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 10个月以前发布,45,"3,983元/平"
五医院旁边电梯房精装3室2厅 近竹湖园 近菜市场,攀研院生活区 -电影院+中心广场,3室2厅 | 117平米 | 东南 | 简装 | 中楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,48,"4,103元/平"
沃尔玛，春熙路，竹湖园，转干楼，竹湖萃苑,竹湖翠苑 -竹湖园,2室2厅 | 80平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 11个月以前发布,52,"6,500元/平"
九附六邮政小区绿洲佳苑三室两厅出售,绿洲佳苑 -九附二+九附六,3室2厅 | 100平米 | 南 北 | 简装 | 高楼层(共8层)  | 平房,0人关注 / 10个月以前发布,38,"3,800元/平"
东风景秀 套三精装 大户型  保持良好 拎包入住,东风景秀 -瓜子坪,3室2厅 | 102平米 | 东南 | 简装 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,45,"4,412元/平"
元亨家属楼，三室110平，35万房东急售,攀枝花大道中段74号 -瓜子坪,3室2厅 | 111.89平米 | 东南 | 精装 | 高楼层(共10层)  | 暂无数据,0人关注 / 8个月以前发布,32,"2,860元/平"
碧桂园大板房一梯两户通透户型视野好精装房,碧桂园桃源 -仁和区,3室2厅 | 120.42平米 | 东南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 一年前发布,90,"7,474元/平"
银泰套四全新精装修  未入住 看房方便,银泰城泰悦居 -仁和区,4室2厅 | 127.7平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,123,"9,632元/平"
仁和城中套二精装房家具家电齐全 看房方便,银泰城泰悦居 -仁和区,2室2厅 | 83平米 | 东南 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,59,"7,109元/平"
金科套三 洋房带大花园 看房方便,金科集美阳光一期 -仁和区,3室2厅 | 109平米 | 东南 | 毛坯 | 低楼层(共10层)  | 暂无数据,1人关注 / 一年前发布,122,"11,193元/平"
阳城龙庭小区4室2厅交通便利小区环境干净舒适适合居住,阳城龙庭 -九附二+九附六,4室2厅 | 128平米 | 南 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,88,"6,875元/平"
五医院旁金晨苑。。。。。。。。,金晨苑 -竹湖园,3室2厅 | 126平米 | 南 | 精装 | 高楼层(共10层)  | 暂无数据,1人关注 / 4个月以前发布,49,"3,889元/平"
四季花城精装跃层 商圈成熟 户型方正,四季花城 -仁和区,4室2厅 | 144平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,46,"3,195元/平"
较低投入，高收获的小高层康养好房,南山花园 -南山,3室2厅 | 103平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,35.2,"3,418元/平"
竹雅巷四号，交通便利，公摊面积小,竹雅巷4号 -竹湖园,3室2厅 | 113平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,50,"4,425元/平"
炳三区 三中 攀大 万达旁  金海花溪谷 出行方便,金海花溪谷 -九附二+九附六,3室2厅 | 125平米 | 东南 南 | 精装 | 低楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,88,"7,040元/平"
竹湖园精装三室 拎包入住 看房方便,江山里 -竹湖园,3室2厅 | 106平米 | 东南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,54,"5,095元/平"
炳三区42中小正对3房2厅双卫诚心出售价格可谈,金泰金碧天下 -炳三区,3室2厅 | 106平米 | 东 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,87,"8,208元/平"
竹湖园老市委一梯一户大四室电梯房，户型方正采光好,湖水巷14号 -竹湖园,4室2厅 | 169平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,60,"3,551元/平"
新宏国际精装6室顶跃带楼顶花园带车位家具家电齐全,新宏国际社区 -九附二+九附六,6室2厅 | 186平米 | 南 | 精装 | 高楼层(共24层)  | 暂无数据,0人关注 / 8个月以前发布,133,"7,151元/平"
攀枝花精装，万象城，沃尔玛，竹湖园，攀大附院,开明苑 -九附二+九附六,2室2厅 | 97平米 | 东南 | 简装 | 中楼层(共10层)  | 暂无数据,0人关注 / 3个月以前发布,36,"3,712元/平"
竹湖园沃尔玛金瓯中 央铭城精装修三室拎包入住,华芝中央铭城 -电影院+中心广场,3室2厅 | 127平米 | 南 北 | 精装 | 中楼层(共22层)  | 暂无数据,0人关注 / 6个月以前发布,106,"8,347元/平"
九号公馆，房产证还没办理，户型方正，朝中庭。,九号公馆 -仁和区,3室2厅 | 103平米 | 西南 | 毛坯 | 低楼层(共24层)  | 暂无数据,1人关注 / 一年前发布,64,"6,214元/平"
良金大厦、四室两厅双卫、各项配套齐全、简装、电梯房,良金大厦 -九附二+九附六,4室2厅 | 154平米 | 东北 | 简装 | 中楼层(共11层)  | 暂无数据,1人关注 / 7个月以前发布,55,"3,572元/平"
元亨家具建材市场家属楼，房东急售，25万,攀枝花大道中段74号 -瓜子坪,4室1厅 | 128平米 | 东 | 精装 | 高楼层(共10层)  | 暂无数据,0人关注 / 8个月以前发布,25,"1,954元/平"
此房没有交契税更名，出户型方正，居住舒适,攀商首院 -炳三区,3室2厅 | 115平米 | 东南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 8个月以前发布,77.1,"6,705元/平"
华山1楼商品房套三，房屋空置，成心出售，户型好,市中心医院小区 -华山,3室2厅 | 114平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,36,"3,158元/平"
金沙阳光洋房带花园看房有钥匙房东诚心出售,金沙阳光 -仁和区,3室2厅 | 96平米 | 东 | 毛坯 | 低楼层(共10层)  | 暂无数据,0人关注 / 7个月以前发布,73,"7,605元/平"
沃尔玛楼上精装三室  房子视野开阔  生活方便,云锦金瓯广场 -九附二+九附六,3室2厅 | 132平米 | 东南 | 精装 | 低楼层(共28层)  | 暂无数据,1人关注 / 6个月以前发布,72,"5,455元/平"
起辰花园 证件齐全 环境优美 出行方便,起辰和瑞广场 -仁和区,3室2厅 | 92平米 | 东南 | 精装 | 中楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,42,"4,566元/平"
仁和海景房高铁站旁观澜湾套三清水房出售,金泰观澜湾 -仁和区,3室2厅 | 95平米 | 南 北 东北 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,65,"6,843元/平"
南山花园一楼带大花园 适合居家理想之地,南山花园 -南山,3室2厅 | 94.98平米 | 西北 | 精装 | 低楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,48,"5,054元/平"
五十四精装三室 中间楼层 商圈成熟,互通路58号 -仁和区,3室2厅 | 117平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,42,"3,590元/平"
悦山府三期三室诚心出售，欢迎咨询！,恒邦双林悦山府三期 -仁和区,3室2厅 | 98平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 7个月以前发布,80,"8,164元/平"
印象马德里精装大三室房东诚心出售。,印象马德里 -九附二+九附六,3室2厅 | 143平米 | 东南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 9个月以前发布,85,"5,945元/平"
通透性强，居住舒适。印象套四，房东诚心出售,河滨印象 -米易县,4室2厅 | 123平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,123,"10,000元/平"
大户型 精装修 海棠花语 拎包入住,海棠花语 -米易县,3室2厅 | 120平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 5个月以前发布,85.8,"7,150元/平"
河滨印象精装套三低楼层，户型方正,河滨印象 -米易县,3室2厅 | 122.62平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,120,"9,787元/平"
户型方正实用，格局分布合理，通透性强，,阳光水岸 -米易县,3室2厅 | 109.51平米 | 南 北 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,78,"7,123元/平"
君临江山小高层精装三室 楼层居中视野开阔 出行方便,君临江山 -九附二+九附六,3室2厅 | 133.63平米 | 东 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 11个月以前发布,100,"7,484元/平"
印象马德里精装套四，户型好，小区环境优美，适合居家,印象马德里 -九附二+九附六,4室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 一年前发布,82,"6,508元/平"
起辰两室基装 证件齐全 户型方正 采光好,起辰和瑞广场 -仁和区,2室1厅 | 76.26平米 | 东南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,34,"4,459元/平"
仁和 宝灵小区 精装套三 随时可看,宝灵小区政府家属楼 -仁和区,3室2厅 | 120.7平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,47,"3,894元/平"
君临江山小高层精装三室 楼层居中视野开阔 出行方便,君临江山 -九附二+九附六,3室2厅 | 133.63平米 | 东 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 11个月以前发布,100,"7,484元/平"
起辰两室基装 证件齐全 户型方正 采光好,起辰和瑞广场 -仁和区,2室1厅 | 76.26平米 | 东南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,34,"4,459元/平"
炳三区帝景华庭 42中小旁 精装套三 带车位保持九成。,远达帝景华廷 -炳三区,3室2厅 | 97.44平米 | 东南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,101,"10,366元/平"
和苑小区精装三室 带露台 低楼层 看房方便,和苑小区 -仁和区,3室2厅 | 131平米 | 东南 | 精装 | 中楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,90,"6,871元/平"
炳三区时代天街 一楼125平三室双卫可底商,龙发时代天街 -炳三区,3室2厅 | 125平米 | 南 | 简装 | 低楼层(共26层)  | 板楼,1人关注 / 一年前发布,82,"6,560元/平"
水岸沙湾 电梯精装大套三 带60平楼顶花园 带车位,水岸沙湾 -仁和区,3室2厅 | 96平米 | 东南 | 精装 | 高楼层(共14层)  | 暂无数据,1人关注 / 一年前发布,87,"9,063元/平"
银泰泰悦居 电梯精装大套三 户型方正 采光好 朝中庭,银泰城泰悦居 -仁和区,3室2厅 | 98平米 | 东南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,75,"7,654元/平"
此房精装三室，特大客厅，布局合理，可直接拎包入住。,攀枝花大道中段316号 -五十四,3室2厅 | 107平米 | 东南 | 精装 | 高楼层(共9层)  | 暂无数据,1人关注 / 7个月以前发布,33,"3,085元/平"
仁和 宝灵小区 精装套三 随时可看,宝灵小区政府家属楼 -仁和区,3室2厅 | 120.7平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,47,"3,894元/平"
仁和 起辰 精装套三全屋品牌家具家电 随时可看,起辰和瑞广场 -仁和区,3室2厅 | 99.72平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,2人关注 / 一年前发布,53,"5,315元/平"
炳三区奥林匹克精装三室 带车位 四十中小 出行方便,奥林匹克花园 -炳三区,3室2厅 | 104.6平米 | 东南 | 精装 | 低楼层(共29层)  | 暂无数据,1人关注 / 一年前发布,65,"6,215元/平"
东区华山国贸大厦电梯房 复式 拎包入住,国贸大厦 -华山,4室2厅 | 134平米 | 东 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,68,"5,075元/平"
菩提苑 电梯大套三 车位打包一起卖 康养小区 配套齐全,菩提苑 -炳三区,3室2厅 | 126.5平米 | 东南 | 毛坯 | 高楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,90,"7,115元/平"
曼哈顿 3室2厅 西 西南,曼哈顿 -电影院+中心广场,3室2厅 | 130平米 | 西 西南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,75,"5,770元/平"
仁和五十一精装4室出行方便生活舒适,华美巷31号 -仁和区,4室2厅 | 150平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,60,"4,000元/平"
仁和 上城二期  精装四室大户型随时过户,澜苑 -仁和区,4室2厅 | 137平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 一年前发布,150,"10,949元/平"
湖光小区精装三室 出行交通方便 户型方正,桃源街84号 -电影院+中心广场,3室2厅 | 138平米 | 西南 | 精装 | 中楼层(共12层)  | 暂无数据,0人关注 / 一年前发布,46,"3,334元/平"
通湖巷精装修三室拎包入住业主急售,通湖巷 -竹湖园,3室2厅 | 84平米 | 南 北 | 简装 | 高楼层(共10层)  | 暂无数据,1人关注 / 10个月以前发布,32,"3,810元/平"
仁和区南山紫竹苑，三室两厅一卫出售,南山花园 -南山,3室2厅 | 104.45平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,36,"3,447元/平"
水岸沙湾清水三室 地势平坦 户型方正 出行方便,水岸沙湾 -仁和区,3室2厅 | 129.1平米 | 东南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,90,"6,972元/平"
仁和 峻岭天下 精装三室 一楼带花园带小鱼塘 出行方便,峻岭天下 -仁和区,3室2厅 | 84平米 | 东南 | 精装 | 低楼层(共24层)  | 暂无数据,1人关注 / 一年前发布,73,"8,691元/平"
竹湖园 电梯房 湖光小区  出行方便，位置好,湖滨路30号 -竹湖园,3室2厅 | 144平米 | 南 北 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 一年前发布,61,"4,237元/平"
联谊大厦 3室2厅 南,联谊大厦 -电影院+中心广场,3室2厅 | 143平米 | 南 | 精装 | 高楼层(共15层)  | 暂无数据,0人关注 / 6个月以前发布,52,"3,637元/平"
炳草岗和谐御林精装三室 视野开阔出行方便 配套齐全,和谐御林 -仁和区,3室2厅 | 99平米 | 东南 | 精装 | 高楼层(共19层)  | 暂无数据,0人关注 / 一年前发布,69,"6,970元/平"
炳三区 三中旁 攀大家属楼  顶楼带花园出售,攀大家属区 -九附二+九附六,4室2厅 | 120平米 | 东南 南 | 简装 | 高楼层(共10层)  | 暂无数据,1人关注 / 一年前发布,45,"3,750元/平"
仁和广场，套三精装，采光好，装修保持好。,浩远兰庭 -仁和区,3室2厅 | 117平米 | 东南 | 精装 | 低楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,96,"8,206元/平"
渡口大桥旁攀钢干部楼电梯101平米三室28.8万精装修,攀钢大道中段 -瓜子坪,3室2厅 | 101.05平米 | 东南 | 精装 | 中楼层(共14层)  | 暂无数据,7人关注 / 一年前发布,24,"2,376元/平"
竹湖园 公园旁 低楼层 三室 出售,竹雅巷3号 -竹湖园,3室2厅 | 100平米 | 东南 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,43,"4,300元/平"
河滨印象套五大户型，双卫，能读书，,河滨印象 -米易县,5室2厅 | 167平米 | 北 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,128,"7,665元/平"
中海外迷易森林 就读 一 小西 校区 交通便利位置好,中海外迷易森林 -米易县,3室2厅 | 89.15平米 | 东南 | 毛坯 | 中楼层(共31层)  | 塔楼,0人关注 / 一年前发布,68,"7,628元/平"
带楼顶花园 性 价 比 高的精装采光通透好房,攀枝花大道中段800号 -五十四,3室2厅 | 102平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,39.8,"3,902元/平"
和苑小区好户型出售 小区平靠河边 精装修拎包入住,和苑小区 -仁和区,3室2厅 | 127平米 | 东南 | 精装 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,68,"5,355元/平"
江山里 3室2厅 南,江山里 -竹湖园,3室2厅 | 106平米 | 南 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 6个月以前发布,51,"4,812元/平"
东区沃尔玛旁竹湖园竹湖翠苑 三室双卫通透大户型,竹湖翠苑 -竹湖园,3室2厅 | 142平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,63,"4,437元/平"
金泰观澜湾 毛坯3室2厅双卫  河景房,金泰观澜湾 -仁和区,3室2厅 | 109.02平米 | 东南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,75,"6,880元/平"
成熟小区 停车方便 拎包入住 交通方便,倮果花园东院 -瓜子坪,3室2厅 | 103平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 10个月以前发布,24,"2,331元/平"
府城路 套四 电梯带车位 价格美丽 随时看房 双证齐全,府城路61号 -米易县,4室2厅 | 146平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,100,"6,850元/平"
龙阳丽园精装套三家具家齐全交通便利,龙阳丽园 -米易县,3室2厅 | 119.22平米 | 西南 | 精装 | 低楼层(共26层)  | 塔楼,0人关注 / 一年前发布,98,"8,221元/平"
双 学 区精装套四带电梯的家具家电齐全,和润华庭 -米易县,4室2厅 | 112.66平米 | 东 西 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,105,"9,321元/平"
炳三区学府花园顶楼跃层带花园带车位四十中小实木家具,金海学府花园 -炳三区,5室2厅 | 168平米 | 东南 | 精装 | 高楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,180,"10,715元/平"
华芝御景城精装三房，横厅设计 诚心出售，品牌家电。,华芝御景城御苑一二期 -仁和区,3室2厅 | 122平米 | 东北 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 一年前发布,90,"7,378元/平"
