标题,开发商,房子信息,发布信息,售价/万,单价
户型好正宗4室2厅2卫 朝南 正对中庭 装修保存完好,春天印象北区 -城北,4室2厅 | 132.76平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 4天以前发布,122.5,"9,228元/平"
1.业主换房，诚意出售，价位可议。 2.看房提前联系，,龙院 -广汉市,4室2厅 | 288.88平米 | 南 | 精装 | 3层  | 板楼,4人关注 / 一年前发布,260,"9,001元/平"
品质别墅区，住户综合素质高，小区为刷卡进入,江南印象 -广汉市,5室2厅 | 246平米 | 东南 | 毛坯 | 低楼层(共3层)  | 板楼,49人关注 / 一年前发布,95,"3,862元/平"
广油苑新区 电梯顶跃 小高层 业主诚心卖 价格可谈,广油苑 -广汉市,5室3厅 | 229平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,17人关注 / 一年前发布,76,"3,319元/平"
急售 玉泉片区五室，中间楼层拎包入住 佛山街一段37号,佛山街一段37号 -玉泉,5室2厅 | 194平米 | 东南 | 简装 | 中楼层(共4层)  | 暂无数据,7人关注 / 一年前发布,69.5,"3,583元/平"
德阳市市中XIN地段烟草公司宿舍大平层大套四低价格,烟草公司宿舍 -旌东,4室2厅 | 128.6平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,51,"3,966元/平"
月明风清是老城区便利的一个小区,月明风清 -广汉市,5室2厅 | 224.43平米 | 东 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,120,"5,347元/平"
公园河景房 电梯中层精装大内跃,金雁明珠 -广汉市,5室2厅 | 263平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 7个月以前发布,218,"8,289元/平"
翠湖路武警家属院 4室2厅 东南,翠湖路武警家属院 -旌东,4室2厅 | 175平米 | 东南 | 简装 | 中楼层(共6层)  | 塔楼,1人关注 / 6个月以前发布,78,"4,458元/平"
上水湾中式风挑高客厅跃层带花园,上水湾 -黄河片区,5室3厅 | 263.8平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,35人关注 / 一年前发布,273,"10,349元/平"
品质别墅区，住户综合素质高，小区为刷卡进入,江南印象 -广汉市,5室2厅 | 246平米 | 东南 | 毛坯 | 低楼层(共3层)  | 板楼,49人关注 / 一年前发布,95,"3,862元/平"
老证，六跃七，带花园，有车位，居住舒适,御庭苑B区 -旌东,4室2厅 | 187平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,17人关注 / 一年前发布,110,"5,883元/平"
电信广场旁  旌湖佳苑B区 房东诚心出售,旌湖佳苑B区 -旌东,4室2厅 | 179平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,134,"7,487元/平"
天湖街16号 4室2厅 南,天湖街16号 -玉泉,4室2厅 | 175.75平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,80,"4,552元/平"
房东诚心出售，有意者请联系，，,教师新村 -城北,2室1厅 | 58.67平米 | 东 | 其他 | 高楼层(共7层)  | 板塔结合,13人关注 / 一年前发布,18,"3,069元/平"
城北品质楼盘，环境舒适，南北通透,万兴一品 -广汉市,3室2厅 | 116.5平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 6个月以前发布,103,"8,842元/平"
五室两厅 户型方正 空间舒适 尽享品质生活,剑桥城 -绵竹市,5室2厅 | 119平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 11个月以前发布,63,"5,295元/平"
春天印象三室两厅双卫，户型方正，环境优美交通便利,春天印象北区 -城北,3室2厅 | 120.96平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,7人关注 / 一年前发布,101.9,"8,425元/平"
精装修 可拎包入住 家电齐全 户型方正,银杏华庭 -绵竹市,3室2厅 | 156平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,78,"5,000元/平"
房子老证  顶跃带花园   格局通透,中亚水岸花都 -五洲广场,3室4厅 | 168.49平米 | 东 南 | 精装 | 高楼层(共6层)  | 板楼,21人关注 / 一年前发布,122,"7,241元/平"
丽阳天下 4室2厅 南 北,丽阳天下 -五洲广场,4室2厅 | 161.6平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,4人关注 / 5个月以前发布,91,"5,632元/平"
单位房，带车库，带储存室，南北通透，好位置,金地花苑 -玉泉,5室3厅 | 223.98平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,128,"5,715元/平"
北辰观山水精装两室老证户型方正居住舒服,北辰观山水 -城北,2室2厅 | 94.6平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,3人关注 / 一年前发布,79.8,"8,436元/平"
城南雍锦坊精装房，套三，急售，满二低税,雍锦坊 -广汉市,3室2厅 | 115.4平米 | 南 | 精装 | 中楼层(共15层)  | 板塔结合,0人关注 / 7个月以前发布,68,"5,893元/平"
顶楼带花园  房产证208.49平  实际使用面积有450左右,流星花园 -绵竹市,5室3厅 | 208.49平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,78,"3,742元/平"
精装5房，老证空户带产权车位一起打包，品质看小区里,旌城一品 -黄河片区,5室2厅 | 185平米 | 南 北 | 精装 | 中楼层(共32层)  | 平房,0人关注 / 1个月以前发布,248,"13,406元/平"
电梯洋房区，域书香氛围浓厚，套四改善型家庭必备,剑桥城 -绵竹市,4室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 10个月以前发布,59.8,"5,068元/平"
旌城一品五室精装修跃层带大套房,旌城一品 -黄河片区,5室3厅 | 184平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,3人关注 / 一年前发布,292,"15,870元/平"
绵竹碧桂园 碧桂园中国地产三强,碧桂园·绵竹首府 -绵竹市,4室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,2人关注 / 10个月以前发布,81,"6,329元/平"
黄河片区，改善型跃层套四，庐山路小,地王豪庭 -黄河片区,4室2厅 | 210平米 | 东南 | 毛坯 | 高楼层(共30层)  | 板楼,11人关注 / 一年前发布,200,"9,524元/平"
北公园长富花园  4室 带大花园,长富花园 -城北,4室3厅 | 189平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,115,"6,085元/平"
东电一生活区  多层小区   ，房东诚心出售,东电一生活区 -城北,2室2厅 | 78平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,18人关注 / 一年前发布,38,"4,872元/平"
桂冠景城   精装老证  跃层带屋顶花园,桂冠景城 -玉泉,5室2厅 | 192平米 | 东 | 简装 | 高楼层(共6层)  | 塔楼,4人关注 / 一年前发布,89.8,"4,678元/平"
新城洋房，带平台花园，拎包入住,剑桥城 -绵竹市,4室2厅 | 117平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,2人关注 / 5个月以前发布,108,"9,231元/平"
今日家园 5室2厅 南 北,今日家园 -绵竹市,5室2厅 | 182.91平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 6个月以前发布,52,"2,843元/平"
城北电梯 带露台花园 高铁新区 新二中旁 怡警花园,怡警花园南区 -高铁新区,2室2厅 | 100.3平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,2人关注 / 一年前发布,64,"6,381元/平"
东泰翡翠郡清水套三对中庭采光好户型方正,东泰翡翠郡 -广汉市,3室1厅 | 103平米 | 南 | 毛坯 | 高楼层(共25层)  | 塔楼,8人关注 / 一年前发布,60,"5,826元/平"
户型方正 视野开阔 全新精装 带品牌家具家电,旌城一品 -黄河片区,3室1厅 | 88平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,88,"10,000元/平"
满五空户精装150万经典内跃，双车位促藏室一起卖,旌城一品 -黄河片区,4室2厅 | 185平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,5人关注 / 一年前发布,265,"14,325元/平"
东泰翡翠郡清水套三对中庭采光好户型方正,东泰翡翠郡 -广汉市,3室1厅 | 103平米 | 南 | 毛坯 | 高楼层(共25层)  | 塔楼,8人关注 / 一年前发布,60,"5,826元/平"
钻石品质，进口装修，正在的品质欢迎鉴赏！！！,旌城一品 -黄河片区,5室2厅 | 184平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 一年前发布,286,"15,544元/平"
金雁苑 2室2厅 南,金雁苑 -广汉市,2室2厅 | 126.9平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,3人关注 / 2个月以前发布,18,"1,419元/平"
东山美庐墅城 6室2厅 南 北,东山美庐墅城 -旌阳区,6室2厅 | 209平米 | 南 北 | 精装 | 3层  | 板塔结合 | 联排别墅 ,3人关注 / 5个月以前发布,386,"18,469元/平"
城北 高铁新区 精装怡警花园 拎包入住 老证,怡警花园南区 -高铁新区,3室2厅 | 117.5平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,8人关注 / 一年前发布,65,"5,532元/平"
市区  西外街  标准三室两厅两卫   可拎包入住,四川核工业地质局二八二大队西外小区 -文庙,3室2厅 | 110平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,56.8,"5,164元/平"
东电简装两室，低总价！拎包入住！,东方太行山住宅区 -东电生活区,2室1厅 | 67平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,26,"3,881元/平"
此房为二室，房间宽敞明亮，视野开阔，交通方便，老证,钟山街117附4号 -文庙,2室2厅 | 63.5平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,42人关注 / 一年前发布,25,"3,938元/平"
此房户型方正， 采光好通风好，视野宽阔,上河苑小区 -城北,2室2厅 | 92.3平米 | 南 | 其他 | 高楼层(共6层)  | 塔楼,1人关注 / 一年前发布,45,"4,876元/平"
此房是老证，好楼层老少皆宜，居家风格，简约风,CLD未来城 -五洲广场,4室2厅 | 141.92平米 | 东南 | 简装 | 低楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,102.8,"7,244元/平"
城北教师新村。出门就是河边。户型方正，采光好,教师新村 -城北,3室2厅 | 124平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,50,"4,033元/平"
文庙广场附 近  中间楼层 大套三双卫  小区停车方便,文庙小区 -文庙,3室2厅 | 143.78平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,10人关注 / 一年前发布,74,"5,147元/平"
玉泉片，，，，，，，，，，，，，，，，，,旌城印象 -玉泉,5室3厅 | 260平米 | 西 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,225,"8,654元/平"
品质小区 交通便利 小区环境干净舒适,东汽宿舍区 -德什路口,3室2厅 | 107平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,9人关注 / 一年前发布,48.8,"4,561元/平"
蔚蓝郡 5室2厅 东 南 西 北,蔚蓝郡 -广汉市,5室2厅 | 128.36平米 | 东 南 西 北 | 毛坯 | 高楼层(共24层)  | 塔楼,1人关注 / 5个月以前发布,115.9,"9,030元/平"
房子楼龄96年，生活设施很成熟，空间大套三有阳台,金雁苑 -广汉市,3室2厅 | 210平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,13人关注 / 一年前发布,66,"3,143元/平"
半截巷28号 4室2厅 南,半截巷28号 -文庙,4室2厅 | 124.95平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,46.8,"3,746元/平"
御庭苑A区 4室2厅 南 北,御庭苑A区 -旌东,4室2厅 | 166.38平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,160,"9,617元/平"
世茂2T2户 170平大平层 装修100万 包含家具家电全,世茂璀璨天城 -万达广场,4室2厅 | 170平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,2人关注 / 4个月以前发布,260,"15,295元/平"
东山脚下，钟鼓楼广场旁，精装多层拎包入住,御庭苑A区 -旌东,4室3厅 | 196.81平米 | 南 | 精装 | 低楼层(共1层)  | 暂无数据,8人关注 / 一年前发布,168,"8,537元/平"
此房满2年，出行方便，户型方正，居住方便舒适,金穗小区 -旌东,4室2厅 | 168平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 10个月以前发布,63,"3,750元/平"
采光好无遮挡，格局合理，利用率高，园区的好位置，,天下乐宿舍 -文庙,4室3厅 | 108平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,72,"6,667元/平"
城内唯一一套高品质，错过拍大腿。,浏阳名苑 -广汉市,3室2厅 | 116.23平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,8人关注 / 11个月以前发布,56,"4,819元/平"
碧桂园精装端头大花园，老证空户端头位置花了小200万,德阳碧桂园 -旌阳区,5室2厅 | 222平米 | 东 西 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 4个月以前发布,450,"20,271元/平"
黄河片区 骏逸东山 精装套四 配套齐全 满五唯一,骏逸东山 -黄河片区,4室2厅 | 149平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,90,"6,041元/平"
房东诚心出售，老证户型很好，每个房间很大，采光很好,阳光花园 -旌东,4室2厅 | 170平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,6人关注 / 8个月以前发布,63,"3,706元/平"
花雨树小区 交通便利 小区环境干净舒适 适合居住,花雨树 -黄河片区,4室2厅 | 116平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,9人关注 / 一年前发布,133,"11,466元/平"
城北套三户型方正，小区环境优美，精装修拎包入住,万兴一品 -广汉市,3室2厅 | 98.43平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,3人关注 / 6个月以前发布,92.8,"9,429元/平"
渝都国际明珠   此房地段好   配套设施完善,渝都国际明珠 -石刻,2室2厅 | 76平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,13人关注 / 一年前发布,45.8,"6,027元/平"
德阳市旌阳区标准套三，设施齐全，家具家电，交通方便,华盛商厦 -文庙,3室3厅 | 198平米 | 南 | 简装 | 高楼层(共10层)  | 暂无数据,3人关注 / 11个月以前发布,122.2,"6,172元/平"
采光好无遮挡，格局合理，利用率高，园区的好位置，,天下乐宿舍 -文庙,4室3厅 | 108平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,72,"6,667元/平"
城北 高铁新区 精装怡警花园 拎包入住 老证,怡警花园南区 -高铁新区,3室2厅 | 117.5平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,8人关注 / 一年前发布,65,"5,532元/平"
市区  西外街  标准三室两厅两卫   可拎包入住,四川核工业地质局二八二大队西外小区 -文庙,3室2厅 | 110平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,56.8,"5,164元/平"
品质小区 交通便利 小区环境干净舒适,东汽宿舍区 -德什路口,3室2厅 | 107平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,9人关注 / 一年前发布,48.8,"4,561元/平"
城北教师新村。出门就是河边。户型方正，采光好,教师新村 -城北,3室2厅 | 124平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,50,"4,033元/平"
文庙广场附 近  中间楼层 大套三双卫  小区停车方便,文庙小区 -文庙,3室2厅 | 143.78平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,10人关注 / 一年前发布,74,"5,147元/平"
品质别墅区，住户综合素质高小区为刷卡进入，管理成熟,江南印象 -广汉市,5室2厅 | 247平米 | 东南 西北 | 毛坯 | 低楼层(共4层)  | 板楼,8人关注 / 6个月以前发布,90,"3,644元/平"
健康苑2室精装 房东诚心出售..,健康苑 -文庙,4室2厅 | 157.04平米 | 南 西南 | 精装 | 低楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,73.8,"4,700元/平"
江南印象花园洋房，，套五，诚心出售,江南印象 -广汉市,5室2厅 | 187.4平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,44人关注 / 一年前发布,88,"4,696元/平"
精装联排 此房满五，采光好，户型方正，交通便利,江南印象 -广汉市,5室3厅 | 385平米 | 南 北 | 精装 | 3层  | 板楼 | 联排别墅 ,3人关注 / 一年前发布,265,"6,884元/平"
别墅小区 物业负责 小区安静怡人,帝景湾 -广汉市,4室2厅 | 194.54平米 | 南 北 | 精装 | 5层  | 板塔结合,5人关注 / 10个月以前发布,91,"4,678元/平"
此房为老证、多层6楼、双花园有160多平米,青山公寓 -102生活广场,3室2厅 | 118.98平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,55,"4,623元/平"
玉泉片区  佛南小区  出行方便  生活便利,佛南小区 -玉泉,3室2厅 | 129.8平米 | 东 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,55,"4,238元/平"
锦绣上城 3室2厅 东南,锦绣上城 -102生活广场,3室2厅 | 100.2平米 | 东南 | 简装 | 高楼层(共27层)  | 板塔结合,1人关注 / 1个月以前发布,80,"7,985元/平"
此房老证税费低，精装修，户型方正。,水韵江南 -五洲广场,3室2厅 | 135平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,80,"5,926元/平"
狮堰小区北区 3室2厅 南,狮堰小区北区 -广汉市,3室2厅 | 90.82平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,39.8,"4,383元/平"
泰山南路一段1号 3室1厅 西南,泰山南路一段1号 -102生活广场,3室1厅 | 71.11平米 | 西南 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,52,"7,313元/平"
世茂套四横厅东西朝向带车位出售,世茂璀璨天城 -万达广场,4室2厅 | 147平米 | 东 | 其他 | 高楼层(共29层)  | 暂无数据,0人关注 / 30天以前发布,150,"10,205元/平"
近200平花园，金黄楼层精装修拎包入住、,怡景花苑 -广汉市,3室2厅 | 129平米 | 南 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 1个月以前发布,118,"9,148元/平"
玉泉片区 精装三室 中间楼层  看房方便,风临世家 -玉泉,3室2厅 | 137平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 1个月以前发布,69.8,"5,095元/平"
御庭苑B区 3室2厅 东南,御庭苑B区 -旌东,3室2厅 | 133.4平米 | 东南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,79.8,"5,983元/平"
此房楼层好日照足采光好，配套齐全，装修不错...,百家花园 -旌东,3室2厅 | 151.44平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 29天以前发布,58.8,"3,883元/平"
阳光苑4室2厅1厨2卫158.79平米,阳光苑 -玉泉,4室2厅 | 158.79平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 31天以前发布,83,"5,228元/平"
中融大名城 4室2厅 东南,中融大名城 -工农村,4室2厅 | 143平米 | 东南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 23天以前发布,115,"8,042元/平"
御景水岸 3室2厅 南,御景水岸 -广汉市,3室2厅 | 120平米 | 南 | 其他 | 中楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,65,"5,417元/平"
春晞路122号 2室2厅 南,春晞路122号 -绵竹市,2室2厅 | 64平米 | 南 | 精装 | 低楼层(共4层)  | 暂无数据,0人关注 / 22天以前发布,32.8,"5,125元/平"
此房格局方正，户型较好，小区品质物业，舒适生活,吐哈石油苑 -广汉市,3室2厅 | 106平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 22天以前发布,36.8,"3,472元/平"
华景川万悦城 3室2厅 南,华景川万悦城 -广汉市,3室2厅 | 99.1平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 30天以前发布,60,"6,055元/平"
温莎湖畔 3室2厅 西,温莎湖畔 -经开区,3室2厅 | 128平米 | 西 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 1个月以前发布,106,"8,282元/平"
城北新区国企楼盘保利广悦府中间楼层看房方便！,保利广悦府 -广汉市,3室1厅 | 92平米 | 东 | 其他 | 中楼层(共34层)  | 塔楼,0人关注 / 29天以前发布,63,"6,848元/平"
此房格局方正，户型较好，小区品质物业，舒适生活,吐哈石油苑 -广汉市,3室2厅 | 106平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 22天以前发布,36.8,"3,472元/平"
城北新区国企楼盘保利广悦府中间楼层看房方便！,保利广悦府 -广汉市,3室1厅 | 92平米 | 东 | 其他 | 中楼层(共34层)  | 塔楼,0人关注 / 29天以前发布,63,"6,848元/平"
温莎湖畔 3室2厅 西,温莎湖畔 -经开区,3室2厅 | 128平米 | 西 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 1个月以前发布,106,"8,282元/平"
华景川万悦城 3室2厅 南,华景川万悦城 -广汉市,3室2厅 | 99.1平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 30天以前发布,60,"6,055元/平"
城北万达旁，离娃娃读书的地方近，房东诚心出售,万达华府 -万达广场,4室2厅 | 120平米 | 东南 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 21天以前发布,145,"12,084元/平"
金雁·欧城联邦 3室2厅 南,金雁·欧城联邦 -广汉市,3室2厅 | 131平米 | 南 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 23天以前发布,80,"6,107元/平"
玉府花园 4室2厅 南,玉府花园 -玉泉,4室2厅 | 167平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 22天以前发布,88,"5,270元/平"
首府花雨树 3室2厅 南,首府花雨树 -旌阳区,3室2厅 | 103平米 | 南 | 其他 | 中楼层(共20层)  | 塔楼,0人关注 / 1个月以前发布,70,"6,797元/平"
凯丽景湖 3室2厅 东南,凯丽景湖 -五洲广场,3室2厅 | 120平米 | 东南 | 其他 | 中楼层(共25层)  | 板塔结合,0人关注 / 27天以前发布,90,"7,500元/平"
万兴魅力城南区 3室2厅 东 南,万兴魅力城南区 -黄河片区,3室2厅 | 114平米 | 东 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 25天以前发布,133,"11,667元/平"
多层大三室享受大房品质，交通便利配套齐全,庐山南路二段52号 -旌东,3室2厅 | 144平米 | 东 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,63,"4,375元/平"
万嘉国际社区 3室2厅 西南,万嘉国际社区 -工农村,3室2厅 | 100.58平米 | 西南 | 其他 | 中楼层(共12层)  | 暂无数据,0人关注 / 1个月以前发布,65.8,"6,543元/平"
华西衡山家园 3室2厅 东南,华西衡山家园 -德什路口,3室2厅 | 86.32平米 | 东南 | 其他 | 低楼层(共22层)  | 塔楼,0人关注 / 21天以前发布,48.8,"5,654元/平"
德阳城南雅河小区套三单卫拎包入住,雅河小区 -五洲广场,3室1厅 | 90.84平米 | 南 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 29天以前发布,38.6,"4,250元/平"
金牛东苑 4室1厅 西,金牛东苑 -旌阳区,4室1厅 | 134平米 | 西 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 18天以前发布,76,"5,672元/平"
出行方便，户型方正，居住方便舒适，,平安小区 -102生活广场,3室2厅 | 80平米 | 北 南 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 31天以前发布,52,"6,500元/平"
老证 精装 东西向 通透 中间楼层 配套齐全 交通方便,汇乐馨苑 -旌东,3室2厅 | 140.7平米 | 东 西 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 28天以前发布,75,"5,331元/平"
城南东汽馨苑，精装大套二电梯小高层,东汽馨苑 -经开区,3室1厅 | 103平米 | 东南 | 其他 | 高楼层(共11层)  | 板塔结合,0人关注 / 22天以前发布,58,"5,632元/平"
吾悦华府 3室2厅 东南,吾悦华府 -工农村,3室2厅 | 107平米 | 东南 | 其他 | 低楼层(共34层)  | 暂无数据,0人关注 / 22天以前发布,72,"6,729元/平"
电梯小高层东汽馨苑房东自住精装 带产权车位 诚心出售,东汽馨苑 -经开区,3室2厅 | 97.5平米 | 北 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 23天以前发布,59.9,"6,144元/平"
黄金海岸 4室2厅 南 北,黄金海岸 -黄河片区,4室2厅 | 141.68平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 18天以前发布,92,"6,494元/平"
金色阳光 4室2厅 东南,金色阳光 -旌东,4室2厅 | 192.54平米 | 东南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 22天以前发布,150,"7,791元/平"
天籁福精装小三室带产权车位 老证有钥匙 城南,天籁福 -经开区,2室2厅 | 83平米 | 东 | 其他 | 高楼层(共26层)  | 塔楼,0人关注 / 21天以前发布,64.3,"7,747元/平"
top尚城 3室2厅 南,top尚城 -德什路口,3室2厅 | 96.46平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,56.6,"5,868元/平"
北星苑小区 3室2厅 东,北星苑小区 -石刻,3室2厅 | 113平米 | 东 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 20天以前发布,42,"3,717元/平"
中庭房子，南北朝向，视野开阔，户型方正,怡景花苑 -广汉市,3室2厅 | 135.54平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 20天以前发布,75,"5,534元/平"
嘉皇心悦城 3室2厅 东南,嘉皇心悦城 -旌东,3室2厅 | 112平米 | 东南 | 其他 | 低楼层(共33层)  | 暂无数据,1人关注 / 22天以前发布,66.8,"5,965元/平"
希望城玫瑰公馆 2室2厅 北,希望城玫瑰公馆 -黄河片区,2室2厅 | 72平米 | 北 | 其他 | 高楼层(共20层)  | 暂无数据,0人关注 / 24天以前发布,62.8,"8,723元/平"
民福旌城天际 3室1厅 南,民福旌城天际 -五洲广场,3室1厅 | 97.83平米 | 南 | 简装 | 中楼层(共24层)  | 板楼,0人关注 / 27天以前发布,67.8,"6,931元/平"
多层好楼层中庭南北通透自住欧式风格老证临湖楼盘,湖景湾 -黄河片区,3室2厅 | 124平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 23天以前发布,115,"9,275元/平"
柳河街泰安楼  单价才三千多点  生活方便  配套完善,泰安楼 -岷山路小学,3室2厅 | 134.93平米 | 西 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 23天以前发布,45.8,"3,395元/平"
翡丽湾D区 3室2厅 南,翡丽湾D区 -柳梢堰,3室2厅 | 88平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 24天以前发布,75,"8,523元/平"
市中芯大户型  三室一厅 采光好 楼层好,金谷商城小区 -文庙,3室1厅 | 137平米 | 东南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,69,"5,037元/平"
珠江桥头 正临湖 近五洲广场 户型很哇塞 中间楼层,滨湖之春 -岷山路小学,3室2厅 | 127平米 | 东南 | 其他 | 中楼层(共40层)  | 塔楼,0人关注 / 20天以前发布,85.8,"6,756元/平"
东汽馨苑 3室2厅 南,东汽馨苑 -经开区,3室2厅 | 96平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,1人关注 / 29天以前发布,58.8,"6,125元/平"
奥园玖珑湾 4室1厅 南,奥园玖珑湾 -广汉市,4室1厅 | 127.31平米 | 南 | 其他 | 低楼层(共14层)  | 板塔结合,0人关注 / 19天以前发布,100,"7,855元/平"
