标题,开发商,房子信息,发布信息,售价/万,单价
御景苑电梯中层商品房，南北通透大H户型，单价低！,御景苑三期 -元宝区,2室2厅 | 98.56平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 3天以前发布,74,"7,509元/平"
通透户型 采光好 封闭园区 简单装修 保持干净拎包入住,長隆家園 -振安区,2室1厅 | 63.33平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,11人关注 / 一年前发布,29.8,"4,706元/平"
动漫城英才小区    1居室  20万,动漫城 -振兴区,1室1厅 | 49平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,20,"4,082元/平"
滨江凯旋门 两室两厅一卫一露台 毛坯 近鸭绿江畔,滨江凯旋门 -振兴区,2室2厅 | 97.8平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板塔结合,3人关注 / 一年前发布,49.8,"5,093元/平"
新区科技五金城   两居室 清水房 视野好 采光好,国门湾科技五金城 -振兴区,2室1厅 | 70平米 | 南 | 毛坯 | 高楼层(共19层)  | 板楼,28人关注 / 一年前发布,32,"4,572元/平"
"屋内设施保存良好,拎包入住,配套设施齐全",绿云嘉园 -振安区,3室1厅 | 140平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,14人关注 / 一年前发布,69.8,"4,986元/平"
此房格局规整，视野好，一线江景,江盈花園 -振安区,2室1厅 | 118平米 | 东 南 | 简装 | 低楼层(共18层)  | 板楼,10人关注 / 9个月以前发布,93.8,"7,950元/平"
红房二街 2室1厅 南 北,红房二街 -振兴区,2室1厅 | 63.12平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 8个月以前发布,39,"6,179元/平"
金汤 十七 中富小区 步梯4楼 3室一厅阳光好 可贷款,中富小区南区 -元宝区,3室1厅 | 75.03平米 | 东 西 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,43.8,"5,838元/平"
高档园区，金海物业管理，取暖效果棒，24小时安保,金海·滨江3号 -振安区,3室1厅 | 85.77平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,8人关注 / 10个月以前发布,61.8,"7,206元/平"
小区环境好‘清净邻近万达医院方便,东皇国际城-菊香溪谷C-1区 -振兴区,2室1厅 | 81平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 10个月以前发布,53.8,"6,642元/平"
江景房，屋内宽敞明亮，商品房   .,佳地广场 -振兴区,3室2厅 | 167.99平米 | 南 北 | 简装 | 高楼层(共22层)  | 板楼,1人关注 / 3个月以前发布,98,"5,834元/平"
新世纪家园B区  大户型南北通透 电梯中层,新世纪佳園 -振兴区,3室2厅 | 143平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,80,"5,595元/平"
胜利街天宇佳园生活配套齐全，有园区有物业，拎包入住,天宇佳园 -振兴区,2室1厅 | 72平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,45,"6,250元/平"
华美山庄 户型格局好 阳光充足 干净利索,华美山庄 -振兴区,2室1厅 | 72平米 | 西 | 简装 | 高楼层(共7层)  | 板塔结合,1人关注 / 1个月以前发布,21.6,"3,000元/平"
房子精装修，光线好，配套齐全，万达商圈，锦绣物业.,锦绣華城 -振兴区,2室2厅 | 112平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,10人关注 / 一年前发布,106,"9,465元/平"
扬州城小区中水系 出门市场医院 生活方便,揚州城 -振兴区,3室1厅 | 110平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,38,"3,455元/平"
步梯好楼层 干净利索 采光好 可贷款 方便看房,财专小区 -振安区,2室2厅 | 83.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,39.8,"4,767元/平"
好户型，全天阳光，前后无遮挡，视野好,宗裕城C区 -元宝区,2室1厅 | 73平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,3人关注 / 一年前发布,49.8,"6,822元/平"
一楼养老 小区安静 封闭小区 交通便利,财专小区 -振安区,3室1厅 | 82.4平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,45.8,"5,559元/平"
御景苑二期，电梯11层，两室两厅，阳光充足，可贷款,御景苑二期 -元宝区,2室2厅 | 107.76平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,19人关注 / 一年前发布,93,"8,631元/平"
东平嘉苑A区 商品阳光房无遮挡,东平嘉苑A区 -振安区,2室1厅 | 50平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,23.8,"4,760元/平"
华盛玫瑰港湾 电梯高层 一线江景 毛坯房 支持贷款,华盛玫瑰港湾南区 -振安区,2室2厅 | 103平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,2人关注 / 一年前发布,80.8,"7,845元/平"
金海宝山新城 160平 172万 8楼,金海寶山新城 -元宝区,4室2厅 | 160平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,6人关注 / 一年前发布,155,"9,688元/平"
东方枫景 三室两厅 低单价.......,東方枫景 -振安区,3室2厅 | 101平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,44.8,"4,436元/平"
华盛玫瑰港湾 电梯高层 一线江景 毛坯房支持贷款,华盛玫瑰港湾南区 -振安区,2室2厅 | 107平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,84.8,"7,926元/平"
婚房精装修 全明户型 配套齐全,長隆家園 -振安区,2室1厅 | 75.16平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,3人关注 / 8个月以前发布,33.8,"4,498元/平"
紫光福郡商品 好楼层 全天阳光 有装修,紫光福郡东区 -振安区,2室2厅 | 83.5平米 | 南 北 | 简装 | 低楼层(共6层)  | 塔楼,20人关注 / 一年前发布,70.6,"8,456元/平"
江畔财苑 三居室  南北向 格局规整,江畔财苑 -振安区,3室2厅 | 135平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,2人关注 / 一年前发布,88,"6,519元/平"
八三小区3居室 户型方正 一梯一户,八三小区 -振安区,3室2厅 | 101.17平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,52,"5,140元/平"
小区温泉入户，精装修，交通便利,宗裕城A区 -元宝区,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 2个月以前发布,98.7,"7,000元/平"
封闭智能化，绿化覆盖率高，电梯中层,华盛名居 -振安区,2室2厅 | 103平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,79.8,"7,748元/平"
欧尚广场封闭小区 92平清水仅售79万,欧尚广场 -振安区,3室2厅 | 92平米 | 东 西 | 毛坯 | 低楼层(共17层)  | 板楼,5人关注 / 一年前发布,64.6,"7,022元/平"
东平嘉苑 步梯好楼层 阳光好 南北通透 可贷款,东平嘉苑A区 -振安区,2室1厅 | 63平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,19人关注 / 一年前发布,25.8,"4,096元/平"
东方风景小区99平精装修仅售73万,東方枫景 -振安区,3室2厅 | 99平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,71,"7,172元/平"
丹建新时代 电梯阁楼 出行便利 配套齐全 采光好,丹建新时代B区 -振安区,2室1厅 | 70平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,6人关注 / 一年前发布,48.8,"6,972元/平"
溪山一号  大H格局 南北通透 电梯 精装修,恒景溪山壹号 -振安区,3室2厅 | 101.81平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,6人关注 / 一年前发布,86.8,"8,526元/平"
御景苑回迁，精装两室，可贷款。,御景苑 -元宝区,2室1厅 | 66平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,4人关注 / 一年前发布,47.8,"7,243元/平"
玫瑰港湾，两室两厅包过户，可贷款。,华盛玫瑰港湾南区 -振安区,2室2厅 | 69平米 | 北 | 精装 | 低楼层(共17层)  | 板楼,4人关注 / 一年前发布,54.8,"7,943元/平"
玫瑰港湾两室精装，包过户可贷款，,华盛玫瑰港湾南区 -振安区,2室1厅 | 58平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,13人关注 / 一年前发布,39.8,"6,863元/平"
玫瑰港湾南区，两室两厅，精装修，格局好包过户。,华盛玫瑰港湾南区 -振安区,2室2厅 | 70平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,18人关注 / 一年前发布,55.6,"7,943元/平"
小区温泉入户，精装修，交通便利,宗裕城A区 -元宝区,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 2个月以前发布,98.7,"7,000元/平"
封闭智能化，绿化覆盖率高，电梯中层,华盛名居 -振安区,2室2厅 | 103平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,79.8,"7,748元/平"
玫瑰港湾两室精装，包过户可贷款，,华盛玫瑰港湾南区 -振安区,2室1厅 | 58平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,13人关注 / 一年前发布,39.8,"6,863元/平"
玫瑰港湾南区，两室两厅，精装修，格局好包过户。,华盛玫瑰港湾南区 -振安区,2室2厅 | 70平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,18人关注 / 一年前发布,55.6,"7,943元/平"
山水龙城一楼可以圈花园，商品房可贷款。,山水龙城 -元宝区,2室1厅 | 53平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,6人关注 / 10个月以前发布,35.9,"6,774元/平"
御景苑回迁，格局好，精装修，南向无遮挡。,御景苑三期 -元宝区,2室1厅 | 70平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,33.7,"4,815元/平"
御景苑三期  三室一厅 好格局 通透户型,御景苑三期 -元宝区,3室1厅 | 119.66平米 | 南 北 | 毛坯 | 中楼层(共13层)  | 板塔结合,12人关注 / 8个月以前发布,81,"6,770元/平"
"桃园社区,步梯高层，生活便利，万达商圈",桃源社区 -振兴区,2室1厅 | 57.8平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,32.5,"5,623元/平"
昆源小区 2室1厅 南 北,昆源小区 -振兴区,2室1厅 | 58.08平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 29天以前发布,16,"2,755元/平"
福春二小区 2室1厅 西南,福春二小区 -振兴区,2室1厅 | 55平米 | 西南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 26天以前发布,30,"5,455元/平"
精装 采光好 步梯中层 拎包住,四道小区 -元宝区,2室2厅 | 68平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 一年前发布,39.8,"5,853元/平"
此房为纯私产 步梯五楼 采光好 前后无遮挡,建安胡同 -振兴区,2室3厅 | 110平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,65,"5,910元/平"
满五唯一，楼龄新，光线好，中等装修，拎包入住,桃铁社区 -振兴区,3室2厅 | 149平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,70,"4,698元/平"
步梯三楼，田子户型，出行购物方便快捷,振八街15号 -振兴区,3室1厅 | 85平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 7个月以前发布,80,"9,412元/平"
此房为商品房，满五，电梯非顶，一线江景房，三室。,俪江国际 -振兴区,3室2厅 | 143.98平米 | 南 北 | 简装 | 高楼层(共28层)  | 板塔结合,4人关注 / 一年前发布,143,"9,932元/平"
保利香槟国际央企大品牌一期步梯洋房一楼带花园3室,保利·香槟国际 -振兴区,3室2厅 | 121.88平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,13人关注 / 一年前发布,114,"9,354元/平"
东升丽园 室内格局好 阳光嗷嗷的 5室2厅1厨2卫 精装修,東昇麗園 -振兴区,5室2厅 | 210.82平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,7人关注 / 一年前发布,110,"5,218元/平"
锦绣花园步梯六楼带两层阁楼 有物业车位 看好价格可谈,锦绣花园 -振兴区,3室2厅 | 136.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,90,"6,589元/平"
此房楼层好，一梯一户    大H格局  采光好,鑫城蓝湾 -振兴区,3室2厅 | 104.9平米 | 西南 | 毛坯 | 中楼层(共11层)  | 板楼,10人关注 / 一年前发布,67,"6,388元/平"
港湾小区 步梯7层 位置好 采光足 配套齐全,港湾小区 -振兴区,2室2厅 | 87.56平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,9人关注 / 一年前发布,35.8,"4,089元/平"
此房楼层好，视野开阔，交通便利，配套设施完善,六纬路学区东晨社区北区 -振兴区,1室2厅 | 73平米 | 东 西 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 一年前发布,60,"8,220元/平"
采光好，户型通透，精装跃层。户型规整,知春园 -振兴区,2室2厅 | 138平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,101.8,"7,377元/平"
富裕园小区步梯五楼 南北通透 可贷款 站前六中,富裕园小区 -振兴区,3室2厅 | 188.75平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,116,"6,146元/平"
建行小区三马位于路朝韩一条街二越三,建行小区 -振兴区,3室2厅 | 158平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,14人关注 / 一年前发布,86,"5,444元/平"
交通 医院 市场 阳光 便利 公园 格局,白房二社区 -振兴区,2室1厅 | 65平米 | 东 西 | 其他 | 高楼层(共4层)  | 板塔结合,0人关注 / 8个月以前发布,34,"5,231元/平"
园区绿化好，户型方正。可以看口岸,上城·左岸 -振兴区,2室1厅 | 91平米 | 西南 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,70,"7,693元/平"
此房满五唯一 户型通透 视野好 采光好 楼间距大,世景芳华 -振兴区,2室1厅 | 123.2平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 10个月以前发布,103,"8,361元/平"
"：
此房是私产房 格局规整 楼层好 视野开阔 采光充足",绿苑小区 -振兴区,4室2厅 | 156平米 | 东 西 | 简装 | 高楼层(共8层)  | 板塔结合,10人关注 / 一年前发布,68,"4,359元/平"
南北朝向格局，高楼层，阳光充足，配套设施,福春七小区(福春街) -振兴区,2室2厅 | 68平米 | 东 西 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,29,"4,265元/平"
靠江三居室，好房，精装修，上市内和新区都方便,佳兆业壹号 -振兴区,3室1厅 | 104平米 | 南 西 | 精装 | 中楼层(共16层)  | 板楼,4人关注 / 一年前发布,80,"7,693元/平"
鸿润家园站前 乐购 近江边 电梯好楼层,鸿润家园 -振兴区,3室2厅 | 157.9平米 | 南 北 | 简装 | 高楼层(共19层)  | 板楼,0人关注 / 一年前发布,134,"8,487元/平"
丹景郦城，，电梯中高层，，阳光视野。。,丹景俪城 -振兴区,3室1厅 | 101.7平米 | 南 | 简装 | 中楼层(共32层)  | 塔楼,5人关注 / 一年前发布,86,"8,457元/平"
六纬路 此房格局好阳光好，步梯二楼,山上街小区 -振兴区,3室1厅 | 94平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,94,"10,000元/平"
桃源花都 房主急售 洋房跃层 上下H户型 精装,桃源花都 -振兴区,4室2厅 | 158平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,137,"8,671元/平"
此房楼层好，视野开阔，交通便利，配套设施完善,六纬路学区东晨社区北区 -振兴区,1室2厅 | 73平米 | 东 西 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 一年前发布,60,"8,220元/平"
采光好，户型通透，精装跃层。户型规整,知春园 -振兴区,2室2厅 | 138平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,101.8,"7,377元/平"
此房阳光好     价格合理       好房子,宝石花住宅小区 -振兴区,3室2厅 | 142平米 | 南 西北 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,95,"6,691元/平"
世景芳华 三居室 精装 近机电学院 二中,世景芳华 -振兴区,3室2厅 | 131.03平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,7人关注 / 一年前发布,88,"6,717元/平"
满五唯一，楼龄新，光线好，中等装修，拎包入住,桃铁社区 -振兴区,3室2厅 | 149平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,70,"4,698元/平"
此房为纯私产 步梯五楼 采光好 前后无遮挡,建安胡同 -振兴区,2室3厅 | 110平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,65,"5,910元/平"
佳兆业壹号，精装修，通透户型，自住,佳兆业壹号 -振兴区,3室2厅 | 107.47平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,4人关注 / 一年前发布,89,"8,282元/平"
新城区大桥边新世纪佳园A区好楼层出售,新世纪佳园A区 -振兴区,4室2厅 | 194平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,3人关注 / 一年前发布,125,"6,444元/平"
万达电梯中层，高档装修.......,万达华府 -振兴区,3室1厅 | 126平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,4人关注 / 11个月以前发布,155,"12,302元/平"
红星小区，离各个校园近，满五私产，阳光好,红星小区 -振兴区,3室1厅 | 70平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,56,"8,000元/平"
此房采光好，五金城园区内，不临街，通透户型好楼层,国门湾科技五金城 -振兴区,3室1厅 | 111平米 | 南 北 | 精装 | 低楼层(共19层)  | 板塔结合,1人关注 / 4个月以前发布,70,"6,307元/平"
建行小区三马位于路朝韩一条街二越三,建行小区 -振兴区,3室2厅 | 158平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,14人关注 / 一年前发布,86,"5,444元/平"
交通 医院 市场 阳光 便利 公园 格局,白房二社区 -振兴区,2室1厅 | 65平米 | 东 西 | 其他 | 高楼层(共4层)  | 板塔结合,0人关注 / 8个月以前发布,34,"5,231元/平"
本钢新城佳园 近二中 机电学院,本钢新城佳园 -振兴区,3室2厅 | 119平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,1人关注 / 一年前发布,70,"5,883元/平"
靠江三居室，好房，精装修，上市内和新区都方便,佳兆业壹号 -振兴区,3室1厅 | 104平米 | 南 西 | 精装 | 中楼层(共16层)  | 板楼,4人关注 / 一年前发布,80,"7,693元/平"
简单装修，房本满二，房改房，拎包入住！,振八街13号 -振兴区,3室1厅 | 102.09平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,4人关注 / 一年前发布,88.8,"8,699元/平"
"：
此房是私产房 格局规整 楼层好 视野开阔 采光充足",绿苑小区 -振兴区,4室2厅 | 156平米 | 东 西 | 简装 | 高楼层(共8层)  | 板塔结合,10人关注 / 一年前发布,68,"4,359元/平"
南北朝向格局，高楼层，阳光充足，配套设施,福春七小区(福春街) -振兴区,2室2厅 | 68平米 | 东 西 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,29,"4,265元/平"
富裕园小区步梯五楼 南北通透 可贷款 站前六中,富裕园小区 -振兴区,3室2厅 | 188.75平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,116,"6,146元/平"
万达华府 高档园区 24小时安保 繁华地段 视野 阳光好,万达华府 -振兴区,2室2厅 | 125平米 | 东 西 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,118,"9,440元/平"
佳地广场，自己住办公均可，.................,佳地广场 -振兴区,3室1厅 | 177平米 | 南 北 | 简装 | 中楼层(共22层)  | 板塔结合,0人关注 / 一年前发布,106,"5,989元/平"
此房位于园区一线江景，视野宽阔，阳光好,月亮岛界河明珠 -振兴区,2室2厅 | 110.8平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 7个月以前发布,153,"13,809元/平"
此房 阳光好   户型好   格局好    楼层好,官电小区 -元宝区,2室2厅 | 98平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,66,"6,735元/平"
佳兆业江景别墅 .南北通透格局，采光充足，花园大，,佳兆业壹号 -振兴区,5室3厅 | 210平米 | 南 北 | 毛坯 | 3层  | 暂无数据 | 联排别墅 ,2人关注 / 一年前发布,380,"18,096元/平"
丹建馨园  满五唯一 南北通透  一楼带花园 带装修,丹建馨园 -振兴区,2室2厅 | 96平米 | 南 北 | 简装 | 低楼层(共1层)  | 暂无数据,1人关注 / 一年前发布,110,"11,459元/平"
270°一线大江景  红木装修,月亮岛界河明珠 -振兴区,5室3厅 | 258平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,17人关注 / 一年前发布,498,"19,303元/平"
欧洲花园电梯 商品满五 看房方便 可贷款,顺泰花园 -振兴区,4室2厅 | 175平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,158,"9,029元/平"
滨江壹号一层带花园，带下跃两层,滨江壹号 -振兴区,5室2厅 | 186.89平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,12人关注 / 一年前发布,110,"5,886元/平"
知春园 园区内 三室满五 贷款全款均可 采光充足,知春园 -振兴区,3室2厅 | 126平米 | 南 北 | 简装 | 中楼层(共12层)  | 板塔结合,8人关注 / 8个月以前发布,113.5,"9,008元/平"
精装修，红房，户型通透，光线好，，拎包入住,知春园 -振兴区,4室3厅 | 136.9平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,80,"5,844元/平"
佳地广场 三室两厅  电梯房 江景房 配套齐全,佳地广场 -振兴区,3室2厅 | 150.3平米 | 南 北 | 精装 | 低楼层(共22层)  | 板塔结合,3人关注 / 一年前发布,95,"6,321元/平"
优山美地二期东区 中间位置 拎包入住 精装修,优山美地东区 -元宝区,2室2厅 | 114.47平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,86.8,"7,583元/平"
满五唯一，户型板正通透，光线好，楼层好,桃源逸景花園 -振兴区,4室1厅 | 124.1平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,124,"9,992元/平"
华美馨园小区 电梯直达 通透户型 可贷款 独立封闭园区,华美馨园小区 -振兴区,2室2厅 | 142.7平米 | 南 北 | 简装 | 低楼层(共16层)  | 板塔结合,5人关注 / 一年前发布,115,"8,059元/平"
六纬路 六中 纯私产 满5年 可贷款 交通便利 配套完善,六纬路学区铁路市政楼 -振兴区,3室1厅 | 77平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,4人关注 / 一年前发布,80.8,"10,494元/平"
扬州城大四居，带大露台，单价便宜，满五年，有钥匙,揚州城 -振兴区,4室2厅 | 200.5平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 板楼,10人关注 / 一年前发布,55,"2,744元/平"
新加坡城电梯中层，南北通透简单装修,新加坡城 -振兴区,2室1厅 | 94.38平米 | 南 北 | 简装 | 低楼层(共31层)  | 板楼,0人关注 / 4个月以前发布,58,"6,146元/平"
电梯洋房，高品质园区，户型好，出小区就是江边,华盛名居 -振安区,3室2厅 | 151平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,181,"11,987元/平"
华美新天地 商品房 楼层好 精装修,华美新天地 -振兴区,2室2厅 | 106.87平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,12人关注 / 一年前发布,129.8,"12,146元/平"
新城区金色水岸，南北向，视野好，业主诚信出售,新宇金色水岸 -振兴区,4室2厅 | 153平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,11人关注 / 10个月以前发布,78,"5,099元/平"
永昌社区小H格局，步梯二楼，商品房可贷款可上永昌19,永昌社区 -振兴区,2室2厅 | 132平米 | 东 西 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,105,"7,955元/平"
金海滨江三号 江景291平 平层别墅,金海·滨江3号 -振安区,4室2厅 | 291.79平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,9人关注 / 9个月以前发布,620,"21,249元/平"
此房满五唯一，户型好，楼层好，自住都不错！,新加坡城 -振兴区,3室2厅 | 117平米 | 南 北 | 其他 | 低楼层(共31层)  | 板楼,5人关注 / 一年前发布,63,"5,385元/平"
江滨公寓 园区好位置江景 湖景 带上跃 下跃 精装修,江滨公寓 -振兴区,4室2厅 | 144.79平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,14人关注 / 一年前发布,111,"7,667元/平"
唐宁壹号三居室采光好视野好通透户型,唐宁壹号 -振兴区,3室2厅 | 101.79平米 | 东南 | 毛坯 | 中楼层(共19层)  | 板楼,0人关注 / 一年前发布,53,"5,207元/平"
新世纪佳园一楼带花园，简单装修！,新世纪佳園 -振兴区,3室2厅 | 125平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,75,"6,000元/平"
新城官邸，武警家属楼， 园区安静 小高层 视野好,新城官邸 -振兴区,3室2厅 | 120平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,1人关注 / 一年前发布,66,"5,500元/平"
五金城三居室，毛坯房，户型规矩，阳光无遮挡,国门湾科技五金城 -振兴区,3室1厅 | 111平米 | 南 北 | 毛坯 | 低楼层(共19层)  | 板楼,3人关注 / 一年前发布,64,"5,766元/平"
宝石花小区 步梯6楼 三室 可贷款,宝石花住宅小区 -振兴区,3室2厅 | 131.5平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 4个月以前发布,61.8,"4,700元/平"
小区配套设施齐全，园区绿化好，户型方正,上城·左岸 -振兴区,3室2厅 | 108平米 | 西南 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,58,"5,371元/平"
此房满五年 南北通透 中等装修 拎包 即住 近市场 ..,知春园 -振兴区,3室2厅 | 122.13平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 3个月以前发布,106,"8,680元/平"
此房回迁房，采光充足，无遮挡，交通便利。,世纪园 -振兴区,3室1厅 | 81.23平米 | 西 | 简装 | 高楼层(共17层)  | 板楼,0人关注 / 一年前发布,98,"12,065元/平"
视野开阔  阳光充足   交通方便   出行便民,钰豪-优山美地小区 -元宝区,3室1厅 | 77.5平米 | 南 西 | 简装 | 低楼层(共24层)  | 板楼,1人关注 / 一年前发布,49.9,"6,439元/平"
东西通透  两室两厅 采光很好 简单装修,金海广仁小区 -振兴区,2室2厅 | 121平米 | 东 西 | 简装 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,99,"8,182元/平"
兴隆小区     步梯三楼带平台     金汤,兴隆小区 -元宝区,3室2厅 | 104平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,78.3,"7,529元/平"
益荣佳园 ，，步梯底层，，南北通透，可贷款,益荣佳园 -振兴区,3室2厅 | 125平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,78,"6,240元/平"
"朝凤小区聚宝住宅,价格实惠，交通方便。",朝凤小区聚宝住宅 -元宝区,2室1厅 | 75平米 | 东 | 简装 | 高楼层(共8层)  | 板楼,3人关注 / 一年前发布,23,"3,067元/平"
