标题,开发商,房子信息,发布信息,售价/万,单价
此房是B区临河户型的精装四房全屋中 央空调报价88万！,溶江小区 -经开区,4室2厅 | 141.37平米 | 西南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 7天以前发布,88,"6,225元/平"
雅溪大汉新城旁边，2房精装拎包入住，28万,大汉新城 -吉首,2室1厅 | 61.47平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 15天以前发布,28,"4,556元/平"
乾州西部家园两房两厅，户型周正，采光好，无遮挡,西部家园 -乾州,2室2厅 | 86.44平米 | 东南 | 毛坯 | 低楼层(共14层)  | 暂无数据,0人关注 / 10天以前发布,48,"5,553元/平"
乾州不要物业费3房，家电齐全，还带装修,金沙园 -乾州,3室2厅 | 98.86平米 | 东 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,51.8,"5,240元/平"
新吉大南门 装修小户型 拎包入住,大汉新城 -吉首,1室1厅 | 43.58平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 4个月以前发布,19.8,"4,544元/平"
乾州华商国际城新出两房中层，户型周正采光好,华商国际城 -乾州,2室2厅 | 83.37平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 13天以前发布,42,"5,038元/平"
宏大广场 2室1厅 东南,宏大广场 -经开区,2室1厅 | 96.6平米 | 东南 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 10天以前发布,62.6,"6,481元/平"
世纪山水靠河秒杀房，中间楼层随时看房，证件在手,世纪山水 -乾州,4室2厅 | 140平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 6个月以前发布,78.5,"5,608元/平"
溶江一号 三房急售 户型周正 采光好,溶江一号 -经开区,3室2厅 | 127平米 | 东南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 7个月以前发布,66.8,"5,260元/平"
房子楼层好，格局好，看房方便，公积金可取可贷,湘西职院家属院 -经开区,2室2厅 | 88.61平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,5人关注 / 4个月以前发布,38.8,"4,379元/平"
溶滨路1号 1室1厅 东南,溶滨路1号 -经开区,1室1厅 | 52.39平米 | 东南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,26.8,"5,116元/平"
此房大三房，采光好，户型好，楼层好,九龍山莊 -乾州,3室2厅 | 133平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,50.8,"3,820元/平"
御香山三房出售 人车分流小区 入住率高,仁安·御香山 -经开区,3室2厅 | 107.07平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 6个月以前发布,63,"5,885元/平"
70年住宅 上户 出租 过渡精致小户型 中间楼层 满二,宏大广场 -经开区,1室1厅 | 43.63平米 | 南 | 精装 | 低楼层(共24层)  | 暂无数据,0人关注 / 6个月以前发布,31.2,"7,152元/平"
大阳台 好房推荐 蓝天花园大四房 产权清晰 采光好,蓝天花园 -经开区,4室2厅 | 142平米 | 西南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,49.8,"3,508元/平"
吉盟天下楼层好采光好，公积金可取可贷交通方便,吉盟天下一期 -吉首,3室2厅 | 89平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,38,"4,270元/平"
小溪桥社区，总价低，首付低，得房率高,桥中巷11号 -乾州,3室2厅 | 97.44平米 | 北 | 毛坯 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,31.3,"3,213元/平"
宏大广场  溶江一号毛坯三房与皇冠酒店与邻,溶江一号 -经开区,3室2厅 | 127平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 6个月以前发布,69.8,"5,497元/平"
燕子岩 交通便利  出行方便   电梯4房   出售,燕子岩安置房 -乾州,4室2厅 | 147.48平米 | 东南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,48.8,"3,309元/平"
小区环境优美人车分流，休闲有乾州秘境古城,诚信御景园 -乾州,3室2厅 | 132.54平米 | 东南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,62.8,"4,739元/平"
世纪山水44.9万，公积金可取可贷，随时看房,世纪山水 -乾州,2室2厅 | 89平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,44.9,"5,045元/平"
校门口，书香苑大三房带车位付两成即可，楼层好,武陵书香苑 -经开区,3室2厅 | 130平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,67,"5,154元/平"
农业局宿舍 3室2厅 西南,农业局宿舍 -乾州,3室2厅 | 134.1平米 | 西南 | 毛坯 | 高楼层(共18层)  | 板楼,6人关注 / 一年前发布,57.6,"4,296元/平"
红旗门步步高后面 精装三房 家具家电齐全 诚心卖,派克•中央城 -吉首,3室1厅 | 107平米 | 东南 | 精装 | 高楼层(共30层)  | 暂无数据,0人关注 / 2个月以前发布,59.8,"5,589元/平"
房子装修好，看房方便，一期地理位置好,世纪山水 -乾州,2室2厅 | 87.16平米 | 东 | 简装 | 低楼层(共18层)  | 暂无数据,3人关注 / 3个月以前发布,55,"6,311元/平"
经开区复式楼毛坯房房子，房东诚心出售，配套齐全。,溶滨路1号 -经开区,2室1厅 | 52平米 | 东南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 7个月以前发布,29.8,"5,731元/平"
经开区新房高层视野采光好，小区配套好。绿化好,仁安·御香山 -经开区,3室2厅 | 117.83平米 | 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,60.8,"5,160元/平"
中医院边上，交通方便，房东诚心出售,广华沁香园 -吉首,3室2厅 | 134.76平米 | 东南 | 毛坯 | 中楼层(共32层)  | 暂无数据,1人关注 / 8个月以前发布,49.8,"3,696元/平"
经开区新房高层视野采光好，小区配套好。绿化好,仁安·御香山 -经开区,3室2厅 | 117.83平米 | 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,60.8,"5,160元/平"
雅溪电梯高层3房，视野朝南，业主多余房产可随时过户,大汉新城 -吉首,3室2厅 | 100.71平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,42,"4,171元/平"
乾州 世纪广场旁 盛世豪庭好楼层 好视野,盛世豪庭 -乾州,3室2厅 | 142.26平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,3人关注 / 4个月以前发布,88,"6,186元/平"
滨江新城毛胚大三房 人车分流 视线好 采光很好,滨江新城 -乾州,3室2厅 | 144.71平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,1人关注 / 8个月以前发布,66.8,"4,617元/平"
地处大坡公园 单位四房 环境优美 可按揭 随时看房,工商花园 -乾州,3室2厅 | 134.49平米 | 南 | 毛坯 | 中楼层(共13层)  | 暂无数据,0人关注 / 8个月以前发布,57,"4,239元/平"
九龍山莊 3室2厅 南,九龍山莊 -乾州,3室2厅 | 129.12平米 | 南 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,52.5,"4,066元/平"
吉盟天下1期 小高层 带2个大平台28万 私家大露台,吉盟天下一期 -吉首,1室1厅 | 52.54平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 7个月以前发布,26,"4,949元/平"
乾州芙蓉、乾元就近小区电梯大三房，2梯3户，采光好,诚信御景园 -乾州,3室2厅 | 135.61平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,1人关注 / 5个月以前发布,55.8,"4,115元/平"
文艺路电梯两房，户型好，公积金可取可贷,广华沁香园 -吉首,2室2厅 | 88.64平米 | 东 | 毛坯 | 低楼层(共32层)  | 暂无数据,1人关注 / 4个月以前发布,31.5,"3,554元/平"
农业局宿舍一梯一户纯板房户型房东诚心出售,农业局宿舍 -乾州,3室2厅 | 134.1平米 | 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,57.8,"4,311元/平"
乾州盛世豪庭中层，有车位，小区绿化好，随时看房,盛世豪庭 -乾州,3室2厅 | 142平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,5人关注 / 8个月以前发布,85,"5,986元/平"
湘西 吉首 御香山 高层 三房两厅两卫  价格便宜,仁安·御香山 -经开区,3室2厅 | 107.07平米 | 东 东南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 10个月以前发布,59.8,"5,586元/平"
业主移居外县，诚心出售，有钥匙可随时看房价格可小刀,中宇和园 -乾州,3室2厅 | 129.19平米 | 东南 | 毛坯 | 中楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,50.5,"3,909元/平"
州法院住宅小区人车分流，闹中取静，多路交通便利,中宇和园 -乾州,3室2厅 | 129.19平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 5个月以前发布,49.8,"3,855元/平"
电力公司旁，电梯高层3居室，临河业主急售！,瑞苑小区 -吉首,3室2厅 | 123.87平米 | 西北 | 精装 | 中楼层(共19层)  | 暂无数据,4人关注 / 4个月以前发布,42.8,"3,456元/平"
文艺路单位大三房，楼层好采光好,市公路局宿舍 -吉首,3室2厅 | 95.09平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,28.8,"3,029元/平"
文艺路精装3室两厅拎包入住 免物业 停车费,种子公司宿舍 -吉首,3室2厅 | 110.6平米 | 西南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,40.8,"3,689元/平"
背靠吉凤山 山地公园 前临万溶江依山傍水 居家典范,溶江小区 -经开区,4室2厅 | 144.56平米 | 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,2人关注 / 7个月以前发布,61.8,"4,276元/平"
经开区 蓝天花园 三室两厅 高层视野采光无死角 通风好,蓝天花园 -经开区,3室2厅 | 123.56平米 | 北 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 5个月以前发布,46.8,"3,788元/平"
新出房源 户型方正 小区安静 居家舒适 诚心出售,和馨苑 -乾州,3室2厅 | 144.1平米 | 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,1人关注 / 6个月以前发布,62.8,"4,359元/平"
经开区宏大毛坯三房两厅，户型周正，采光好,宏大广场 -经开区,3室2厅 | 114.69平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,62,"5,406元/平"
房子诚心出售 一梯两户 单价3516,武陵东路98号 -吉首,2室1厅 | 65.41平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,22,"3,364元/平"
御香山洋房 通透双阳台 带一个小露台  大露台,仁安·御香山 -经开区,2室2厅 | 93平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,57.8,"6,216元/平"
文艺路单位三房带杂物房，好楼层无抵押免物业,工商银行宿舍 -吉首,3室2厅 | 125.5平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 7个月以前发布,42,"3,347元/平"
武陵书香苑3加1户型，带车位，户型周正，,武陵书香苑 -经开区,3室2厅 | 131.54平米 | 东南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,68,"5,170元/平"
溶江小区，精装三房两厅，家电齐全，拎包入住,溶江小区 -经开区,3室2厅 | 91平米 | 西南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,53.8,"5,913元/平"
乾州品质单位房（毛坯） 房型周正，大阳台 55万,乾邮嘉苑 -乾州,3室2厅 | 147平米 | 东 | 毛坯 | 高楼层(共13层)  | 板塔结合,0人关注 / 5个月以前发布,55,"3,742元/平"
状元首府 户型通透 视野开阔 位置佳,状元首府 -经开区,3室2厅 | 125.89平米 | 东南 | 毛坯 | 中楼层(共33层)  | 暂无数据,2人关注 / 8个月以前发布,69.6,"5,529元/平"
老城区老单位三房楼层合适户型采光好,自治州粮食局宿舍 -吉首,3室2厅 | 116平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 10个月以前发布,41.8,"3,604元/平"
御香山 高层景观房 视野开阔 环境优美 人车分流,仁安·御香山 -经开区,3室2厅 | 112.27平米 | 西北 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 6个月以前发布,53,"4,721元/平"
御香山 高层景观房 视野开阔 环境优美 人车分流,仁安·御香山 -经开区,3室2厅 | 112.27平米 | 西北 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 6个月以前发布,53,"4,721元/平"
乾州品质单位房（毛坯） 房型周正，大阳台 55万,乾邮嘉苑 -乾州,3室2厅 | 147平米 | 东 | 毛坯 | 高楼层(共13层)  | 板塔结合,0人关注 / 5个月以前发布,55,"3,742元/平"
乾州高铁近滨江新城毛坯3房，户型周正，可随时看,滨江新城 -乾州,3室2厅 | 135.4平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 11个月以前发布,56.8,"4,195元/平"
乾州芙蓉旁边毛坯三房中层视野好,金坪家园 -乾州,3室2厅 | 112平米 | 西北 | 毛坯 | 中楼层(共30层)  | 板塔结合,1人关注 / 8个月以前发布,43,"3,840元/平"
18万买78平大两房，停车物业免费，,市自然资源局宿舍 -吉首,2室2厅 | 78.05平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,16,"2,050元/平"
吉大门口，地段好，可做门面，复式楼,檀香山 -吉首,1室1厅 | 77.68平米 | 东南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,36.8,"4,738元/平"
火车站 采光好 临河户型 电梯三房 单价3千多看上谈,峒河馨苑 -吉首,3室2厅 | 122.08平米 | 东南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,43,"3,523元/平"
经开区名.门江山毛坯三房视野开阔采光充足,名门江山小区 -经开区,3室2厅 | 132平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,1人关注 / 8个月以前发布,66.8,"5,061元/平"
学林中.心 买三得四 人车分流,状元首府 -经开区,4室2厅 | 126平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 8个月以前发布,70.8,"5,620元/平"
吉大毛坯两房出售  带子母车位  大阳台  视野广,檀香山 -吉首,2室2厅 | 77平米 | 南 | 简装 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,32.8,"4,260元/平"
世纪山水三房3厅2卫53.5万，房东证件在手,世纪山水 -乾州,3室2厅 | 105.24平米 | 北 | 简装 | 低楼层(共18层)  | 板塔结合,4人关注 / 4个月以前发布,53.5,"5,084元/平"
乾州芙蓉旁滨江新城毛坯4房，电梯中层，采光好,滨江新城 -乾州,4室2厅 | 169.5平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,1人关注 / 4个月以前发布,69.6,"4,107元/平"
此 房 满五 证 齐 采光好 诚 心出售 随时看房,九龍山莊 -乾州,4室2厅 | 140.9平米 | 南 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 3个月以前发布,51.8,"3,677元/平"
业主诚心置换，看中就谈，随时签约！,首府印象 -吉首,3室2厅 | 122.49平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 9个月以前发布,63.8,"5,209元/平"
房子证件到手  满两年 装修未入住   首付低,龍泉花苑 -吉首,3室2厅 | 102.5平米 | 东南 | 精装 | 中楼层(共18层)  | 塔楼,2人关注 / 8个月以前发布,45.8,"4,469元/平"
带车位户型好没有遮挡 大阳台 小区人车分流 适合居住,华商国际城 -乾州,车位 | 124.6平米 | 东  | 暂无数据,1人关注 / 6个月以前发布,62.8,"5,041元/平"
品质小区  中区楼层 一梯一户 满二看房有钥匙,滨江新城 -乾州,3室2厅 | 123.67平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 6个月以前发布,55.6,"4,496元/平"
高层视野开阔看河，乾州电梯大三房，小区环境好,金坪家园 -乾州,3室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 3个月以前发布,34,"2,906元/平"
世纪山水一期 精装两房 很少入住 户型号,世纪山水 -乾州,2室2厅 | 87平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 9个月以前发布,53.8,"6,184元/平"
房东有两套房子，想卖一套，房东诚心出售，价格可谈,金坪家园 -乾州,4室2厅 | 129.43平米 | 西南 | 毛坯 | 中楼层(共30层)  | 暂无数据,2人关注 / 9个月以前发布,41,"3,168元/平"
经开区名们江山中间楼层，诚心出售随时看房,名门江山小区 -经开区,3室2厅 | 127.15平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 7个月以前发布,66,"5,191元/平"
乾州毛坯大四房，小区环境优美，出行便利。,荣昌裕隆世纪山庄（新城花园） -乾州,4室2厅 | 154.32平米 | 东南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,70,"4,537元/平"
师院旁，出售临河小区2房+1急售，有钥匙！,龙凤吉祥山庄 -吉首,2室2厅 | 85.57平米 | 东南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,28.8,"3,366元/平"
火车站铁路旁  单位两房17万  免物业 免停车费,北一环17号 -吉首,4室2厅 | 65.96平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,5人关注 / 5个月以前发布,16.8,"2,547元/平"
出售吉盟天下毛坯房 诚心出售 价格可以谈 随时可以看,吉盟天下一期 -吉首,4室2厅 | 130.97平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,42.8,"3,268元/平"
峒河公园旁新出电梯房 随时可看,峒河馨苑 -吉首,3室2厅 | 128.08平米 | 东 | 毛坯 | 中楼层(共28层)  | 塔楼,2人关注 / 8个月以前发布,45,"3,514元/平"
乾州4房，诚心出售，交通方便，随时看房，,书香美域 -乾州,4室2厅 | 141.59平米 | 东南 | 毛坯 | 中楼层(共27层)  | 塔楼,0人关注 / 9个月以前发布,50,"3,532元/平"
吉盟天下新上一套电梯房三居室，,吉盟天下一期 -吉首,4室2厅 | 106.67平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,39,"3,657元/平"
乾州世纪山水精装3房，诚心出售，价格面谈,世纪山水 -乾州,3室2厅 | 97.95平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,57.8,"5,901元/平"
出门主干道，交通方便，40来个包子,龍泉花苑 -吉首,3室2厅 | 120平米 | 东南 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 3个月以前发布,46.8,"3,900元/平"
雅溪地段单身住宅 九成新精装电梯一房首付5万拎包入住,大汉新城 -吉首,1室1厅 | 42.56平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 5个月以前发布,19.5,"4,582元/平"
简单装修 临河户型 三房 价格合适,安居园小区 -吉首,3室2厅 | 120平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,37,"3,084元/平"
乾州世纪广场旁大三房出售，单、价、3、字头现房、,书香华天 -乾州,3室2厅 | 138.22平米 | 北 南 | 毛坯 | 中楼层(共21层)  | 塔楼,0人关注 / 2个月以前发布,55,"3,980元/平"
成熟小区自带幼儿园，楼层好视线开阔带车位,大汉新城 -吉首,3室2厅 | 87平米 | 东北 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 2个月以前发布,40,"4,598元/平"
乾州单位电梯四方房买房带车库带杂物间 物业六毛五,德城园 -乾州,4室2厅 | 175.5平米 | 东南 | 毛坯 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,85,"4,844元/平"
"户型通透，带大露台和院子,人车分流",仁安·御香山 -经开区,4室2厅 | 154.42平米 | 西北 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 2天以前发布,108,"6,994元/平"
檀香山 1室1厅 东南,檀香山 -吉首,1室1厅 | 32.44平米 | 东南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 3天以前发布,16.5,"5,087元/平"
经开区大三房出行方便，位置合适随时可看,蓝天御景 -经开区,3室2厅 | 128.2平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,48.8,"3,807元/平"
乾州位置好  三房总价低 总站旁出门就是公交 随时看房,吉泰嘉园 -乾州,3室2厅 | 103.76平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 8个月以前发布,39.8,"3,836元/平"
州政府里面单位房 小区环境你懂得 三房中间楼层,老州政府宿舍 -吉首,3室2厅 | 115平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,1人关注 / 5个月以前发布,43.8,"3,809元/平"
吉首五小这里48万电梯三房，户型方正，证件齐全。,水畔铭城 -吉首,3室2厅 | 123.96平米 | 南 | 简装 | 中楼层(共12层)  | 暂无数据,0人关注 / 1个月以前发布,48,"3,873元/平"
乾州 大坡公园 精装三房 通透户型 急售 户型周正,乾邮嘉苑 -乾州,3室2厅 | 147平米 | 东南 | 精装 | 低楼层(共13层)  | 板塔结合,0人关注 / 1个月以前发布,65,"4,422元/平"
店长推荐：火车站工行单位房免物业停车费，边户光线好,州工商银行宿舍 -吉首,3室2厅 | 101.09平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,27.5,"2,721元/平"
户型周正，视野开阔，产权清晰，直接拎包入住,州汽车运输总公司宿舍 -吉首,3室2厅 | 115.34平米 | 东南 | 精装 | 低楼层(共9层)  | 暂无数据,1人关注 / 4个月以前发布,31.8,"2,758元/平"
碧桂园  视野美景尽收眼底 业主诚心出售 寻找有缘人,碧桂园·雲邸 -吉首,3室2厅 | 121.18平米 | 东南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,44.8,"3,697元/平"
盛世豪庭精装出售！临河，视野宽广，居家观景两不误。,盛世豪庭 -乾州,3室2厅 | 141平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,6人关注 / 6个月以前发布,95,"6,738元/平"
乾州四中，位置好，楼层好，采光好，俯瞰整个乾州古城,祥瑞花园 -乾州,3室2厅 | 120.61平米 | 东南 | 毛坯 | 中楼层(共25层)  | 暂无数据,6人关注 / 5个月以前发布,41.8,"3,466元/平"
吉首乾州经开区毛呸三房视野开阔，采光好，户型周正,永成世纪名门 -乾州,3室2厅 | 116.01平米 | 东南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,55,"4,741元/平"
业主诚心出售，证在手，户型周正，采光充足,福泉苑 -吉首,3室2厅 | 121平米 | 东北 | 简装 | 高楼层(共8层)  | 板塔结合,1人关注 / 一年前发布,38.5,"3,182元/平"
高新区书香苑毛坯3加一户型，带车位,武陵书香苑 -经开区,3室2厅 | 118平米 | 西南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,62.8,"5,323元/平"
火车站 电梯临河3房只卖3000多一平,峒河馨苑 -吉首,3室2厅 | 103平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,1人关注 / 5个月以前发布,35.8,"3,476元/平"
乾州中xin地段新上电梯两居室 位置佳,朝阳大厦 -乾州,2室2厅 | 83.62平米 | 南 | 毛坯 | 低楼层(共29层)  | 塔楼,0人关注 / 4个月以前发布,43,"5,143元/平"
溶江B区临河通透户型看河还通车库，太好了,溶江小区 -经开区,4室2厅 | 140平米 | 西北 | 毛坯 | 低楼层(共24层)  | 板楼,1人关注 / 10个月以前发布,70,"5,000元/平"
五星文明小区 总监力荐 人车分流 满二房东诚心置换,湘泉世纪领域 -乾州,3室2厅 | 123.97平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,56.8,"4,582元/平"
大汉新城  电梯好楼层 四房  户型好,大汉新城 -吉首,4室2厅 | 118.93平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,45.8,"3,852元/平"
此房满两年，简单装修，采光通透，钥匙在手，随时看房,福景花园 -吉首,2室1厅 | 88.53平米 | 南 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,35.8,"4,044元/平"
乾州 华商国际城带车位两室出售 视野开阔,华商国际城 -乾州,2室2厅 | 79.65平米 | 东 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,50,"6,278元/平"
水畔铭城，优质毛坯房，户型周正，视野开阔，,水畔铭城 -吉首,2室2厅 | 102.37平米 | 西南 | 毛坯 | 高楼层(共12层)  | 暂无数据,0人关注 / 3个月以前发布,40.6,"3,967元/平"
吉首市经开区，三加一带车位单价4000多，小区人车分流,武陵书香苑 -经开区,3室2厅 | 131.54平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,70.8,"5,383元/平"
盛世豪庭   富华大厦视线好，房东诚心出售,富华大厦 -乾州,3室2厅 | 109平米 | 西南 | 毛坯 | 高楼层(共28层)  | 暂无数据,2人关注 / 5个月以前发布,80.8,"7,413元/平"
乾州 华商国际城带车位两室出售 视野开阔,华商国际城 -乾州,2室2厅 | 79.65平米 | 东 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,50,"6,278元/平"
水畔铭城，优质毛坯房，户型周正，视野开阔，,水畔铭城 -吉首,2室2厅 | 102.37平米 | 西南 | 毛坯 | 高楼层(共12层)  | 暂无数据,0人关注 / 3个月以前发布,40.6,"3,967元/平"
火车站 电梯临河3房只卖3000多一平,峒河馨苑 -吉首,3室2厅 | 103平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,1人关注 / 5个月以前发布,35.8,"3,476元/平"
高新区书香苑毛坯3加一户型，带车位,武陵书香苑 -经开区,3室2厅 | 118平米 | 西南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,62.8,"5,323元/平"
三十来万买文艺路单位三房，免物业停车位置好配套全,湘西自治州地震局宿舍 -吉首,3室2厅 | 110.2平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,35.7,"3,240元/平"
乾州中xin地段新上电梯两居室 位置佳,朝阳大厦 -乾州,2室2厅 | 83.62平米 | 南 | 毛坯 | 低楼层(共29层)  | 塔楼,0人关注 / 4个月以前发布,43,"5,143元/平"
"金开区4房2厅一梯一户,价格美丽",名门江山小区 -经开区,4室2厅 | 137平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,75,"5,475元/平"
户型周正，户户朝阳 小区人车分流 居住舒适,名门江山小区 -经开区,3室2厅 | 131.75平米 | 西南 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,66.8,"5,071元/平"
大汉新城  电梯好楼层 四房  户型好,大汉新城 -吉首,4室2厅 | 118.93平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,45.8,"3,852元/平"
溶江B区临河通透户型看河还通车库，太好了,溶江小区 -经开区,4室2厅 | 140平米 | 西北 | 毛坯 | 低楼层(共24层)  | 板楼,1人关注 / 10个月以前发布,70,"5,000元/平"
五星文明小区 总监力荐 人车分流 满二房东诚心置换,湘泉世纪领域 -乾州,3室2厅 | 123.97平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,56.8,"4,582元/平"
