标题,开发商,房子信息,发布信息,售价/万,单价
老城区 西门九曲小区套三简装104平2楼  公摊小,九曲河小区 -雁江区,3室1厅 | 104平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,4人关注 / 7个月以前发布,39,"3,750元/平"
亲和苑急售，精装套三，随时看房，拎包入住！！！！,亲和苑小区 -雁江区,3室2厅 | 118平米 | 东南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 7个月以前发布,49.6,"4,204元/平"
沱东现房朗基香樾府清水套三双卫拿房即装修,朗基香樾府（资阳） -雁江区,3室2厅 | 96.7平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,54.7,"5,657元/平"
摩根时代 精装修 大套二拎包入住 梅西广场,摩根时代 -雁江区,2室2厅 | 83平米 | 东南 | 简装 | 中楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,58.8,"7,085元/平"
沱东印象 套二单卫 中间楼层清水房,沱东印象 -雁江区,2室1厅 | 84平米 | 西北 | 毛坯 | 中楼层(共28层)  | 塔楼,2人关注 / 6个月以前发布,45.8,"5,453元/平"
曼购商圈位置未来尚城，精致套三，业主急售,四海未来尚城 -雁江区,3室2厅 | 106平米 | 南 | 其他 | 中楼层(共31层)  | 塔楼,0人关注 / 8个月以前发布,65,"6,133元/平"
雁北路 套二两厅精装修，中间楼层房屋无遮挡。,雁北路 -雁江区,2室2厅 | 78平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,43.8,"5,616元/平"
，曼购商圈，临人民医院，配套齐全。,四海未来尚城 -雁江区,3室2厅 | 106.27平米 | 东南 | 其他 | 中楼层(共31层)  | 塔楼,1人关注 / 11个月以前发布,69.8,"6,569元/平"
外环路 花园式小区 安静 不吵闹多层3楼,博雅花园A区一期 -雁江区,2室2厅 | 85平米 | 东 东南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,37.5,"4,412元/平"
朗基香樾府（资阳） 3室2厅 东南,朗基香樾府（资阳） -雁江区,3室2厅 | 96.7平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,54.8,"5,668元/平"
长虹广场地铁口旁江南花都套二精装修拎包入住户型方正,江南花都 -雁江区,2室2厅 | 75平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,35.8,"4,774元/平"
房东购买大户型诚心出售，价格可谈，刚需套三看过来,东福四区金海岸 -雁江区,3室2厅 | 77.18平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,47.2,"6,116元/平"
领地坐标.精装套三.曼购商圈.九曲广场,京龙领地坐标 -雁江区,3室2厅 | 97平米 | 东南 南 | 其他 | 中楼层(共28层)  | 暂无数据,0人关注 / 7个月以前发布,55,"5,671元/平"
汽车总站 高新区 恒大城旁书台雅居 好楼层套三单卫,书台雅居 -雁江区,3室2厅 | 97平米 | 西南 | 简装 | 低楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,57.8,"5,959元/平"
外环路 温馨小套三户型 无浪费 视野开阔,鲜花香榭 -雁江区,3室2厅 | 89.75平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,48,"5,349元/平"
恒大城二期，110平，套三单卫，精装,恒大城二期 -雁江区,3室2厅 | 110平米 | 西南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 8个月以前发布,65.8,"5,982元/平"
万达商圈 博雅花园 花园式小区多层二楼 方便看房,博雅花园A区一期 -雁江区,2室2厅 | 67平米 | 东 东南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,33.8,"5,045元/平"
沱东新区套三双卫，中间楼层。小区住户素质好,雁江华府 -雁江区,3室2厅 | 131平米 | 东南 | 毛坯 | 中楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,92.8,"7,084元/平"
东江国际，优质好房，套二出售，价格可谈,东江国际 -雁江区,2室2厅 | 71.55平米 | 西北 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,42.6,"5,954元/平"
万达华府，套二，简装，配套设施完善,万达华府 -雁江区,2室2厅 | 70平米 | 西南 | 简装 | 高楼层(共32层)  | 暂无数据,1人关注 / 8个月以前发布,58.8,"8,400元/平"
出售优品上城顶跃带花园套四双卫清水,优品上城B区 -雁江区,4室2厅 | 141.79平米 | 东 东南 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,3人关注 / 4个月以前发布,74,"5,219元/平"
华西嘉苑  精装套二  家电齐全  少入住  房子好,华西嘉苑 -雁江区,2室2厅 | 84.53平米 | 南 | 精装 | 中楼层(共27层)  | 暂无数据,0人关注 / 11个月以前发布,52.8,"6,247元/平"
沱江新城 花园式小区 跃层 带小花园,碧水丽都一期 -雁江区,2室2厅 | 62.5平米 | 东 东南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 6个月以前发布,29.8,"4,768元/平"
圣桦名城刚需小套三 通地下室 中楼层,圣桦名城 -雁江区,3室2厅 | 84平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 8个月以前发布,65,"7,739元/平"
三贤公园旁，弘乐府同福A区，装修拎包入住,同福小区A区 -雁江区,3室2厅 | 93平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,62.8,"6,753元/平"
凯旋洋房小套二诚心出售，欢迎咨询,筑鼎凯旋国际 -雁江区,2室1厅 | 69平米 | 东南 南 | 毛坯 | 低楼层(共9层)  | 塔楼,0人关注 / 3个月以前发布,54.8,"7,943元/平"
车苑小区A区套三精装修100平米价格可谈,车苑小区 -雁江区,3室1厅 | 100平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,34.2,"3,420元/平"
狮山路小区 套三精装修 证满两年 中间楼层 配套成熟,狮山路 -雁江区,3室1厅 | 73平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,41.8,"5,727元/平"
摩根时代 精装修 三室两厅单卫 拎包入住 朝西南,摩根时代 -雁江区,3室2厅 | 83平米 | 东南 | 简装 | 中楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,66,"7,952元/平"
三贤公园 京华国际 中间楼层清水套二,京华国际 -雁江区,2室2厅 | 78.64平米 | 北 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 4个月以前发布,45.8,"5,825元/平"
恒大城二期套二单卫精装修，，，,恒大城二期 -雁江区,2室2厅 | 90平米 | 东南 | 其他 | 中楼层(共32层)  | 暂无数据,2人关注 / 8个月以前发布,57.8,"6,423元/平"
华西.九曲一号 精装套二 东南朝向,华西九曲1号 -雁江区,2室2厅 | 81平米 | 东南 | 精装 | 高楼层(共26层)  | 暂无数据,3人关注 / 6个月以前发布,56.8,"7,013元/平"
东福四区金海岸三室一厅精装修小区环境好,东福四区金海岸 -雁江区,3室2厅 | 115平米 | 东南 | 精装 | 高楼层(共33层)  | 暂无数据,2人关注 / 4个月以前发布,52.8,"4,592元/平"
曼购万达双商圈 娇子大道地铁口 领地坐标套二精装修,京龙领地坐标 -雁江区,2室2厅 | 85平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,50.8,"5,977元/平"
小广场 万和嘉苑电梯套三精装 户型方正采光好。。。,万和嘉苑 -雁江区,3室2厅 | 103平米 | 东南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,58.8,"5,709元/平"
凯旋国际 套三单卫 精装房 拎包入住,筑鼎凯旋国际 -雁江区,3室1厅 | 83平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 5个月以前发布,66.8,"8,049元/平"
恒大城一期  套二 拎包入住精装房,恒大城一期 -雁江区,2室1厅 | 89.56平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 5个月以前发布,58.8,"6,566元/平"
套二 小吃圈 教育医疗 购物 娱乐,优品上城B区 -雁江区,2室2厅 | 95平米 | 南 | 其他 | 高楼层(共29层)  | 暂无数据,0人关注 / 2个月以前发布,47,"4,948元/平"
置地城一期   有两层 三室两厅一厨两卫,置地城一期 -雁江区,3室2厅 | 48平米 | 南 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 6个月以前发布,48,"10,000元/平"
圣高广场 雁城大院精装套三  中间楼层,道轩雁城大院 -雁江区,3室1厅 | 90平米 | 东南 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 7个月以前发布,79.8,"8,867元/平"
万达商圈 套二 拎包入住 价格美丽,万达华府 -雁江区,2室2厅 | 70平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,55.8,"7,972元/平"
蓝光公园学府3室2厅 交通便利 环境干净舒适,蓝光公园学府 -雁江区,3室1厅 | 100平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 7个月以前发布,56,"5,600元/平"
西门 曼购商圈  雅香居套二精装 中间楼层采光好！,雅香居 -雁江区,2室2厅 | 86平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 7个月以前发布,46.8,"5,442元/平"
城南高新区牙骨旁 恒大城一期套二精装视野开阔采光好,恒大城一期 -雁江区,2室2厅 | 78平米 | 西南 | 其他 | 高楼层(共32层)  | 暂无数据,2人关注 / 10个月以前发布,48,"6,154元/平"
弘城水韵套三 圣高 广场 一义 精装修，家具家电,中城建弘城水韵 -雁江区,3室2厅 | 88.5平米 | 东南 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 4个月以前发布,60,"6,780元/平"
此房 精装修 套二，可以拎包入住,四海国际社区 -雁江区,2室1厅 | 86平米 | 东南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,59,"6,861元/平"
沱东江景房！水润东都洋房中间楼层套三精装修拎包入住,水润东都 -雁江区,3室2厅 | 137平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 6个月以前发布,126.8,"9,256元/平"
证满2年税费低，享圣高商圈，配套齐全，生活方便,沱东印象 -雁江区,3室2厅 | 84平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,0人关注 / 9个月以前发布,65,"7,739元/平"
圣桦名城 套三改双卫 素颜任意装,圣桦名城 -雁江区,3室2厅 | 83平米 | 南 | 其他 | 中楼层(共28层)  | 塔楼,0人关注 / 2个月以前发布,53,"6,386元/平"
优品道套三单卫 素颜随意装修   。。。。。。。,优品道资溪学府 -雁江区,3室2厅 | 90平米 | 东 | 其他 | 低楼层(共28层)  | 塔楼,0人关注 / 8个月以前发布,58.8,"6,534元/平"
富力天禧花园，三室两厅一卫，清水,富力天禧花园 -雁江区,3室2厅 | 97平米 | 东南 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 8个月以前发布,71,"7,320元/平"
优品上城 改套三 全款直接更名 电梯高楼层,优品上城B区 -雁江区,3室1厅 | 82.76平米 | 东南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 2个月以前发布,37.8,"4,568元/平"
房东诚心卖老城区精装套三双卫，面积大，证满二,二普车队小区 -雁江区,3室2厅 | 139.5平米 | 东南 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 1个月以前发布,59.8,"4,287元/平"
春天半岛五区电梯 清水房 有证随时可以过户,春天半岛五区 -雁江区,3室2厅 | 101平米 | 东南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 8个月以前发布,62.8,"6,218元/平"
优品上城 改套三 全款直接更名 电梯高楼层,优品上城B区 -雁江区,3室1厅 | 82.76平米 | 东南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 2个月以前发布,37.8,"4,568元/平"
优品道套三单卫 素颜随意装修   。。。。。。。,优品道资溪学府 -雁江区,3室2厅 | 90平米 | 东 | 其他 | 低楼层(共28层)  | 塔楼,0人关注 / 8个月以前发布,58.8,"6,534元/平"
富力天禧花园，三室两厅一卫，清水,富力天禧花园 -雁江区,3室2厅 | 97平米 | 东南 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 8个月以前发布,71,"7,320元/平"
此房 精装修 套二，可以拎包入住,四海国际社区 -雁江区,2室1厅 | 86平米 | 东南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,59,"6,861元/平"
圣桦名城 套三改双卫 素颜任意装,圣桦名城 -雁江区,3室2厅 | 83平米 | 南 | 其他 | 中楼层(共28层)  | 塔楼,0人关注 / 2个月以前发布,53,"6,386元/平"
急卖正东街套二 简装 价格可以谈,正东街 -雁江区,2室2厅 | 84.31平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,3人关注 / 4个月以前发布,24.8,"2,942元/平"
凤岭公园旁香樟苑二室二厅，交通便利小区环境干净舒适,世纪城香樟苑 -雁江区,2室1厅 | 75平米 | 东 | 精装 | 低楼层(共7层)  | 塔楼,1人关注 / 11个月以前发布,38.6,"5,147元/平"
套三单卫 品质小区 邻三贤九义校,优品道资溪学府 -雁江区,3室2厅 | 89平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 4个月以前发布,59.3,"6,663元/平"
优品道 清水三室两厅一卫 马上满两年 春天半岛,优品道资溪学府 -雁江区,3室1厅 | 90.49平米 | 东南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 4个月以前发布,58,"6,410元/平"
喜悦长岛 三区交汇 品质楼盘 套三单可双卫 户型方正,喜悦长岛 -雁江区,3室2厅 | 99.85平米 | 西南 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 4个月以前发布,59.8,"5,989元/平"
出售沱东新区圣桦名城清水小套三 中高楼层 报52万,圣桦名城 -雁江区,3室2厅 | 84平米 | 东 | 毛坯 | 高楼层(共28层)  | 塔楼,2人关注 / 10个月以前发布,52.8,"6,286元/平"
家乐福旁  金洋花园A区 82㎡套三,金洋花园A区 -雁江区,3室2厅 | 82平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,46.8,"5,708元/平"
玫瑰苑 套三单卫  精装可拎包入住,玫瑰苑 -雁江区,3室2厅 | 95平米 | 东 | 其他 | 高楼层(共22层)  | 暂无数据,0人关注 / 6个月以前发布,68.6,"7,222元/平"
圣桦名城通地下室满两年对中庭小三房！急售,圣桦名城 -雁江区,3室2厅 | 83平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,54.8,"6,603元/平"
沱东新区弘城水韵3室2厅1卫，小区环境好，停车方便,中城建弘城水韵 -雁江区,3室2厅 | 96.85平米 | 南 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 11个月以前发布,60.2,"6,216元/平"
滨江小区2室1厅 交通便利 小区环境干净舒适 适合居住,滨江小区 -雁江区,2室1厅 | 72平米 | 东南 | 简装 | 中楼层(共8层)  | 塔楼,3人关注 / 8个月以前发布,39.9,"5,542元/平"
万达地铁口 清水 套三单卫 万达华府,东能华府熙城 -雁江区,3室1厅 | 89.28平米 | 东南 | 简装 | 高楼层(共34层)  | 塔楼,1人关注 / 5个月以前发布,62,"6,945元/平"
西门 九曲花园108㎡套三 错层 中间楼层,九曲花园 -雁江区,3室2厅 | 108.52平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,55.8,"5,142元/平"
中城建弘城水韵 3室2厅 东南,中城建弘城水韵 -雁江区,3室2厅 | 98平米 | 东南 | 毛坯 | 中楼层(共29层)  | 暂无数据,0人关注 / 10个月以前发布,68.8,"7,021元/平"
优品道资溪学府 经典套三竖厅 素颜 可随意装修。。,优品道资溪学府 -雁江区,3室2厅 | 90平米 | 东南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,52.8,"5,867元/平"
急售  优品道三室两厅精装修  拎包入住,优品道资溪学府 -雁江区,3室2厅 | 110平米 | 东南 西南 | 精装 | 高楼层(共32层)  | 塔楼,2人关注 / 8个月以前发布,91,"8,273元/平"
龙汇广场 天府绿洲 电梯9楼 房东诚心出售,天府绿州小区 -雁江区,3室2厅 | 96平米 | 东南 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 5个月以前发布,57.6,"6,000元/平"
急售 狮子山套二  高楼层精装修  拎包入住,狮子山小区 -雁江区,3室2厅 | 75平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,4人关注 / 8个月以前发布,24.8,"3,307元/平"
急售 急售 急售优品道套三单卫 中间楼层,优品道资溪学府 -雁江区,3室2厅 | 90.43平米 | 东南 | 毛坯 | 低楼层(共32层)  | 塔楼,3人关注 / 8个月以前发布,59.5,"6,580元/平"
华西嘉苑 清水小套三85平米 52.6万可谈,华西嘉苑 -雁江区,3室2厅 | 84.7平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 5个月以前发布,52.6,"6,211元/平"
急卖城南高新区汽车站旁恒大城一期套二精装修拎包入住,恒大城一期 -雁江区,2室2厅 | 91平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 7个月以前发布,50.8,"5,583元/平"
房东诚售沱东现房香樾府清水套三双卫,朗基香樾府（资阳） -雁江区,3室2厅 | 96平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,54.2,"5,646元/平"
好地段推荐西门九曲花园松达广场电力小区套三停车方便,电力小区 -雁江区,3室2厅 | 85平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,33.9,"3,989元/平"
万达地铁口 清水 套三单卫 万达华府,东能华府熙城 -雁江区,3室1厅 | 89.28平米 | 东南 | 简装 | 高楼层(共34层)  | 塔楼,1人关注 / 5个月以前发布,62,"6,945元/平"
优品道 清水两室一厅一卫 春天半岛 沱四桥 满二,优品道资溪学府 -雁江区,2室1厅 | 78.48平米 | 东南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 4个月以前发布,52,"6,626元/平"
西门 九曲花园108㎡套三 错层 中间楼层,九曲花园 -雁江区,3室2厅 | 108.52平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,55.8,"5,142元/平"
房东诚售沱东现房香樾府清水套三双卫,朗基香樾府（资阳） -雁江区,3室2厅 | 96平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,54.2,"5,646元/平"
急售 狮子山套二  高楼层精装修  拎包入住,狮子山小区 -雁江区,3室2厅 | 75平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,4人关注 / 8个月以前发布,24.8,"3,307元/平"
急售凯旋国际四期经典小套二纯素颜,筑鼎凯旋国际 -雁江区,2室2厅 | 77平米 | 东南 南 | 毛坯 | 中楼层(共18层)  | 塔楼,1人关注 / 2个月以前发布,46.8,"6,078元/平"
龙汇广场 天府绿洲 电梯9楼 房东诚心出售,天府绿州小区 -雁江区,3室2厅 | 96平米 | 东南 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 5个月以前发布,57.6,"6,000元/平"
急卖城南高新区汽车站旁恒大城一期套二精装修拎包入住,恒大城一期 -雁江区,2室2厅 | 91平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 7个月以前发布,50.8,"5,583元/平"
沱东现房朗基香樾府清水套三双卫拿房即装修,朗基香樾府（资阳） -雁江区,3室2厅 | 84.66平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,47.4,"5,599元/平"
房东急售，急售。急售朝阳花园，套二单位，,朝阳花园三期 -雁江区,2室2厅 | 71平米 | 东北 | 简装 | 中楼层(共18层)  | 暂无数据,3人关注 / 3个月以前发布,19.6,"2,761元/平"
三贤文化小区，距离三贤公园50米不到。江景房,三贤文化小区 -雁江区,2室1厅 | 84平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,46.8,"5,572元/平"
万达旁，帝景名苑二期，配套齐全。,帝景名苑二期 -雁江区,2室2厅 | 82平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,3人关注 / 6个月以前发布,41.6,"5,074元/平"
沱东印象精装 三室两厅一厨一卫出售 价格可谈。,沱东印象 -雁江区,3室2厅 | 90.45平米 | 西 | 其他 | 中楼层(共18层)  | 暂无数据,1人关注 / 6个月以前发布,68.8,"7,607元/平"
主城区梅西商圈摩根时代 两室两厅 交通便利出行方便,摩根时代 -雁江区,2室2厅 | 64平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,1人关注 / 11个月以前发布,49,"7,657元/平"
多弗绿城 精装套二 全新家具家电 采光好 拎包入住,多弗绿城·诚园 -雁江区,2室2厅 | 74.5平米 | 东南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 9个月以前发布,48.8,"6,551元/平"
三贤公园春天半岛 低楼层一梯两户 套三精装采光好。,春天半岛一区 -雁江区,3室2厅 | 88平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,54.8,"6,228元/平"
高新区 玉柴学 校 城南春天 套三精装 中间楼层,城南春天 -雁江区,3室2厅 | 90平米 | 东南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 7个月以前发布,58.8,"6,534元/平"
恒大城精装套二 家具家电齐全拎包入住 楼层好,恒大城一期 -雁江区,2室1厅 | 90平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,58.8,"6,534元/平"
曼购旁 优品上城 标准套四双卫 内跃带花园 诚心出售,优品上城B区 -雁江区,4室4厅 | 141平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,3人关注 / 7个月以前发布,83.8,"5,944元/平"
三贤公园旁 弘乐府 园林式小区环境 中间楼层 对中庭,弘乐府公园一号 -雁江区,3室1厅 | 90.45平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,55,"6,081元/平"
三贤公园 京华国际 标准套二 中间楼层 房东诚心出售,京华国际 -雁江区,2室2厅 | 87平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 7个月以前发布,52,"5,978元/平"
多弗绿城 标准套二电梯 中间好楼层 单价5千 诚售,多弗绿城·诚园 -雁江区,2室2厅 | 76.18平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,1人关注 / 5个月以前发布,38,"4,989元/平"
三贤公园旁标准套三单卫 户型方正 公 停车方便 双公园,同福小区B区 -雁江区,3室2厅 | 90.94平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 11个月以前发布,39.8,"4,377元/平"
万达旁 帝景名苑 标准套二 带80平大花园 拎包入,帝景名苑二期 -雁江区,2室2厅 | 84.08平米 | 东 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 6个月以前发布,53.8,"6,399元/平"
急卖！长虹广场地铁口城南春天套三精装拎包入住户型好,城南春天 -雁江区,3室2厅 | 90平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 8个月以前发布,56.8,"6,312元/平"
圣高广场，玫瑰园，字库山公园，沱东分校,玫瑰苑 -雁江区,3室2厅 | 87平米 | 东南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 8个月以前发布,67.8,"7,794元/平"
苌弘广场地铁口旁 套三简装 中间楼层视野开阔可看江,苌弘小区 -雁江区,3室2厅 | 101平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,50.6,"5,010元/平"
三贤公园 刘家湾市场博物馆  狮子山小区 套二简装,狮子山小区 -雁江区,2室1厅 | 57平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,23.8,"4,176元/平"
狮子山3楼64平温馨两房，简装户型好25.8万随时看房,狮子山小区 -雁江区,2室2厅 | 64.05平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,25.8,"4,029元/平"
房东急售  家具家电齐全  价格可谈,恒大城一期 -雁江区,3室2厅 | 87平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,69.8,"8,023元/平"
狮子山3楼64平温馨两房，简装户型好25.8万随时看房,狮子山小区 -雁江区,2室2厅 | 64.05平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,25.8,"4,029元/平"
地铁口 沱江新城 碧水丽都 套二精装修 户型方正,碧水丽都一期 -雁江区,2室2厅 | 71平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,34.8,"4,902元/平"
出售鲜花香榭，家具齐全，拎包入住,鲜花香榭 -雁江区,3室2厅 | 96平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,53.8,"5,605元/平"
三贤公园刘家湾市场 狮子山小区套三精装1楼 停车方便,狮子山小区 -雁江区,3室1厅 | 65平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,36.8,"5,662元/平"
凯旋国际 套二户型方正，城西商圈,筑鼎凯旋国际 -雁江区,2室2厅 | 80平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 3个月以前发布,63.8,"7,975元/平"
梅西 时代阳光 套二 小户型 配套齐全 价格可谈,时代阳光A区 -雁江区,2室1厅 | 58.3平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 4个月以前发布,37,"6,347元/平"
春天半岛四区2室2厅 交通便利 小区环境干净舒适,春天半岛四区 -雁江区,2室2厅 | 85.87平米 | 南 | 精装 | 低楼层(共7层)  | 平房,1人关注 / 11个月以前发布,46.8,"5,451元/平"
万达旁 帝景名苑 标准套二 带80平大花园 拎包入,帝景名苑二期 -雁江区,2室2厅 | 84.08平米 | 东 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 6个月以前发布,53.8,"6,399元/平"
三贤公园 京华国际 标准套二 中间楼层 房东诚心出售,京华国际 -雁江区,2室2厅 | 87平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 7个月以前发布,52,"5,978元/平"
三贤公园旁 弘乐府 园林式小区环境 中间楼层 对中庭,弘乐府公园一号 -雁江区,3室1厅 | 90.45平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,55,"6,081元/平"
多弗绿城 标准套二电梯 中间好楼层 单价5千 诚售,多弗绿城·诚园 -雁江区,2室2厅 | 76.18平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,1人关注 / 5个月以前发布,38,"4,989元/平"
三贤公园旁标准套三单卫 户型方正 公 停车方便 双公园,同福小区B区 -雁江区,3室2厅 | 90.94平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 11个月以前发布,39.8,"4,377元/平"
曼购旁 优品上城 标准套四双卫 内跃带花园 诚心出售,优品上城B区 -雁江区,4室4厅 | 141平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,3人关注 / 7个月以前发布,83.8,"5,944元/平"
京华国际，雁江八小，刘家湾菜市场，三贤公园,京华国际 -雁江区,2室2厅 | 78.6平米 | 西南 | 毛坯 | 高楼层(共25层)  | 塔楼,1人关注 / 7个月以前发布,48,"6,107元/平"
急卖！长虹广场地铁口城南春天套三精装拎包入住户型好,城南春天 -雁江区,3室2厅 | 90平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 8个月以前发布,56.8,"6,312元/平"
