标题,开发商,房子信息,发布信息,售价/万,单价
出售 沈抚新区  电梯洋房 精装修 三室户型,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,64.5,"6,650元/平"
急售 万科城市之光  好户型 位置好,沈抚万科城市之光 -沈抚新区,2室2厅 | 79平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,58,"7,342元/平"
沈抚新区德商春天里电梯洋房两室两厅一卫出售,德商春天里 -沈抚新区,2室1厅 | 81.46平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,50,"6,138元/平"
出售 德商春天里 洋房 精装修,德商春天里 -沈抚新区,2室2厅 | 86平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 7个月以前发布,60,"6,977元/平"
双南卧室 好楼层 冬天采光好 不冷 特惠房源,北方大厦 -沈抚新区,2室2厅 | 85.55平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,7人关注 / 6个月以前发布,27.9,"3,262元/平"
德商国际花园 一室一厅 全天采光无遮挡,德商国际花园 -沈抚新区,1室1厅 | 59.12平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,30,"5,075元/平"
房子户型好，位置好，精装修地下有两个车位一起出售,万科金域蓝湾 -沈抚新区,3室2厅 | 168平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,181.7,"10,816元/平"
融创海逸长洲在售户型130平 精装修 价格美丽 诚心出售,融创东环海逸长洲 -沈抚新区,3室2厅 | 131.55平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,79.2,"6,021元/平"
南北标户 低楼层带花园  满五唯一,绿地剑桥 -沈抚新区,2室2厅 | 84平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,63,"7,500元/平"
沈抚新区 国际鑫城小区 南北两室 户型好,国际鑫城 -沈抚新区,2室2厅 | 96平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,41,"4,271元/平"
急售急售急售沈抚新区中金公元启城,中金公元启城 -沈抚新区,2室2厅 | 84平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 5个月以前发布,40.5,"4,822元/平"
万科洋房，好楼层，万科物业...,沈抚万科城市之光 -沈抚新区,3室2厅 | 131平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,116.5,"8,894元/平"
万科城市之光洋房一楼包含南北花园,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,156.1,"12,008元/平"
交通便利  好房源  位置好   ..................,沈抚万科城市之光 -沈抚新区,3室2厅 | 131平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,86,"6,565元/平"
沈抚新区融创洋房经典阁楼拎包即住近南昌中，南京小,融创东环海逸长洲 -沈抚新区,3室2厅 | 134平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,90,"6,717元/平"
南北标准户型 好楼层 中间户 电梯好房,中金公元启城 -沈抚新区,2室2厅 | 93.9平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 4个月以前发布,46.8,"4,985元/平"
沈抚新区精装两室好房出售 拎包即住大产权,德商国际花园 -沈抚新区,2室2厅 | 70.85平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,7人关注 / 8个月以前发布,39.9,"5,632元/平"
南北标户 户型好 全天采光无遮挡,同城一品 -沈抚新区,3室1厅 | 132平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板楼,4人关注 / 8个月以前发布,49,"3,713元/平"
万科金域蓝湾 一梯一户 欧式装修,万科金域蓝湾 -沈抚新区,3室2厅 | 167平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,6人关注 / 一年前发布,114,"6,827元/平"
南北通透精装修 拎包即住大产权 一线河景,巴塞罗那 -沈抚新区,2室2厅 | 82.22平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,9人关注 / 一年前发布,33,"4,014元/平"
：此房看房方便 户型好 南向客厅 楼层好 采光充足,德商春天里 -沈抚新区,3室2厅 | 86.54平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,59,"6,818元/平"
万科城市之光3-2-1 130平 118万   装修好,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,3人关注 / 一年前发布,108,"8,308元/平"
出售 沈抚新区 德商国际花园 小户型 精装修,德商国际花园 -沈抚新区,1室1厅 | 59平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,4人关注 / 7个月以前发布,26.1,"4,424元/平"
房主急售，万科成熟园区，环境好，格局好。,万科金域蓝湾 -沈抚新区,2室2厅 | 92.34平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,62,"6,715元/平"
沈抚新区阳光丽景二期多层精装修一楼出售,阳光丽景二期 -沈抚新区,2室2厅 | 85.97平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,60,"6,980元/平"
中环天地 1室1厅 南,中环天地 -其它,1室1厅 | 58.8平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,1人关注 / 6个月以前发布,27,"4,592元/平"
沈抚新区万科金域蓝湾三室两厅精装修出售,万科金域蓝湾 -沈抚新区,3室2厅 | 115平米 | 南 北 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 6个月以前发布,79.7,"6,931元/平"
急售！！！德商春天里电梯小高层81平,德商春天里 -沈抚新区,2室2厅 | 81平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,41,"5,062元/平"
沈抚新区中金公元启城两室两厅一卫精装修出售,中金公元启城 -沈抚新区,2室1厅 | 93.34平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,50,"5,357元/平"
精装修，南北通透两室电梯洋房，满五。,德商春天里 -沈抚新区,2室2厅 | 86平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,68,"7,907元/平"
急售，万科精装洋一，三面花园，等大地下室,沈抚万科城市之光 -沈抚新区,3室2厅 | 100.88平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 6个月以前发布,163,"16,158元/平"
沈抚万科城市之光2-2-1-1 79.00m² 70 万,沈抚万科城市之光 -沈抚新区,2室2厅 | 79平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,68,"8,608元/平"
沈抚新区急售 融创东环海逸长洲 精装修 拎包即住,融创东环海逸长洲 -沈抚新区,2室2厅 | 99平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,72,"7,273元/平"
万科金域蓝湾 2室2厅一卫 南北户型配套全,万科金域蓝湾 -沈抚新区,2室2厅 | 88.16平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,3人关注 / 一年前发布,64,"7,260元/平"
万科金域蓝湾 急售 采光好 楼层适中 近轻轨,万科金域蓝湾 -沈抚新区,2室2厅 | 92平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,55,"5,979元/平"
沈抚新区德商国际花园 精装 一楼 带花园 带凉亭,德商春天里 -沈抚新区,2室2厅 | 81.46平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,7人关注 / 一年前发布,65,"7,980元/平"
电梯精装修 南北格局 采光通风好 21年新交付房源,沈抚中南熙悦 -沈抚新区,2室2厅 | 76平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 4个月以前发布,48,"6,316元/平"
急售！沈抚新区 锦绣澜湾 精装 好楼层,锦绣澜湾D区 -沈抚新区,2室2厅 | 94.11平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,47,"4,995元/平"
沈抚2号线上 锦绣蓝湾D区 小高层 中间楼层 户型方正,锦绣澜湾D区 -沈抚新区,3室2厅 | 128平米 | 北 南 | 毛坯 | 中楼层(共14层)  | 板楼,1人关注 / 一年前发布,61.5,"4,805元/平"
本房源为21年6月份新交付房源 清水 南北户型 看房方便,沈抚中南熙悦 -沈抚新区,2室2厅 | 75.2平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 5个月以前发布,46,"6,118元/平"
万科电梯洋房，108平，三室两厅两卫，楼层好，采光好,沈抚万科城市之光 -沈抚新区,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,6人关注 / 一年前发布,85,"7,871元/平"
房源户型好，精装修位置优，大花园，,沈抚万科城市之光 -沈抚新区,3室1厅 | 98平米 | 南 北 | 精装 | 低楼层(共20层)  | 板楼,0人关注 / 3个月以前发布,109,"11,123元/平"
沈抚新区锦绣澜湾131平三室两厅两卫大开间标准户型,锦绣澜湾C区 -沈抚新区,3室2厅 | 131.9平米 | 南 北 | 毛坯 | 高楼层(共10层)  | 板楼,6人关注 / 一年前发布,56,"4,246元/平"
沈抚新区隆润国际两室两厅一卫出售,隆润国际 -沈抚新区,2室2厅 | 66.21平米 | 北 南 | 毛坯 | 低楼层(共25层)  | 板楼,12人关注 / 一年前发布,21.5,"3,248元/平"
沈抚新区 出售德商国际花园 精装修三室户型楼层好,德商国际花园 -沈抚新区,3室2厅 | 137平米 | 南 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 一年前发布,100.1,"7,307元/平"
一楼带地下室 实际面积边户带大花园,沈抚万科城市之光 -沈抚新区,3室2厅 | 131平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,141,"10,764元/平"
沈抚新区 出售 锦绣澜湾精装修 洋房 三室户型,锦绣澜湾C区 -沈抚新区,3室1厅 | 110平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,12人关注 / 一年前发布,53,"4,819元/平"
低楼层 不挡光 两室 包过户 随时看房 全明户型,德商国际花园 -沈抚新区,2室2厅 | 78.9平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 6个月以前发布,42,"5,324元/平"
沈抚电梯洋房9层新 装修完基本没住 看房方便,德商国际花园 -沈抚新区,3室2厅 | 97.74平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,63.5,"6,497元/平"
沈抚两室电梯园区24小时安保 随时可以看房,德商国际花园 -沈抚新区,2室1厅 | 70.82平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,41,"5,790元/平"
两室小户型 南北通透 采光好 无遮挡,和美家园 -沈抚新区,2室1厅 | 67.29平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,54人关注 / 一年前发布,14.9,"2,215元/平"
沈抚新区！ 高科公寓！ 一楼！,高科公寓 -沈抚新区,2室1厅 | 90.08平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,38,"4,219元/平"
沈抚 高科公寓 急售 南北通透 随时看房,高科公寓 -沈抚新区,2室1厅 | 90.8平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,37,"4,075元/平"
宝石家园精装修 南北通透 交通便利,李石宝石家园 -沈抚新区,2室1厅 | 97.4平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,9人关注 / 一年前发布,31.1,"3,194元/平"
沈抚新区中环天地 112平 精装修 南北通透 景观好,中环天地 -其它,3室2厅 | 112.12平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 一年前发布,69,"6,155元/平"
中环天地77平两室精装南北通透采光好41万,中环天地 -其它,2室2厅 | 77平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,42,"5,455元/平"
万科城市之光 130平洋房3楼电梯,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,4人关注 / 一年前发布,97.5,"7,500元/平"
万科2室 90平 价格美丽 看房方便  品质小区,万科金域蓝湾 -沈抚新区,2室2厅 | 92.34平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,7人关注 / 一年前发布,64,"6,931元/平"
近轻轨 四室两卫拎包入住 储物空间大  格局好,明骏雅居 -沈抚新区,4室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 7个月以前发布,75,"5,358元/平"
急售 沈抚电梯两室 全天采光 近南昌 南京 随时看房,德商国际花园 -沈抚新区,2室1厅 | 70.85平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,41,"5,787元/平"
沈抚 现房 近生命之环 中间楼层 电梯 南北两室随时看,中金公元启城 -沈抚新区,2室1厅 | 86.45平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,5人关注 / 5个月以前发布,38.5,"4,454元/平"
锦绣澜湾D区洋房 婚房精装 价格优惠,锦绣澜湾D区 -沈抚新区,3室2厅 | 124平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,27人关注 / 一年前发布,52.5,"4,234元/平"
业主急售中南熙悦南北小两室视野开阔价格便宜32万,沈抚中南熙悦 -沈抚新区,2室2厅 | 76平米 | 南 北 | 其他 | 高楼层(共27层)  | 板楼,3人关注 / 5个月以前发布,30.5,"4,014元/平"
沈抚新区浑河城两室两厅一卫精装修出售,浑河城 -其它,2室2厅 | 100.32平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,1人关注 / 5个月以前发布,54,"5,383元/平"
此房源未满二年，南北通透格局，采光好，无遮挡，配,沈抚中南熙悦 -沈抚新区,3室2厅 | 105平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,65,"6,191元/平"
格局好  视野开阔  采光充足,明骏雅居 -沈抚新区,3室2厅 | 109平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,1人关注 / 9个月以前发布,69,"6,331元/平"
出售 沈抚新区 万科金域蓝湾 三室户型,万科金域蓝湾 -沈抚新区,3室2厅 | 109平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,75.8,"6,955元/平"
锦绣澜湾C区 3室2厅 南,锦绣澜湾C区 -沈抚新区,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,49.8,"4,150元/平"
此房满二年，南北通透格局，采光好，无遮挡，配套全,同城一品 -沈抚新区,2室1厅 | 92平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,45,"4,892元/平"
绿地小高层 格局方正标准户型 南北通透 单价三千多,绿地剑桥 -沈抚新区,2室2厅 | 85.77平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,3人关注 / 4个月以前发布,29.5,"3,440元/平"
此房看房方便 户型好 南向客厅 楼层好 采光充足,德商国际花园 -沈抚新区,3室1厅 | 97平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,55,"5,671元/平"
急售 万科精品好房 万科自带精装修,沈抚万科城市之光 -沈抚新区,2室2厅 | 78.95平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 11个月以前发布,59.5,"7,537元/平"
万科好楼层精装两室，南北通透，位置好，前后无遮挡,沈抚万科城市之光 -沈抚新区,2室2厅 | 79平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,60,"7,595元/平"
万科精装两室，中间楼层，采光好，视野佳,沈抚万科城市之光 -沈抚新区,2室2厅 | 79平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 6个月以前发布,52,"6,583元/平"
精装两室，南北通透，出入方便，配套齐全，采光好,沈抚万科城市之光 -沈抚新区,2室2厅 | 78平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,59.5,"7,629元/平"
沈抚万科城市之光，标准南北户型,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,106,"8,154元/平"
德商国际花园100.33平  63.5万可议 精装修,德商国际花园 -沈抚新区,3室2厅 | 100.33平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,3人关注 / 一年前发布,52,"5,183元/平"
此房源南北通透格局，采光好，无遮挡，配套齐全,沈抚万科城市之光 -沈抚新区,2室1厅 | 79平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,55,"6,963元/平"
此房源未满二年，南北通透格局，采光好，无遮挡，配,沈抚中南熙悦 -沈抚新区,3室2厅 | 103平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,62,"6,020元/平"
此房南北通透格局好、视野开阔、采光充足,明骏雅居 -沈抚新区,3室2厅 | 112平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 8个月以前发布,69,"6,161元/平"
沈抚小高 品质园区 户型好双南卧 楼下车站 公园10粉中,德商国际花园 -沈抚新区,3室2厅 | 108平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,57.5,"5,325元/平"
急售 房主 出售本房 南北通透 可住可租好户型,沈抚中南熙悦 -沈抚新区,2室2厅 | 76平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 一年前发布,43,"5,658元/平"
南向精装两室 家具家电齐全 全天采光无遮挡,国际鑫城 -沈抚新区,2室2厅 | 83.13平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,30.5,"3,669元/平"
格林景苑小区，二室二厅一厨一卫,格林景苑 -顺城区,2室2厅 | 98.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,21人关注 / 一年前发布,36,"3,637元/平"
出售 沈抚德商国际花园 两室户型,德商国际花园 -沈抚新区,2室1厅 | 70.85平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 5个月以前发布,31.5,"4,447元/平"
国际鑫城，精装修好楼层，拎包即住,国际鑫城 -沈抚新区,2室2厅 | 72平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,1人关注 / 一年前发布,36,"5,000元/平"
沈抚新区 国际鑫城 精装修大两室南北通透带家具家电,国际鑫城 -沈抚新区,2室2厅 | 96.3平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,5人关注 / 一年前发布,46.5,"4,829元/平"
明俊雅居三室两厅一卫楼层好户型佳临河景观环境优雅。,明骏雅居 -沈抚新区,3室2厅 | 112平米 | 北 南 | 精装 | 高楼层(共25层)  | 板楼,1人关注 / 6个月以前发布,74,"6,608元/平"
房源户型好位置优越，视野开阔价格可小议,沈抚万科城市之光 -沈抚新区,2室2厅 | 79平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 5个月以前发布,52,"6,583元/平"
沈抚万科城市之光 2室2厅 南 北,沈抚万科城市之光 -沈抚新区,2室2厅 | 78.99平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,50.4,"6,381元/平"
御府龙湾3-2-1-1 85.56m² 34 万,御府龙湾 -沈抚新区,3室2厅 | 85.56平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,2人关注 / 3个月以前发布,33.8,"3,951元/平"
业主急售 顶跃 南北两个露台 有钥匙 随时看房 户型好,锦绣澜湾D区 -沈抚新区,4室2厅 | 137.41平米 | 南 | 毛坯 | 高楼层(共8层)  | 板楼,7人关注 / 3个月以前发布,51,"3,712元/平"
.标准户型，室内采光、通风效果好,地旺国际 -沈抚新区,2室2厅 | 76.69平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 一年前发布,36.1,"4,708元/平"
"此房满二，南北格局，楼层好，视野开阔,，采光充足",中环天地 -其它,2室1厅 | 89.23平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,1人关注 / 10个月以前发布,39.5,"4,427元/平"
近育才 河景高层 南北通透格局 视野开阔,沈抚中南熙悦 -沈抚新区,2室2厅 | 75平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 9个月以前发布,45,"6,000元/平"
万科6期，单价zhui di房源。精装修，顶楼必看房源,沈抚万科城市之光 -沈抚新区,2室2厅 | 78.96平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,4人关注 / 6个月以前发布,45.5,"5,763元/平"
德商国际花园59平大单价一室一厅一卫,德商国际花园 -沈抚新区,1室1厅 | 59.12平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,32.4,"5,481元/平"
沈抚新区 德商春天里 精装修 两室 一楼带花园40平,德商春天里 -沈抚新区,2室2厅 | 87.46平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,8人关注 / 一年前发布,70,"8,004元/平"
中金公元启城三室两厅一卫南北通透格局好 采光好,中金公元启城 -沈抚新区,3室2厅 | 108.73平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 7个月以前发布,66,"6,071元/平"
出售 沈抚万科城市之光 小高层,沈抚万科城市之光 -沈抚新区,3室2厅 | 117.51平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,77,"6,553元/平"
出售 沈抚新区 德商国际花园 三室 精装修,德商国际花园 -沈抚新区,3室2厅 | 120平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,74.7,"6,225元/平"
沈抚中南熙悦现房格局方正 南北通透随时看房 本来本走,沈抚中南熙悦 -沈抚新区,2室1厅 | 74.01平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,38.2,"5,162元/平"
急售 沈抚 南京南昌旁明骏雅居南北大四室141平67.8万,明骏雅居 -沈抚新区,4室2厅 | 141.64平米 | 南 北 | 其他 | 低楼层(共25层)  | 板楼,1人关注 / 2个月以前发布,67.8,"4,787元/平"
亿丰中心1-0-1-1 31.40平 13.5 万,亿丰中心 -沈抚新区,1室0厅 | 31.4平米 | 北 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,13.5,"4,300元/平"
沈抚新区 德商国际花园 一室一厅一卫 大单间,德商国际花园 -沈抚新区,1室1厅 | 41平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2人关注 / 6个月以前发布,23.5,"5,732元/平"
沈抚德商房主售卖南京南昌旁南北小两居精装房42万,德商国际花园 -沈抚新区,2室1厅 | 70.86平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,42,"5,928元/平"
急售 德商经典小户 南向 出行便利 中间楼层,德商国际花园 -沈抚新区,1室1厅 | 56.02平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,27.5,"4,909元/平"
业主急售德商国际花园1室南向小户型价格可议21.5万,德商国际花园 -沈抚新区,1室1厅 | 41平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 6个月以前发布,22.2,"5,415元/平"
业主急售沈抚德商南北小两室德商国际花园可70.85平,德商国际花园 -沈抚新区,2室1厅 | 70.85平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,38,"5,364元/平"
婚房装修  楼层好 采光充足 视野开阔,明骏雅居 -沈抚新区,3室1厅 | 111.62平米 | 北 南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 8个月以前发布,74,"6,630元/平"
一室一厅小户型  精装修 拎包入住,德商国际花园 -沈抚新区,1室1厅 | 59平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,33.1,"5,611元/平"
采光充足，楼层高好，视野宽阔，采暖很好！交通方便！,中金公元启城 -沈抚新区,2室2厅 | 93.35平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,1人关注 / 5个月以前发布,49,"5,250元/平"
本房为园区二期 22年新交付房源 南北通透 看房方便,沈抚中南熙悦 -沈抚新区,2室2厅 | 75.2平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 2个月以前发布,35,"4,655元/平"
沈抚中南熙悦 3室2厅 南 北,沈抚中南熙悦 -沈抚新区,3室2厅 | 105平米 | 南 北 | 其他 | 高楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,65,"6,191元/平"
万科金域蓝湾 别墅 清水  位置好 物业好 CBD 商圈好,万科金域蓝湾 -沈抚新区,3室2厅 | 167平米 | 东南 | 毛坯 | 3层  | 板楼,3人关注 / 一年前发布,219,"13,114元/平"
房主急售，房子满两年没有大税，毛坯，可随意装修，,亿丰中心 -沈抚新区,1室1厅 | 43平米 | 南 | 毛坯 | 低楼层(共28层)  | 塔楼,0人关注 / 一年前发布,22.9,"5,326元/平"
沈抚新区 出售 德商国际花园 小户型 楼层好,德商国际花园 -沈抚新区,1室1厅 | 59平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,35.3,"5,984元/平"
沈抚新区！圣大英伦！南向户型！采光好!,圣大英伦国际 -沈抚新区,1室1厅 | 56平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,28,"5,000元/平"
融创.近南昌 南京  近轻轨 配套成熟,融创东环海逸长洲 -沈抚新区,2室2厅 | 102平米 | 南 北 | 简装 | 中楼层(共16层)  | 板楼,4人关注 / 一年前发布,75.1,"7,363元/平"
房子满二唯一，有贷款，价格可商量,万科金域蓝湾 -沈抚新区,5室3厅 | 166.99平米 | 南 北 | 毛坯 | 2层  | 板楼,0人关注 / 4个月以前发布,185,"11,079元/平"
房源位置好，楼层好，户型好。园区景色宜人,沈抚万科城市之光 -沈抚新区,2室2厅 | 78平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,52,"6,667元/平"
亿丰小户型1室出售，简单装修，拎包即住，交通方便,亿丰中心 -沈抚新区,1室1厅 | 43.46平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,3人关注 / 一年前发布,21.1,"4,856元/平"
德商国际花园 1室1厅 南,德商国际花园 -沈抚新区,1室1厅 | 59.6平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,32.5,"5,454元/平"
中金房产，楼下生命之环公园。环境好,中金公元启城 -沈抚新区,2室2厅 | 95平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,4人关注 / 一年前发布,57,"6,000元/平"
国际鑫城 鸟瞰沈抚 坐拥商圈标准2室户型南北通透,国际鑫城 -沈抚新区,2室1厅 | 71平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,4人关注 / 一年前发布,36.5,"5,141元/平"
绿地剑桥，房主诚心出售，满五无贷。,绿地剑桥 -沈抚新区,2室2厅 | 89平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,41.3,"4,641元/平"
亿丰精装修小户型，楼层好，交通方便。,亿丰中心 -沈抚新区,1室2厅 | 59.11平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,4人关注 / 一年前发布,25,"4,230元/平"
南向临街门市 目前经营中 位置好,德商国际花园 -沈抚新区,1室1厅 | 86.83平米 | 南 | 其他 | 低楼层(共1层)  | 板楼,0人关注 / 2个月以前发布,98,"11,287元/平"
