标题,开发商,房子信息,发布信息,售价/万,单价
主城区电梯小高层户型方正得房率高配套齐全,金石•凤凰城 -魏都区,3室2厅 | 143.76平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 7天以前发布,121,"8,417元/平"
八一路恒达金汇广场，毛坯房，装修方便,恒达·金汇广场 -魏都区,3室2厅 | 114.97平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 20天以前发布,93,"8,090元/平"
怡和花园 3室2厅 东 西,怡和花园 -建安区,3室2厅 | 145.71平米 | 东 西 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 5个月以前发布,78,"5,354元/平"
县物资总公司家属院3-1-1-1 102.38m,县物资总公司家属院 -建安区,3室1厅 | 102.38平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,40,"3,908元/平"
此房采光良好，交通便利，配套齐全。,潩水庄园北区 -建安区,3室1厅 | 130平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,1人关注 / 11个月以前发布,75,"5,770元/平"
天明城 精装修 家具家电 满 五唯一,天明城 -建安区,3室2厅 | 105.67平米 | 东 南 | 其他 | 低楼层(共27层)  | 板楼,1人关注 / 8个月以前发布,90,"8,518元/平"
此房满五唯一，房户型通透，楼层好，视野宽阔 精装修,丽景新苑 -建安区,3室2厅 | 134.92平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,74,"5,485元/平"
房子通风正常，格局合理，步梯高层，采光好楼间距宽,南苑小区(长葛市) -长葛市,3室2厅 | 141.67平米 | 南 北 | 其他 | 高楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,28,"1,977元/平"
"此房满五唯一，房东急售，户型好 交通方便,",空港新城 -建安区,3室1厅 | 88.35平米 | 东南 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,70,"7,924元/平"
锦绣江南 步梯中层 简装拎包入住 满五唯一 可分期,锦绣江南 -长葛市,3室2厅 | 140.02平米 | 西 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,63.5,"4,536元/平"
文峰广场 文博路 恒达开发 三室两厅,塔湾八组恒达城市花园小区 -魏都区,3室2厅 | 138.92平米 | 北 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,69,"4,967元/平"
四室 房价优廉 视野开阔好楼层好户型业主诚心出售,恒实御湖城 -建安区,4室2厅 | 153.64平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,98,"6,379元/平"
万达，306广场，许都广场旁，大两室，交通便利。,健发御园三期 -魏都区,2室2厅 | 92.96平米 | 西 北 | 其他 | 低楼层(共26层)  | 板楼,4人关注 / 5个月以前发布,76,"8,176元/平"
未来东岸华城，精装修，带家具家电,未来·東岸華城 -魏都区,3室2厅 | 148.41平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,1人关注 / 3个月以前发布,160,"10,781元/平"
南环7层洋房，精装，拎包入住！,汇锦·伊顿公馆 -长葛市,3室2厅 | 113.64平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 8个月以前发布,76,"6,688元/平"
此房是电梯中楼层，4室能够满足一家三代人的需求,世纪鑫城 -长葛市,4室2厅 | 170.98平米 | 南 北 | 其他 | 中楼层(共11层)  | 塔楼,2人关注 / 7个月以前发布,81,"4,738元/平"
小区环境优美，安保24小时为您保驾护航,建业桂园(长葛市) -长葛市,3室2厅 | 112.58平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,73,"6,485元/平"
采光通风格局好，采光充足，配套设施齐全,佳美魏武大厦 -长葛市,4室2厅 | 175平米 | 南 北 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 10个月以前发布,83,"4,743元/平"
楼层好，视野宽阔，采光充足，配套齐全，交通便利,唐宁湾 -长葛市,3室2厅 | 116.78平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,2人关注 / 6个月以前发布,65,"5,567元/平"
此房空间大，格局好，楼层好适合家人居住，采光充足,锦绣江南 -长葛市,4室2厅 | 163.98平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 8个月以前发布,73.5,"4,483元/平"
紫苑小区 3室2厅 南 北,紫苑小区 -长葛市,3室2厅 | 132.37平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,62,"4,684元/平"
房子楼层适中，采光好，适合三口之家居住,保盛小区 -长葛市,3室2厅 | 105.29平米 | 东南 | 其他 | 高楼层(共5层)  | 板楼,3人关注 / 7个月以前发布,31,"2,945元/平"
盛亚名郡 看房方便  毛坯现房,盛亚名郡 -长葛市,3室2厅 | 131.72平米 | 南 北 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 10个月以前发布,74,"5,618元/平"
葛韵华府 双气小区 电梯底层 适合老人小孩 满五唯一,葛韵华府小区 -长葛市,3室2厅 | 108.26平米 | 西南 | 其他 | 低楼层(共26层)  | 板楼,2人关注 / 8个月以前发布,59,"5,450元/平"
精巧户型，地理位置优越，出入方便,樱之新城 -长葛市,3室2厅 | 124平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 9个月以前发布,67,"5,404元/平"
世纪鑫城三室中装  拎包入住  满五唯一  电梯好楼层,世纪鑫城 -长葛市,3室2厅 | 146.75平米 | 南 | 其他 | 低楼层(共19层)  | 塔楼,3人关注 / 8个月以前发布,79,"5,384元/平"
采光充足，视野好，楼层好 ，得房率高，,樱之新城 -长葛市,3室2厅 | 126平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,49,"3,889元/平"
北海腾飞花园   大三居    南北通透,北海腾飞花园 -建安区,3室2厅 | 133.94平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 3个月以前发布,78,"5,824元/平"
旁边有清潩河，离360广场，许都公园都近=,鼎鑫新世纪花园 -魏都区,3室2厅 | 148平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 7个月以前发布,106,"7,163元/平"
楼层好，视野宽阔，居住舒适，居民素质高，邻里和睦,宏基钻石城 -长葛市,3室2厅 | 135.06平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,1人关注 / 4个月以前发布,66,"4,887元/平"
唐宁湾毛坯三室电梯房 满五唯一 有证可按揭！,唐宁湾 -长葛市,3室2厅 | 132.31平米 | 西南 西 | 其他 | 中楼层(共26层)  | 板塔结合,3人关注 / 7个月以前发布,69,"5,216元/平"
解放路上铁路工务段家属院 三室两厅 楼层好,铁路工务段家属院 -魏都区,3室2厅 | 116平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,51,"4,397元/平"
樱之新城 3室1厅 南 北,樱之新城 -长葛市,3室1厅 | 125平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,68.5,"5,480元/平"
八一路茂源金色家园 3室1厅 双气 采光好 精装可按揭,茂源·金色家园 -魏都区,3室1厅 | 93.03平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,9人关注 / 11个月以前发布,64,"6,880元/平"
东区三室   三阳台  生活配套完善  葛天源旁,建业桂园(长葛市) -长葛市,3室2厅 | 139.46平米 | 南 | 其他 | 低楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,120,"8,605元/平"
洋房好楼层，视野宽阔，采光充足，配套齐全，交通便利,恒达阳光城(长葛市) -长葛市,3室2厅 | 147.56平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,96,"6,506元/平"
锦城景园 3室2厅 南,锦城景园 -长葛市,3室2厅 | 131.09平米 | 南 | 精装 | 高楼层(共17层)  | 暂无数据,1人关注 / 5个月以前发布,65,"4,959元/平"
户型方正，两室改三室，空间格局合理，采光好 公摊小,丽景新苑 -建安区,2室1厅 | 91.94平米 | 南 | 其他 | 高楼层(共16层)  | 板楼,1人关注 / 3个月以前发布,47,"5,113元/平"
颍川路上优质房源，满五唯一，精装婚房,金汇名家 -长葛市,3室2厅 | 127.33平米 | 南 | 其他 | 低楼层(共25层)  | 塔楼,0人关注 / 2个月以前发布,75,"5,891元/平"
双气满五唯一，采光不错，有证，可以按揭，,帝豪花园(新天街) -魏都区,3室2厅 | 116.19平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,1人关注 / 5个月以前发布,58,"4,992元/平"
此房现房，出行方便，户型方正，居住方便舒适,卓越香格里拉 -长葛市,4室2厅 | 181.77平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,4人关注 / 7个月以前发布,73,"4,017元/平"
唐宁湾，毛坯现房，诚心出售，看房方便,唐宁湾 -长葛市,3室2厅 | 115.12平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,65,"5,647元/平"
楼层好 视野宽阔 采光充足 配套齐全 交通便利,卓越香格里拉 -长葛市,3室2厅 | 155平米 | 东 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,65,"4,194元/平"
葛天源旁，上学方便，采光好，视野好,宏基钻石城 -长葛市,3室2厅 | 142平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,80,"5,634元/平"
房子精装，直接拎包入住！房子带个储藏室,城市花园 -长葛市,3室2厅 | 130平米 | 南 | 其他 | 低楼层(共7层)  | 板塔结合,3人关注 / 7个月以前发布,60,"4,616元/平"
德正西湖春天 4室2厅 南 北,德正西湖春天 -建安区,4室2厅 | 161.36平米 | 南 北 | 其他 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,168,"10,412元/平"
建安区瑞贝卡大道满五唯一格局通透运动楼层采光充足,建安区人民武装部家属院 -建安区,3室2厅 | 135.4平米 | 北 南 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 11个月以前发布,59,"4,358元/平"
业主诚心出售 看房方便 满五唯一 带储藏室,建业桂园(长葛市) -长葛市,3室2厅 | 113.45平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,83,"7,316元/平"
宇华名郡大三房 采光好，大阳台，配套齐全 南北通风,宇华名郡 -魏都区,3室2厅 | 136.5平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,1人关注 / 5个月以前发布,100,"7,327元/平"
建业壹号城邦 1楼带花园 不临街 有证可按揭,建业壹号城邦 -魏都区,4室2厅 | 143.72平米 | 南 北 | 其他 | 低楼层(共26层)  | 板塔结合,4人关注 / 6个月以前发布,175,"12,177元/平"
香榭丽舍 4室2厅 南 北,香榭丽舍 -长葛市,4室2厅 | 178.03平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,90,"5,056元/平"
房东急售，价格可谈，婚房装修，小高层中间楼层！！！,英地·泰和院 -建安区,3室1厅 | 135.75平米 | 东南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,72,"5,304元/平"
急售，宏伟西雅图，精装两室，包税，产权清晰随时过户,宏伟西雅图 -魏都区,3室2厅 | 106.93平米 | 东 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,58,"5,425元/平"
交通便利    小区环境好     停车方便,市外贸局家属院 -魏都区,3室2厅 | 123.12平米 | 东 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,78,"6,336元/平"
阳光佳苑 电梯好楼层，精装修，拎包入住,阳光佳苑(长葛市) -长葛市,3室2厅 | 122.53平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,65,"5,305元/平"
魏都区地段，生活便利，交通方便，购物便捷，,瑞东花园 -魏都区,3室2厅 | 136.34平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,59,"4,328元/平"
时代广场，满五唯一，精装修，一楼带院，七一路，双气,市政府家属院 -魏都区,3室2厅 | 107.62平米 | 南 | 其他 | 低楼层(共4层)  | 板楼,12人关注 / 一年前发布,77,"7,155元/平"
小区环境优美 有水系 绿化好 物业服务到位 交通方便,盛亚名郡 -长葛市,3室2厅 | 130平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,2人关注 / 11个月以前发布,65,"5,000元/平"
城标尚郡 3室2厅 南,城标尚郡 -魏都区,3室2厅 | 139.58平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,85,"6,090元/平"
此房采光好，精装三室.配套齐全,许昌石油分公司住宅楼东院 -魏都区,3室2厅 | 110.43平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,11人关注 / 一年前发布,35,"3,170元/平"
此房满五唯一，南边通透格局，采光无遮挡,景鸿城市之心 -魏都区,3室2厅 | 134.64平米 | 南 北 | 其他 | 中楼层(共23层)  | 板塔结合,0人关注 / 4个月以前发布,110,"8,170元/平"
此房坐北朝南，通风性好，采光无遮挡，户型方正,绿城百合 -长葛市,4室2厅 | 166平米 | 东 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 8个月以前发布,166,"10,000元/平"
未来东岸花城，精装修，采光好，地段好,未来·東岸華城 -魏都区,3室2厅 | 159.51平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,6人关注 / 8个月以前发布,145,"9,091元/平"
精装小三室，家具家电齐全，户型方正。,澜菲溪岸 -魏都区,3室1厅 | 90.01平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,4人关注 / 一年前发布,58,"6,444元/平"
公摊小得房率高。南北通透，采光好，阳光充足,樱之新城 -长葛市,4室2厅 | 136.66平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,44.5,"3,257元/平"
健康路.小.学一.中西湖公园西北大操场旁,许昌市人民电影院住宅楼 -魏都区,4室1厅 | 135.09平米 | 西南 | 其他 | 高楼层(共6层)  | 板塔结合,14人关注 / 一年前发布,63,"4,664元/平"
此房满五唯一，没有其他税费。房东诚心出售。。。。,大同街小学综合楼 -魏都区,3室1厅 | 105平米 | 北 南 | 其他 | 高楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,30,"2,858元/平"
中梁首府 3室2厅 南,中梁首府 -建安区,3室2厅 | 113.73平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,2人关注 / 7个月以前发布,60,"5,276元/平"
颍川路  现房      大平层,世纪鑫城 -长葛市,4室2厅 | 198.12平米 | 南 北 | 简装 | 中楼层(共18层)  | 塔楼,1人关注 / 9个月以前发布,87,"4,392元/平"
八一路满五唯一，双气精装三室，好楼层，采光好,茂源·金色家园 -魏都区,3室1厅 | 117.01平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,3人关注 / 7个月以前发布,81,"6,923元/平"
此房通透户型 格局好 采光好 两卧朝南,电业局住宅楼 -建安区,3室2厅 | 149.37平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,58,"3,883元/平"
樱之新城 1室1厅 北 南,樱之新城 -长葛市,1室1厅 | 55平米 | 北 南 | 其他 | 低楼层(共11层)  | 暂无数据,1人关注 / 5个月以前发布,30,"5,455元/平"
出行方便；；交通便利；；出则繁华‘如则宁静,北海62郡 -建安区,3室2厅 | 136.61平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,81,"5,930元/平"
此房满唯一 免个税 简单装修 电梯底层 有证可分期,葛韵华府小区 -长葛市,3室2厅 | 108平米 | 东南 南 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,60,"5,556元/平"
新东街 边户三室 满五  唯一  带车位,长城家园 -建安区,3室2厅 | 149.08平米 | 南 | 其他 | 高楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,93,"6,239元/平"
葛韵华府精装三室两厅两卫，电梯好楼层，房东诚心出售,葛韵华府小区 -长葛市,3室2厅 | 126.44平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,72,"5,695元/平"
小区位瑞贝卡大道与YI水路交汇此房为三室两厅一厨一卫,大正翡翠花园 -建安区,3室2厅 | 118平米 | 南 北 | 其他 | 高楼层(共25层)  | 塔楼,2人关注 / 一年前发布,85,"7,204元/平"
关帝新村3室2厅2卫 加储藏室 中层 采光好南北通风,关帝新村 -魏都区,3室1厅 | 129.2平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,5人关注 / 9个月以前发布,91.6,"7,090元/平"
创业园小区精装四室，满五唯一，拎包入住。,创业园小区 -长葛市,4室2厅 | 213.15平米 | 南 北 | 其他 | 中楼层(共19层)  | 暂无数据,0人关注 / 2个月以前发布,130,"6,099元/平"
文峰路三鼎华悦，鸿业文景苑精装三房，电梯好楼层,鸿业文景苑 -魏都区,3室2厅 | 140.8平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,102,"7,245元/平"
此房满五唯一 简单装修 电梯底层 有证可分期,葛韵华府小区 -长葛市,3室2厅 | 131.84平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 2个月以前发布,70,"5,310元/平"
芙蓉 湖  旁三室    采光好    交通方便,建业世和府 -建安区,3室2厅 | 138.25平米 | 南 | 其他 | 低楼层(共25层)  | 板塔结合,0人关注 / 3个月以前发布,120,"8,680元/平"
县物资总公司家属院 3室2厅 东,县物资总公司家属院 -建安区,3室2厅 | 130平米 | 东 | 其他 | 高楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,42,"3,231元/平"
金质西湖花园 3室2厅 南 北,金质西湖花园 -魏都区,3室2厅 | 149.31平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,135,"9,042元/平"
北海公园旁   尚品园小区    精装三室,尚品园 -建安区,3室2厅 | 98平米 | 南 | 其他 | 高楼层(共23层)  | 板楼,0人关注 / 2个月以前发布,45,"4,592元/平"
镜湖花园126平三室  精装自住,镜湖花园 -建安区,3室2厅 | 126.01平米 | 南 | 其他 | 中楼层(共16层)  | 板塔结合,0人关注 / 9个月以前发布,75,"5,952元/平"
潩水路实验东校区家属院简装3室可拎包入住,许昌实验小学东校区家属院 -建安区,3室2厅 | 140平米 | 南 北 | 其他 | 低楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,65,"4,643元/平"
碧桂园凯旋府 全天采光 看房方便  诚心出售,碧桂园·凯旋府 -建安区,3室2厅 | 121.76平米 | 南 北 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 7个月以前发布,95,"7,803元/平"
文化路中层电梯采光好含大露台视野开阔,宇华名郡 -魏都区,3室2厅 | 136.5平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,110,"8,059元/平"
电梯房一梯两户格局通透楼层好采光充足配套设施齐全,丽景新苑 -建安区,3室2厅 | 125.12平米 | 南 | 其他 | 高楼层(共12层)  | 板塔结合,0人关注 / 3个月以前发布,80,"6,394元/平"
此房满五不唯一，环境好舒适度高,世纪鑫城 -长葛市,1室1厅 | 48平米 | 南 | 其他 | 低楼层(共11层)  | 塔楼,2人关注 / 一年前发布,25.5,"5,313元/平"
户型方正 交通便利精装拎包入住,万象蓝天 -魏都区,4室2厅 | 164.36平米 | 南 北 | 其他 | 低楼层(共20层)  | 板楼,9人关注 / 11个月以前发布,110,"6,693元/平"
茂源金色家园三室电梯房精装修八一路文峰路口,茂源·金色家园 -魏都区,3室1厅 | 117.01平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,79,"6,752元/平"
满五唯一 精装修 诚意出售 无抵押 无纠纷，价格可谈,艺馨苑 -建安区,3室1厅 | 103.31平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,4人关注 / 一年前发布,66,"6,389元/平"
现房三室 户型方正 采光充足 房东急售,大正鲲府 -建安区,3室2厅 | 120平米 | 南 | 其他 | 低楼层(共17层)  | 板塔结合,0人关注 / 8个月以前发布,69,"5,750元/平"
文峰广场旁边三室两厅2楼中等装修带家电69万,裕达印刷厂家属院 -魏都区,3室2厅 | 135.32平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,4人关注 / 8个月以前发布,62.8,"4,641元/平"
格局通透，楼层好，采光充足，配套设施齐全。三室两厅,丽景新苑 -建安区,3室2厅 | 134.63平米 | 南 | 其他 | 低楼层(共16层)  | 板楼,0人关注 / 7个月以前发布,81,"6,017元/平"
瑞贝卡大道张潘路口简装3室可拎包入住,大正城南第一府 -建安区,3室2厅 | 129.1平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,64,"4,958元/平"
君都小区 3室2厅 南,君都小区 -长葛市,3室2厅 | 136平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,1人关注 / 2个月以前发布,36,"2,648元/平"
城南电梯三室，非顶楼，精装拎包入住,南苑新城 -建安区,3室2厅 | 113.08平米 | 南 北 | 其他 | 高楼层(共16层)  | 板楼,0人关注 / 7个月以前发布,75,"6,633元/平"
格局通透，楼层好，采光充足，配套设施齐全。三室两厅,丽景新苑 -建安区,3室2厅 | 134.63平米 | 南 | 其他 | 低楼层(共16层)  | 板楼,0人关注 / 7个月以前发布,81,"6,017元/平"
南区成熟小区，出行便利，三室中间楼层，简装实用,广杰御萃花园 -建安区,3室1厅 | 116.22平米 | 东南 | 其他 | 中楼层(共17层)  | 板塔结合,0人关注 / 4个月以前发布,72,"6,196元/平"
瑞丰苑.................,瑞丰苑 -建安区,3室2厅 | 131.56平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,78,"5,929元/平"
文峰路三鼎华悦    嘉年小区二中旁,嘉年小区 -魏都区,3室1厅 | 124.59平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,10人关注 / 6个月以前发布,58,"4,656元/平"
建业精装修 带车位储藏室 拎包入住 满五年,建业壹号城邦 -魏都区,3室2厅 | 131.57平米 | 南 北 | 精装 | 低楼层(共24层)  | 板塔结合,2人关注 / 11个月以前发布,130,"9,881元/平"
东站旁精装小三室  拎包入住 交通便利,空港新城二期 -建安区,3室1厅 | 84.74平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,70,"8,261元/平"
此房通透效果好，户型方正电梯11层洋房所在楼层10楼,金域湾 -建安区,3室2厅 | 134.57平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,8人关注 / 一年前发布,90,"6,688元/平"
广杰御萃花园，房东诚意出售，看房方便价位可谈。,广杰御萃花园 -建安区,2室2厅 | 106平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,60,"5,661元/平"
广汇.君悦城2-1-1-1 86.90m²,广汇.君悦城 -建安区,2室1厅 | 86.49平米 | 西 | 其他 | 低楼层(共19层)  | 塔楼,11人关注 / 7个月以前发布,40,"4,625元/平"
文峰路 怡和花园 三楼 采光充足 配套设施齐全,怡和花园 -建安区,4室2厅 | 175.26平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,87,"4,965元/平"
此房为精装房，户型好 ，电梯楼层， 采光好，双气,碧水名郡 -魏都区,3室2厅 | 141.71平米 | 南 北 | 精装 | 高楼层(共9层)  | 板塔结合,6人关注 / 4个月以前发布,82,"5,787元/平"
此房满五唯一，户型通透，电梯中间楼层，通风采光好,汇锦·伊顿公馆 -长葛市,3室2厅 | 111平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,70,"6,307元/平"
此房满唯一 免个税 简单装修 电梯底层 有证可分期,葛韵华府小区 -长葛市,3室2厅 | 108平米 | 东南 南 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,60,"5,556元/平"
观景三室房，户型方正，通透性好,未来·東岸華城 -魏都区,3室2厅 | 131.83平米 | 西 | 精装 | 高楼层(共31层)  | 板楼,29人关注 / 9个月以前发布,116,"8,800元/平"
县三文化局家属院 96平 36万,文化局家属院 -建安区,3室1厅 | 96.27平米 | 南 北 | 其他 | 高楼层(共4层)  | 塔楼,0人关注 / 2个月以前发布,34,"3,532元/平"
建业桂园 精装小三室 一层带花园 有证支持按揭,建业桂园(长葛市) -长葛市,3室2厅 | 113平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,90,"7,965元/平"
毓秀新村 3室1厅 南,毓秀新村 -魏都区,3室1厅 | 87.41平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,58,"6,636元/平"
新东街恒达物业，南北通透精装三房好楼层,长城家园 -建安区,3室2厅 | 125.24平米 | 南 北 | 精装 | 高楼层(共26层)  | 塔楼,2人关注 / 5个月以前发布,99,"7,905元/平"
许继天宝盛世花园交通便利 小区环境干净舒适 适合居住,天宝盛世花园 -建安区,3室2厅 | 114.33平米 | 南 | 其他 | 低楼层(共26层)  | 板楼,18人关注 / 11个月以前发布,79,"6,910元/平"
视野宽阔，采光充足。中间楼层，客厅敞亮，动静分..,丽景新苑 -建安区,3室2厅 | 127.51平米 | 南 | 简装 | 中楼层(共16层)  | 板楼,0人关注 / 3个月以前发布,75,"5,882元/平"
此房满五唯一，格局通透，采光充足，配套设施齐全,大正城南第一府 -建安区,3室2厅 | 137.78平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,75,"5,444元/平"
颍川路品质小区远大瑞园优质电梯好房,华友·远大瑞园 -长葛市,3室2厅 | 128.47平米 | 南 北 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,78.5,"6,111元/平"
世纪鑫城 3室2厅 南,世纪鑫城 -长葛市,3室2厅 | 123.5平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,2人关注 / 8个月以前发布,58,"4,697元/平"
长城家园 3室2厅 南,长城家园 -建安区,3室2厅 | 127.42平米 | 南 | 其他 | 高楼层(共25层)  | 板塔结合,5人关注 / 一年前发布,92,"7,221元/平"
此房 采光充足 前面无遮挡 拎包入住 带家具家电,金润·书香华城 -长葛市,3室2厅 | 120.76平米 | 南 北 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,59,"4,886元/平"
舒逸上苑，精装修三房，可拎包入住，户型方正,舒逸上苑 -长葛市,3室2厅 | 106.52平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,69,"6,478元/平"
满五唯一，楼层好，采光好，配套设施齐全,烟办家属院 -建安区,3室1厅 | 90平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 4个月以前发布,36,"4,000元/平"
建业帕拉帝奥大三室，精装修，价可谈,建业帕拉帝奥 -魏都区,3室2厅 | 159.66平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,18人关注 / 一年前发布,129.9,"8,137元/平"
长城家园 3室2厅 南,长城家园 -建安区,3室2厅 | 127.42平米 | 南 | 其他 | 高楼层(共25层)  | 板塔结合,5人关注 / 一年前发布,92,"7,221元/平"
精装修，家具家电全留  拎包入住,宏基钻石城 -长葛市,3室2厅 | 124.59平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,2人关注 / 5个月以前发布,69,"5,539元/平"
精装修  拎包入住   户型方正,天基理想城 -建安区,2室1厅 | 96.57平米 | 南 | 精装 | 低楼层(共25层)  | 塔楼,6人关注 / 8个月以前发布,41,"4,246元/平"
