标题,开发商,房子信息,发布信息,售价/万,单价
东坝江景房，朝南，精装修三房双卫，拎包入住，,翡翠城 -东坝,3室2厅 | 136.33平米 | 南 | 其他 | 中楼层(共24层)  | 暂无数据,0人关注 / 8天以前发布,123,"9,023元/平"
优质房源 大家速推 速推速推........,普罗旺斯一期 -雪峰,3室2厅 | 92平米 | 东南 | 精装 | 中楼层(共31层)  | 暂无数据,0人关注 / 5个月以前发布,96,"10,435元/平"
2012年左右修建楼层结构此房龄较新，均属于地震后建房,学都瑞景 -东坝,2室2厅 | 82.47平米 | 东南 | 简装 | 中楼层(共24层)  | 塔楼,1人关注 / 9个月以前发布,70,"8,488元/平"
东方曼哈顿 3室2厅 南,东方曼哈顿 -万源,3室2厅 | 113平米 | 南 | 精装 | 高楼层(共22层)  | 暂无数据,0人关注 / 5个月以前发布,130,"11,505元/平"
雪峰新修电梯清水房  套二诚心出售,巴黎时光 -雪峰,2室1厅 | 80.87平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,66,"8,162元/平"
马家巷 9室5厅 东南,马家巷 -南河,9室5厅 | 540平米 | 东南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,190,"3,519元/平"
万达中央华城二期精装四房，带车位，江景房,万达中央华城 -万源,4室2厅 | 131.38平米 | 北 | 精装 | 低楼层(共32层)  | 塔楼,2人关注 / 6个月以前发布,145,"11,037元/平"
金域香江，精装3居室，拎包入住,正黄金域香江 -南河,3室2厅 | 102平米 | 南 | 精装 | 高楼层(共30层)  | 暂无数据,3人关注 / 5个月以前发布,105,"10,295元/平"
雪峰河边大小区精装大四房带三个景观阳台，房东急卖,巴黎时光 -雪峰,4室2厅 | 123.5平米 | 东南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,125,"10,122元/平"
碧桂园豪Z大四室 全屋定制 实木加持 带140平台+车位,广元碧桂园 -雪峰,4室2厅 | 141平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,160,"11,348元/平"
开云世家3室2厅 交通便利 小区环境干净舒适 适合居住,开云世家 -南河,3室2厅 | 125平米 | 东北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,99,"7,920元/平"
盐业公司宿舍楼 3室2厅 东南,盐业公司宿舍楼 -南河,3室2厅 | 126平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,73,"5,794元/平"
南河大型小区 3室2厅 环境干净舒适 适合居住.,开云世家 -南河,3室2厅 | 129平米 | 东 | 精装 | 中楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,92,"7,132元/平"
广汇花园 2室2厅交通便利 小区环境干净舒适 适合居住,广汇花园 -南河,2室2厅 | 83.12平米 | 南 | 简装 | 高楼层(共30层)  | 塔楼,0人关注 / 一年前发布,67,"8,061元/平"
江南星城 3室2厅 东南,江南星城 -南河,3室2厅 | 102.6平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 5个月以前发布,79.5,"7,749元/平"
机场宿舍 3室2厅 西北,机场宿舍 -南河,3室2厅 | 126平米 | 西北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,72,"5,715元/平"
东坝 市委宿舍 大四室 可直接入住,广元市委宿舍 -东坝,4室2厅 | 146平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,93.5,"6,405元/平"
公路局小区三室两厅交通便利，小区环境干净舒适,广元市公路管理局家属院 -东坝,3室2厅 | 107平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,58,"5,421元/平"
急售！雪峰欧锦城基装电梯三房中间楼层看房方便,欧锦城 -雪峰,3室2厅 | 76平米 | 东 | 简装 | 高楼层(共32层)  | 暂无数据,0人关注 / 8个月以前发布,72,"9,474元/平"
此房是江景房，小区环境安逸， 配套齐全 ，适合居住,陵江尚品 -老城,3室1厅 | 87.5平米 | 南 | 精装 | 低楼层(共19层)  | 暂无数据,4人关注 / 一年前发布,84,"9,600元/平"
此房位于小区中庭，，面积大，带地下产权车位，满五年,开云世家 -南河,3室2厅 | 124.5平米 | 东南 | 精装 | 中楼层(共24层)  | 暂无数据,2人关注 / 一年前发布,100,"8,033元/平"
3房装修优秀保养较好房产证满二,八二一小区 -雪峰,2室2厅 | 88.14平米 | 东南 南 | 简装 | 高楼层(共18层)  | 暂无数据,1人关注 / 7个月以前发布,63.2,"7,171元/平"
【温馨提示】托斯卡纳套四精装房， 一线江景，带车位,托斯卡纳 -万源,4室2厅 | 123.98平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,7人关注 / 一年前发布,175.4,"14,148元/平"
学府华庭 4室2厅 南 北,学府华庭 -东坝,4室2厅 | 127.43平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,150,"11,772元/平"
广元市政府机关三宿舍 3室2厅 南,广元市政府机关三宿舍 -东坝,3室2厅 | 151平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,123,"8,146元/平"
奥体旁  精装套二   诚心出售,奥林春天 -雪峰,2室2厅 | 80.49平米 | 南 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,60,"7,455元/平"
贝壳推荐 清水电梯大三居 单价七千多点 朝南采光好,长城新苑小区 -万源,3室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共22层)  | 塔楼,6人关注 / 一年前发布,95,"7,422元/平"
凤凰唐城二期 套三   视野开阔 中间楼层  清水房,天立凤凰唐城二期 -老城,3室2厅 | 106平米 | 东 | 毛坯 | 高楼层(共29层)  | 暂无数据,7人关注 / 6个月以前发布,68,"6,416元/平"
芙蓉四季花城3室2厅2卫，精装修。户型方正，交通便利,芙蓉四季花城 -东坝,3室2厅 | 124.73平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,2人关注 / 5个月以前发布,109,"8,739元/平"
房子朝正南  采光很好  户型方正,地质家园 -雪峰,2室2厅 | 79.5平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,64,"8,051元/平"
东坝八二一    两室诚心出售  中间楼层   看房方便,八二一小区 -雪峰,2室2厅 | 87平米 | 南 西 | 简装 | 中楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,62,"7,127元/平"
户型方正，满五税少，产权清晰，方便过户,正黄金域华府 -东坝,3室2厅 | 116平米 | 南 | 简装 | 低楼层(共28层)  | 塔楼,2人关注 / 5个月以前发布,120,"10,345元/平"
学府华庭 3室2厅 南,学府华庭 -东坝,3室2厅 | 101.77平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,108,"10,613元/平"
此房装修新保护好，楼层好，视野开阔，采光充足。,托斯卡纳 -万源,3室2厅 | 109平米 | 西南 | 精装 | 中楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,168,"15,413元/平"
标准套3  随时看房，实得面积118平方,普罗旺斯一期 -雪峰,3室2厅 | 94.93平米 | 北 | 毛坯 | 低楼层(共29层)  | 暂无数据,7人关注 / 10个月以前发布,75,"7,901元/平"
和谐人家简装两室，视野开阔无遮挡，看房方便,和谐人家 -南河,3室2厅 | 126平米 | 南 | 其他 | 中楼层(共16层)  | 暂无数据,5人关注 / 一年前发布,83,"6,588元/平"
聚贤巷 3室2厅 交通便利 小区环境干净舒适 适合居住,聚贤巷 -南河,3室2厅 | 134平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,75,"5,598元/平"
雪峰大小区，套三的清水房，买过来就可以装修。,阳光利州公馆 -雪峰,3室2厅 | 90.33平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,105,"11,625元/平"
托斯卡纳精装4居带入户看小区环境。,托斯卡纳 -万源,4室2厅 | 117平米 | 东 | 简装 | 高楼层(共32层)  | 暂无数据,0人关注 / 4个月以前发布,130,"11,112元/平"
万达一期跃层江景房美式精装修领包入住,万达中央华城 -万源,4室2厅 | 150平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,2人关注 / 11个月以前发布,178,"11,867元/平"
利州公馆基装四房双卫洋房顶跃带车位带大平台,阳光利州公馆 -雪峰,4室2厅 | 115平米 | 南 | 简装 | 高楼层(共10层)  | 暂无数据,1人关注 / 6个月以前发布,128,"11,131元/平"
广元碧桂园 2室1厅 西南,广元碧桂园 -雪峰,2室1厅 | 79.83平米 | 西南 | 简装 | 中楼层(共32层)  | 塔楼,4人关注 / 一年前发布,62,"7,767元/平"
此房满五年，出行方便，户型方正，居住方便舒适。,鑫苑公寓 -东坝,3室2厅 | 149平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,2人关注 / 7个月以前发布,85,"5,705元/平"
房子精装，房东急售，，，，，，，,广元碧桂园 -雪峰,3室2厅 | 128.98平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,102,"7,909元/平"
户型方正，环境优美，税费低，楼层居中,陵江御苑 -南河,3室2厅 | 119平米 | 北 | 毛坯 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,70,"5,883元/平"
雪峰  四室两厅两卫   优质房源   底价出售,赛越时代广场 -雪峰,4室2厅 | 170平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,118,"6,942元/平"
此房满二   房子装修还不错  空置未住人,南院春天东区 -东坝,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,19人关注 / 一年前发布,85,"8,763元/平"
此房，面积大，楼层好，采光好，交通便利，，，,军转办小区 -东坝,6室2厅 | 166.1平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,124,"7,466元/平"
东坝 平桥公交站 全新装修 全新家具家电,房产经营公司宿舍 -东坝,2室2厅 | 72.5平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,3人关注 / 一年前发布,45,"6,207元/平"
雪峰大型小区，洋房带装修，可做新房.,阳光利州公馆 -雪峰,3室2厅 | 82.02平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 11个月以前发布,85,"10,364元/平"
南河税务局精装四房双卫，急售可小刀,税务局宿舍 -南河,4室2厅 | 167平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,95,"5,689元/平"
新房套三双卫，户型方正视野开阔小区停车方便环境优雅,东山半岛 -东坝,3室2厅 | 108.39平米 | 东南 | 其他 | 高楼层(共28层)  | 塔楼,11人关注 / 一年前发布,78,"7,197元/平"
碧桂园三室双卫精装修     南    北    通透拎包入住,广元碧桂园 -雪峰,3室2厅 | 114平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 7个月以前发布,93,"8,158元/平"
急售！ 国企开发商 129平大四房 楼层好,长虹·天汇城二期 -东坝,4室2厅 | 129平米 | 东北 | 简装 | 高楼层(共30层)  | 暂无数据,0人关注 / 6个月以前发布,98,"7,597元/平"
雪峰奥体边上清水 大套三  诚心出售,东方豪泰小区 -雪峰,3室2厅 | 118.98平米 | 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 8个月以前发布,95,"7,985元/平"
雪峰精装两房户型端正 采光通透品牌家具家电方便看房,志广凤凰名城 -雪峰,2室2厅 | 71.74平米 | 南 | 其他 | 中楼层(共21层)  | 暂无数据,0人关注 / 6个月以前发布,68,"9,479元/平"
直观奥源体育广场，朝南套三，精装出售,东方豪泰小区 -雪峰,3室2厅 | 107平米 | 南 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 3个月以前发布,89,"8,318元/平"
东坝普罗旺斯2期 地段优质 套四双卫 户型方正 106万,普罗旺斯二期 -雪峰,4室2厅 | 113.03平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 6个月以前发布,96,"8,494元/平"
鸿宇时代 3室2厅 南,鸿宇时代 -东坝,3室2厅 | 118.94平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,92,"7,735元/平"
户型方正，公摊很少，小孩上学方便,阳光小区 -东坝,3室2厅 | 101平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,60,"5,941元/平"
南河居中位置，大户型，楼层佳，小区安静,滨江花园 -南河,3室2厅 | 126平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,70,"5,556元/平"
强力推荐碧桂园3室2厅2卫 从未入住 采光及佳 江景房,广元碧桂园 -雪峰,3室2厅 | 127.53平米 | 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,1人关注 / 7个月以前发布,90,"7,058元/平"
芸香社区三房双卫，高楼层，采光好，看房方便,芸香社区 -雪峰,3室2厅 | 107平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 6个月以前发布,68,"6,356元/平"
东坝电梯套三双卫，南北通透。满五唯一,科兴园一期 -东坝,3室2厅 | 129.8平米 | 南 北 | 精装 | 中楼层(共15层)  | 暂无数据,4人关注 / 一年前发布,96,"7,396元/平"
万源湿地公园旁 豪 华装修  1T2户洋房 中间楼层！,南郡 -万源,3室2厅 | 138平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,155,"11,232元/平"
优质路段   成熟小区   出行交通便利,八二一小区 -雪峰,3室2厅 | 106.1平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,85,"8,012元/平"
震后舒适3室电梯房，户型方正，南北朝向,东环明珠 -东坝,3室2厅 | 105平米 | 南 | 简装 | 高楼层(共25层)  | 暂无数据,0人关注 / 一年前发布,85,"8,096元/平"
清水大三居，采光好，视野开阔，旁边配套完善,金城南岸 -南河,3室2厅 | 113平米 | 东南 | 毛坯 | 中楼层(共21层)  | 板楼,7人关注 / 一年前发布,80,"7,080元/平"
雪锋大型小区，清水房，价格便宜，欢迎咨询。,阳光利州公馆 -雪峰,3室2厅 | 82.11平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,78,"9,500元/平"
水岸华府一楼带花园，鸟语花香，业主急卖,水岸华府 -万源,3室2厅 | 96.35平米 | 南 | 精装 | 低楼层(共30层)  | 暂无数据,11人关注 / 一年前发布,90,"9,341元/平"
万源大小区新中式江景四房关门卖,万达中央华城 -万源,4室2厅 | 128.5平米 | 北 | 精装 | 中楼层(共32层)  | 暂无数据,2人关注 / 4个月以前发布,135,"10,506元/平"
此房是电梯房，户型方正，大两居，采光明亮,八二一小区 -雪峰,2室2厅 | 86.9平米 | 东 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,60,"6,905元/平"
香山怡园跃层出售，4室2厅1厨2卫，159㎡，85万,香山怡园 -东坝,4室2厅 | 159平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,27人关注 / 一年前发布,82,"5,158元/平"
文化路简装大两室，出行方便，。。。。。,荷花园 -东坝,2室2厅 | 80平米 | 东 东南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,48,"6,000元/平"
东城实验旁边，干净整洁，出行方便。,泰丰苑 -东坝,3室2厅 | 98平米 | 东 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,85,"8,674元/平"
香山怡园    震后3室2厅   配套设施齐全   交通便利,香山怡园 -东坝,3室2厅 | 117平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,82,"7,009元/平"
上西坝火车站边边上国粮小区优质房源,国粮小区 -上西坝,4室2厅 | 118平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,60,"5,085元/平"
启明星3室2厅127平，诚心出售。,启明星花园 -东坝,3室2厅 | 127平米 | 西 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,109,"8,583元/平"
明珠园2室2厅，精装，户型方正，明厨明卫,明珠园 -东坝,2室2厅 | 90平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,1人关注 / 6个月以前发布,78,"8,667元/平"
凤凰唐城电梯清水套三 户型格局好,天立凤凰唐城 -东坝,3室2厅 | 110.79平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,24人关注 / 10个月以前发布,67,"6,048元/平"
老城小区房 龙眼花园 精装大三室 诚心出售,龙眼花园 -东坝,3室2厅 | 120平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,62,"5,167元/平"
东坝平桥震后电梯精装套四，满五唯一，业主急售,凤琴岚湾 -东坝,4室2厅 | 125平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,5人关注 / 一年前发布,115,"9,200元/平"
优质房源，东坝苴国市场旁顶跃带大花园诚心出售装修好,九州家园 -东坝,5室3厅 | 247平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,21人关注 / 一年前发布,145,"5,871元/平"
此房视野开过 位置佳 大面积 交通便利,世纪景苑 -东坝,3室2厅 | 149.7平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 5个月以前发布,98,"6,547元/平"
东坝太平洋大厦   简装大四居  可租可售,太平洋保大厦 -东坝,4室2厅 | 155平米 | 北 | 简装 | 高楼层(共15层)  | 暂无数据,2人关注 / 6个月以前发布,96.8,"6,246元/平"
东坝三居室急售，户型好，拎包入住,三十二户小区 -东坝,3室2厅 | 113平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,73,"6,461元/平"
启明星大套三，一梯两户品质小区，视野好，无遮挡,启明星花园 -东坝,3室2厅 | 118.4平米 | 西 | 精装 | 高楼层(共11层)  | 暂无数据,11人关注 / 一年前发布,89.9,"7,593元/平"
出行方便，户型方正，居住方便舒适,广元财政宿舍 -东坝,3室2厅 | 88平米 | 西 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 8个月以前发布,52,"5,910元/平"
发改委宿舍3室2厅，简装，户型方正，,发改委宿舍 -东坝,3室2厅 | 126平米 | 西南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,76,"6,032元/平"
东坝御都园 128平 三室两厅两卫 精装修 拎包入住,御都园 -东坝,3室2厅 | 128.78平米 | 西 东 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 7个月以前发布,83,"6,446元/平"
天润新天地 3室2厅 北,天润新天地 -东坝,3室2厅 | 128.59平米 | 北 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,129,"10,032元/平"
东坝临河江景房  精装三居室  拎包入住,正兴苑 -东坝,3室2厅 | 153.2平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,4人关注 / 8个月以前发布,85,"5,549元/平"
此房满五唯一，震后小区，位于东坝核 心地段，,旭春园 -东坝,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,108,"9,392元/平"
东坝120平精装三室两厅带地下车位出售,广信锦城 -东坝,3室2厅 | 120平米 | 北 | 精装 | 高楼层(共11层)  | 暂无数据,4人关注 / 9个月以前发布,105,"8,750元/平"
满五唯一  大三居  电梯房  配套设施全  交通便利,金城家园二期 -东坝,3室2厅 | 125平米 | 西 西北 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,85,"6,800元/平"
东坝 大三室 楼层好 配套齐全,新民社区 -东坝,3室2厅 | 139.99平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,65,"4,644元/平"
房满五年，出行方便，户型方正，居住方便舒适....,翡翠城 -东坝,4室2厅 | 128平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,88,"6,875元/平"
和成原著 大型小区环境优美 户型方正3居现房诚售！,和成原著 -东坝,3室2厅 | 85.69平米 | 东 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 4个月以前发布,67,"7,819元/平"
学府华庭 3室2厅 南,学府华庭 -东坝,3室2厅 | 92.92平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 1个月以前发布,90,"9,686元/平"
房子地震后修建小区，抗震八级，户型方正，,兴和阳光 -东坝,5室2厅 | 267平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,118,"4,420元/平"
玫瑰华庭 108平 3-2-1-2 朝南 楼栋前后两个大中庭,玫瑰华庭 -东坝,3室2厅 | 108平米 | 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 5个月以前发布,78,"7,223元/平"
此房满五  精装房 拎包入住 朝南户型  采光通透,骏仕佳苑 -东坝,2室2厅 | 83平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,0人关注 / 8个月以前发布,82,"9,880元/平"
满五唯一  大三居  电梯房  配套设施全  交通便利,金城家园二期 -东坝,3室2厅 | 125平米 | 西 西北 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,85,"6,800元/平"
天润新天地 3室2厅 北,天润新天地 -东坝,3室2厅 | 128.59平米 | 北 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,129,"10,032元/平"
东坝临河江景房  精装三居室  拎包入住,正兴苑 -东坝,3室2厅 | 153.2平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,4人关注 / 8个月以前发布,85,"5,549元/平"
南邻湿地公园 大户型套二 双南采光充足  电梯中层,骏仕佳苑 -东坝,2室2厅 | 101.12平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,78,"7,714元/平"
户型方正，视野开阔，采光充足，配套设施齐全,和成原著 -东坝,4室2厅 | 109.01平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,90,"8,257元/平"
此房满五唯一，震后小区，位于东坝核 心地段，,旭春园 -东坝,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,108,"9,392元/平"
此房满两年，地理位置优越，价格还可以商量，税费便宜,科兴园二期 -东坝,2室2厅 | 95.48平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,7人关注 / 9个月以前发布,66,"6,913元/平"
此房视野开过 位置佳 大面积 交通便利,世纪景苑 -东坝,3室2厅 | 149.7平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 5个月以前发布,98,"6,547元/平"
启明星大套三，一梯两户品质小区，视野好，无遮挡,启明星花园 -东坝,3室2厅 | 118.4平米 | 西 | 精装 | 高楼层(共11层)  | 暂无数据,11人关注 / 一年前发布,89.9,"7,593元/平"
东坝利州广场国大旁精装大四房低首付满五,御都园 -东坝,4室2厅 | 164平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,88,"5,366元/平"
水榭花都园林小区 南北朝向 四居室  满五,水榭花都 -东坝,4室2厅 | 147.79平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,124.8,"8,445元/平"
东坝御都园 128平 三室两厅两卫 精装修 拎包入住,御都园 -东坝,3室2厅 | 128.78平米 | 西 东 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 7个月以前发布,83,"6,446元/平"
出行方便，户型方正，居住方便舒适,广元财政宿舍 -东坝,3室2厅 | 88平米 | 西 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 8个月以前发布,52,"5,910元/平"
发改委宿舍3室2厅，简装，户型方正，,发改委宿舍 -东坝,3室2厅 | 126平米 | 西南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,76,"6,032元/平"
东坝太平洋大厦   简装大四居  可租可售,太平洋保大厦 -东坝,4室2厅 | 155平米 | 北 | 简装 | 高楼层(共15层)  | 暂无数据,2人关注 / 6个月以前发布,96.8,"6,246元/平"
东坝三居室急售，户型好，拎包入住,三十二户小区 -东坝,3室2厅 | 113平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,73,"6,461元/平"
凤凰唐城电梯清水套三 户型格局好,天立凤凰唐城 -东坝,3室2厅 | 110.79平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,24人关注 / 10个月以前发布,67,"6,048元/平"
明珠园2室2厅，精装，户型方正，明厨明卫,明珠园 -东坝,2室2厅 | 90平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,1人关注 / 6个月以前发布,78,"8,667元/平"
和成原著 大型小区环境优美 户型方正3居现房诚售！,和成原著 -东坝,3室2厅 | 85.69平米 | 东 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 4个月以前发布,67,"7,819元/平"
东坝120平精装三室两厅带地下车位出售,广信锦城 -东坝,3室2厅 | 120平米 | 北 | 精装 | 高楼层(共11层)  | 暂无数据,4人关注 / 9个月以前发布,105,"8,750元/平"
房龄；此房龄较新，均属于地震后建房,学都瑞景 -东坝,2室2厅 | 97.88平米 | 南 | 精装 | 中楼层(共23层)  | 暂无数据,0人关注 / 7个月以前发布,89,"9,093元/平"
御锦湾精装修套三出售，拎包入住,御锦湾 -东坝,3室2厅 | 105平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 8个月以前发布,120,"11,429元/平"
东坝平桥震后电梯精装套四，满五唯一，业主急售,凤琴岚湾 -东坝,4室2厅 | 125平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,5人关注 / 一年前发布,115,"9,200元/平"
医院旁，户型方正，精装三室，135万,龙和锦尚 -东坝,3室2厅 | 113.4平米 | 南 北 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 11个月以前发布,130,"11,464元/平"
东坝 大三室 楼层好 配套齐全,新民社区 -东坝,3室2厅 | 139.99平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,65,"4,644元/平"
房满五年，出行方便，户型方正，居住方便舒适....,翡翠城 -东坝,4室2厅 | 128平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,88,"6,875元/平"
学府华庭 3室2厅 南,学府华庭 -东坝,3室2厅 | 92.92平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 1个月以前发布,90,"9,686元/平"
万达中央华城土豪精装修带车位，不容错过啊铁子们,万达中央华城 -万源,2室2厅 | 107.59平米 | 西北 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 2个月以前发布,130,"12,083元/平"
托斯卡纳 4室2厅 南,托斯卡纳 -万源,4室2厅 | 116平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,1人关注 / 8个月以前发布,150,"12,932元/平"
图腾大户型，交通方便，单价低。。。,图腾海博春天中心广场 -老城,4室2厅 | 176平米 | 西南 | 其他 | 低楼层(共28层)  | 暂无数据,7人关注 / 一年前发布,99,"5,625元/平"
天悦府 3室2厅 南,天悦府 -万源,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 2个月以前发布,132,"11,000元/平"
万源高档小区，顶跃。价钱合理哈.,南郡 -万源,6室2厅 | 203平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 暂无数据,3人关注 / 5个月以前发布,166,"8,178元/平"
带电梯带屋顶前后花园真跃层，毛坯，随时看房,水榭花都二期 -东坝,5室2厅 | 198平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,9人关注 / 一年前发布,180,"9,091元/平"
