标题,开发商,房子信息,发布信息,售价/万,单价
中南家园A区三房，拎包入，房东诚心出售，看房方便,中南家园 -湖滨商业街,3室1厅 | 74.48平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 4天以前发布,103,"13,830元/平"
米娅精装小三房 诚心出售 看房方便,阳光100米娅公馆 -西漳,3室2厅 | 93.11平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,12人关注 / 一年前发布,134,"14,392元/平"
打着灯笼都找不的景观楼层的房子，出行方便，房子新！,金太湖国际城 -北大街,3室1厅 | 115.95平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,5人关注 / 一年前发布,215,"18,543元/平"
顶带阁楼，带阳光房和露台，利用空间大，单价划算,新光新村 -东亭,3室2厅 | 141.65平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,8人关注 / 一年前发布,129,"9,107元/平"
商圈配套成熟 出门方便 中间楼层 看房方便,桑达园小区 -东亭,3室2厅 | 113.95平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,15人关注 / 一年前发布,180,"15,797元/平"
龙湖边套，楼层好，采光好，好房 诚心 出售，看房方便,龙湖九墅南区 -东亭,3室2厅 | 124.53平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,44人关注 / 一年前发布,245,"19,674元/平"
中海凤凰璟园 双南阳台 大四房 洋房户型,中海凤凰璟园二期 -华庄,4室1厅 | 128.55平米 | 南 | 毛坯 | 低楼层(共10层)  | 板楼,8人关注 / 4个月以前发布,375,"29,172元/平"
此房纯毛坯  看房方便 看中价格可谈,隆泉园 -山北,3室2厅 | 120平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,159,"13,250元/平"
丰涵大四房 商品房无土出税费少 地铁口位置好 急售,丰涵家园 -刘潭,4室2厅 | 134.02平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,175,"13,058元/平"
明发国际新城东区三房业主诚心出售,明发·国际新城（东区） -西漳,3室2厅 | 96.78平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,3人关注 / 7个月以前发布,158,"16,326元/平"
高新区沿街房子 简单装修保养好 采光好楼层好 户型好,金山路 -高新区,4室2厅 | 121.45平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,5人关注 / 一年前发布,82.8,"6,818元/平"
生活方便，交通便利，环境优美，精装修，采光好,时代城（锡溪名邸） -钱桥,3室2厅 | 97.41平米 | 南 | 精装 | 高楼层(共34层)  | 暂无数据,7人关注 / 9个月以前发布,145,"14,886元/平"
仁和花园格局好 视野开阔 阳光充足 小区绿化好,仁和英伦皇家花园 -山北,3室2厅 | 109.17平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,160,"14,657元/平"
路劲天御大平层、年底满5年，楼层好采光足，诚信出售,路劲蠡湖院子 -蠡湖新城,4室2厅 | 303.44平米 | 南 | 毛坯 | 中楼层(共42层)  | 板楼,4人关注 / 8个月以前发布,850,"28,013元/平"
此房次新小区 配套齐全 看中价格可以谈,百乐和园 -钱桥,4室2厅 | 123.83平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板楼,2人关注 / 6个月以前发布,212,"17,121元/平"
美林湖精装三房出售，满五年，楼层好！,美林湖花园 -钱桥,3室2厅 | 110.53平米 | 南 | 精装 | 11层  | 塔楼,3人关注 / 一年前发布,188,"17,009元/平"
时代城  小区环境好 次新小区,时代城（锡溪名邸） -钱桥,3室1厅 | 97.26平米 | 东南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,149.8,"15,403元/平"
盛岸路3号4号地铁口  精装大3室  蓉湖山水,蓉湖山水 -山北,3室2厅 | 131.64平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,0人关注 / 3个月以前发布,216,"16,409元/平"
中大诺卡小镇 户型方正 采光通透 位置安静 急售,中大诺卡小镇 -东亭,5室1厅 | 135.68平米 | 南 | 简装 | 高楼层(共5层)  | 板塔结合,10人关注 / 3个月以前发布,190,"14,004元/平"
定销商品房无土出楼层好采光好诚心出售随时看房,丰涵家园 -刘潭,3室2厅 | 119.4平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,8人关注 / 一年前发布,150,"12,563元/平"
万科天一新著 精装三房 楼层好 位置好 看房方便,万科天一新著 -西漳,3室2厅 | 93.46平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,26人关注 / 5个月以前发布,190,"20,330元/平"
美林湖精装三房出售，满五年，楼层好！,美林湖花园 -钱桥,3室2厅 | 110.53平米 | 南 | 精装 | 11层  | 塔楼,3人关注 / 一年前发布,188,"17,009元/平"
明发国际新城东区三房业主诚心出售,明发·国际新城（东区） -西漳,3室2厅 | 96.78平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,3人关注 / 7个月以前发布,158,"16,326元/平"
此房次新小区 配套齐全 看中价格可以谈,百乐和园 -钱桥,4室2厅 | 123.83平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板楼,2人关注 / 6个月以前发布,212,"17,121元/平"
毛坯小三房，中楼层看房有钥匙，教育，交通，生活方便,蓝光五彩城 -东亭,3室1厅 | 91.34平米 | 南 | 毛坯 | 中楼层(共19层)  | 板楼,0人关注 / 1个月以前发布,168,"18,393元/平"
双地铁口出行方便 中间楼层 露台做房间实用面积大,蓉湖山水 -山北,3室2厅 | 91.51平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 1个月以前发布,195,"21,310元/平"
中海凤凰璟园 双南阳台 大四房 洋房户型,中海凤凰璟园二期 -华庄,4室1厅 | 128.55平米 | 南 | 毛坯 | 低楼层(共10层)  | 板楼,8人关注 / 4个月以前发布,375,"29,172元/平"
丰涵大四房 商品房无土出税费少 地铁口位置好 急售,丰涵家园 -刘潭,4室2厅 | 134.02平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,175,"13,058元/平"
此房纯毛坯  看房方便 看中价格可谈,隆泉园 -山北,3室2厅 | 120平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,159,"13,250元/平"
红豆香江豪庭126.91平米三房两卫出售满五唯一310万,红豆香江豪庭一期 -安镇,3室2厅 | 126.91平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 一年前发布,230,"18,124元/平"
安镇润康里精装150.9平带18平车库四房两卫,鑫安苑润康里 -安镇,4室2厅 | 150.9平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 4个月以前发布,145,"9,610元/平"
靠地铁一号线  纯毛坯 交通方便 诚心出售,绿地世纪城三期 -堰桥,3室2厅 | 88.86平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,210,"23,633元/平"
盛岸花园三期 景观楼层，视野好，三房户型 户型正,盛岸花园三期 -山北,3室2厅 | 127.11平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,1人关注 / 3个月以前发布,165,"12,981元/平"
比邻公园、朗诗物业、户型方正、未来感设计 现新房,朗诗未来街区 -临港经济开发区,3室2厅 | 114.69平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,7人关注 / 一年前发布,98,"8,545元/平"
此房是安置房.全新装修.小区环境优美,花汇苑一区 -胡埭,3室2厅 | 96.97平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,18人关注 / 一年前发布,100,"10,313元/平"
楼层好，看房方便，产权清晰，诚心出售。,中海珑玺 -塘铁桥,3室2厅 | 92.8平米 | 南 | 毛坯 | 低楼层(共23层)  | 板楼,9人关注 / 一年前发布,250,"26,940元/平"
洛城高品质小区 纯毛坯  带产权车位 中上楼层,丽都景园（上府名园） -洛社,3室2厅 | 112.87平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 板楼,0人关注 / 2个月以前发布,179,"15,859元/平"
远眺江北 随时看房 纯新毛坯 带地下车位,蔚蓝滨江 -澄江街道,3室1厅 | 123.08平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,130,"10,563元/平"
天奇城B座 毛坯三房 户型正气 通透有钥匙看房,天奇城(B座) -洛社,3室2厅 | 125.19平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,11人关注 / 一年前发布,135,"10,784元/平"
实地玫瑰庄园三期四室两厅纯毛坯房东诚心出售,实地玫瑰庄园Ⅲ期 -玉祁,4室2厅 | 133.78平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,130,"9,718元/平"
洛城·水韵园 3室2厅 南,洛城·水韵园 -洛社,3室2厅 | 143.69平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,196,"13,641元/平"
万科天一新著 精装三房 楼层采光好,万科天一新著 -西漳,3室2厅 | 117.27平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,14人关注 / 7个月以前发布,215,"18,334元/平"
阳光100北区 商品房小区 精装修 价格实惠 三房,阳光100国际新城北区 -西漳,3室2厅 | 109平米 | 东 | 精装 | 中楼层(共33层)  | 塔楼,4人关注 / 9个月以前发布,140,"12,845元/平"
此房采光无遮挡  高档小区  人文素质高  配套齐全,百乐和园 -钱桥,4室2厅 | 123.41平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,310,"25,120元/平"
中间楼层，采光好，金桥旁，房东诚心。,时代城（锡溪名邸） -钱桥,3室2厅 | 97.41平米 | 南 | 精装 | 中楼层(共34层)  | 暂无数据,4人关注 / 4个月以前发布,148,"15,194元/平"
惠山金桥旁 香缇半岛 毛坯三室 户型方正 电梯 位置好,香缇半岛 -钱桥,3室2厅 | 90.54平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,140,"15,463元/平"
阿尔勒精装三房 房东诚心出售  欢迎 咨询,阳光100阿尔勒 -西漳,3室2厅 | 89.88平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 9个月以前发布,133,"14,798元/平"
东方大院，洋房，带地下室，带入户花园，户型好,金科·東方大院 -云亭街道,4室2厅 | 185.79平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,10人关注 / 一年前发布,298,"16,040元/平"
锡东融创东方御园，洋房大四房，户型正版！,融创东方御园 -安镇,4室2厅 | 133.62平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,320,"23,949元/平"
此房满五唯一，小区物业环境好，适中楼层，精装修,映月华府 -安镇,3室2厅 | 91.21平米 | 南 北 | 精装 | 中楼层(共22层)  | 板楼,37人关注 / 9个月以前发布,196,"21,489元/平"
万科天一新著 精装三房 楼层好 位置好 看房方便,万科天一新著 -西漳,3室2厅 | 93.46平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,26人关注 / 5个月以前发布,190,"20,330元/平"
五爱棉花本部 中间楼层 户型方正 装修好,棉花巷小区 -五爱广场,2室2厅 | 98.79平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,239,"24,193元/平"
此房是安置房.全新装修.小区环境优美,花汇苑一区 -胡埭,3室2厅 | 96.97平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,18人关注 / 一年前发布,100,"10,313元/平"
中大诺卡花园 看房提前联系 精装修3房,中大诺卡小镇 -东亭,3室2厅 | 106.65平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,4人关注 / 5个月以前发布,180,"16,878元/平"
采光好，楼层好，格局好，近地铁，近公园，商品房,寺头家园三期 -西漳,3室1厅 | 111.03平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,156,"14,051元/平"
楼层好，采光好，无遮挡， 诚意出售,孔雀雅园 -扬名,4室2厅 | 123.86平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,335,"27,047元/平"
新惠家园 此房户型方正，自住装修 ，拎包入住,新惠家园 -山北,2室2厅 | 87.94平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,98.8,"11,235元/平"
百乐和园 次新房 三开间朝南 得房率高 视野宽阔采光足,百乐和园 -钱桥,4室2厅 | 123.75平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,4人关注 / 4个月以前发布,205,"16,566元/平"
尚东雅园 满五唯一 精装修 业主诚心出售 通透户型,尚东雅园 -旺庄,3室2厅 | 105.37平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,4人关注 / 8个月以前发布,188,"17,842元/平"
满五年，前排无遮挡采光好，小区物业好，品质小区.,赛维拉假日花园 -东亭,4室2厅 | 160平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,8人关注 / 一年前发布,250,"15,625元/平"
阅山花园电梯三房，低楼层简装，房东诚心急售！,中锐阅山花园 -山北,3室2厅 | 128.33平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,235,"18,313元/平"
新联家园 1楼   简单装修  出行方便 位置佳,新联家园 -扬名,2室2厅 | 105平米 | 西南 | 简装 | 低楼层(共13层)  | 板楼,18人关注 / 9个月以前发布,153.5,"14,620元/平"
梁溪区天渝骄园小三房 景色秀丽 交通便利 设施完善,天渝骄园 -山北,3室2厅 | 105.85平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 4个月以前发布,165,"15,589元/平"
楼层好 采光好 视野好 看房随时 诚心出售,阳光100阿尔勒 -西漳,3室2厅 | 90.7平米 | 南 | 简装 | 低楼层(共18层)  | 塔楼,1人关注 / 3个月以前发布,138,"15,215元/平"
阿尔勒洋房飞机户型，有大面积露台，业主诚售,阳光100阿尔勒 -西漳,3室2厅 | 128.36平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,250,"19,477元/平"
融创三开间纯毛坯小三房，好楼层诚心出售,融创东方御园 -安镇,3室2厅 | 87.93平米 | 南 | 毛坯 | 低楼层(共22层)  | 板楼,1人关注 / 2个月以前发布,205,"23,314元/平"
洋房底复  四开间朝南 双阳台 三卫 采光好，诚心出售.,融创玉兰公馆 -澄江街道,5室2厅 | 181.16平米 | 南 | 毛坯 | 低楼层(共8层)  | 塔楼,4人关注 / 一年前发布,425.8,"23,505元/平"
融创东方御园 精装品质洋房 拎包入住 楼栋位置好,融创东方御园 -安镇,4室1厅 | 125.62平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,12人关注 / 4个月以前发布,330,"26,270元/平"
楼层好 采光好 视野好 看房随时 诚心出售,阳光100阿尔勒 -西漳,3室2厅 | 90.03平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,2人关注 / 一年前发布,129,"14,329元/平"
南北通风，拎包入住，中间楼层，采光好,香樟花园 -澄江街道,5室2厅 | 167平米 | 南 北 | 精装 | 低楼层(共11层)  | 暂无数据,3人关注 / 一年前发布,215.8,"12,923元/平"
金科米兰精装 免增值税    户型好   看房方便,金科米兰花园二期 -江溪,4室2厅 | 190.5平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,1人关注 / 6个月以前发布,305,"16,011元/平"
全天无遮挡！不靠高架！楼层好！小区安静,绿地·香颂 -东亭,3室2厅 | 100.55平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 平房,241人关注 / 一年前发布,160,"15,913元/平"
阳光100南区精装3房 三开间朝南 户型方正 拎包入住,阳光100国际新城南区 -刘潭,3室2厅 | 126.73平米 | 南 北 | 简装 | 低楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,160,"12,626元/平"
楼层好离澄南生活区也近 小区环境好 楼层好，采光好,恒大帝景 -澄江街道,3室2厅 | 116.73平米 | 南 北 | 精装 | 高楼层(共23层)  | 暂无数据,2人关注 / 一年前发布,189,"16,192元/平"
无增值税，总高11层小洋房，前后无遮挡,龙湖九墅南区 -东亭,3室1厅 | 82.01平米 | 南 | 毛坯 | 高楼层(共11层)  | 平房,2人关注 / 2个月以前发布,174.5,"21,278元/平"
茂业豪园 采光充足 出行方便 配套齐全,茂业豪园 -清名桥,4室2厅 | 300.27平米 | 南 | 精装 | 低楼层(共43层)  | 板楼,1人关注 / 5个月以前发布,485,"16,153元/平"
宛溪雅居满两年 四房两卫 楼层好 有钥匙 别墅后排,宛溪雅居 -安镇,4室2厅 | 121.3平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,1人关注 / 3个月以前发布,160,"13,191元/平"
碧桂园东区 成熟社区 清水毛坯大3房 产权清晰,无锡碧桂园B区 -安镇,3室2厅 | 120.37平米 | 南 | 毛坯 | 中楼层(共21层)  | 塔楼,0人关注 / 5个月以前发布,249,"20,687元/平"
楼层好，采光好，看房方便，小区物业管理严格,蓝光雍锦里 -东亭,3室2厅 | 126.01平米 | 南 | 毛坯 | 中楼层(共22层)  | 板塔结合,0人关注 / 4个月以前发布,206,"16,348元/平"
地铁口大三房精装房东甩泪出售价格可刀,阳光100国际新城南区 -刘潭,3室2厅 | 97.69平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,9人关注 / 5个月以前发布,148,"15,150元/平"
锡东宛山湖畔大四房.毛坯随意装.位置楼层佳.诚心售,宛溪雅居 -安镇,3室2厅 | 87.89平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 4个月以前发布,135,"15,361元/平"
次新房 东方天郡三期 纯毛坯小高层  有钥匙看房,东方天郡 -东北塘,3室2厅 | 88.72平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,3人关注 / 4个月以前发布,131,"14,766元/平"
云林苑新西区 四室两厅 精装修 朝南大车库 包土出,云林苑西区 -东亭,4室2厅 | 149.29平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,169,"11,321元/平"
太科园 积水高品质住宅 拎包入住+车位 满五唯一 诚售,积水住宅裕沁湖畔庭 -新安,3室2厅 | 125.32平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,43人关注 / 一年前发布,315,"25,136元/平"
产权清晰 保养好 楼层好 精装准新房 双外可买,阳光100国际新城南区 -刘潭,3室2厅 | 89.24平米 | 东 | 精装 | 高楼层(共28层)  | 板塔结合,9人关注 / 一年前发布,118,"13,223元/平"
精装三室一厅洋房，位置好，可随时看房,万科金域缇香西区 -江溪,3室1厅 | 85.35平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 2个月以前发布,235,"27,534元/平"
美的公园天下二期 精装修 有空调地暖 品质小区 诚售,美的公园天下二期 -安镇,3室2厅 | 120.73平米 | 南 | 精装 | 低楼层(共27层)  | 暂无数据,5人关注 / 4个月以前发布,290,"24,021元/平"
双地铁口 五彩城 三开间朝南 满五唯一税少,蓝光五彩城 -东亭,3室2厅 | 89.69平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,3人关注 / 3个月以前发布,158,"17,617元/平"
诚心出售 精装修三房两卫拎包入住 楼层好 映月湖旁,恒大城二期 -安镇,3室2厅 | 121.04平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,3人关注 / 5个月以前发布,208,"17,185元/平"
桑达园五期 精装三房 户型反正 三开间朝南 南北通透,桑达园小区 -东亭,3室2厅 | 128.64平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,181,"14,071元/平"
房子是洋房四室，目前空置中，看房密码,融创枫丹御园 -鸿山,4室1厅 | 107.86平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,3人关注 / 6个月以前发布,160,"14,835元/平"
红豆清华苑，小三房一楼带院子，诚心出售，看房方便,红豆清华苑 -东港,3室2厅 | 104.39平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,2人关注 / 3个月以前发布,103,"9,867元/平"
新上好房，急售随时看，精装修楼层好通风好,蓝光雍锦里 -东亭,3室2厅 | 125.94平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,4人关注 / 3个月以前发布,218,"17,310元/平"
地铁口，可上二泉，全明户型，小高层,豪门·君怡花苑 -东亭,3室2厅 | 124.76平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,1人关注 / 2个月以前发布,198,"15,871元/平"
无增值税，总高11层小洋房，前后无遮挡,龙湖九墅南区 -东亭,3室1厅 | 82.01平米 | 南 | 毛坯 | 高楼层(共11层)  | 平房,2人关注 / 2个月以前发布,174.5,"21,278元/平"
楼层好离澄南生活区也近 小区环境好 楼层好，采光好,恒大帝景 -澄江街道,3室2厅 | 116.73平米 | 南 北 | 精装 | 高楼层(共23层)  | 暂无数据,2人关注 / 一年前发布,189,"16,192元/平"
简装 南北户型 视野宽阔 通风良好,红豆清华苑 -东港,3室2厅 | 104.39平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,6人关注 / 一年前发布,100.5,"9,628元/平"
泉山荣邸 3室2厅 南,泉山荣邸 -锡北,3室2厅 | 133.34平米 | 南 | 毛坯 | 中楼层(共24层)  | 板塔结合,2人关注 / 8个月以前发布,127,"9,525元/平"
满五唯一！恒大绿洲二期  中间楼层 精装 看房随时方便,恒大绿洲二期 -东亭,3室2厅 | 124.95平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,43人关注 / 8个月以前发布,190,"15,207元/平"
锡山八佰伴旁 春江花园三期毛坯东边套大平层 随时可看,春江花园C区（锡山） -东亭,5室2厅 | 194.45平米 | 东南 | 毛坯 | 低楼层(共9层)  | 暂无数据,4人关注 / 10个月以前发布,299,"15,377元/平"
户型格局好，位置安静，采光好，品质小区。,香樟花园 -澄江街道,5室2厅 | 180平米 | 南 北 | 简装 | 高楼层(共17层)  | 板塔结合,3人关注 / 11个月以前发布,235,"13,056元/平"
碧桂园暨阳府 精装修 四室两厅两卫 三房朝南 采光好,碧桂园暨阳府 -澄江街道,4室1厅 | 143.77平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 一年前发布,225,"15,650元/平"
中洲花溪樾毛坯四房两卫，房东诚心出售，看房有钥匙,中洲花溪樾 -鹅湖,4室2厅 | 122.26平米 | 东南 | 毛坯 | 低楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,181,"14,805元/平"
全天无遮挡！不靠高架！楼层好！小区安静,绿地·香颂 -东亭,3室2厅 | 100.55平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 平房,241人关注 / 一年前发布,160,"15,913元/平"
保利达江湾城 连元街 崇安寺 步行街赶快行动起来吧,保利达江湾城 -北大街,4室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共43层)  | 板楼,19人关注 / 一年前发布,369,"25,986元/平"
阳光100南区，洋房总高8层，房子是中间位置,阳光100国际新城南区 -刘潭,3室2厅 | 109.89平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,25人关注 / 一年前发布,146,"13,287元/平"
满五唯一，诚心出售，小区管理好，有个大花园，装修好,华夏泉绅永利花苑 -刘潭,3室2厅 | 119.6平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,7人关注 / 6个月以前发布,219,"18,312元/平"
融创大品牌自持物业 全新户型 通透户型 中高楼层,融创东方御园 -安镇,2室2厅 | 106.31平米 | 南 | 毛坯 | 高楼层(共22层)  | 板楼,1人关注 / 3个月以前发布,215,"20,224元/平"
融创大品牌自持物业 叠加别墅 通透户型 小区低价,融创东方御园 -安镇,3室2厅 | 228.68平米 | 南 | 毛坯 | 低楼层(共7层)  | 暂无数据,14人关注 / 5个月以前发布,420,"18,367元/平"
羊尖世纪嘉城双拼毛坯大别墅  带2个车 位 满 五 唯 一,世纪嘉城 -羊尖,5室2厅 | 227.19平米 | 南 | 毛坯 | 3层  | 暂无数据 | 联排别墅 ,9人关注 / 5个月以前发布,293,"12,897元/平"
恒大帝景好房出售三朝南户型看房提前约,恒大帝景 -澄江街道,3室1厅 | 111.48平米 | 南 | 精装 | 高楼层(共33层)  | 平房,0人关注 / 2个月以前发布,168,"15,070元/平"
xishi 一楼带小院  梁溪成熟地段好房出售！,昇平巷小区 -三阳广场,3室1厅 | 81.92平米 | 南 | 精装 | 低楼层(共7层)  | 平房,9人关注 / 一年前发布,280,"34,180元/平"
碧桂园暨阳府 精装修 三室2厅两卫 三房朝南 采光好,碧桂园暨阳府 -澄江街道,4室2厅 | 136.39平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,205,"15,031元/平"
此房视野开阔，采光充足，小区环境安静，交通便利,梅林春苑 -钱桥,3室2厅 | 142.11平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,154,"10,837元/平"
杨岸花苑复式，看房方便，看中价格可谈，房东急售！！,杨岸花苑 -澄江街道,3室2厅 | 249平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,13人关注 / 一年前发布,143.8,"5,776元/平"
西水东精装空中叠墅拎包入住看房随时,西水东溯园 -迎龙桥,3室2厅 | 138.67平米 | 南 | 精装 | 中楼层(共49层)  | 板楼,12人关注 / 3个月以前发布,405,"29,207元/平"
万业观山泓郡 3房2卫    前后无遮挡  通透性好,万业观山泓郡 -安镇,3室2厅 | 103.45平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,1人关注 / 10个月以前发布,188,"18,174元/平"
宛溪雅居 大四房 高层视野开阔 宛山湖 天然氧吧,宛溪雅居 -安镇,4室2厅 | 121.3平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 5个月以前发布,165,"13,603元/平"
玫瑰庄园  三房  中上楼层 看房随时,实地玫瑰庄园 -玉祁,3室2厅 | 107.97平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,3人关注 / 5个月以前发布,109,"10,096元/平"
张镇家园电梯房 中间楼层 采光好 看房方便,张镇家园六期 -洛社,3室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,110,"9,566元/平"
小区位置优越 ，出行方便  出门就是公交车站,二泉紫园 -山北,3室2厅 | 137.72平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,10人关注 / 一年前发布,172,"12,490元/平"
洛龙花苑小区 4室2厅 南,洛龙花苑小区 -洛社,4室2厅 | 237.47平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,7人关注 / 6个月以前发布,238,"10,023元/平"
玫瑰庄园  两梯两户  大平层 四开间朝南,实地玫瑰庄园 -玉祁,4室2厅 | 187.08平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,195,"10,424元/平"
省锡中双语旁 近惠山城铁站 毛坯朝南大三房 价格可谈,实地玫瑰庄园Ⅲ期 -玉祁,3室2厅 | 115.77平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 暂无数据,1人关注 / 4个月以前发布,122,"10,539元/平"
玫瑰三期  97 平精装三房  业主未入住  诚心出售,实地玫瑰庄园Ⅲ期 -玉祁,3室2厅 | 97.19平米 | 南 | 精装 | 低楼层(共34层)  | 暂无数据,0人关注 / 3个月以前发布,135,"13,891元/平"
雅锦西园 有钥匙 随时看房 楼层佳 视野开阔,雅锦西园 -洛社,3室2厅 | 125.32平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,1人关注 / 3个月以前发布,160,"12,768元/平"
洛城紫园  毛坯 次新小区 户型正气 有钥匙看房,雅锦西园 -洛社,3室2厅 | 128.12平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,8人关注 / 7个月以前发布,165,"12,879元/平"
洛城改善型小区 纯毛坯带车位 中上楼层采光好 诚售,丽都景园（上府名园） -洛社,3室2厅 | 112.87平米 | 南 | 毛坯 | 高楼层(共15层)  | 板楼,1人关注 / 1个月以前发布,175,"15,505元/平"
