标题,开发商,房子信息,发布信息,售价/万,单价
奥体谷德锦商圈 电梯三室，楼层采光好，交通便利,鸢都新城 -奥体中心,3室1厅 | 118.47平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 8天以前发布,73.8,"6,230元/平"
一楼带院  院子方正  客厅大开间 楼上都是三居,泰华金泰名苑 -福乐多,2室2厅 | 99.65平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,1人关注 / 一年前发布,99.6,"9,995元/平"
东风街福乐多近三友翡翠城精装三室出税多层中间楼层,三友翡翠城 -福乐多,3室2厅 | 120.76平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,98,"8,116元/平"
东风西街谷德锦 上城国际佳乐家 三室精装修 出税,上城国际B区 -上城佳乐家,3室2厅 | 111.03平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,105,"9,457元/平"
金科华府两室朝阳 炒鸡便宜 单价五千三 区政府近,金科华府 -潍城区政府,2室2厅 | 87.24平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,12人关注 / 一年前发布,45.8,"5,250元/平"
奥文国际城精装修三室，出税，楼层好,奥文国际城 -上城佳乐家,3室2厅 | 112.61平米 | 南 北 | 精装 | 中楼层(共24层)  | 板塔结合,1人关注 / 4个月以前发布,80,"7,105元/平"
东明，大平层，大4居室，精装，带中 央空调，带车位，,北大锦城 -潍坊学院,4室5厅 | 217.45平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,276,"12,693元/平"
房子是小区好的位置，邻小区的景观湖，出税，精装修,三友翡翠城 -福乐多,2室2厅 | 77.78平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,48.9,"6,287元/平"
中百商圈 西城名都 小高层两室 南北通透 看房方便,西城名都 -上城佳乐家,3室1厅 | 99.7平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,2人关注 / 一年前发布,55,"5,517元/平"
三友华锦苑多层一楼，出税，H户型精装拎包入住！,三友华锦苑 -上城佳乐家,3室2厅 | 126.64平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,99,"7,818元/平"
好房来袭，速度上车来看......,金都庄园 -上城佳乐家,3室2厅 | 112.71平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,4人关注 / 一年前发布,73.5,"6,522元/平"
区政府单位房，物业好，停车免费，公摊小,清平花园 -上城佳乐家,4室2厅 | 179.87平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 6个月以前发布,164,"9,118元/平"
东风街自怡园近多层3室精装修楼层好采光好,汇丰花园 -上城佳乐家,3室2厅 | 98.05平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,65.5,"6,681元/平"
金马家园纯正大H户型，北海.谷德近179.49平出售,金马家园 -谷德广场,4室2厅 | 179.49平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,12人关注 / 8个月以前发布,188,"10,475元/平"
上城国际茂华紫苑公馆旁单位房新上三室房源,化肥厂宿舍南院 -上城佳乐家,3室2厅 | 95.91平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,42,"4,380元/平"
东风街上城佳乐家近，精装电梯房114平三室，中间楼层,上城国际B区 -上城佳乐家,3室1厅 | 113.33平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,86.5,"7,633元/平"
胜利街主干道 大平方精装 配套齐全,金都庄园 -上城佳乐家,4室2厅 | 150.24平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,4人关注 / 一年前发布,118,"7,855元/平"
三友翡翠城精装修低总价小两居诚意出售,三友翡翠城 -福乐多,2室2厅 | 77.78平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,3人关注 / 5个月以前发布,43,"5,529元/平"
自怡园近三友华锦苑大三室朝阳经典户型带地下停车位,三友华锦苑 -上城佳乐家,3室2厅 | 114.8平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,91.9,"8,006元/平"
北海花园 多层三楼 精装  市府广场,北海花园B区 -人民广场,3室2厅 | 118.58平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,106,"8,940元/平"
南北通透，客厅挑空精致装修，带车位，出税。,丹桂里 -新华路佳乐家,5室2厅 | 325平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 2个月以前发布,408,"12,554元/平"
东风街福乐多近三友翡翠城精装三室出税多层中间楼层,三友翡翠城 -福乐多,3室2厅 | 120.76平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,98,"8,116元/平"
顺嘉花园多层5楼，非山非顶，带地下室，精装实木地板,顺嘉花园 -上城佳乐家,3室2厅 | 112.76平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,70,"6,208元/平"
房主急售 楼层好4楼 已经交安电梯费4万,清平花园 -上城佳乐家,4室2厅 | 197平米 | 南 西北 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,139,"7,056元/平"
奥体近，多层五楼，精装三室，生活便利,清平花园 -上城佳乐家,3室2厅 | 106.54平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,76,"7,134元/平"
上城佳乐家近，精装未住，采光通风效果良好，拎包入住,奥文国际城B区 -上城佳乐家,3室1厅 | 99.97平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,4人关注 / 一年前发布,75.8,"7,583元/平"
盛世豪廷顶层复式 豪！华装修观景虞河 大四室 带车位,盛世豪廷二期·汇景苑 -人民医院,5室3厅 | 127.69平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,170,"13,314元/平"
精装三室微住 房型好 采光佳  满五出税,三友翡翠城 -福乐多,3室2厅 | 131.81平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 8个月以前发布,91.9,"6,973元/平"
简装，三室一厅一厨一卫，采光好，出税,卧龙小区西区 -万家福,3室1厅 | 70平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,30.8,"4,400元/平"
恒大全景观湖，精装修四室，两梯两户，楼座好，绿化高,恒大名都 -市府东南,4室2厅 | 215.57平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 一年前发布,248,"11,505元/平"
"多层好楼层,采光视野好,近利昌和福乐多,精装微住",鲁发名城宣武郡 -福乐多,2室2厅 | 90.36平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,63.5,"7,028元/平"
锦绣近 出门即校门 位置好 全天采光无遮挡,东域美墅 -锦绣学校,5室2厅 | 146.75平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,1人关注 / 8个月以前发布,87,"5,929元/平"
东风街三友翡翠城三室南北通透采光好房精装带家电,三友翡翠城 -福乐多,3室2厅 | 133.86平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,2人关注 / 一年前发布,81.6,"6,096元/平"
房主急售多层6楼  三室  价格可大议,动力厂宿舍 -上城佳乐家,3室1厅 | 102.33平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,42.8,"4,183元/平"
佳乐家旁 精装房  楼层好 生活便利,上城国际A区 -上城佳乐家,3室2厅 | 126.83平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 一年前发布,89.8,"7,081元/平"
单位房 奥体近 清平花园 公摊低 车位免费,清平花园 -上城佳乐家,3室2厅 | 130.41平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,90,"6,902元/平"
胜利街上城佳乐家近，多层四楼单位房，可拎包入住 。,动力厂宿舍 -上城佳乐家,3室2厅 | 102.33平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 11个月以前发布,54,"5,278元/平"
文化路胜利街东北 胜利东 张面河 新华路佳乐家,洛杉矶小区 -新华路佳乐家,3室2厅 | 109.07平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 7个月以前发布,76,"6,969元/平"
业主急售，玫瑰国际多层三室，精装满五唯一，带地下室,玫瑰国际 -自怡园,3室1厅 | 92.87平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,63,"6,784元/平"
此户型在售房源少 楼层好 业主精装自住 出税,奥文国际城 -上城佳乐家,3室2厅 | 157.11平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 3个月以前发布,137.5,"8,752元/平"
业主急售上城国际 全屋精装 可直接入住的省心价低好房,上城国际C区 -上城佳乐家,3室2厅 | 134.27平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,63人关注 / 一年前发布,89,"6,629元/平"
房主急售 精装 客厅朝阳 南北通透看房方便,鲁发名城宣武郡 -福乐多,2室2厅 | 94.11平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,56,"5,951元/平"
双气供暖，精装修，标准三室，看房方便。,汇丰花园 -上城佳乐家,3室1厅 | 83.42平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,41.8,"5,011元/平"
胜利街，金庆物业，精装三室，带租车位一个,金都庄园 -上城佳乐家,3室2厅 | 88.86平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 7个月以前发布,57.5,"6,471元/平"
外国语自怡园近 多层2楼3室精装  购物生活出行都方便,顺嘉花园 -上城佳乐家,3室2厅 | 118.93平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,82,"6,895元/平"
标三户型，楼层佳，南北通透，视野好，公摊小,潍城卫生局宿舍 -自怡园,3室1厅 | 77.77平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,2人关注 / 一年前发布,37.4,"4,810元/平"
福安家园多层6楼带阁楼带露台 标准三室 客厅带窗,圣基·福安家园 -自怡园,3室2厅 | 109.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,62.2,"5,656元/平"
金都家园 出税 采光好 通透 户型方正 社区成熟,金都家园 -上城佳乐家,3室1厅 | 104.2平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 4个月以前发布,76,"7,294元/平"
白浪河西岸，古德茂，联排别墅，精装修房主急售,海泰绿洲 -开发区管委会,5室2厅 | 303.14平米 | 南 北 | 精装 | 低楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,420,"13,855元/平"
佳乐家近，实验边上，采光好，房主急售。,上城国际A区 -上城佳乐家,3室2厅 | 146.06平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,196.8,"13,474元/平"
泰和上筑，上叠带露台，带阁楼，精装修。不沿街不冲路,泰和上筑 -高新实验,4室2厅 | 262.19平米 | 南 北 | 精装 | 中楼层(共4层)  | 板塔结合,5人关注 / 6个月以前发布,548,"20,901元/平"
交通便利南北通透户型三室配套齐全,鲁发名城安定郡 -福乐多,3室2厅 | 115.05平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,78,"6,780元/平"
三友华锦苑出税精装好房拎包入住,三友华锦苑 -上城佳乐家,3室2厅 | 129.57平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,85,"6,561元/平"
小区绿化高，精装修，带地下室，满五唯一,茂华紫苑公馆 -上城佳乐家,3室2厅 | 146.4平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,6人关注 / 一年前发布,101,"6,899元/平"
多层二楼，公摊小，出行方便，带地下室，地上车库单算,怡心苑 -自怡园,3室2厅 | 133.05平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,80,"6,013元/平"
业主急售鸿禧花园，南北通透，精装三室朝阳,鸿禧花园 -自怡园,3室2厅 | 127.77平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,12人关注 / 一年前发布,91,"7,123元/平"
房主急售 2楼带大露台 精装 看房方便,鲁发名城宣武郡 -福乐多,2室2厅 | 94.11平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,63,"6,695元/平"
茂华观湖大四室，精装修出税，诚意出售,茂华紫苑公馆 -上城佳乐家,4室2厅 | 172.05平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,135,"7,847元/平"
精装修！楼层好！客厅卧室朝阳，北卧采光充足交通便利,鲁发名城崇文郡 -福乐多,3室2厅 | 95.4平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,69.9,"7,328元/平"
此房南北通透，全明户型，客厅朝阳，带飘窗，视野宽阔,恒大翡翠华庭 -福乐多,3室2厅 | 149.18平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,97,"6,503元/平"
圣基铭座楼 好 hao装大H户型 带家具家电 楼层采光好,圣基铭座 -自怡园,3室2厅 | 147.98平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,2人关注 / 一年前发布,99,"6,691元/平"
胜利街上永安路 电梯中间楼层3室全明户型 精装地下室,金都庄园 -上城佳乐家,3室2厅 | 112.71平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,70,"6,211元/平"
利昌近 精装三室 带地下室楼层好采光好,鲁发名城崇文郡 -福乐多,3室2厅 | 114.47平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,80.9,"7,068元/平"
胜利街 多层精装修 全天采光 房主急售,金都庄园 -上城佳乐家,3室2厅 | 138.1平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,95,"6,880元/平"
房子是大H户，上好楼层，随时看房，房子精装未住，,茂华紫苑公馆 -上城佳乐家,3室2厅 | 143.93平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,129,"8,963元/平"
单位房，格局好，采光好，小区位置好,福安家园西区 -自怡园,3室2厅 | 90.08平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,51,"5,662元/平"
一二层加负一加大院，环境优美安静,金宝大院 -白浪河湿地,4室3厅 | 293.14平米 | 南 北 | 简装 | 低楼层(共4层)  | 暂无数据,2人关注 / 一年前发布,246,"8,392元/平"
排别墅圣菲漫步毛坯房共四层奥体板块,圣菲漫步 -奥体中心,7室2厅 | 240平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,7人关注 / 一年前发布,340,"14,167元/平"
福安家园三室朝阳大户型 带平顶阁楼 校门口居家便利,圣基·福安家园 -自怡园,3室2厅 | 117.46平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,31人关注 / 一年前发布,57,"4,853元/平"
东风街采光好茂华紫苑公馆，精装三室，满2年客厅朝阳,茂华紫苑公馆 -上城佳乐家,3室1厅 | 121.83平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 10个月以前发布,86,"7,060元/平"
：顶楼带阁楼，三个卧室朝阳，福乐多近,鲁发名城宣武郡 -福乐多,3室2厅 | 112.7平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,63,"5,591元/平"
业主急售奥文三居，满五唯一，楼层好视野好，精装修,奥文国际城 -上城佳乐家,3室2厅 | 112.61平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,3人关注 / 6个月以前发布,76,"6,749元/平"
火车站旁精装修刚需好房，可租可售！,潍坊电业局爱国路宿舍区 -潍坊站,3室2厅 | 85.93平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,43,"5,005元/平"
房子精装修未住小区环境好楼层位置佳,中南世纪城 -寿光市,3室2厅 | 131.57平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,110,"8,361元/平"
古德近，105平三居室 好楼层 年轻过度公摊小,鸢都新城 -奥体中心,3室1厅 | 103.12平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,59.8,"5,800元/平"
奥体近渤景湾三室精装未住，带地下室，,渤景湾 -奥体中心,3室1厅 | 89.73平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,5人关注 / 11个月以前发布,55.8,"6,219元/平"
渤景湾奥体近三室精装带地下室诚售,渤景湾 -奥体中心,3室1厅 | 89.73平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,3人关注 / 10个月以前发布,58,"6,464元/平"
新华路佳乐家近，品质社区，精装挑空复式，采光好,丹桂里 -新华路佳乐家,6室3厅 | 312.93平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,11人关注 / 10个月以前发布,350,"11,185元/平"
：顶楼带阁楼，三个卧室朝阳，福乐多近,鲁发名城宣武郡 -福乐多,3室2厅 | 112.7平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,63,"5,591元/平"
胜利街 电梯房 精装 采光视野好 出税急售,万合华庭 -上城佳乐家,3室1厅 | 106.82平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,80.8,"7,565元/平"
虞河畔，一二三层带大院，带车位，精装修，品味上档,恒信宝通世家 -植物园,4室3厅 | 199.26平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,300,"15,056元/平"
业主急售奥文三居，满五唯一，楼层好视野好，精装修,奥文国际城 -上城佳乐家,3室2厅 | 112.61平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,3人关注 / 6个月以前发布,76,"6,749元/平"
东风街上 多层2楼H户型双卫  精装修位置好 三友翡翠城,三友翡翠城 -福乐多,3室2厅 | 140.77平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 8个月以前发布,99,"7,033元/平"
谷德锦近，多层四楼。精装两室，年轻人过度好房。,鸢都新城 -奥体中心,2室1厅 | 93.37平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,50.8,"5,441元/平"
急售楼层好采光好19年精装带发票家具家电价格可再议,金科华府 -潍城区政府,2室2厅 | 88.24平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,52,"5,894元/平"
智群近电梯好房 108平精装2室 南北通透 双气供暖,向阳丽景小区 -奥体中心,2室2厅 | 108.98平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 3个月以前发布,62.8,"5,763元/平"
房子精装修未住小区环境好楼层位置佳,中南世纪城 -寿光市,3室2厅 | 131.57平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,110,"8,361元/平"
带电梯 4室 南北通透 毛胚 房主急售,金科华府 -潍城区政府,4室2厅 | 129.39平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,2人关注 / 10个月以前发布,71,"5,488元/平"
⭐⭐⭐⭐⭐(店长主推）精装4室微住+采光充足+地下车位,恒大名都 -市府东南,4室2厅 | 215.57平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,4人关注 / 一年前发布,185,"8,582元/平"
奥体近鸢都新城多层采光视野好急售,鸢都新城 -奥体中心,2室2厅 | 90.23平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,50,"5,542元/平"
清平花园单位房低楼层三室朝阳停车免费,清平花园 -上城佳乐家,3室2厅 | 131.73平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,89,"6,757元/平"
鲁发名城，89平两室两厅，带阁楼，60万。,鲁发名城崇文郡 -福乐多,2室2厅 | 87.51平米 | 北 南 | 精装 | 高楼层(共6层)  | 板塔结合,19人关注 / 一年前发布,55,"6,285元/平"
利昌近 精装修刚满2年 未住 婚房 全新家具家电 地下室,三友翡翠城 -福乐多,3室2厅 | 120.6平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,99.99,"8,292元/平"
新小区， 电梯房，多层3楼，户型好,恒信伯爵公馆 -雷沃重工,4室2厅 | 168.88平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,138,"8,172元/平"
一楼带160平院子 近区政府 出税带地下室 精装未住,碧水庄园 -潍城区政府,3室2厅 | 151.64平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,6人关注 / 一年前发布,112,"7,386元/平"
联运家园 单位房 多层二楼  金樱,联运家园 -市府东南,3室2厅 | 139.26平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,118.5,"8,510元/平"
唐宁郡 多层4楼采光视野好 南北通透智群谷德锦近,唐宁郡 -奥体中心,3室2厅 | 99.39平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,68,"6,842元/平"
胜利街 快速路 经典多层 阳光楼层 公摊小 全天采光,潍城春天 -站南广场,3室1厅 | 82.42平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,53.1,"6,443元/平"
渤景湾奥体近三室精装带地下室诚售,渤景湾 -奥体中心,3室1厅 | 89.73平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,3人关注 / 10个月以前发布,58,"6,464元/平"
奥体近渤景湾三室精装未住，带地下室，,渤景湾 -奥体中心,3室1厅 | 89.73平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,5人关注 / 11个月以前发布,55.8,"6,219元/平"
古德近，105平三居室 好楼层 年轻过度公摊小,鸢都新城 -奥体中心,3室1厅 | 103.12平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,59.8,"5,800元/平"
火车站旁精装修刚需好房，可租可售！,潍坊电业局爱国路宿舍区 -潍坊站,3室2厅 | 85.93平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,43,"5,005元/平"
中百 泰华 谷德锦 佳乐家近 奥文 精装未住,奥文国际城 -上城佳乐家,3室2厅 | 128.12平米 | 南 北 | 精装 | 低楼层(共21层)  | 板塔结合,2人关注 / 8个月以前发布,88,"6,869元/平"
中间楼层三卧室朝阳精装拎包入住,三友翡翠城 -福乐多,3室2厅 | 136.98平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,100,"7,301元/平"
楼层偏中，采光性好，南北通透。,朝阳锦园小区 -奥体中心,3室1厅 | 85.72平米 | 南 北 | 简装 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,54,"6,300元/平"
奥体安顺广场近渤景湾三居室诚心出售！,渤景湾 -奥体中心,3室1厅 | 91.94平米 | 南 北 | 简装 | 高楼层(共34层)  | 塔楼,3人关注 / 一年前发布,44.5,"4,841元/平"
文苑单位房，多层三室总价低 有车位，拎包入住供暖好,文苑小区(潍城区) -奥体中心,3室2厅 | 99.69平米 | 南 北 | 精装 | 高楼层(共6层)  | 平房,5人关注 / 一年前发布,55,"5,518元/平"
润泽苑 楼层视野好，看房方便 诚心出售,润泽苑 -上城佳乐家,3室2厅 | 97.2平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,64.8,"6,667元/平"
奥体近渤景湾三室精装未住，带地下室，,渤景湾 -奥体中心,3室1厅 | 89.73平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,5人关注 / 11个月以前发布,55.8,"6,219元/平"
火车站旁精装修刚需好房，可租可售！,潍坊电业局爱国路宿舍区 -潍坊站,3室2厅 | 85.93平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,43,"5,005元/平"
植物园近单位房多层三楼带两个可用车位小区内自带水系,规划局小区 -梨园,4室2厅 | 177.88平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 4个月以前发布,170,"9,558元/平"
视野宽阔，日照充足，配套齐全.,寿光市实验中学家属楼 -寿光市,3室2厅 | 140平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 11个月以前发布,79.8,"5,700元/平"
新华路佳乐家近，品质社区，精装挑空复式，采光好,丹桂里 -新华路佳乐家,6室3厅 | 312.93平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,11人关注 / 10个月以前发布,350,"11,185元/平"
渤景湾奥体近三室精装带地下室诚售,渤景湾 -奥体中心,3室1厅 | 89.73平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,3人关注 / 10个月以前发布,58,"6,464元/平"
古德近，105平三居室 好楼层 年轻过度公摊小,鸢都新城 -奥体中心,3室1厅 | 103.12平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,59.8,"5,800元/平"
南北通透好户型  购物方便  小复式,盛泉小区 -奥体中心,3室2厅 | 143.19平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,71,"4,959元/平"
新小区， 电梯房，多层3楼，户型好,恒信伯爵公馆 -雷沃重工,4室2厅 | 168.88平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,138,"8,172元/平"
胜利街 快速路 经典多层 阳光楼层 公摊小 全天采光,潍城春天 -站南广场,3室1厅 | 82.42平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,53.1,"6,443元/平"
唐宁郡 多层4楼采光视野好 南北通透智群谷德锦近,唐宁郡 -奥体中心,3室2厅 | 99.39平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,68,"6,842元/平"
高新泰和上筑大平层， 有车位 大地下室 采光无压力,泰和上筑 -高新实验,5室2厅 | 254.12平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,29人关注 / 一年前发布,378,"14,875元/平"
渤海路主干道 多层大平层，带车位地下室 5室,翰林新城.潍大花园 -潍坊学院,5室2厅 | 193.38平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,11人关注 / 一年前发布,193,"9,981元/平"
奥体智群文苑小区三室南北通透精装微住,文苑小区(潍城区) -奥体中心,3室2厅 | 100.9平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,65,"6,443元/平"
100万精装有院子露台无遮挡洋房,圣菲漫步 -奥体中心,4室2厅 | 187平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,3人关注 / 10个月以前发布,220,"11,765元/平"
谷德锦 奥体近 精装三室 楼层好 上智群xue校 楼龄新,鸢都新城 -奥体中心,3室2厅 | 121.22平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,79,"6,518元/平"
上学近 环境好 洋房 绿化高 生活方便,万特公馆 -福乐多,3室2厅 | 142.3平米 | 南 北 | 精装 | 低楼层(共11层)  | 塔楼,0人关注 / 4个月以前发布,112,"7,871元/平"
润泽苑 楼层视野好，看房方便 诚心出售,润泽苑 -上城佳乐家,3室2厅 | 97.2平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,64.8,"6,667元/平"
出税，采光好，视野开阔，通透性好，南北通透交通便利,金都庄园 -上城佳乐家,3室2厅 | 119.99平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 7个月以前发布,68,"5,668元/平"
