标题,开发商,房子信息,发布信息,售价/万,单价
南北通透 采光充足 长春公园  朝阳桥轻轨,我爱我家(建阳街) -景阳广场,3室1厅 | 161.67平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 7天以前发布,130,"8,042元/平"
标准两室格局 南北通透 精装修 ，电梯8楼,天嘉水晶城二期 -西安广场,2室1厅 | 102平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 12天以前发布,110,"10,785元/平"
金地风华雅筑 品质小区 尚德正德 3室有钥匙,金地风華雅筑 -硅谷街南,3室2厅 | 102.05平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 3天以前发布,128,"12,543元/平"
想买毛坯自己装修的可看看这套中海兰庭的房子,中海兰庭 -硅谷街南,2室1厅 | 86.23平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 14天以前发布,90,"10,438元/平"
金地风华雅筑 品质小区 尚德正德 3室有钥匙,金地风華雅筑 -硅谷街南,3室2厅 | 102.05平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 3天以前发布,128,"12,543元/平"
标准两室格局 南北通透 精装修 ，电梯8楼,天嘉水晶城二期 -西安广场,2室1厅 | 102平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 12天以前发布,110,"10,785元/平"
房子是多层一楼的房子，南北通透，采光好，,豪邦新月花园 -柳影,3室2厅 | 123平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 7天以前发布,95,"7,724元/平"
万科城市之光 中间楼层  产权过二 采光视野好,万科城市之光 -西部新城开发区,4室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 6天以前发布,175,"13,462元/平"
雷锋 南北通透 前后无遮挡 采光充足,吉达花园 -景阳广场,4室2厅 | 160平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 9天以前发布,125,"7,813元/平"
绿地新里馆，标准1室2厅，精装修，随时看房,绿地新里中央公馆南区 -友谊公园,1室2厅 | 68平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,1人关注 / 7天以前发布,74,"10,883元/平"
天茂湖 峯景小镇 产权满二 一梯一户 可观湖,峯璟小镇 -硅谷街南,4室2厅 | 170平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 7天以前发布,205,"12,059元/平"
国信御湖公馆 三室两卫 毛坯 有钥匙 随时看房,国信御湖公馆北区 -南部新城,3室2厅 | 125.29平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 6天以前发布,115,"9,179元/平"
前后花园大厅落地窗7米开间，带双层地下,万科新都会 -南部新城,3室2厅 | 155.2平米 | 南 北 | 其他 | 低楼层(共4层)  | 板楼,0人关注 / 6天以前发布,350,"22,552元/平"
恒大御景南区 4室2厅 南 北,恒大御景南区 -友谊公园,4室2厅 | 170.86平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,0人关注 / 6天以前发布,170,"9,950元/平"
北湖东师明达  新城吾悦 不把不临  精装修  楼层好,卓扬北湖湾 -奋进,3室2厅 | 110.6平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2天以前发布,99.8,"9,024元/平"
轻轨四号线 伊通河畔，多层中间楼层采光充足，过五,中海水岸馨都 -净月区,3室2厅 | 127平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 3天以前发布,145,"11,418元/平"
一汽54A2街区 2室2厅 南 北,一汽54A2街区 -支农东,2室2厅 | 106.74平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3天以前发布,71,"6,652元/平"
富奥临河湾 临河观景房 四室两厅两卫 精装修 视野好,富奥临河湾 -净月区,4室2厅 | 145.43平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 2天以前发布,181,"12,446元/平"
华润橡树湾二期，电梯房，精装修，户型方正,华润橡树湾2.1期 -南部新城,2室2厅 | 93平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 2天以前发布,93,"10,000元/平"
玖诚领域，精装修婚房没住，随时看房有钥匙能贷款,玖诚领域 -净月区,3室2厅 | 127.23平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,5人关注 / 一年前发布,128,"10,061元/平"
雅仕园小区 3室2厅 南 北,雅仕园小区 -南湖,3室2厅 | 195.33平米 | 南 北 | 其他 | 高楼层(共11层)  | 塔楼,1人关注 / 一年前发布,243,"12,441元/平"
多层三楼，南北通透，采光充足，标准格局,碧水云天 -四联大街,4室2厅 | 163.48平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,149,"9,115元/平"
车城名仕家园一汽二十五街区 3室2厅 南 北,车城名仕家园一汽二十五街区 -四联大街,3室2厅 | 118.62平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,3人关注 / 11个月以前发布,88,"7,419元/平"
恒盛豪庭 三居室  简单装修 产权满二,恒盛豪庭 -硅谷街南,3室2厅 | 129平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,105,"8,140元/平"
采光充足                             产  权过二,国信中央新城峯境二期 -南部新城,3室1厅 | 106.58平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,4人关注 / 一年前发布,118,"11,072元/平"
大三居 精装修，南北通透，主要价格便宜,国信中央新城峯境一期 -南部新城,3室2厅 | 135.05平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,25人关注 / 一年前发布,139,"10,293元/平"
复地哥德堡森林二期，多层洋房，采光好，,复地哥德堡森林二期 -净月区,3室1厅 | 119.2平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,10人关注 / 一年前发布,110,"9,229元/平"
绿色家园！有钥匙！轻轨旁！产权过2！,绿色家园(净月区) -净月区,3室1厅 | 157.06平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,29人关注 / 一年前发布,107,"6,813元/平"
保利溪湖林语 楼层好观水库户型方正 交通方便近地铁,保利溪湖林语 -南部新城,3室2厅 | 132.74平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,4人关注 / 一年前发布,151,"11,376元/平"
小区环境优美，公园里的家，恒大精装修，产权过二,恒大御峰 -南部新城,3室2厅 | 132.27平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,3人关注 / 一年前发布,140,"10,585元/平"
八一公园观湖房 精装修未入住 房主急售 产权过2,保利溪湖林语 -南部新城,3室1厅 | 132.8平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,1人关注 / 5个月以前发布,164,"12,350元/平"
多层中间楼层，标准双阳卧室阳面客厅，格局标准,证大清华园 -长新街,3室2厅 | 127.6平米 | 南 北 | 精装 | 中楼层(共5层)  | 塔楼,10人关注 / 一年前发布,150,"11,756元/平"
益田御水丹堤 毛坯 低密度 多层,益田御水丹堤C区 -硅谷街南,4室2厅 | 142平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,137,"9,648元/平"
近南湖 单价低  出行便利 配套齐全,轻工外贸宿舍 -南湖,2室1厅 | 71.89平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,9人关注 / 一年前发布,69.5,"9,668元/平"
保利林语E区一期 4室2厅 南 北,保利林语E区一期 -友谊公园,4室2厅 | 215平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,215,"10,000元/平"
玖诚领域，中间楼层随时看房能贷款，婚房未住随时看房,玖诚领域 -净月区,3室2厅 | 121.69平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,13人关注 / 一年前发布,128.1,"10,527元/平"
恒大城 精装修 采光好 看房方便 出行方便,恒大城 -北环沿线,3室2厅 | 104.37平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,3人关注 / 一年前发布,92,"8,815元/平"
精装婚房 三室的 中东 地铁 麦德龙 政 府公园,郡望安石 -长新街,3室2厅 | 106.56平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,30人关注 / 一年前发布,110,"10,323元/平"
此房满五唯一，诚心出售，不挡光,恒盛豪庭 -硅谷街南,3室2厅 | 123.52平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,7人关注 / 一年前发布,97,"7,853元/平"
绿地公馆 园区内位置安静 带个车位满五唯一 随时看房,绿地新里中央公馆南区 -友谊公园,3室2厅 | 141.51平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 塔楼,19人关注 / 一年前发布,145,"10,247元/平"
采光好.户型好.交通便利 ......,长影世纪村 -南湖,3室2厅 | 133平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,8人关注 / 一年前发布,203,"15,264元/平"
南北通透 交通便利 采光充足 小区环境优美,融创上城四期 -欧亚卖场,3室2厅 | 123.23平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 板楼,26人关注 / 一年前发布,118,"9,576元/平"
半导体宿舍 2室2厅 南 北,半导体宿舍 -南湖,2室2厅 | 95.97平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,88,"9,170元/平"
观湖大平层，楼层好，有外扩阳台,天茂湖温莎园 -硅谷街南,4室1厅 | 250.61平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,380,"15,164元/平"
三居室，采光好，视野好，楼层优质,东安瑞凯国际一期 -南部新城,3室2厅 | 100.03平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,99,"9,898元/平"
万科潭溪庭院式别墅，双车库  水系旁,万科潭溪别墅 -净月区,5室3厅 | 196.38平米 | 南 北 | 毛坯 | 2层  | 塔楼 | 联排别墅 ,1人关注 / 2个月以前发布,345,"17,568元/平"
中国铁建花语城 多层洋房 人车分流 闹中取静 采光好,中国铁建花语城 -硅谷街北,3室2厅 | 129.52平米 | 南 北 | 其他 | 高楼层(共8层)  | 板楼,3人关注 / 一年前发布,190,"14,670元/平"
高新慧园3居室 楼层好 采光好 有钥匙 随时看房,高新慧园 -硅谷街南,3室2厅 | 129.13平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,6人关注 / 一年前发布,152,"11,772元/平"
此房产权在手，付款方式灵活 ，可贷款 可一次性 。,益田御水丹堤C区 -硅谷街南,4室2厅 | 148.15平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,21人关注 / 一年前发布,138,"9,315元/平"
澳洲佳园，四室两厅两卫，南北通透不把山,澳洲佳园 -平阳,4室2厅 | 174.62平米 | 南 北 | 简装 | 高楼层(共14层)  | 板楼,5人关注 / 9个月以前发布,310,"17,753元/平"
东安开运福里 三室两厅 毛坯房 欧亚商圈 双轨交通,开运福里B区 -欧亚卖场,3室2厅 | 94平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,8人关注 / 一年前发布,93,"9,894元/平"
八一公园 湖景 精装修三室两卫，中间楼层 随时看房,保利溪湖林语 -南部新城,3室2厅 | 132.81平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,7人关注 / 9个月以前发布,145,"10,918元/平"
倚澜观邸二期 洋房 中间楼层 不把不临 品质装修,倚澜观邸二期 -硅谷街北,3室2厅 | 122.43平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,4人关注 / 一年前发布,169,"13,804元/平"
南湖名家，近南湖，红旗商圈，房主诚心出售,南湖名家 -南湖,3室2厅 | 183.87平米 | 北 南 | 精装 | 中楼层(共7层)  | 板楼,21人关注 / 一年前发布,229,"12,455元/平"
中海国际社区D区 御峰 毛坯三室 随时看房  观伊通河,中海国际社区D区 -净月区,3室2厅 | 163.27平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,22人关注 / 一年前发布,220,"13,475元/平"
太阳世纪居 站前商圈 轻轨三号线 配套成熟 交通便利,太阳世纪居 -站前,3室2厅 | 190.1平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,8人关注 / 10个月以前发布,130,"6,839元/平"
满五唯一，南北通透，房主吉售。,中海兰庭 -硅谷街南,3室2厅 | 147.13平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,12人关注 / 一年前发布,135,"9,176元/平"
万龙银河城西区，三室二卫格局，不把山不临街！,万龙银河城西区 -西部新城开发区,3室2厅 | 112.45平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,95,"8,449元/平"
水韵豪庭1跃2带花园楼下不算面积,水韵豪庭 -净水厂,4室3厅 | 107.68平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 5个月以前发布,268,"24,889元/平"
中东旁 精装满五4室2厅可拎包入住 使用空间大 带阁楼,松苑小区 -欧美工业园,4室2厅 | 114.32平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,92,"8,048元/平"
万龙银河城西区 南明厅 南北通透 双地铁 产权在手,万龙银河城西区 -西部新城开发区,3室2厅 | 102.95平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,92,"8,937元/平"
眼镜户型，不把山，产权过五，精装婚房，拎包入住,万龙丽水湾 -硅谷街南,3室2厅 | 139.57平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,11人关注 / 一年前发布,147,"10,533元/平"
格局好，楼层采光好，园区唯一13层小高,中海兰庭 -硅谷街南,3室2厅 | 115.74平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,43人关注 / 一年前发布,145,"12,529元/平"
锦绣家园 楼层好 交通便利 购物方便 商圈成熟,新星宇锦绣家园 -西安广场,5室2厅 | 131.89平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,75,"5,687元/平"
房源精装业主诚心出售   价格还能谈,恒大御峰 -南部新城,3室2厅 | 115.54平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,9人关注 / 一年前发布,105,"9,088元/平"
产权过五，精装修，采光好，南北通透,保利中央公园 -汽车广场,4室2厅 | 129.94平米 | 南 北 | 精装 | 中楼层(共22层)  | 板楼,1人关注 / 9个月以前发布,153,"11,775元/平"
万龙银河城西区 南明厅 南北通透 双地铁 产权在手,万龙银河城西区 -西部新城开发区,3室2厅 | 102.95平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,92,"8,937元/平"
业主诚心出售   看房方便  欢迎来看,万龙丽水湾 -硅谷街南,4室2厅 | 93.64平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,110,"11,748元/平"
开运福里70平3室南北通透77万,开运福里B区 -欧亚卖场,3室1厅 | 69.89平米 | 南 北 | 简装 | 低楼层(共16层)  | 板楼,7人关注 / 一年前发布,74.5,"10,660元/平"
眼镜户型，不把山，产权过五，精装婚房，拎包入住,万龙丽水湾 -硅谷街南,3室2厅 | 139.57平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,11人关注 / 一年前发布,147,"10,533元/平"
格局好，楼层采光好，园区唯一13层小高,中海兰庭 -硅谷街南,3室2厅 | 115.74平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,43人关注 / 一年前发布,145,"12,529元/平"
小区环境好 楼下就是商场 *市 公园 地铁,钜城臻品 -南部新城,4室2厅 | 240.74平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,2人关注 / 一年前发布,290,"12,047元/平"
净月潭轻轨3号线万科兰乔圣菲精装小户型,万科兰乔公寓 -净月区,2室1厅 | 63.57平米 | 南 | 精装 | 高楼层(共5层)  | 塔楼,10人关注 / 一年前发布,68,"10,697元/平"
出门即长沈路幼小初且与车城万达仅有一路之隔,东皇君园一期 -长沈路,3室2厅 | 116.29平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,8人关注 / 一年前发布,85,"7,310元/平"
开发商精装修 品质可选 全新未住,国信央城八号 -南部新城,3室1厅 | 105.36平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,6人关注 / 10个月以前发布,110,"10,441元/平"
电梯洋房 3室 不临街 采光好 有钥匙 金地风华雅筑,金地风華雅筑 -硅谷街南,3室2厅 | 124.56平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,153,"12,284元/平"
经典四联排 设计师400w奢华装修 外扩后面积达650平,观澜湖别墅 -硅谷街北,4室2厅 | 349.62平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,17人关注 / 11个月以前发布,1060,"30,319元/平"
八一公园  采光楼层 观景房 产权过2 随意装修,中海凤凰熙岸 -南部新城,3室2厅 | 109.63平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 板楼,16人关注 / 一年前发布,100,"9,122元/平"
国信央企封闭小区双地铁公园购物广场全天采光,国信央城八号 -南部新城,3室2厅 | 134.46平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 9个月以前发布,165,"12,272元/平"
翡翠花溪 产权过二，精装修 不把不临，采光充足,新发翡翠花溪 -硅谷街北,3室2厅 | 127.1平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 9个月以前发布,153,"12,038元/平"
一号线 国信大盘 精装三室拎包入住 采光楼层,国信央城八号 -南部新城,3室2厅 | 134.26平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,16人关注 / 一年前发布,162,"12,067元/平"
产权过二可贷款格局好视野好 采光充足交通便利 带阁楼,益田御水丹堤C区 -硅谷街南,3室2厅 | 127.31平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,28人关注 / 一年前发布,105,"8,248元/平"
产权过五，标准三室两厅两卫格局，楼层不挡光,福临家园西区 -北海公园,3室2厅 | 132.66平米 | 南 北 | 简装 | 低楼层(共16层)  | 塔楼,4人关注 / 一年前发布,105,"7,915元/平"
一汽25街区，三室二厅，多层二楼，拎包入住！,一汽25街区 -四联大街,3室2厅 | 110.85平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,79,"7,127元/平"
君地天城，精装修三室两卫，景观人工湖,君地天城 -长沈路,3室1厅 | 145.11平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 一年前发布,120,"8,270元/平"
此房为精装修 三室两厅两卫 采光充足 领包即住,豪邦缇香公馆一期 -长沈路,3室2厅 | 126.45平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,12人关注 / 一年前发布,143,"11,309元/平"
此房不把不临 南北通透 中间楼层 采光充足 随时看,中铁国际花园 -长沈路,3室2厅 | 136.08平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,128,"9,407元/平"
此房有地下室和花园，园区位置好，远离马路,中铁国际花园 -长沈路,3室2厅 | 211.53平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,13人关注 / 一年前发布,158,"7,470元/平"
带车位 南湖畔，格局标准，采光好，楼层好,南郡水云天 -南湖,4室2厅 | 196.74平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,27人关注 / 一年前发布,350,"17,790元/平"
八一水库，有产权可贷款，吉大尚德，户型好，采光好,恒盛豪庭 -硅谷街南,3室1厅 | 160.49平米 | 北 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,120,"7,478元/平"
南四环中号紫金苑，精装修大平层，房主诚心卖价格可议,中海紫金苑J区 -友谊公园,5室2厅 | 309.37平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,3人关注 / 3个月以前发布,670,"21,657元/平"
君地天成 四室大户型   邻城城万达   汽车公园,君地天城 -长沈路,4室2厅 | 170.83平米 | 南 北 | 毛坯 | 高楼层(共14层)  | 板楼,10人关注 / 一年前发布,125,"7,318元/平"
长沈路 西湖一号 临欧亚卖场 车城万达 汽车公园,西湖一号 -长沈路,2室2厅 | 97.69平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,95,"9,725元/平"
新上房源，中间楼层，业主诚心出售， 看房方便,中铁国际花园 -长沈路,3室2厅 | 117.31平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,3人关注 / 一年前发布,99,"8,440元/平"
中铁国际花园 精装修三室 品牌家具家电 不把不临,中铁国际花园 -长沈路,3室2厅 | 147.03平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,21人关注 / 一年前发布,130,"8,842元/平"
西安广场 长春公园 欧亚chao市 中间楼层 可议随意装修,军转办 -西安广场,2室1厅 | 80.18平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,58,"7,234元/平"
南北通透，户型方正，楼层好，采光好,中海景阳公馆 -西部新城开发区,3室2厅 | 131.98平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,185,"14,018元/平"
此房产权清晰，南北通透，业主诚意出售，,万星幸福城B区 -长新街,2室2厅 | 99.98平米 | 南 北 | 毛坯 | 高楼层(共14层)  | 板楼,19人关注 / 一年前发布,80,"8,002元/平"
万龙名城三室简单装修 地铁二号线 轻轨4号线 出行方便,万龙名城 -和顺,3室2厅 | 117.54平米 | 南 北 | 简装 | 低楼层(共26层)  | 板楼,24人关注 / 一年前发布,126,"10,720元/平"
中东首座 高层 采光好 有露台 产权在手,中东首座 -四季青市场,3室2厅 | 161.19平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,13人关注 / 一年前发布,82,"5,088元/平"
橡树湾 四室 南北通透 格局好 精装修 视野好 采光好,华润橡树湾一期 -南部新城,4室2厅 | 141.95平米 | 南 北 西 | 精装 | 低楼层(共27层)  | 板塔结合,27人关注 / 一年前发布,152,"10,708元/平"
轻轨四号线 伊通河公园观景三室 精装修 房主诚心急售,北海新居 -临河街,3室3厅 | 165平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,54人关注 / 一年前发布,125,"7,576元/平"
大三居 格局好 采光好 楼层好,保利罗兰香谷 -欧亚卖场,3室2厅 | 142.07平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,31人关注 / 一年前发布,143,"10,066元/平"
天盛名都精装2室，标准户型 南北通透  交通便利,天盛名都 -欧亚卖场,2室2厅 | 100.15平米 | 南 北 | 精装 | 低楼层(共20层)  | 板楼,27人关注 / 一年前发布,100,"9,986元/平"
义和路新疆街 南北通透 2室 医大宿舍,义和路 -桂林路,2室1厅 | 68.7平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,74,"10,772元/平"
恒大名都，精装三室南北通透，格局好,恒大名都 -硅谷街北,3室2厅 | 113.68平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,17人关注 / 10个月以前发布,83,"7,302元/平"
保利林语电梯跃层 精装修 没住过 此价格带车位,保利林语C区 -友谊公园,5室1厅 | 199.68平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,57人关注 / 一年前发布,270,"13,522元/平"
华润紫云府洋房中间层  户型好 采光好 看房方便,华润紫云府二期 -南部新城,3室2厅 | 140.11平米 | 南 北 | 其他 | 中楼层(共9层)  | 暂无数据,6人关注 / 一年前发布,190,"13,561元/平"
天茂湖峯璟小镇  小三室  南北通透  随时看房,峯璟小镇 -硅谷街南,3室2厅 | 97.98平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 一年前发布,115,"11,738元/平"
车城名仕花园精装修拎包入住欧亚卖场三室户型好光线好,车城名仕花园西区 -欧亚卖场,3室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,17人关注 / 一年前发布,120,"8,572元/平"
品牌开发商 八一水库 公园 产权清晰,保利溪湖林语 -南部新城,3室2厅 | 132.8平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,26人关注 / 一年前发布,130,"9,790元/平"
华润紫云府华润物业小区好位置多层电梯洋房标准三室,华润紫云府一期 -南部新城,4室2厅 | 159.6平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板楼,30人关注 / 一年前发布,210,"13,158元/平"
地铁沿线，通透三居室，南北正房，可按揭业主诚意出售,东安瑞凯国际一期 -南部新城,3室2厅 | 108平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,22人关注 / 一年前发布,87,"8,056元/平"
吉林大路 园区水系中间位置 中间楼层 低价格 高享受,汉森金烁广场 -万通,3室2厅 | 123.8平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 塔楼,1人关注 / 5个月以前发布,91.5,"7,391元/平"
产权清晰  户型方正  格局好,恒大御景北区 -友谊公园,2室2厅 | 98.13平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,9人关注 / 一年前发布,97,"9,885元/平"
南北通透两居室 带阁楼 诚意卖 高楼层 采光好,绿地海域中央墅B区 -友谊公园,2室2厅 | 76.42平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,12人关注 / 一年前发布,88,"11,516元/平"
精装修，拎包入住，随时可以看房,恒大名都 -硅谷街北,3室2厅 | 129.97平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,14人关注 / 一年前发布,105,"8,079元/平"
产权过二，南北通透户型，一楼带地下室,华润凯旋门 -硅谷街北,4室2厅 | 156.02平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,17人关注 / 一年前发布,300,"19,229元/平"
新星宇 南北通透 户型方正 中楼层 采光好,新星宇和润上邻A区 -南部新城,3室2厅 | 125.48平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,13人关注 / 一年前发布,115,"9,165元/平"
南湖大路旁三室两厅南北通透产权过五采光好 南北阳台,水利研究所 -红旗,3室2厅 | 107平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,60,"5,608元/平"
格局好位置佳价格醉底可观湖景单价7082可议价配套全面,恒大名都 -硅谷街北,3室2厅 | 131.18平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,17人关注 / 一年前发布,92.9,"7,082元/平"
标准南北通透，不把不临精装修 诚心出售,太阳世家紫檀居 -友谊公园,2室1厅 | 90.87平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,13人关注 / 一年前发布,102,"11,225元/平"
一梯一户，婚房装修，楼层好，采光好，看房方便,新星宇和润A区 -南部新城,3室2厅 | 140.93平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,156,"11,070元/平"
满五唯一    视野好   看房提前打电话,华润凯旋门 -硅谷街北,3室2厅 | 137.23平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,4人关注 / 11个月以前发布,175,"12,753元/平"
恒盛豪庭 八一湿地公园 视野开阔 采光好 交通便利,恒盛豪庭 -硅谷街南,3室2厅 | 140.57平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,4人关注 / 一年前发布,99,"7,043元/平"
地铁 公园 产权过二 小区环境好,国信中央新城峯境二期 -南部新城,3室2厅 | 105.19平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,10人关注 / 一年前发布,115,"10,933元/平"
南北通透3居 中高楼层 装修  看房随时 近地铁近公园,国信 ·嘉邑 -南部新城,3室2厅 | 126.94平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,32人关注 / 一年前发布,136,"10,714元/平"
绿地城 交通便利  有地铁  八十七  楼层好，视野宽阔,绿地长春上海城B区 -西部新城开发区,2室2厅 | 99.62平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,95,"9,537元/平"
此房产权过五 精装修 有阁楼 不把不临 三室两厅,华泰世纪新城二期A区 -柳影,3室2厅 | 95.32平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 9个月以前发布,75,"7,869元/平"
