标题,开发商,房子信息,发布信息,售价/万,单价
泰达润景园北苑 2室2厅 南,泰达润景园北苑 -柳叶湖,2室2厅 | 99.5平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 2天以前发布,83.8,"8,423元/平"
成熟社区，生活便利，此房户型周正，采光充足,紫桥小区 -紫桥,3室2厅 | 84平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,52,"6,191元/平"
北部新城    高铁   太阳山   市民之家,龙湖双珑原著 -火车站,3室2厅 | 128平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,100,"7,813元/平"
四医院 步行街旁 北纺菜市场 屈原公园,富泰花苑 -北站,3室2厅 | 123.32平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,65,"5,271元/平"
紫东苑3房 大小河街  德国小镇   132平,紫东苑 -三闾,3室2厅 | 132平米 | 南 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,99,"7,500元/平"
临江雅苑 3室2厅 南 北,临江雅苑 -北站,3室2厅 | 151.42平米 | 南 北 | 其他 | 高楼层(共17层)  | 塔楼,0人关注 / 8个月以前发布,115,"7,595元/平"
茉莉村 2室1厅 南 北,茉莉村 -紫桥,2室1厅 | 66.68平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,26,"3,900元/平"
柳叶湖全景 视野无遮挡 价格美丽 环境优美,保利中央公园 -柳叶湖,3室2厅 | 118平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,2人关注 / 一年前发布,88,"7,458元/平"
保利中央公园 3室2厅 南 北,保利中央公园 -柳叶湖,3室2厅 | 118平米 | 南 北 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,86.3,"7,314元/平"
央企楼盘，保利物业，中高楼层，通透，全明格局,保利中央公园 -柳叶湖,3室2厅 | 118.35平米 | 东南 | 毛坯 | 高楼层(共34层)  | 板塔结合,1人关注 / 一年前发布,85,"7,183元/平"
柳叶湖保利一期电梯高层 毛坯房,保利中央公园 -柳叶湖,4室3厅 | 128平米 | 东南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,103,"8,047元/平"
芷兰 北正街 带车位 恒大华府 交房标准大三房,常德恒大华府 -芷兰,3室2厅 | 120.26平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,103.8,"8,632元/平"
三一翡翠湾 六小 长怡 单位房 业主置换诚心出售！,高尚名門 -三闾,2室2厅 | 86平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,0人关注 / 4个月以前发布,61.8,"7,187元/平"
泰达润景园北苑 4室2厅 南,泰达润景园北苑 -柳叶湖,4室2厅 | 129平米 | 南 | 其他 | 高楼层(共17层)  | 板塔结合,1人关注 / 11个月以前发布,88,"6,822元/平"
此房装修蛮好 家电齐全 拎包入住,新世纪花园 -芷兰,3室2厅 | 131平米 | 南 东 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 6个月以前发布,100,"7,634元/平"
滨湖公园后门，北正街，文化宫，高山街步行街,水榭花城 · 南城 -滨湖公园,3室2厅 | 130.83平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,109.8,"8,393元/平"
新六村菜市场，大小河街，胜利路小..学..都在咫尺,常德市城区供电局宿舍 -滨湖公园,2室2厅 | 78.2平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,42,"5,371元/平"
满五唯一  地区医院  老体育馆  穿紫河,霞山泰兴园 -滨湖公园,2室1厅 | 88.7平米 | 东 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 9个月以前发布,50,"5,637元/平"
带车位 装修好 南北互通 户型周正  满两年。,泓鑫桃林 -滨湖公园,4室2厅 | 144.6平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,150,"10,374元/平"
此房楼层好，格局方正，阳台宽敞，视野可看穿紫河全景,聚和苑 -滨湖公园,3室1厅 | 127.84平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,85,"6,649元/平"
致远东城华府 3室2厅 南,致远东城华府 -三闾,3室2厅 | 122.5平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,2人关注 / 3个月以前发布,83,"6,776元/平"
里仁居小区 3室2厅 南,里仁居小区 -文理学院,3室2厅 | 125平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,86,"6,880元/平"
此房户型周正，楼层好，视野开阔，可看沅江,华政·龙港汇 -三岔路,3室2厅 | 88.7平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,1人关注 / 8个月以前发布,62.8,"7,081元/平"
柳叶湖4A级旅游风景区毛坯3房,保利中央公园 -柳叶湖,3室2厅 | 118平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,89.8,"7,611元/平"
此房满5年，税费低 ！楼层好，保养好！,紫华园 -滨湖公园,3室2厅 | 139.85平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,83.8,"5,993元/平"
房子户型好。小区安全系数高，小区环境好。,山水铭洲 -德山,3室2厅 | 115平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 6个月以前发布,50,"4,348元/平"
火车站 恒大华府 穴校旁 配套齐全 诚售,南坪花苑 -火车站,3室2厅 | 127平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 8个月以前发布,78.8,"6,205元/平"
毛坯板楼三房，火车站商圈，万达和欢乐城近在咫尺.,星河城B区 -火车站,3室2厅 | 117平米 | 南 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,78,"6,667元/平"
央企楼盘，保利物业，高楼层，通透全明格局,保利中央公园 -柳叶湖,3室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,90,"7,628元/平"
保利中央公园 3室2厅 南,保利中央公园 -柳叶湖,3室2厅 | 118平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 11个月以前发布,90,"7,628元/平"
紫桥   穿紫河   风采商场   简装3房  业主诚意出售！,紫桥小区 -紫桥,3室2厅 | 117平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,4人关注 / 一年前发布,53.8,"4,599元/平"
房子电梯高层 装修保养好 拎包入住 诚心出售,里仁居小区 -文理学院,2室2厅 | 96.48平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 8个月以前发布,78,"8,085元/平"
老西门 育英 品资好房....,老西门 -北站,3室2厅 | 137平米 | 南 | 其他 | 低楼层(共31层)  | 塔楼,3人关注 / 一年前发布,95,"6,935元/平"
三闾 单位院子，带装修两房，近穿紫河风光带,常德市第一建筑工程公司宿舍 -三闾,2室2厅 | 70平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,38.8,"5,543元/平"
满2年，税费低！保养好！非顶楼！,馨香▪东庭 -三闾,3室2厅 | 127.5平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,1人关注 / 一年前发布,105,"8,236元/平"
三闾 青年新城  育才 芷兰嘉树 步梯3楼 精装大3房！,东城明珠 -三闾,3室2厅 | 136.78平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,88,"6,434元/平"
大城西合兴景苑大三房南北通户型周正,合兴景苑 -未知商圈,3室2厅 | 118平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,47,"3,984元/平"
幸福小区 3室2厅 南,幸福小区 -火车站,3室2厅 | 130平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,65,"5,000元/平"
芷兰 紫菱  荷花  恒大华府 浪州府！！！~~~,常德碧桂园朗州府 -火车站,4室2厅 | 146平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,134.8,"9,233元/平"
怡景御园 3室2厅 南,怡景御园 -火车站,3室2厅 | 131平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 7个月以前发布,93.8,"7,161元/平"
火车站桃兴花园精装标准两房可拎包入住,桃兴花园 -火车站,2室2厅 | 91.44平米 | 南 | 其他 | 中楼层(共10层)  | 板楼,1人关注 / 一年前发布,68,"7,437元/平"
邻阳明湖 善卷 四医院 区政府 地税局 检察院 市民广场,碧桂园天悦湾 -桥南,4室2厅 | 142平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,86,"6,057元/平"
邻阳明湖 善卷 四医院 区政府 地税局 检察院 市民广场,碧桂园天悦湾 -桥南,4室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,100,"7,143元/平"
博大·江山如画一期 4室2厅 南,博大·江山如画一期 -桥南,4室2厅 | 128平米 | 南 | 其他 | 低楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,65,"5,079元/平"
品质小区  优质房源   舒适楼层,桃花源府西区 -桥南,3室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,79,"6,172元/平"
此房楼层好，视野宽阔，采光充足，配套齐全,碧桂园天悦湾 -桥南,3室2厅 | 124.2平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,85,"6,844元/平"
御景江南4-2-1-2 145.39m² 114 万,御景江南 -桥南,4室2厅 | 145.39平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,108,"7,429元/平"
此房满五 陈辉公园成熟小区纯板楼户型方正东边户双阳,金江南 -桥南,3室2厅 | 90平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,65.8,"7,312元/平"
这个房子满了两年，户型朝南，视野采光好,碧桂园天悦湾 -桥南,3室2厅 | 120.11平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,72.8,"6,062元/平"
河街旁、长怡、甘露寺公园、文化宫,嘉业紫和园 -三闾,2室2厅 | 101.45平米 | 南 | 毛坯 | 低楼层(共16层)  | 板楼,6人关注 / 一年前发布,61.8,"6,092元/平"
满二唯一住房 3室2厅 电梯房  房东急置换 诚意买房,碧桂园天悦湾 -桥南,3室2厅 | 120.14平米 | 南 北 | 其他 | 中楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,77,"6,410元/平"
碧桂园天悦湾 3室2厅 南 北,碧桂园天悦湾 -桥南,3室2厅 | 125平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,95,"7,600元/平"
邻阳明湖 善卷 四医院 区政府 地税局 检察院 市民广场,碧桂园天悦湾 -桥南,3室2厅 | 122.88平米 | 南 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,79,"6,430元/平"
桃花源路，善卷，新四医院，适宜居家,碧桂园天悦湾 -桥南,4室2厅 | 143平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,88,"6,154元/平"
恒大正规三房，，视野开阔，业主诚心出售,常德恒大华府 -芷兰,3室2厅 | 104平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,1人关注 / 一年前发布,95,"9,135元/平"
这个房子满了两年，朝南的户型，视野采光好,碧桂园天悦湾 -桥南,4室2厅 | 142平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,103,"7,254元/平"
碧桂园天悦湾 4室2厅 南,碧桂园天悦湾 -桥南,4室2厅 | 142平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,100,"7,043元/平"
交通便利 过江隧道口视野宽阔 采光充足,桃花源府东区 -桥南,4室2厅 | 145平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,89.5,"6,173元/平"
碧桂园天悦湾 精装三房 临善卷 阳明湖,碧桂园天悦湾 -桥南,3室2厅 | 123平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,86,"6,992元/平"
视野开阔 采光充足 配套设计齐全 交通便利,华府天地 -芷兰,3室2厅 | 137平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,75,"5,475元/平"
沅景公寓 3室2厅 南,沅景公寓 -地区医院,3室2厅 | 106.88平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,59.8,"5,596元/平"
滨湖公园 大润发 友阿广场  水榭花城北城  蓝湖郡,水榭花城北城 -滨湖公园,3室2厅 | 139.98平米 | 南 北 | 其他 | 中楼层(共15层)  | 板楼,7人关注 / 8个月以前发布,85,"6,073元/平"
楼上有个阁楼，80平左右，楼层好，视野开阔,博大·江山如画一期 -桥南,3室2厅 | 123.85平米 | 东 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,60.5,"4,885元/平"
新邦一品精装三房，全新装修，一天未住,新邦壹品 -火车站,3室2厅 | 125.96平米 | 南 北 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 7个月以前发布,96,"7,622元/平"
保利中央公园 3室2厅 南,保利中央公园 -柳叶湖,3室2厅 | 136.31平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 2个月以前发布,104,"7,630元/平"
泽云佳园 3室2厅 南,泽云佳园 -火车站,3室2厅 | 136平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,108,"7,942元/平"
德景园精空三房交付，只卖毛坯价，,中原德景园 -白马湖,3室2厅 | 109平米 | 南 | 简装 | 中楼层(共28层)  | 板塔结合,9人关注 / 9个月以前发布,85.8,"7,872元/平"
恒大华府中间位置精装四房户型*好,常德恒大华府 -芷兰,4室2厅 | 140.14平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,120,"8,563元/平"
泽云佳园 3室2厅 南,泽云佳园 -火车站,3室2厅 | 136平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,108,"7,942元/平"
一线江景，毛坯三房，屈原公园.,中建壹号府 -五强溪,3室2厅 | 114平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,84.5,"7,413元/平"
保利一期南北通4房 格局好 户型周正,保利中央公园 -柳叶湖,4室2厅 | 138平米 | 南 北 | 其他 | 中楼层(共34层)  | 板塔结合,1人关注 / 一年前发布,125,"9,058元/平"
常德烟厂生活三区 2室2厅 南,常德烟厂生活三区 -三岔路,2室2厅 | 66平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,39.8,"6,031元/平"
此房屋满2年  格局好楼层好 有小区 有院子 停车方便,茉莉村 -紫桥,2室2厅 | 75.19平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,48.8,"6,491元/平"
恒大旁 精致装修 电梯两房  中间楼层 视野好！,紫金城金色世纪一期 -火车站,2室2厅 | 88.5平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,4人关注 / 7个月以前发布,65.8,"7,436元/平"
电大 文理学院旁 高使用 高得房 采光好 通风好,里仁居小区 -文理学院,3室2厅 | 124.57平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,88,"7,065元/平"
火车站电梯小高层精装修拎包入住,怡景御园 -火车站,2室2厅 | 92.77平米 | 南 | 其他 | 高楼层(共16层)  | 板楼,0人关注 / 5个月以前发布,79.8,"8,602元/平"
宏大宾馆，西园小区简装两房诚心出售！,西园社区 -宏大,2室2厅 | 85.06平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,43,"5,056元/平"
步行街 北正街  卫门口 育才 两房   首付8万,80分队宿舍 -步行街,2室2厅 | 65.5平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,34,"5,191元/平"
柳叶湖4A级旅游景区，临湖而居保利3房,保利中央公园 -柳叶湖,3室2厅 | 118平米 | 南 北 | 其他 | 低楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,85,"7,204元/平"
火车站 芷兰步梯好楼层 南北向 精装大3房 保养好,金沅丽景 -芷兰,3室2厅 | 133平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 一年前发布,92.8,"6,978元/平"
柳叶湖国企品质 全明格局 通风采光好,保利中央公园 -柳叶湖,3室2厅 | 118平米 | 东南 | 毛坯 | 高楼层(共34层)  | 板塔结合,4人关注 / 一年前发布,83,"7,034元/平"
恒大华府，好小区，园林绿化，全市属一,常德恒大华府 -芷兰,3室2厅 | 113平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,105,"9,293元/平"
此房出售，白马湖复式楼······,中原德景园 -白马湖,5室2厅 | 214.33平米 | 南 | 其他 | 高楼层(共31层)  | 板楼,10人关注 / 一年前发布,196,"9,145元/平"
此房满两年 可免增值税 全新装修 入户花园 配套齐全,碧水江南 -三闾,3室2厅 | 129平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,2人关注 / 一年前发布,97,"7,520元/平"
小区才交房 环境优美 业主诚心出售价格可以再谈,碧桂园天悦湾 -桥南,4室2厅 | 143平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 8个月以前发布,77,"5,385元/平"
城东新小区！现房！育才芷兰嘉树旁！户型方正大三房,青年新城住宅小区 -三闾,3室2厅 | 125.11平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,0人关注 / 11个月以前发布,70,"5,596元/平"
常德恒大华府 3室2厅 南,常德恒大华府 -芷兰,3室2厅 | 121.78平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,125,"10,265元/平"
出行方便   院子宽阔  视野开阔,聚和苑 -滨湖公园,4室2厅 | 145平米 | 东 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,94.5,"6,518元/平"
满五住房税费低  ，产权清晰  。，，,天下粮仓 -火车站,2室2厅 | 100平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,51,"5,100元/平"
柳叶湖畔绕荷花公园而建 风景秀丽 环境优美 千亩大盘,保利中央公园三期C区 -柳叶湖,4室2厅 | 133.06平米 | 南 | 其他 | 高楼层(共34层)  | 暂无数据,1人关注 / 8个月以前发布,126,"9,470元/平"
步行街旁边 精装大3房  业主诚意出售！,瞰天下 -步行街,3室2厅 | 145平米 | 东南 | 其他 | 高楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,72,"4,966元/平"
离丁玲公园大概900米离火车站2.3公里,新世纪汽配城 -火车站,3室2厅 | 143.97平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,69,"4,793元/平"
北部高品质小区，优质物业，墅野园林绿化,龙湖双珑原著 -火车站,4室2厅 | 158.8平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,230,"14,484元/平"
湘雅医院     市民之家     财富广场,龙湖双珑原著 -火车站,3室2厅 | 158.06平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,160,"10,123元/平"
龙湖好房6米3的大客厅  楼层好环境优美  物业服务好,龙湖双珑原著 -火车站,3室2厅 | 128平米 | 南 北 | 其他 | 高楼层(共21层)  | 板塔结合,0人关注 / 7个月以前发布,101.5,"7,930元/平"
精装婚房  满五唯一  火车站CBD  TOD  鸿瑞和府,鸿瑞和府 -芷兰,3室2厅 | 98.93平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,88,"8,896元/平"
青林苑 3室2厅 南,青林苑 -白马湖,3室2厅 | 117.85平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,60.8,"5,160元/平"
大型小区，位置好，产权清晰 常德恒大华府3-2-1-1,常德恒大华府 -芷兰,3室2厅 | 106平米 | 南 北 | 其他 | 低楼层(共29层)  | 板塔结合,7人关注 / 一年前发布,89.8,"8,472元/平"
大型小区，位置好，产权清晰 常德恒大华府3-2-1-1,常德恒大华府 -芷兰,3室2厅 | 106平米 | 南 北 | 其他 | 低楼层(共29层)  | 板塔结合,7人关注 / 一年前发布,89.8,"8,472元/平"
德景园小高层，有钥匙，随时看房，红本在手随时过户,中原德景园 -白马湖,2室2厅 | 90.19平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,29人关注 / 一年前发布,71,"7,873元/平"
户型好，楼层好，视野好，毛坯交付可以随心设计。,万达湖公馆C区 -白马湖,3室2厅 | 113平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,46人关注 / 一年前发布,75,"6,638元/平"
金城苑 3室1厅 东 南,金城苑 -白马湖,3室1厅 | 140平米 | 东 南 | 其他 | 中楼层(共17层)  | 暂无数据,4人关注 / 一年前发布,110,"7,858元/平"
青林苑 3室2厅 南,青林苑 -白马湖,3室2厅 | 118.9平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,57.9,"4,870元/平"
万达商圈 丁玲公园旁 户型周正采光好,万达湖公馆B区 -白马湖,3室2厅 | 155平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,2人关注 / 一年前发布,115,"7,420元/平"
万达湖公馆D区 3室2厅 南,万达湖公馆D区 -白马湖,3室2厅 | 127.58平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,1人关注 / 5个月以前发布,92.8,"7,274元/平"
品质大盘 城西桃花源大桥 新小区中建  电梯3房,中建滨江府 -五强溪,3室2厅 | 107.98平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 10个月以前发布,80,"7,409元/平"
户型好，采光好，可以随心设计自己喜欢的,中原德景园 -白马湖,3室2厅 | 112.89平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,11人关注 / 一年前发布,93,"8,239元/平"
三桥下 新小区 中建 好楼层 业主诚心出售,中建滨江府 -五强溪,3室2厅 | 123平米 | 南 北 | 其他 | 高楼层(共27层)  | 板塔结合,1人关注 / 10个月以前发布,85,"6,911元/平"
白马湖 万达 丁玲公园  户型周正,金城苑 -白马湖,3室2厅 | 142.63平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,108.5,"7,608元/平"
白马湖公园    万达广场   环境好,中原德景园 -白马湖,3室2厅 | 109.03平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,118.8,"10,897元/平"
东星熙城 3室2厅 南,东星熙城 -白马湖,3室2厅 | 110平米 | 南 | 其他 | 中楼层(共29层)  | 板塔结合,2人关注 / 10个月以前发布,66,"6,000元/平"
泓鑫中苑 三一 地区医院 青年新城 2梯2户南北通大三房,经泽 · 紫缘 -三闾,3室2厅 | 134.19平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,81,"6,037元/平"
"户型周正，通透,有钥匙，看房方便",东星临水阁 -白马湖,3室2厅 | 127.8平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,88,"6,886元/平"
丁玲公园  新中医院  白马湖公园,城投蓉国新赋 -白马湖,3室2厅 | 143.58平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,100,"6,965元/平"
此房满2年，楼层好，视野开阔，采光充足，停车方便。,聚宝安置小区 -五强溪,3室2厅 | 118.36平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,52,"4,394元/平"
青林苑 3室2厅 南,青林苑 -白马湖,3室2厅 | 117.88平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,62.6,"5,311元/平"
恒大华府 精装两房 满2年 72万 业主诚心出售！！,常德恒大华府 -芷兰,2室2厅 | 78平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,5人关注 / 一年前发布,72,"9,231元/平"
天润尚城 3室2厅 南,天润尚城 -白马湖,3室2厅 | 97平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,63.8,"6,578元/平"
此房坐北朝南大三房，视野宽阔，采光充足,城投蓉国新赋 -白马湖,3室2厅 | 143平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,100,"6,994元/平"
碧桂园，青林苑毛坯好房出售，楼层好,青林苑 -白马湖,2室2厅 | 88平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,44.8,"5,091元/平"
财校宿舍 3室1厅 南,财校宿舍 -滨湖公园,3室1厅 | 82.41平米 | 南 | 其他 | 高楼层(共5层)  | 板塔结合,1人关注 / 9个月以前发布,45,"5,461元/平"
宏达宾馆  西园小区精装大三房拎包入住,西园社区 -宏大,3室2厅 | 113平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,13人关注 / 一年前发布,63.8,"5,647元/平"
东星熙城，适宜人群，配套讲解。,东星熙城 -白马湖,3室2厅 | 109平米 | 南 北 | 其他 | 高楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,65.8,"6,037元/平"
白马湖，万达区 公园世家三房毛坯房出售,公园世家 -白马湖,3室2厅 | 95.31平米 | 东南 | 毛坯 | 中楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,92,"9,653元/平"
法院单位房，南北通精装三房，万达广场，丁玲公园,清和苑 -白马湖,3室2厅 | 126.12平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,17人关注 / 10个月以前发布,78,"6,185元/平"
买70平米 实际170平米  好划算,新二村 -滨湖公园,4室1厅 | 69.92平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,3人关注 / 9个月以前发布,33.8,"4,835元/平"
武陵区，位置，地段好，精装修，穿紫河公园,善德庭园 -鸿升,2室2厅 | 88.09平米 | 南 | 其他 | 低楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,65,"7,379元/平"
柳叶湖畔，河街旁，德国小镇，恒大华府,常德恒大华府 -芷兰,3室2厅 | 143平米 | 南 | 其他 | 低楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,128.5,"8,987元/平"
三闾片区大四房两厅全新毛坯诚意出售！,高尚名門 -三闾,4室2厅 | 159.54平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,98.8,"6,193元/平"
城西 碧桂园旁  万达商圈 53万买三房,青林苑 -白马湖,3室2厅 | 118.54平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,52.8,"4,455元/平"
宏达宾馆  西园小区精装大三房拎包入住,西园社区 -宏大,3室2厅 | 113平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,13人关注 / 一年前发布,63.8,"5,647元/平"
东星熙城，适宜人群，配套讲解。,东星熙城 -白马湖,3室2厅 | 109平米 | 南 北 | 其他 | 高楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,65.8,"6,037元/平"
白马湖，万达区 公园世家三房毛坯房出售,公园世家 -白马湖,3室2厅 | 95.31平米 | 东南 | 毛坯 | 中楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,92,"9,653元/平"
财校宿舍 3室1厅 南,财校宿舍 -滨湖公园,3室1厅 | 82.41平米 | 南 | 其他 | 高楼层(共5层)  | 板塔结合,1人关注 / 9个月以前发布,45,"5,461元/平"
