标题,开发商,房子信息,发布信息,售价/万,单价
石桥区樊华精装修，拎包入住，户型通透，采光好,樊华似锦二期 -高新,2室1厅 | 81.07平米 | 东 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 6天以前发布,78,"9,622元/平"
三 医院近中间楼层，生活方便、越王楼风景区。,开元二期 -富乐山,2室1厅 | 73.71平米 | 南 | 其他 | 高楼层(共8层)  | 塔楼,12人关注 / 一年前发布,45,"6,106元/平"
经开万达旁，毛坯两居室，在线寻找有缘人，诚心出售,凯瑞雅居 -经开区,2室2厅 | 84平米 | 东南 | 毛坯 | 地下室(共6层)  | 板塔结合,181人关注 / 一年前发布,25,"2,977元/平"
经开区万达旁公寓写字楼，户型很好，房东诚心卖,万达CBD广场 -经开区,1室0厅 | 34.05平米 | 西 | 其他 | 低楼层(共30层)  | 塔楼,3人关注 / 9个月以前发布,18,"5,287元/平"
华丽佳苑，中间楼层，户型方正，冬暖夏凉，欢迎品鉴。,华丽佳苑 -江油,2室2厅 | 90.64平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,32.8,"3,619元/平"
富临大都会 小两室 随时看房 诚心出售 证件在手,富临·大都会 -大都会,2室1厅 | 53.4平米 | 南 | 其他 | 低楼层(共31层)  | 塔楼,0人关注 / 2个月以前发布,66.8,"12,510元/平"
水印三江，临江房，视野好，小两室,水印三江 -铁牛广场,2室2厅 | 69平米 | 南 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 14天以前发布,78,"11,305元/平"
如意花园A区 2室2厅 南,如意花园A区 -江油,2室2厅 | 87.38平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,42.5,"4,864元/平"
东辰 学 校 旁，中间楼层，看房方便,凯泰·欧城 -科创园区,2室1厅 | 92平米 | 东南 | 其他 | 17层  | 板塔结合,4人关注 / 8个月以前发布,95,"10,327元/平"
恒丰园，低楼层，两室房屋出售，欢迎看房。,恒瑞苑 -江油,2室2厅 | 92.03平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,48,"5,216元/平"
此房精装两室一卫楼层适中，采光佳，位置成熟,中油家园 -大都会,2室2厅 | 92.86平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,3人关注 / 3个月以前发布,55,"5,923元/平"
海赋外滩精装修套二全屋实木家具全屋地暖,海赋外滩 -铁牛广场,2室1厅 | 72.23平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,3人关注 / 11个月以前发布,120,"16,614元/平"
房东诚心出售，看房很方便，欢迎实地看房,长虹国际城一期 -国际城,2室1厅 | 82.88平米 | 东南 | 简装 | 中楼层(共15层)  | 板塔结合,12人关注 / 7个月以前发布,61,"7,361元/平"
桃花岛2-2-1-1 78.40m² 78 万,桃花岛 -经开区,2室2厅 | 78.4平米 | 东南 | 其他 | 高楼层(共22层)  | 板塔结合,1人关注 / 一年前发布,74,"9,439元/平"
书香门第，温馨、舒适、安静、祥和,富康小区 -江油,2室2厅 | 96.46平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 9个月以前发布,31.5,"3,266元/平"
满两年 采光好  楼层好  朝向小区中庭,万达华府 -经开区,2室2厅 | 79.31平米 | 东南 | 其他 | 低楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,75,"9,457元/平"
警钟街10号两室，简单装修，满两年的,警钟街10号 -涪城,2室1厅 | 71平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,47.5,"6,691元/平"
科大花园北区  全装大两室 产权清晰  钥匙房方便看,科大花园北区 -青义,2室2厅 | 85.22平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,50.5,"5,926元/平"
高新区户型好，可以三室，光线好。。。。,金城世家 -高新,2室2厅 | 96.73平米 | 东 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 9个月以前发布,45.8,"4,735元/平"
中华苑电梯房全新装修套二改套三户型方正采光好有钥匙,中华苑 -高新,3室2厅 | 91.34平米 | 东南 | 其他 | 中楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,75,"8,212元/平"
精装3室，满二，三江实验，懂的联系,海赋长兴 -经开区,3室2厅 | 96平米 | 东南 | 其他 | 低楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,104.8,"10,917元/平"
紫云府精装修小三室，视野无遮挡，三改二+衣帽间,华润紫云府 -科创园区,3室1厅 | 97平米 | 东北 | 其他 | 高楼层(共25层)  | 塔楼,1人关注 / 9个月以前发布,145,"14,949元/平"
高水一改二  小两室  东南朝向 步梯七中二楼,随园新村 -高水,2室1厅 | 47.57平米 | 东南 | 其他 | 低楼层(共7层)  | 板楼,2人关注 / 9个月以前发布,34.8,"7,316元/平"
奥林春天二期坡上，一室一厅，满两年，朝向好,田森·奥林春天二期 -科创园区,1室1厅 | 61.45平米 | 西南 | 精装 | 低楼层(共28层)  | 板塔结合,1人关注 / 5个月以前发布,64.5,"10,497元/平"
诚心出售 银都宝座电梯小高层 拎包入住,银都宝座一期 -安州,2室2厅 | 69.14平米 | 东南 | 其他 | 中楼层(共7层)  | 塔楼,1人关注 / 1个月以前发布,36,"5,207元/平"
科大花园北区 一室两厅 自住装修带家具家电 采光好,科大花园北区 -青义,1室1厅 | 52.26平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,29.6,"5,664元/平"
此房今年10月满两年，看房方便，有钥匙，户型方正，,喜来公社 -科创园区,2室2厅 | 80.5平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,72.5,"9,007元/平"
石桥铺品质小区标准2室房东诚心出售,美立方 -高新,2室2厅 | 83.01平米 | 东南 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,90.5,"10,903元/平"
房东急售，大两室，中间楼层，拎包入住,九洲·上尚城 -高新,2室1厅 | 74.9平米 | 南 | 其他 | 高楼层(共22层)  | 塔楼,0人关注 / 4个月以前发布,69.8,"9,320元/平"
仙海独栋别墅，产权清晰，低价出售。,海地达.海珀澜山 -未知商圈,5室3厅 | 368平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,16人关注 / 一年前发布,568,"15,435元/平"
好房来一套，两室两厅一卫急售，证在手可以按揭,都市绿洲 -高新,2室2厅 | 83.51平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,56,"6,706元/平"
户型方正，小区环境优美，配套成熟,上海广场·名仕新苑 -江油,2室2厅 | 75平米 | 南 北 | 其他 | 高楼层(共26层)  | 板塔结合,1人关注 / 4个月以前发布,37,"4,934元/平"
楼层好，视野宽阔，配套设施齐全,喜来公社 -科创园区,2室2厅 | 80.02平米 | 东南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 6个月以前发布,88,"10,998元/平"
楼层很好，户型很好 价格可以谈 诚意出售 还可以看江,桃花岛 -经开区,2室1厅 | 78平米 | 东南 西北 | 其他 | 高楼层(共19层)  | 板塔结合,0人关注 / 15天以前发布,84,"10,770元/平"
大家加油推，户型安逸得很楼层也不高,长虹一区 -国际城,2室1厅 | 54.03平米 | 东 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 16天以前发布,47.8,"8,847元/平"
中间楼层  格局方正  配套完善  娃娃上学方便,滨江·世纪花园 -1958,2室2厅 | 89.88平米 | 东北 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 14天以前发布,86,"9,569元/平"
面积大，价格优，单价便宜！配套完善！,粮贸大楼小区 -1958,2室2厅 | 103平米 | 东南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,49.8,"4,835元/平"
此房今年10月满两年，看房方便，有钥匙，户型方正，,喜来公社 -科创园区,2室1厅 | 80.57平米 | 东南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,72.5,"8,999元/平"
房东诚心出售，中间楼层，拎包入住,九洲跃进路1958一期 -1958,1室1厅 | 59平米 | 东 | 其他 | 高楼层(共31层)  | 塔楼,0人关注 / 11天以前发布,59.9,"10,153元/平"
博雅旁 精装套二 中间楼层 东南朝向 满二年 证在手,太阳城一期 -科创园区,2室2厅 | 80平米 | 东南 | 简装 | 中楼层(共15层)  | 板塔结合,0人关注 / 15天以前发布,70,"8,750元/平"
涪城万达广场火车站石桥铺片区通透板式中装两室,雅馨花园 -高新,2室2厅 | 90.23平米 | 西南 | 其他 | 高楼层(共7层)  | 暂无数据,4人关注 / 7个月以前发布,63,"6,983元/平"
科大花园 低楼层全装两室 自住用材 可拎包即住,科大花园北区 -青义,2室2厅 | 76.91平米 | 西南 | 其他 | 低楼层(共6层)  | 板楼,5人关注 / 11个月以前发布,43,"5,591元/平"
跃进路16号一期 正朝南 标准小三房 清水 有证,跃进路16号 -国际城,3室2厅 | 84平米 | 东南 | 其他 | 中楼层(共31层)  | 塔楼,10人关注 / 9个月以前发布,119,"14,167元/平"
科大花园小区 简装紧凑两室 户型方正采光好，诚心出售,科大花园北区 -青义,2室2厅 | 85.89平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,40.4,"4,704元/平"
满两年，标准套二，户型方正，采光通风好,康安城南春天 -经开区,2室1厅 | 64.21平米 | 西北 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,45,"7,009元/平"
精装修领包入住朝小区中庭楼层好,田森·奥林春天一期 -科创园区,2室2厅 | 85.89平米 | 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,80,"9,315元/平"
方正户型 价格可以谈 诚意卖 正在手 楼层好,桃花岛 -经开区,2室1厅 | 78.03平米 | 东 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,81,"10,381元/平"
桃花岛带50花园，带车位，精装两室，家具家电齐全,桃花岛 -经开区,2室1厅 | 79.08平米 | 南 | 其他 | 低楼层(共22层)  | 板塔结合,5人关注 / 一年前发布,83,"10,496元/平"
急售游仙区兴发大盘城东逸景精装两室拎包入住,兴发城東逸景一期 -科学城,2室2厅 | 83.96平米 | 南 | 其他 | 低楼层(共6层)  | 塔楼,1人关注 / 3个月以前发布,54,"6,432元/平"
田森·奥林春天二期 3室2厅 南,田森·奥林春天二期 -科创园区,3室2厅 | 88平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 12天以前发布,110,"12,500元/平"
江景大盘  水韵滨江朝中庭南向 清水价大三室,水韵滨江 -1958,3室2厅 | 95.79平米 | 南 | 其他 | 低楼层(共31层)  | 塔楼,6人关注 / 4个月以前发布,99,"10,336元/平"
出售香榭里大道三房双卫产权89平实得105平,香榭里大道 -越王楼,2室2厅 | 83.72平米 | 西北 | 简装 | 中楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,72,"8,601元/平"
涪城区 绵中旁精装大两室 业主诚心出售,雅典苑 -科创园区,2室2厅 | 93.1平米 | 北 南 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,63,"6,767元/平"
满五年，单独有，绵阳唯一房产，楼层中间，户型方正,壹号大院 -高新,2室2厅 | 92.06平米 | 东北 | 毛坯 | 中楼层(共20层)  | 板塔结合,0人关注 / 3个月以前发布,75.9,"8,245元/平"
读书就在旁边 上下很方便   户型方正  卧室空间大,华润紫云府 -科创园区,2室2厅 | 82平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,91,"11,098元/平"
标准两室 繁华地段 中间楼层 户型好 朝向好,富临·大都会 -大都会,2室1厅 | 77.14平米 | 东南 | 简装 | 中楼层(共31层)  | 塔楼,4人关注 / 5个月以前发布,85.5,"11,084元/平"
光彩园小区 2室2厅 南,光彩园小区 -越王楼,2室2厅 | 76平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 13天以前发布,39,"5,132元/平"
精装修一室 拎包入住 随时看房,长虹世纪城二期 -高水,1室1厅 | 58平米 | 南 | 其他 | 低楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,54.6,"9,414元/平"
一代天骄精装大两室带阳台满五唯一,兴发一代天骄 -涪城,2室1厅 | 88.98平米 | 南 | 简装 | 高楼层(共25层)  | 板塔结合,0人关注 / 9天以前发布,102,"11,464元/平"
金菊街万达旁 顶层 总价低 配套好 生活方便,商业银行金菊街单位房 -火车站,2室2厅 | 73.29平米 | 东 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 15天以前发布,37.8,"5,158元/平"
涪城万达近电梯大两室拎包入住好房诚意出售,宇环花苑 -火车站,2室2厅 | 98.21平米 | 东南 | 其他 | 低楼层(共8层)  | 塔楼,0人关注 / 8个月以前发布,66,"6,721元/平"
业主急售，实用两室，适宜各类人群！,花园小区(江油市) -江油,2室2厅 | 60.24平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,28.6,"4,748元/平"
金外滩精装两室带家具家电出售。,金外滩 -江油,2室2厅 | 89.04平米 | 西北 | 简装 | 低楼层(共16层)  | 暂无数据,0人关注 / 8个月以前发布,45,"5,054元/平"
出售高水长虹世纪城精装二居室带家具家电,长虹世纪城一期 -高水,2室2厅 | 88.72平米 | 南 | 其他 | 高楼层(共27层)  | 塔楼,4人关注 / 一年前发布,76,"8,567元/平"
奥林春天二期一室，采光好，位置好,田森·奥林春天二期 -科创园区,1室1厅 | 60.6平米 | 东北 | 其他 | 低楼层(共29层)  | 板塔结合,0人关注 / 10天以前发布,61,"10,067元/平"
东原观天下 3室2厅 西南,东原观天下 -科学城,3室2厅 | 111平米 | 西南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 13天以前发布,111,"10,000元/平"
恒丰园2b区经典两室两厅精装修,恒丰园二B区 -江油,2室2厅 | 95.82平米 | 东南 | 其他 | 中楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,40,"4,175元/平"
客厅朝东南，视野开阔，满两年，随时看房,长兴星城一期 -科创园区,2室2厅 | 80.69平米 | 东南 | 其他 | 高楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,88,"10,906元/平"
东方华庭 2室1厅 南 北,东方华庭 -1958,2室1厅 | 83平米 | 南 北 | 其他 | 高楼层(共27层)  | 塔楼,0人关注 / 17天以前发布,92.8,"11,181元/平"
六里村  大2室错层      好楼层房东诚心急售,游仙路32号 -科学城,2室2厅 | 91.98平米 | 西北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,53,"5,763元/平"
园艺山太阳城两居室 户型方正 进门带入户,太阳城二期 -科创园区,2室2厅 | 84.99平米 | 西北 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,73,"8,590元/平"
金柱园 二中旁 剑门路公路局2-2-1-1 69.38m² 38.5 万,剑门路公路局 -大都会,2室2厅 | 69.38平米 | 南 | 简装 | 中楼层(共7层)  | 平房,5人关注 / 3个月以前发布,38.5,"5,550元/平"
樊华似锦二期 1室0厅 东南 南,樊华似锦二期 -高新,1室0厅 | 42.03平米 | 东南 南 | 其他 | 中楼层(共23层)  | 塔楼,0人关注 / 3个月以前发布,41.8,"9,946元/平"
房东急售先农坛电梯洋房138平,先农坛小区 -南河坝,3室2厅 | 137.62平米 | 东南 | 其他 | 中楼层(共10层)  | 板楼,9人关注 / 一年前发布,128,"9,301元/平"
精装修一室 拎包入住 随时看房,长虹世纪城二期 -高水,1室1厅 | 58平米 | 南 | 其他 | 低楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,54.6,"9,414元/平"
小区环境好，位于繁华地段配套设施完善出行购物方便,中元广场 -高新,2室2厅 | 75平米 | 东 | 其他 | 中楼层(共32层)  | 塔楼,1人关注 / 12天以前发布,51,"6,800元/平"
洞天小区两室，一梯两户，小区有停车位！,洞天小区 -御营坝,2室2厅 | 84平米 | 东南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 10天以前发布,56,"6,667元/平"
精装修 拎包入住业主都没有怎么入住过，保养好。,树高卡地亚B区 -科创园区,1室1厅 | 50平米 | 东 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 12天以前发布,63,"12,600元/平"
安昌桥近 市渔政管理站家属区2-1-1-1 84.44m² 46.5万,市渔政管理站家属区 -南河坝,2室1厅 | 84.44平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 8个月以前发布,46.3,"5,484元/平"
优山美郡  此房满两年 小高层 一梯两户 温馨小屋,优山美郡 -科创园区,2室2厅 | 84.04平米 | 东南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,83,"9,877元/平"
园艺山东辰旁学府花园，大两室，带私用花园，朝南,东辰阳光清华A区 -科创园区,2室2厅 | 92平米 | 东南 | 其他 | 低楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,96,"10,435元/平"
此房满2年，税费少，楼栋位置好，安静舒适，装修好,太阳城二期 -科创园区,2室2厅 | 85.72平米 | 东南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,74.5,"8,692元/平"
东原清水房源，看房方便。随时可以看,东原·香屿 -越王楼,2室2厅 | 73.57平米 | 东 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 11天以前发布,75,"10,195元/平"
华丽世景 2室2厅 南,华丽世景 -江油,2室2厅 | 86平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 12天以前发布,41.8,"4,861元/平"
急售精装婚房 随时看房  价可谈,三江国际丽城▪澜岸 -经开区,3室2厅 | 89.4平米 | 西南 | 其他 | 高楼层(共21层)  | 塔楼,2人关注 / 13天以前发布,90,"10,068元/平"
房新、证齐在手、无抵押、通透、采光、居住佳。,昊星富嘉园 -御营坝,2室2厅 | 89.93平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,60.5,"6,728元/平"
精装修，小区里，高楼层，近铁牛广场，位置好,富临·东方广场 -国际城,1室1厅 | 58平米 | 西 北 | 其他 | 高楼层(共39层)  | 塔楼,0人关注 / 11天以前发布,69.5,"11,983元/平"
户型方正，无抵押按揭，地理位置成熟,美乐城市之星 -火车站,2室2厅 | 74.6平米 | 南 | 其他 | 高楼层(共23层)  | 板塔结合,0人关注 / 13天以前发布,77,"10,322元/平"
布鲁斯·海德庄园 3室1厅 东南,布鲁斯·海德庄园 -高新,3室1厅 | 76.69平米 | 东南 | 其他 | 中楼层(共26层)  | 塔楼,0人关注 / 12天以前发布,70,"9,128元/平"
精装修 拎包入住业主都没有怎么入住过，保养好。,树高卡地亚B区 -科创园区,1室1厅 | 50平米 | 东 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 12天以前发布,63,"12,600元/平"
此房精装修大 两室带衣帽间朝南.黄.金.楼层,凤凰台 -科创园区,2室2厅 | 98.6平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 12天以前发布,95,"9,635元/平"
此房满2年，税费少，楼栋位置好，安静舒适，装修好,太阳城二期 -科创园区,2室2厅 | 85.72平米 | 东南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,74.5,"8,692元/平"
绵中旁精装两室带入户花园，适合陪读 自住 出租,海珂·三千城 -科创园区,2室2厅 | 76平米 | 东 西 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,68,"8,948元/平"
洞天小区两室，一梯两户，小区有停车位！,洞天小区 -御营坝,2室2厅 | 84平米 | 东南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 10天以前发布,56,"6,667元/平"
东原清水房源，看房方便。随时可以看,东原·香屿 -越王楼,2室2厅 | 73.57平米 | 东 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 11天以前发布,75,"10,195元/平"
华丽世景 2室2厅 南,华丽世景 -江油,2室2厅 | 86平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 12天以前发布,41.8,"4,861元/平"
急售精装婚房 随时看房  价可谈,三江国际丽城▪澜岸 -经开区,3室2厅 | 89.4平米 | 西南 | 其他 | 高楼层(共21层)  | 塔楼,2人关注 / 13天以前发布,90,"10,068元/平"
樊华似锦二期 1室0厅 东南 南,樊华似锦二期 -高新,1室0厅 | 42.03平米 | 东南 南 | 其他 | 中楼层(共23层)  | 塔楼,0人关注 / 3个月以前发布,41.8,"9,946元/平"
精装拎包入住，租客稳定，读书方便，证件满二年,长虹国际城二期 -国际城,2室1厅 | 45.77平米 | 西南 | 精装 | 高楼层(共31层)  | 板塔结合,6人关注 / 10个月以前发布,66.5,"14,530元/平"
园艺山东辰旁学府花园，大两室，带私用花园，朝南,东辰阳光清华A区 -科创园区,2室2厅 | 92平米 | 东南 | 其他 | 低楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,96,"10,435元/平"
阳光水岸，电梯房顶楼，名厨名卫，诚意出售,阳光水岸小区(涪城区) -高水,3室2厅 | 91.8平米 | 东 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,79,"8,606元/平"
花园星河湾 精装大两室 拎包即住 自住装修用材更安心,花园·星河湾 -高水,2室2厅 | 95.73平米 | 东南 | 其他 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,78,"8,148元/平"
拎包入住，全现浇框架，装修新，满两年,花园小区(涪城区) -火车站,2室2厅 | 109.3平米 | 南 | 其他 | 中楼层(共9层)  | 板塔结合,0人关注 / 8个月以前发布,69.8,"6,387元/平"
隆盛一品天下，两室临江房，简单装修，,隆盛·一品天下 -铁牛广场,2室1厅 | 86.63平米 | 南 东 | 其他 | 中楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,83,"9,581元/平"
大两室两厅一卫出售，采光好，看房方便,川龙古玩 -1958,2室2厅 | 79.22平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 9个月以前发布,49,"6,186元/平"
此房屋产权证在手，已满两年，位置好，就在新世界旁边,华荣财富广场大厦 -大都会,1室1厅 | 58.35平米 | 东 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,61,"10,455元/平"
急售房源，拎包入住，带阳台....,长城春天花園 -涪城,3室2厅 | 111.91平米 | 东南 | 简装 | 低楼层(共18层)  | 板楼,14人关注 / 一年前发布,90.8,"8,114元/平"
房子户型方正采光充足  三室二厅二卫,恒大翡翠龙庭 -经开区,3室2厅 | 111.71平米 | 东南 | 精装 | 中楼层(共20层)  | 塔楼,0人关注 / 3个月以前发布,132,"11,817元/平"
樊华四期清水大四房，业主诚心出售，随时看房,樊华似锦四期 -高新,4室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,122.5,"9,723元/平"
大套三，户型方正，业主诚心出售此房！低税房源,中恒翰林府 -经开区,3室2厅 | 114.51平米 | 东北 | 毛坯 | 高楼层(共20层)  | 板塔结合,0人关注 / 1个月以前发布,87,"7,598元/平"
华润四期精装三室带200平平台   地暖空调  巴适的很,崋潤·凌雲府 -科创园区,3室2厅 | 93平米 | 东北 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,208,"22,366元/平"
H怡馨园4楼+地段繁华位置好+居家接娃方便+,怡馨園 -高新,3室2厅 | 127平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,75,"5,906元/平"
神州南都，精装三房带中、央空调，中间楼层，急售,神州*南都 -经开区,3室1厅 | 107.25平米 | 东南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 1个月以前发布,115,"10,723元/平"
中庭位置，港式横厅，观景大阳台，可任意设计装修,东原华宇·朗阅 -经开区,3室2厅 | 116.34平米 | 东南 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,109.8,"9,438元/平"
典汇精品房源，大户型，采光良好,典汇国际 -安州,5室2厅 | 158平米 | 东南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,120,"7,595元/平"
市区板式洋房，南B通透，户型方正，S储藏室,长兴都市港湾 -1958,4室2厅 | 139平米 | 东南 南 | 精装 | 中楼层(共12层)  | 塔楼,0人关注 / 1个月以前发布,105,"7,554元/平"
海赋长兴精装三室  满两年  前后中庭  带产权车位,海赋长兴 -经开区,3室2厅 | 122.2平米 | 西 西北 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 24天以前发布,138.8,"11,359元/平"
沈家坝一楼带花园的房子三室双卫拎包入住,亨利花园东区 -富乐山,3室3厅 | 140平米 | 东南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,125,"8,929元/平"
东辰旁 阳光清华A区 三房跃层 业主诚意出售,东辰阳光清华A区 -科创园区,3室2厅 | 143平米 | 东南 | 简装 | 高楼层(共5层)  | 板塔结合,0人关注 / 27天以前发布,155,"10,840元/平"
恒大精装三室，带90平左右大平台，临公园看江面,恒大翡翠湾 -经开区,4室2厅 | 132平米 | 东南 | 精装 | 低楼层(共20层)  | 板塔结合,2人关注 / 23天以前发布,132,"10,000元/平"
大都会 精装房 光线好 日照足 户型方正 居住方便舒适,富临·大都会 -大都会,3室2厅 | 95平米 | 东南 | 精装 | 中楼层(共38层)  | 塔楼,0人关注 / 1个月以前发布,123,"12,948元/平"
H嘉和苑大套三双卫价钱便宜+地段繁华位置好看房方便,嘉和苑 -高新,3室1厅 | 116平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,63.8,"5,500元/平"
业主急售，带100瓶大平台，精装修，拎包入住,枫璟398F区 -高新,3室1厅 | 104平米 | 东南 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 26天以前发布,122,"11,731元/平"
开元场 中装三房 拎包入住 满两年 视野采光好,兴发家园 -越王楼,3室2厅 | 95.6平米 | 东南 西南 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,78.6,"8,222元/平"
市中.心.电梯，带露台中等装修，客厅大三室三厅双卫。,绵阳市中心医院家属院 -涪城,3室1厅 | 174.13平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,0人关注 / 26天以前发布,160,"9,189元/平"
次新小区 中高楼层 户型方正 朝小区中庭,长兴星城二期 -科创园区,4室2厅 | 110平米 | 西 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,126,"11,455元/平"
精装4室，跃层，带平台 采光好，视野开阔，拎包入住,枫璟•398A区 -高新,4室2厅 | 84.5平米 | 东南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 31天以前发布,135,"15,977元/平"
中元广场旁，错层三室，可直接拎包入住,普北东三巷 -科创园区,3室2厅 | 116.92平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 29天以前发布,58,"4,961元/平"
御营坝电梯楼盘 价格诱人 三室双卫,浩兴城南御郡 -御营坝,3室2厅 | 100.48平米 | 西南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 25天以前发布,49.5,"4,927元/平"
富乐山下，精装大三室，楼层中，采光充足，带车位,亚东山水御苑 -富乐山,3室2厅 | 136.9平米 | 南 | 精装 | 中楼层(共5层)  | 塔楼,0人关注 / 29天以前发布,120,"8,766元/平"
华润精装三室 视野无遮挡 朝南 采光好,华润中央公园 -科创园区,3室2厅 | 98平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 27天以前发布,168,"17,143元/平"
新上房源！1958二期三室双卫，朝南！,九洲·跃进路1958二期 -1958,3室2厅 | 93.19平米 | 东南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 26天以前发布,136,"14,594元/平"
