标题,开发商,房子信息,发布信息,售价/万,单价
伟星长江之歌 5室2厅 南,伟星长江之歌 -城南滨江版块,5室2厅 | 240平米 | 南 | 其他 | 高楼层(共40层)  | 塔楼,0人关注 / 5天以前发布,361,"15,042元/平"
全新未住 钥匙在售 随时看房   诚心出售,东紫园 -大阳垾,2室1厅 | 87.12平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,3人关注 / 9个月以前发布,116.5,"13,373元/平"
金湾锦苑 电梯8楼 精装诚心售,金湾锦苑 -学府商业广场,2室2厅 | 89.73平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,3人关注 / 9个月以前发布,63,"7,022元/平"
中辰一品 洋房好楼层  阳光充足  看房方便,中辰一品 -繁昌县,3室2厅 | 114.91平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,2人关注 / 9个月以前发布,92,"8,007元/平"
波尔卡国际花园 全新毛坯 好楼层 诚心出售,银湖·波尔卡国际花园南区 -波尔卡商业区,2室2厅 | 85.54平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,11人关注 / 一年前发布,65,"7,599元/平"
满二无大税  轻轨房  单价低  房型格局好,中江新村西区 -新时代商业街,2室1厅 | 71.36平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,57,"7,988元/平"
急售 没有增值税 精装修 采光充足 视野宽阔,金域蓝湾C区 -新时代商业街,2室1厅 | 89.81平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,3人关注 / 一年前发布,148,"16,480元/平"
户型通透 无大税 过户简单 繁华地区 设施齐全,健美小区 -弋矶山,2室1厅 | 66.39平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,83,"12,502元/平"
沿河小区西区  装修两室  拎包入住  有小阁楼,沿河小区 -中山路步行街,2室1厅 | 58.8平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,19人关注 / 一年前发布,47,"7,994元/平"
五华山小区精装小两居，采光好，拎包入住，满五唯一,五华山小区 -无为县,2室1厅 | 65平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,43,"6,616元/平"
峨溪豪庭，楼层可以，采光充足，通风不错，视野开阔,峨溪豪庭 -繁昌县,3室2厅 | 95.63平米 | 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,5人关注 / 一年前发布,85,"8,889元/平"
芜湖碧桂园镜湖春色 3室2厅 南 北,芜湖碧桂园镜湖春色 -龙湖街道,3室2厅 | 129.71平米 | 南 北 | 简装 | 高楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,86,"6,631元/平"
此房房东诚心出售 少见的边户两房 装修新颖无大税,江城国际瑞虹苑 -南瑞新城,2室2厅 | 90.5平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,101,"11,161元/平"
伟星公园大道单身公寓 住宅性质 通燃气 公园旁 急售,伟星公園大道壹号 -雕塑公园,1室1厅 | 51.56平米 | 东 | 简装 | 高楼层(共16层)  | 板楼,0人关注 / 6个月以前发布,98,"19,007元/平"
伟星城5期 2室2厅 南,伟星城5期 -伟星星悦广场,2室2厅 | 89.03平米 | 南 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 4个月以前发布,138,"15,501元/平"
澳然天成  单身公寓  着急出售,澳然天成 -银湖公园,1室1厅 | 47.36平米 | 南 | 简装 | 低楼层(共15层)  | 板楼,1人关注 / 一年前发布,45,"9,502元/平"
格局合理，楼层好，视野宽阔，采光充足，配套设施齐全,东紫园 -大阳垾,2室1厅 | 86.7平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,6人关注 / 5个月以前发布,90.5,"10,439元/平"
钻石楼层，位置好，看房有钥匙！,澳然天成 -银湖公园,2室2厅 | 78.97平米 | 南 | 毛坯 | 中楼层(共16层)  | 板塔结合,1人关注 / 一年前发布,77.8,"9,852元/平"
信德翡翠湾 精装  中间楼层  前后  无遮挡,信德翡翠湾 -银湖公园,2室2厅 | 85.56平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,89,"10,403元/平"
美加印象中层精装修两室 采光好无遮挡 诚心出售,美加印象 -华强城,2室2厅 | 85.97平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,113,"13,145元/平"
澳然天成   毛坯小户型 有钥匙看房方便,澳然天成 -银湖公园,1室1厅 | 53.08平米 | 南 | 简装 | 高楼层(共15层)  | 板楼,6人关注 / 一年前发布,42,"7,913元/平"
玲珑湾全新毛坯三房，中间楼层带车位,伟星玲珑湾 -凤鸣湖景区,3室2厅 | 89.3平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,2人关注 / 3个月以前发布,95,"10,639元/平"
江城国际瑞景苑 2室2厅 南,江城国际瑞景苑 -柏庄时代广场,2室2厅 | 96.61平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,98,"10,144元/平"
景江东方 精装大两房 采光好 视野好,景江东方小区 -华强城,3室2厅 | 107.73平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,13人关注 / 6个月以前发布,115,"10,675元/平"
兴芜新村 近东方花园 狮子山庄 两房朝南,兴芜新村 -八佰伴,2室1厅 | 66.44平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,77,"11,590元/平"
三潭音悦此房视野开阔 配套设施齐全,三潭音悦和园 -芜湖市政府,2室1厅 | 67.59平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 8个月以前发布,115,"17,015元/平"
黄果山二村 中装两室 绿影＋27 户型方正 诚售 采光好,黄果山二村 -八佰伴,2室1厅 | 63.06平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,83,"13,163元/平"
业主诚心出售，中间楼层，满五唯一，诚心出售,柏庄春暖花开 -柏庄时代广场,2室2厅 | 74平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,9人关注 / 一年前发布,125,"16,892元/平"
信达蓝湖郡  户型方正 二房变三房 看房方便 随时签约,信达▪蓝湖郡 -汀棠公园,3室2厅 | 89.73平米 | 南 | 毛坯 | 低楼层(共15层)  | 板塔结合,93人关注 / 一年前发布,167,"18,612元/平"
北城水岸 2室2厅 南,北城水岸 -波尔卡商业区,2室2厅 | 88.71平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,1人关注 / 11个月以前发布,71,"8,004元/平"
诚心出售 ，看房方便， 户型漂亮。,金浩·仁和天地 -芜湖市政府,2室2厅 | 86.24平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,115,"13,335元/平"
三潭和园 近轻轨2号线海晏路 市政府旁 小两房 诚售,三潭音悦和园 -芜湖市政府,2室1厅 | 67.59平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,11人关注 / 8个月以前发布,100,"14,796元/平"
楼层好 ，小区好， 房东好，。。。,三潭音悦 -芜湖市政府,2室1厅 | 82.41平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,4人关注 / 一年前发布,115,"13,955元/平"
高楼层 视野开阔 小两房 适合刚需,绿地新里海顿公馆 -绿地镜湖新城,2室2厅 | 87.68平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,112,"12,774元/平"
绿地新里海顿 双车位  优质户型，南北通透,绿地新里海顿公馆 -绿地镜湖新城,2室1厅 | 88.51平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,4人关注 / 9个月以前发布,141,"15,931元/平"
绿地新里海顿 双车位  优质户型，南北通透,绿地新里海顿公馆 -绿地镜湖新城,2室1厅 | 88.51平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,4人关注 / 9个月以前发布,141,"15,931元/平"
利民路~精装修两室~好楼层~低总价~看房方便,利民一村 -南瑞新城,2室1厅 | 59.77平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,42,"7,027元/平"
诚心出售，产证满2年，婚房装修，精装全丢,金都檀宫 -清水街道,2室2厅 | 81.8平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 6个月以前发布,65,"7,947元/平"
房东诚心     出售徽商春天北区   楼层好 此房格局好,徽商春天北区 -左岸,2室2厅 | 92.86平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,131,"14,108元/平"
医苑小区 好楼层 视野开阔 采光无忧,医苑小区 -弋矶山,2室1厅 | 71.15平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,87,"12,228元/平"
利民路中百站，近银泰城，大润发，滨江公园一路之隔。,中百站宿舍 -中央城财富街,2室2厅 | 58.86平米 | 南 | 简装 | 低楼层(共6层)  | 塔楼,1人关注 / 5个月以前发布,56,"9,515元/平"
钻石楼层，满五唯一，大阳台，三开间朝南，诚心出售,华仑港湾 -城南滨江版块,2室2厅 | 93.94平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,3人关注 / 一年前发布,187,"19,907元/平"
东方花园 刚需两房 低总价 非顶楼 采光刺眼,东方花园 -八佰伴,2室1厅 | 61.99平米 | 南 北 | 其他 | 高楼层(共7层)  | 塔楼,3人关注 / 9个月以前发布,84,"13,551元/平"
鞍山家园 次新小区 单价6字头 满二无增值税 诚心出售,鞍山家园 -四褐山街道,2室2厅 | 80.95平米 | 东南 | 简装 | 中楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,50,"6,177元/平"
汀苑小区一室一厅 诚心出售 看中可谈,汀苑小区 -芜湖站,1室1厅 | 50.5平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,44.5,"8,812元/平"
华强物业 多层二楼 采光无遮挡 诚心出售,澳然天成 -银湖公园,2室2厅 | 88.46平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,11人关注 / 一年前发布,82,"9,270元/平"
地理位置楼层都是无可挑剔.机会难得哦,赤铸山庄 -华强城,2室1厅 | 61.33平米 | 南 | 简装 | 中楼层(共6层)  | 塔楼,6人关注 / 一年前发布,72,"11,740元/平"
成熟社区！ 装修保养好 随时可看房 奇瑞BOBO城,奇瑞BOBO城 -BOBO商业步行街,2室2厅 | 74.24平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,10人关注 / 一年前发布,45,"6,062元/平"
绿地伊顿公馆，南北通透双阳台，精装修朝南，采光好,伊顿公馆二期 -绿地镜湖新城,2室2厅 | 95.2平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,129,"13,551元/平"
新里城天门苑，毛坯两房，诚心出售,新里城揽胜苑 -BOBO商业步行街,2室2厅 | 90.76平米 | 东 | 毛坯 | 高楼层(共26层)  | 板楼,4人关注 / 一年前发布,55,"6,060元/平"
沃德梦想城小区，电梯房，好楼层，包含车位,沃德梦想城 -繁昌县,3室2厅 | 116.67平米 | 南 北 | 毛坯 | 中楼层(共12层)  | 板塔结合,0人关注 / 一年前发布,76,"6,515元/平"
绿地伊顿公馆，南北通透双阳台，精装修，采光好,伊顿公馆二期 -绿地镜湖新城,2室2厅 | 95.2平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,129,"13,551元/平"
东方花园 2室1厅 南,东方花园 -八佰伴,2室1厅 | 81.77平米 | 南 | 其他 | 高楼层(共7层)  | 塔楼,0人关注 / 7个月以前发布,126,"15,410元/平"
中间楼层 采光好  随时看房 毛坯可以随意装修,颐景湾畔 -方特一期,3室2厅 | 111.28平米 | 南 | 毛坯 | 高楼层(共15层)  | 板楼,1人关注 / 7个月以前发布,185,"16,625元/平"
圣 地雅歌豪 装洋房 有大露台。地暖,圣地雅歌二区 -芜湖站,3室1厅 | 99.39平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,32人关注 / 一年前发布,178,"17,910元/平"
南瑞金坤园 通透两房 户型美丽 中等装修,南瑞新城金坤园 -南瑞新城,2室2厅 | 82.13平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,75,"9,132元/平"
徽商春天，精品两房，满五唯一，楼层好，诚心出售,徽商春天北区 -左岸,2室2厅 | 93.27平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 8个月以前发布,130,"13,939元/平"
金域蓝湾位置优越，钻石楼层，精装修，可看两江,伟星金域蓝湾名门 -新时代商业街,2室2厅 | 91.32平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 8个月以前发布,189.5,"20,752元/平"
伟星公园大道壹号 南边通透边户 产证满3年 诚心出售,伟星公園大道壹号 -雕塑公园,2室2厅 | 87.04平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,175,"20,106元/平"
儒林西苑两室两厅一厨一卫，诚心出售,儒林西苑 -中央城财富街,2室2厅 | 94.47平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,142.5,"15,085元/平"
儒林西苑 2室2厅 南,儒林西苑 -中央城财富街,2室2厅 | 84.84平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 5个月以前发布,128,"15,088元/平"
房屋真实在售，价格可谈 业主诚心出售,澳然天成 -银湖公园,2室1厅 | 62.82平米 | 西南 | 简装 | 高楼层(共16层)  | 板楼,1人关注 / 一年前发布,48,"7,641元/平"
南方新村5楼名流印象边59.76平78.8万 小户型,南方新村 -中山路步行街,2室1厅 | 59.7平米 | 东 | 精装 | 中楼层(共7层)  | 板塔结合,3人关注 / 8个月以前发布,78.8,"13,200元/平"
业主诚心急售 价格可谈 中高楼层 采光通风好,城市庄园住宅赛纳丽城小区 -华强城,3室2厅 | 123.31平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,11人关注 / 一年前发布,149,"12,084元/平"
此房满五年，户型方正，精装全设，业主诚心出售,滨江家园 -红旗,2室2厅 | 78.4平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,2人关注 / 11个月以前发布,100,"12,756元/平"
优质小区人车分流，户型通透，电梯洋房带车位，视野好,伟星公园大道北峯 -雕塑公园,2室2厅 | 88.82平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,2人关注 / 3个月以前发布,198,"22,293元/平"
金湾锦苑 多层3楼 带地下室 精装保持好,金湾锦苑 -学府商业广场,2室1厅 | 59.16平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,58,"9,804元/平"
伟星金域华府小两房，楼层好，视野开阔，采光充足！,伟星金域华府 -中央城财富街,2室1厅 | 51.65平米 | 南 西 | 简装 | 高楼层(共34层)  | 塔楼,6人关注 / 8个月以前发布,79,"15,296元/平"
钻石楼层 业主诚心售房  采光视野 好,伊顿公馆二期 -绿地镜湖新城,2室2厅 | 81.29平米 | 南 | 简装 | 高楼层(共30层)  | 板楼,11人关注 / 一年前发布,108,"13,286元/平"
伟星凤凰城  买一层附一层 随时看,凤凰城中岛海棠苑 -凤鸣湖景区,4室2厅 | 84.6平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,85,"10,048元/平"
诚心出售，无土地出让金无增值税，一次未住，随时看房,蓝湾半岛 -柏庄时代广场,2室2厅 | 87.02平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,14人关注 / 5个月以前发布,76,"8,734元/平"
沈奥花园南区 交通方便 房子精装修,沈奥花园南区 -江北大龙湾,3室2厅 | 117.74平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,80,"6,795元/平"
城市之光精装2房 中上楼层 产证满二 拎包即住,城市之光第一街区 -雕塑公园,2室2厅 | 84.37平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,20人关注 / 一年前发布,145,"17,187元/平"
柏庄春暖花开精装修 洋房公摊小 楼层很好,柏庄春暖花开 -柏庄时代广场,2室2厅 | 74.08平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,1人关注 / 5个月以前发布,127,"17,144元/平"
房东诚心出售  人很好  欢迎大家多多看房,中央城B区 -中央城财富街,4室2厅 | 155.53平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,3人关注 / 一年前发布,239,"15,367元/平"
采光，通风效果好 ，户型周正，空气清新,百蕊山莊 -大砻坊,2室2厅 | 87.62平米 | 北 | 其他 | 高楼层(共7层)  | 塔楼,0人关注 / 一年前发布,84.5,"9,644元/平"
徽商春天，精品两房，满五唯一，楼层好，诚心出售,徽商春天北区 -左岸,2室2厅 | 93.27平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 8个月以前发布,130,"13,939元/平"
沐春园无户口、另有储藏室17平米、好房诚心卖。,南瑞新城沐春园 -南瑞新城,2室2厅 | 81.95平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,75,"9,152元/平"
此房为婚房精装修，配套设施齐全，无大税,儒林西苑 -中央城财富街,2室1厅 | 93.66平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 5个月以前发布,138,"14,735元/平"
业主诚心出售、中江双學校公园近在咫尺，中间楼层,金浩·仁和天地 -芜湖市政府,2室2厅 | 91平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,4人关注 / 7个月以前发布,145,"15,935元/平"
信德悦城毛坯两房 采光好 视野佳 业主诚心卖,信德悦城 -万春购物广场,2室2厅 | 77.77平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,1人关注 / 7个月以前发布,78,"10,030元/平"
信德悦城 2室2厅 南,信德悦城 -万春购物广场,2室2厅 | 77.77平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 6个月以前发布,78,"10,030元/平"
滨江山庄 2室1厅 南,滨江山庄 -红旗,2室1厅 | 66.85平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 8个月以前发布,66.2,"9,903元/平"
产证满两年 看房方便 采光好楼层好，业主诚心卖,伟星公園大道壹号 -雕塑公园,1室1厅 | 51.56平米 | 西 | 毛坯 | 中楼层(共16层)  | 板楼,0人关注 / 5个月以前发布,88,"17,068元/平"
华仑港湾 精装修两室 装修视野好 采光无遮挡 诚心出售,华仑港湾 -城南滨江版块,2室2厅 | 98.58平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,11人关注 / 一年前发布,179,"18,158元/平"
滨江山庄二房小区生活设施齐全房东诚心出售房型好,滨江山庄 -红旗,2室2厅 | 66.85平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,71,"10,621元/平"
鹰都花苑 2室1厅 东南,鹰都花苑 -大砻坊,2室1厅 | 77.86平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,85,"10,918元/平"
双阳台，户型好 此房诚心出售！,万春新苑雅苑 -万春购物广场,2室2厅 | 109平米 | 南 | 简装 | 高楼层(共30层)  | 板楼,2人关注 / 10个月以前发布,74,"6,789元/平"
满五唯一 全新装修 视野开阔 采光充足 拎包入住,弋江嘉园·徽韵 -柏庄时代广场,2室1厅 | 74.08平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,80,"10,800元/平"
金浩仁和天地，中江  ，好楼层，急售,金浩·仁和天地 -芜湖市政府,2室2厅 | 88.51平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,5人关注 / 一年前发布,132,"14,914元/平"
沿长江边 户型方正 中间楼层 采光好 配套齐全,春江花园 -红旗,2室1厅 | 78.7平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,5人关注 / 一年前发布,102,"12,961元/平"
东方龙城秉心苑两室住宅 拎包入住 物美价廉 有钥匙,东方龙城秉心苑 -大砻坊,2室1厅 | 58.07平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,7人关注 / 11个月以前发布,75,"12,916元/平"
长街商都新安花园边48.23平41万 有钥匙,长街商都A区 -中山路步行街,1室1厅 | 48.23平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,41,"8,501元/平"
安徽省芜湖市南陵县籍山镇和顺阳光城市,和顺阳光城市 -南陵县,3室2厅 | 127.02平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,70,"5,511元/平"
采光通风效果好 诚心出售 看房随时 随时可签 户型方正,棠梅园小区B区 -绿地镜湖新城,2室2厅 | 75.56平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,70,"9,265元/平"
学府金座次顶层 西边户江景房 精装全设实用两层,中央城财富街 -中央城财富街,2室1厅 | 60.81平米 | 西 | 精装 | 高楼层(共18层)  | 板塔结合,37人关注 / 一年前发布,68,"11,183元/平"
新房源户型方正精装修，爱心楼层采光好,棠梅园小区A区 -绿地镜湖新城,2室2厅 | 83.42平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,85,"10,190元/平"
信德悦城 好房出售 ，轻轨口旁,信德悦城 -万春购物广场,2室1厅 | 77.77平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 7个月以前发布,79,"10,159元/平"
凤凰城精装修两房，一楼架空近别墅，急卖,凤凰城北岛水晶居 -凤鸣湖景区,2室2厅 | 88.77平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,73,"8,224元/平"
玉兰公馆 孝心楼层 含车位 房东急售随时看房,融创玉兰公馆 -三山时代广场,3室2厅 | 105.91平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,76,"7,176元/平"
此房产证满五年了，采光无遮挡，布局合理，中间楼层,凤凰城北岛翡翠居 -凤鸣湖景区,2室2厅 | 88.02平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,71,"8,067元/平"
保兴港 南、北通透 电梯精装2室  无大税 诚心出售,保兴港小区 -五一广场,2室2厅 | 76.48平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,145,"18,960元/平"
伟星凤凰城 南岛2楼 成心出售 有架空,凤凰城南岛红枫轩 -凤鸣湖景区,3室2厅 | 92.39平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,78,"8,443元/平"
精装两房 诚心出售 拎包住 洒脱无比,信德翡翠湾 -银湖公园,2室1厅 | 67.94平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,12人关注 / 一年前发布,66,"9,715元/平"
诚心出售                。。,信达▪蓝湖郡 -汀棠公园,3室2厅 | 103.19平米 | 南 北 | 简装 | 低楼层(共15层)  | 塔楼,2人关注 / 一年前发布,155,"15,021元/平"
伟星玲珑湾多层全新毛坯三房，给你自由可变得空间,伟星玲珑湾 -凤鸣湖景区,3室2厅 | 89.36平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,13人关注 / 一年前发布,72,"8,058元/平"
玫瑰园 好房诚心出售 价格美丽户型好  生活方便,玫瑰园 -波尔卡商业区,2室2厅 | 98.57平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 板楼,4人关注 / 一年前发布,78.5,"7,964元/平"
鸠兹家苑多层6楼毛坯2房，带地下室。,鸠兹家苑馨园 -大阳垾,2室2厅 | 86.45平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,14人关注 / 一年前发布,53,"6,131元/平"
华强悦山府 3室2厅 南 北,华强悦山府 -三山时代广场,3室2厅 | 125.69平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 4个月以前发布,110,"8,752元/平"
此房户型方正，楼层好，视野开阔，采光十足,澳然天成 -银湖公园,1室1厅 | 53.2平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,16人关注 / 一年前发布,43,"8,083元/平"
龙凤佳苑  全新毛坯 通透边户 随时看房,龍鳳佳苑 -BOBO商业步行街,2室2厅 | 91.34平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板楼,13人关注 / 一年前发布,68,"7,445元/平"
峨溪豪庭精装三房，税 ，业主诚心卖。一句话，,峨溪豪庭 -繁昌县,4室1厅 | 124.27平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,2人关注 / 5个月以前发布,99.8,"8,031元/平"
朝南大阳台 拎包即住 两梯四户 业主诚心出售 看房随时,柏庄观邸 -雕塑公园,2室2厅 | 89.96平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,9人关注 / 10个月以前发布,125,"13,896元/平"
凤凰城 精装两房，小户型，大生活,凤凰城北岛翡翠居 -凤鸣湖景区,2室2厅 | 72.75平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,23人关注 / 一年前发布,48,"6,598元/平"
利达新村 没有增值税 非一非顶,利达新村 -五一广场,2室1厅 | 72.04平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,73.5,"10,203元/平"
碧桂园中梁双玺，小三房，采光没有什么遮挡，楼间距大,碧桂园中梁双玺 -繁昌县,3室2厅 | 103.84平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,3人关注 / 一年前发布,79.9,"7,695元/平"
金浩仁和天地 中江就在家门口 诚心出售 看房方便,金浩·仁和天地 -芜湖市政府,3室2厅 | 107.48平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,123,"11,444元/平"
澳然天成 1室1厅 南,澳然天成 -银湖公园,1室1厅 | 60.03平米 | 南 | 毛坯 | 高楼层(共16层)  | 板楼,3人关注 / 7个月以前发布,46,"7,663元/平"
荣盛华府。位置很好，南北双阳台、户型很好。,荣盛华府 -雕塑公园,3室2厅 | 132.39平米 | 南 | 毛坯 | 低楼层(共17层)  | 板塔结合,4人关注 / 11个月以前发布,243,"18,355元/平"
业主诚心出售，看中价格能谈。两房朝南，适合陪读。,绿影新村 -弋矶山,2室1厅 | 58.44平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 9个月以前发布,105,"17,968元/平"
嘉汇城，全新毛坯，电梯好楼层，东边套,嘉汇城 -南陵县,3室2厅 | 110.51平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,68.6,"6,208元/平"
业主诚售！中俊理想城毛坯三房，户型方正，视野宽阔。,中俊理想城A区 -无为县,3室2厅 | 110.94平米 | 南 北 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,92,"8,293元/平"
明园小区 1室1厅 南,明园小区 -波尔卡商业区,1室1厅 | 69.09平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,42,"6,080元/平"
澳然天成 精装两室 电梯好楼层 家具家电齐全 拎包住,澳然天成 -银湖公园,2室1厅 | 79.17平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 8个月以前发布,78.9,"9,966元/平"
南瑞新城沐春园中装两房中层采光很好,南瑞新城沐春园 -南瑞新城,2室2厅 | 68.36平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,63,"9,216元/平"
伊顿豪 装二房，满五唯一，可做婚房，有钥匙随时看房,伊顿公馆二期 -绿地镜湖新城,2室2厅 | 91.08平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,13人关注 / 10个月以前发布,128,"14,054元/平"
户型方正，一手房源，楼层非顶楼。,伟星金域蓝湾C区3 -新时代商业街,2室1厅 | 64.92平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 3个月以前发布,100,"15,404元/平"
