标题,开发商,房子信息,发布信息,售价/万,单价
箭八组合，步梯3楼，离菜市近，户型方正，采光好,华庭苑 -箭盘山,3室2厅 | 129.79平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 10天以前发布,103,"7,936元/平"
翡翠龙庭精装两房 满五唯一 楼层好 保养好 采光佳,恒大翡翠龙庭 -恒大商圈,2室2厅 | 68.35平米 | 东南 | 精装 | 中楼层(共30层)  | 塔楼,3人关注 / 8个月以前发布,71,"10,388元/平"
八一路73号 2室2厅 南 北,八一路73号 -雅儒商圈,2室2厅 | 59.03平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,48,"8,132元/平"
柳北黄村商圈 精装大三房 可见江,興業苑 -黄村商圈,3室2厅 | 132.91平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 10个月以前发布,90,"6,772元/平"
五星商圈精装大户型 生活交通便利,蓝色港湾 -青云商圈,4室2厅 | 155.64平米 | 南 北 | 精装 | 低楼层(共24层)  | 塔楼,1人关注 / 2个月以前发布,130,"8,353元/平"
雅桂路45号三房二厅一厨一卫，视野开阔观景大阳台,雅桂路45号 -三江侗族自治县,3室2厅 | 116.55平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,55,"4,720元/平"
电梯楼房视野开阔小区景色一览无余,永安侗乡现代城 -三江侗族自治县,3室2厅 | 128.64平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,88,"6,841元/平"
航银路金山丽园精装楼中楼带大露台,金山麗園 -航一路商圈,4室3厅 | 188.57平米 | 南 北 | 精装 | 高楼层(共7层)  | 塔楼,5人关注 / 5个月以前发布,95,"5,038元/平"
柳北区水天一州2期江景房方正大三房,水天一州二期 -桂景湾商圈,3室2厅 | 138.78平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,93,"6,702元/平"
桂景湾，南北通透低楼层三房，前后不临街,桂景湾 -桂景湾商圈,3室2厅 | 102.25平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,4人关注 / 11个月以前发布,69,"6,749元/平"
三中路好房出售 精装三房 价钱便宜！,三中路西一巷 -三中商圈,3室2厅 | 82.87平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,56,"6,758元/平"
香颂精装大3房，户型方正朝南，采光充足，视野宽阔,香颂·大道 -保利商圈,3室2厅 | 92.55平米 | 东南 | 精装 | 高楼层(共28层)  | 塔楼,2人关注 / 8个月以前发布,93,"10,049元/平"
满5唯一 江岸名轩 孝心楼层 大三房 错层精装,江岸名轩 -杨柳郡商圈,3室2厅 | 120.58平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,3人关注 / 8个月以前发布,84,"6,967元/平"
"荣军路祥和名邸精装大三房，采光通风好,户型方正",荣城·祥和名邸 -九头山,3室2厅 | 105.89平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 3个月以前发布,102.5,"9,680元/平"
白阳中路3房，房屋方正宽敞采光好，适合居住,大埔镇白阳中路一巷1号 -柳城县,3室2厅 | 94.04平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,29.8,"3,169元/平"
96万南亚名邸德润大三房房间很宽阳台朝南精装,南亚·名邸 -恒大商圈,3室1厅 | 117.07平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,96,"8,201元/平"
业主急售，小户型朝南、随时看房,冠亚·尚成国际 -保利商圈,3室2厅 | 95.89平米 | 东南 | 简装 | 低楼层(共17层)  | 塔楼,7人关注 / 5个月以前发布,79.8,"8,323元/平"
柳北黄村 怡江园精装3房 成熟社区,怡江园 -黄村商圈,3室2厅 | 125.32平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,82,"6,544元/平"
沃尔玛商圈，福馨苑三房楼中楼，小区环境好,福馨苑 -沃尔玛商圈,3室2厅 | 96.05平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,8人关注 / 4个月以前发布,56,"5,831元/平"
柳南万达商圈，龙城华府电梯小三房业主诚售,望泰·龙城华府 -航一路商圈,3室2厅 | 82.2平米 | 南 | 简装 | 高楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,68,"8,273元/平"
本房户型方正，居住舒适，满两年诚售,金水岸 -杨柳郡商圈,3室2厅 | 121.26平米 | 东南 | 精装 | 中楼层(共6层)  | 板塔结合,7人关注 / 一年前发布,90,"7,423元/平"
万象城旁 精装修 接地一楼2房带大花园 业主诚心出,静兰小区 -万象城商圈,2室2厅 | 80.74平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 3个月以前发布,69,"8,546元/平"
15楼 采光通风好，经济实用刚需三房,静兰小区 -万象城商圈,3室2厅 | 87.73平米 | 东南 | 简装 | 高楼层(共17层)  | 塔楼,15人关注 / 4个月以前发布,69.8,"7,957元/平"
鱼峰区西船大院，户型方正，视野宽阔，采光充足，,西船大院 -西江宾馆,2室1厅 | 71.31平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 9个月以前发布,58,"8,134元/平"
城中静兰片区，方正两房，南北通透，新精装，拎包入住,静兰小区 -万象城商圈,2室2厅 | 77.26平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,17人关注 / 5个月以前发布,75,"9,708元/平"
满五唯一  步梯3楼 拎包入住 看房方便,新园小居 -黄村商圈,2室2厅 | 80.79平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,5人关注 / 7个月以前发布,45.5,"5,632元/平"
柳北保利商圈+南向三房+两梯三户高楼层好格局+满五年,冠亚·蓝湾国际 -保利商圈,3室2厅 | 98.76平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,81,"8,202元/平"
欧维姆大院95㎡3房2厅 精装步梯2楼 另有2个停车位,欧维姆大院 -恒大商圈,3室2厅 | 94.83平米 | 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,80,"8,437元/平"
万达 万象商圈 层采光通风好！精装修拎包入住,南亚·名邸 -恒大商圈,3室2厅 | 116.31平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,106,"9,114元/平"
北雀路精装四房康城小区高层电梯房可见江,康城小区 -黄村商圈,4室2厅 | 143.45平米 | 东南 | 精装 | 高楼层(共12层)  | 塔楼,8人关注 / 5个月以前发布,102,"7,111元/平"
东郡鼎苑  阳光100商圈  户型方正  诚心出售,东郡鼎苑 -阳光100商圈,4室2厅 | 184.61平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,3人关注 / 4个月以前发布,205,"11,105元/平"
城中区 桂中大道北 兴佳汇景天城 业主急售 无抵押,兴佳•汇景天城 -河东开发区,3室2厅 | 95.33平米 | 西 | 毛坯 | 中楼层(共31层)  | 暂无数据,11人关注 / 8个月以前发布,78,"8,183元/平"
柳南区和平路文化区步梯三房出售三个房间朝南。,和平路文化区 -五菱商圈,3室2厅 | 74.79平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 7个月以前发布,42,"5,616元/平"
老干部宿舍旁 得房率高两房 钻石四楼 通风采光好,飞鹅路17-2号 -谷埠街商圈,2室1厅 | 68.55平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 28天以前发布,46,"6,711元/平"
天誉二期 精装 3房 稀有资源 名流圈层 身份象征,荣和天誉二期 -高新技术开发区,3室2厅 | 147.06平米 | 西南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 29天以前发布,358,"24,344元/平"
金桂苑二区3房 诚心出售 稀有资源 名流圈层 身份象征,金桂苑二區 -桂中商圈,3室2厅 | 113.18平米 | 南 北 | 简装 | 低楼层(共9层)  | 塔楼,0人关注 / 29天以前发布,95,"8,394元/平"
金鹿春园117平三房两厅两卫，价格实惠,金鹿新城春园 -鹿寨县,3室2厅 | 117.07平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,43,"3,674元/平"
金科天辰 房型方正 通透明亮 宽敞 方便看房 满二,金科天宸 -万象城商圈,3室2厅 | 116平米 | 北 南 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 30天以前发布,146,"12,587元/平"
广投龙象城，三房两厅两卫，大横厅，交通便利,广投龙象城 -柳东新区,3室2厅 | 120.33平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 25天以前发布,84,"6,981元/平"
此房户型方正，产权清晰，业主诚意出售,灯台花苑 -驾鹤商业街,3室2厅 | 115平米 | 南 北 | 简装 | 中楼层(共8层)  | 塔楼,0人关注 / 25天以前发布,80,"6,957元/平"
恒大御府二期 3室2厅 南,恒大御府二期 -恒大商圈,3室2厅 | 102.87平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 21天以前发布,130,"12,638元/平"
冠亚·蓝湾国际 3室2厅 南 北,冠亚·蓝湾国际 -保利商圈,3室2厅 | 155.48平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 30天以前发布,133,"8,555元/平"
：此房动静分离，干湿分离，视野开阔。,正和城二期D1地块 -柳东新区,3室2厅 | 89.01平米 | 东南 | 其他 | 中楼层(共26层)  | 塔楼,0人关注 / 27天以前发布,58,"6,517元/平"
柳开馨苑小区环境好有停车位价格好,柳开馨苑 -龙潭公园,2室2厅 | 70平米 | 南 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 24天以前发布,60,"8,572元/平"
房源户型方正，电梯房，光线充足，视野开阔,龙光玖珑府 -柳东新区,4室2厅 | 117平米 | 南 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 20天以前发布,85,"7,265元/平"
万象城旁电梯装修三房 业主诚心出售 价格看中谈,静兰小区 -万象城商圈,3室2厅 | 91平米 | 南 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 27天以前发布,73,"8,022元/平"
红岩路三区 3室1厅 南 北,红岩路三区 -革新路商圈,3室1厅 | 86.82平米 | 南 北 | 简装 | 高楼层(共8层)  | 板塔结合,0人关注 / 28天以前发布,48,"5,529元/平"
云星钱隆世家 4室2厅 东南,云星钱隆世家 -杨柳郡商圈,4室2厅 | 115平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 19天以前发布,95,"8,261元/平"
古亭山金龙苑大3房 房子装修好 采光足,金龙苑(鱼峰区) -古亭山商圈,3室1厅 | 100平米 | 东南 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 27天以前发布,50,"5,000元/平"
地理位置优越，楼层好，配套设施齐全，交通便利,丽江新村 -雅儒商圈,3室1厅 | 81.6平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 17天以前发布,50,"6,128元/平"
静兰桥头 盛天龙湾精装三房两厅 看房方便,盛天龙湾北区 -古亭山商圈,3室2厅 | 116.3平米 | 东南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 25天以前发布,81,"6,965元/平"
柳工生活南区 两房两厅 有钥匙欢迎随时看房,柳工生活南区 -柳工商圈,2室2厅 | 64.52平米 | 东南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 19天以前发布,45,"6,975元/平"
采光充足，配套设备齐全，交通便利,正和城二期D1地块 -柳东新区,4室2厅 | 130.45平米 | 北 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 23天以前发布,74,"5,673元/平"
龙象城4房 启智 景行 会展衷心,广投龙象城 -柳东新区,4室2厅 | 125.65平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 28天以前发布,80,"6,367元/平"
华润万象府 3室2厅 南 北,华润万象府 -柳东新区,3室2厅 | 113.38平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 28天以前发布,74,"6,527元/平"
华润万象府 3室2厅 南 北,华润万象府 -柳东新区,3室2厅 | 113.38平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 28天以前发布,74,"6,527元/平"
采光充足，配套设备齐全，交通便利,正和城二期D1地块 -柳东新区,4室2厅 | 130.45平米 | 北 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 23天以前发布,74,"5,673元/平"
沃德梦想 万达旁 万象城商圈 生活便利,沃德梦想 -城中万达,2室2厅 | 78.61平米 | 东 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 22天以前发布,81,"10,305元/平"
万象城旁，德润旁，金科天宸清水毛坯大三房，宰相楼层,金科天宸 -万象城商圈,3室2厅 | 134.62平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,175,"13,000元/平"
万象城旁，金科天宸，毛坯大三房，南北对流，,金科天宸 -万象城商圈,3室2厅 | 137平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,178,"12,993元/平"
柳宗元旁毛坯5房，电梯中层，视野采光好，价格美丽,中辰阳光郡 -万象城商圈,5室2厅 | 124.75平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板塔结合,3人关注 / 9个月以前发布,120,"9,620元/平"
"万象商圈,户型方正，格局好，采光充足",华展·华园 -万象城商圈,3室2厅 | 137.69平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 8个月以前发布,140,"10,168元/平"
冠亚星城双阳台 南北对流 户型好 可看江,冠亚·国际星城东区 -古亭山商圈,3室2厅 | 136.1平米 | 东南 西南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,105,"7,715元/平"
万象商圈凯旋门电梯4房，宽敞舒适户型，视野开阔！,华润凯旋门 -万象城商圈,4室2厅 | 119.5平米 | 南 | 精装 | 高楼层(共47层)  | 塔楼,1人关注 / 9个月以前发布,168,"14,059元/平"
华庭苑旁边沁华苑   楼中楼  有大露台,沁华苑 -箭盘山,3室3厅 | 160平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,130,"8,125元/平"
干净舒适 人文素养高 箭盘山公园,晶远花苑 -箭盘山,5室2厅 | 126平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,91,"7,223元/平"
龙光玖珑府111平方4房全新装修拎包入住,龙光玖珑府 -柳东新区,4室2厅 | 111平米 | 南 | 精装 | 高楼层(共38层)  | 板楼,1人关注 / 7个月以前发布,99,"8,919元/平"
万象城旁德润 金科天宸清水毛坯 户型方正 园林式小区,金科天宸 -万象城商圈,4室2厅 | 135平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,200,"14,815元/平"
小区新环境漂亮，电梯四房中间楼层，采光好视野开阔。,荣和千千树 -箭盘山,3室2厅 | 109.1平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,115,"10,541元/平"
万象商圈 华润凯旋门 大5房 三代同堂,华润凯旋门 -万象城商圈,5室2厅 | 143平米 | 南 北 | 精装 | 高楼层(共48层)  | 塔楼,0人关注 / 6个月以前发布,195,"13,637元/平"
金科天宸 4室2厅 南,金科天宸 -万象城商圈,4室2厅 | 152平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,185,"12,172元/平"
金科天宸4-2-1-2 165.70m² 带地下室-前后花园！！！,金科天宸 -万象城商圈,4室2厅 | 165.7平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,300,"18,106元/平"
二楼 精装3房2厅2卫 6平方左右柴房,乘龙汽车技术服务公司职工住宅 -东环商厦,3室2厅 | 101平米 | 南 | 简装 | 低楼层(共8层)  | 板塔结合,4人关注 / 一年前发布,78,"7,723元/平"
杨柳郡桂园 5室2厅 南 北,杨柳郡桂园 -柳钢商圈,5室2厅 | 220平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 3个月以前发布,320,"14,546元/平"
古亭春晓大3房 户型方正 看房方便,古亭春晓 -古亭山商圈,3室2厅 | 152平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,0人关注 / 5个月以前发布,97,"6,382元/平"
古亭春晓 毛坯3房2卫  电梯中间楼层 看房方便。,古亭春晓 -古亭山商圈,3室2厅 | 158平米 | 南 | 毛坯 | 中楼层(共23层)  | 暂无数据,0人关注 / 5个月以前发布,97,"6,140元/平"
古亭山古山居苑三房两厅两卫128平毛胚房单价6字头,古山居苑南区 -古亭山商圈,3室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,82.5,"6,446元/平"
古亭山清水毛坯 大三房  业主诚心出售,冠亚·国际星城东区 -古亭山商圈,3室2厅 | 135平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,105,"7,778元/平"
金沙角，正正大四房2厅，大阳台，装修好，户型方正,金沙角 -五星商圈,4室2厅 | 158.48平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,7人关注 / 10个月以前发布,200,"12,620元/平"
金科天宸 4室2厅 南,金科天宸 -万象城商圈,4室2厅 | 152平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,180,"11,843元/平"
此房满五不唯一，没有住过，别墅，环境优雅,翠湖京都 -古亭山商圈,6室3厅 | 258平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 1个月以前发布,265,"10,272元/平"
恒大城 精装4房 南北对流 户型采光 价格美丽,恒大城 -古亭山商圈,4室2厅 | 138.27平米 | 南 东南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,116,"8,390元/平"
盛天悦景台悦园 毛坯四房 楼层好带车位,盛天悦景台A区 -恒大商圈,4室2厅 | 109.93平米 | 南 | 毛坯 | 高楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,105,"9,552元/平"
恒大城精装三房 视野好 有钥匙看房,恒大城 -古亭山商圈,3室2厅 | 121.72平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,102,"8,380元/平"
静兰桥头恒大城全新装修大四房  江景房业主诚心出售,恒大城 -古亭山商圈,4室2厅 | 138平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 3个月以前发布,125,"9,058元/平"
房东诚心出售，电梯中层视野广阔，无遮挡，装修新颖,冠亚·国际星城东区 -古亭山商圈,3室2厅 | 108.92平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,93,"8,539元/平"
恒大御府一期精装4房未入住南北双阳台随时看房,恒大御府一期 -恒大商圈,4室2厅 | 150.5平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,6人关注 / 5个月以前发布,172,"11,429元/平"
沃尔玛商圈，配套设施齐全、采光通透。中山花园4房,中山花园 -西环商圈,5室2厅 | 222平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,111,"5,000元/平"
万象城旁边，金科天宸，电梯洋房，清水毛坯四房,金科天宸 -万象城商圈,4室2厅 | 138.16平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,7人关注 / 11个月以前发布,178,"12,884元/平"
窑埠古镇旁，盛天悦景台毛坯大三房。随时看房。,盛天悦景台悦锦园 -东环商厦,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,1人关注 / 8个月以前发布,133,"10,640元/平"
沃尔玛商圈，配套设施齐全、龙湾公馆3房，交通便利,龙湾公馆 -沃尔玛商圈,3室1厅 | 122.2平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,5人关注 / 一年前发布,135,"11,048元/平"
业主急售，价格美丽大别墅。懂的来。。。。,正和城A区 -柳东新区,5室3厅 | 253平米 | 东南 | 毛坯 | 低楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,210,"8,301元/平"
繁华地段 园林小区 品质生活 出行方便,荣和千千树 -箭盘山,4室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,140,"10,938元/平"
凤起新都   高厅   楼中楼,国信凤起新都 -西江宾馆,6室3厅 | 260.78平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,9人关注 / 一年前发布,157.9,"6,055元/平"
金科天宸大四房，户型方正，楼层好，采光好，视野好,金科天宸 -万象城商圈,4室2厅 | 157.53平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,4人关注 / 11个月以前发布,175,"11,109元/平"
中辰阳光郡 电梯高层 视野好 通风强 得 房率高,中辰阳光郡 -万象城商圈,5室2厅 | 128.38平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,121,"9,426元/平"
低密度改善型小洋房 四房 南北对流,金科天宸 -万象城商圈,4室2厅 | 153.57平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,3人关注 / 5个月以前发布,158,"10,289元/平"
盛天悦景台3房2厅 清水毛坯电梯中层 业主诚心出售,盛天悦景台悦锦园 -东环商厦,3室2厅 | 124.29平米 | 南 | 毛坯 | 中楼层(共33层)  | 平房,0人关注 / 1个月以前发布,129,"10,379元/平"
鱼峰区电梯洋房 一梯两户 毛坯大三房,金科天宸 -万象城商圈,3室2厅 | 142.87平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,180,"12,599元/平"
房东诚心出售！两梯三户四房东边套，带入户！,冠亚·国际星城东区 -古亭山商圈,4室2厅 | 132平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,93,"7,046元/平"
金科天宸 小高层洋房 一梯两户 带大露台,金科天宸 -万象城商圈,5室2厅 | 280平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板楼,4人关注 / 7个月以前发布,370,"13,215元/平"
杨柳郡棕榈苑5房 诚心出售 稀有资源名流圈层身份象征,柳州绿城杨柳郡 -杨柳郡商圈,5室2厅 | 229平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,4人关注 / 4个月以前发布,415,"18,123元/平"
万象城大城小院步梯三楼毛坯三房南北通透户型方正,碧园大城小院 -万象城商圈,3室2厅 | 114平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 塔楼,15人关注 / 一年前发布,97.8,"8,579元/平"
阳光郡毛坯5房，户型方正，采光视野好,中辰阳光郡 -万象城商圈,5室2厅 | 130.46平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,1人关注 / 4个月以前发布,120,"9,199元/平"
国信凤起新都电梯洋房楼中楼实用面积大全新装修未入住,国信凤起新都 -西江宾馆,4室4厅 | 271.25平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 2个月以前发布,225,"8,295元/平"
金科天宸电梯洋房一梯两户 南北朝向 带3个阳台,金科天宸 -万象城商圈,4室2厅 | 179.2平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,210,"11,719元/平"
华韵上城毛坯三房 步梯3楼 户型方正 随时可以装修入住,华韵上城 -基隆商圈,3室2厅 | 104.14平米 | 南 | 毛坯 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,72,"6,914元/平"
柳北，城中区双商圈，广雅北三巷4楼两房,广雅路北三巷 -雅儒商圈,2室2厅 | 72.2平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,49,"6,787元/平"
龙江水电宿舍小三房，生活交通便利，配套设施齐全。。,柳城县龙江水电有限责任公司大埔生活区 -柳城县,3室1厅 | 72平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,25,"3,473元/平"
滨江壹号D区柳东成熟小区，带装修带车库,滨江壹号D区 -柳东新区,3室2厅 | 95.89平米 | 南 | 精装 | 高楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,83,"8,656元/平"
城战路二空宿舍 二房二厅 出售,城站路94号一区 -汽车总站,2室2厅 | 67平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 28天以前发布,45.5,"6,792元/平"
户型方正，采光好，无公摊，房子干净保养很好，,北雀路十二区 -柳钢商圈,2室1厅 | 63.1平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,45,"7,132元/平"
柳东龙光玖珑府90平电梯中层现房，业主急卖,龙光玖珑府 -柳东新区,3室2厅 | 90平米 | 南 | 毛坯 | 高楼层(共38层)  | 塔楼,0人关注 / 30天以前发布,75,"8,334元/平"
宏祥园 3室2厅 南,宏祥园 -永前路商圈,3室2厅 | 84.9平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,65,"7,657元/平"
宏发市场综合楼 3室2厅 南,宏发市场综合楼 -基隆商圈,3室2厅 | 105.98平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,53,"5,001元/平"
谷埠街马鞍山公园步梯二楼带露台,中鼎南苑 -汽车总站,2室2厅 | 84.7平米 | 南 | 简装 | 低楼层(共8层)  | 塔楼,0人关注 / 22天以前发布,55,"6,494元/平"
大润发旁 银山小区步梯好楼层 价格低，首付低,银山小区 -航二路商圈,3室1厅 | 89.3平米 | 南 北 | 简装 | 中楼层(共8层)  | 塔楼,0人关注 / 24天以前发布,57.5,"6,439元/平"
柳南区 万达边 金穗福苑 清水毛坯 电梯10楼 3房2厅,金穗福苑 -柳南万达,3室2厅 | 125.27平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 30天以前发布,94.6,"7,552元/平"
离万达广场仅有一百米三房两厅两卫首付12还有柴房,航北路2号 -柳南万达,3室2厅 | 110.27平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 23天以前发布,69.5,"6,303元/平"
金御华府 3室1厅 南 北,金御华府 -基隆商圈,3室1厅 | 91.32平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 板楼,0人关注 / 25天以前发布,55,"6,023元/平"
航三路 愿景品格 大3 房 南北通透 业主急售,愿景品格 -航三路商圈,3室2厅 | 125平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 19天以前发布,77,"6,160元/平"
潭中医院旁  2房  一梯一户,潭中中路北一巷3号 -黄村商圈,2室2厅 | 63.28平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,38,"6,006元/平"
大龙潭公园旁心怡山水苑小型楼中楼诚心出售看中可议价,心怡山水苑 -龙潭公园,2室2厅 | 106.49平米 | 西南 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 23天以前发布,71,"6,668元/平"
龙湾公馆 2室2厅 南,龙湾公馆 -沃尔玛商圈,2室2厅 | 89.7平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 30天以前发布,80,"8,919元/平"
地 王公馆靓房出售 精装两房 价钱不贵！,地王公馆 -步步高商圈,2室2厅 | 81平米 | 南 北 | 精装 | 高楼层(共53层)  | 塔楼,0人关注 / 19天以前发布,105,"12,963元/平"
柳北跃进路35 保利商圈世博豪庭标准2房房东诚心出售,世博豪庭 -保利商圈,2室2厅 | 70平米 | 北 | 精装 | 中楼层(共21层)  | 塔楼,0人关注 / 28天以前发布,65,"9,286元/平"
