标题,开发商,房子信息,发布信息,售价/万,单价
好房推荐盛世雲景153平仅售90万,盛世雲景 -卫东区,4室2厅 | 153.36平米 | 东 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 25天以前发布,90,"5,869元/平"
春光金世纪小区 5室4厅2厨2卫6+7交通便利,春光金世纪小区 -新华区,5室4厅 | 241.8平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,4人关注 / 7个月以前发布,100,"4,136元/平"
新城区湖光花园公务员小区，公摊少，物业五毛五,湖光·凤舞园 -新华区,3室2厅 | 135平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,104,"7,704元/平"
联盟鑫成小区 2室2厅交通便利 小区环境干净舒适,联盟鑫城 -新华区,3室2厅 | 130平米 | 东 东北 | 精装 | 低楼层(共33层)  | 板塔结合,3人关注 / 10个月以前发布,95,"7,308元/平"
新城区蓝湾翠园180平四室，全天采光。有证有暖,蓝湾翠园 -新华区,4室2厅 | 180平米 | 南 | 毛坯 | 高楼层(共29层)  | 暂无数据,1人关注 / 10个月以前发布,147,"8,167元/平"
建业桂园空中别墅，五开间朝南，精装修全天采光！,建业桂园 -新华区,4室2厅 | 200平米 | 东 | 精装 | 高楼层(共33层)  | 暂无数据,5人关注 / 一年前发布,160,"8,000元/平"
建业十八城 3室2厅 西,建业十八城 -新华区,3室2厅 | 134平米 | 西 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,86,"6,418元/平"
朗润美晨 中间好楼层，全天采光 光线充足,朗润·美晨 -湛河区,3室2厅 | 102平米 | 西南 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 7个月以前发布,66,"6,471元/平"
华廷四季城 124平 毛坯四室    看房方便,华廷四季城 -湛河区,4室2厅 | 124平米 | 东 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 6个月以前发布,62,"5,000元/平"
银基三室精装，有证可贷款，没有家具家电。,银基誉府 -湛河区,3室2厅 | 114平米 | 西南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,88,"7,720元/平"
凤凰小区165平4室2厅2卫 带字母车位 全屋名 牌精装修,凤凰小区 -湛河区,4室2厅 | 165平米 | 东 | 精装 | 低楼层(共30层)  | 板塔结合,2人关注 / 7个月以前发布,188,"11,394元/平"
观湖大平层 观湖无遮挡 精心装修 有带车位  车库,建业森林半岛 -新华区,6室3厅 | 342.16平米 | 东 | 精装 | 中楼层(共6层)  | 平房,0人关注 / 6个月以前发布,335,"9,791元/平"
建业十八城三室两厅两卫，135平方，精心装修全新未住,建业十八城 -新华区,3室2厅 | 135平米 | 西 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,109,"8,075元/平"
恒大名都·127平·精装三室·,平顶山恒大名都 -湛河区,3室2厅 | 127平米 | 东南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,90,"7,087元/平"
九龙广场简装~全屋地暖可随时看房,九龙广场 -湛河区,3室2厅 | 135平米 | 东南 南 | 简装 | 低楼层(共26层)  | 暂无数据,1人关注 / 2个月以前发布,86.5,"6,408元/平"
精品嘉园  111平3室2厅2卫  好房推荐,精品嘉园 -湛河区,3室2厅 | 111平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,5人关注 / 11个月以前发布,55.7,"5,019元/平"
沁园小区 174.9平 精装修空房 电梯房 80万,沁园东院 -湛河区,3室3厅 | 174.9平米 | 南 | 简装 | 低楼层(共22层)  | 暂无数据,1人关注 / 9个月以前发布,78,"4,460元/平"
湛河旁建业春天里 135平1楼带院 55平南院 品牌房企,建业春天里 -湛河区,3室2厅 | 135平米 | 西 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,105,"7,778元/平"
清华园125平精装3室2厅2卫 诚意出售72万,清华苑 -湛河区,3室2厅 | 125平米 | 南 | 精装 | 低楼层(共13层)  | 暂无数据,3人关注 / 一年前发布,72,"5,760元/平"
惠泽园大三室有证有暖精装修仅83万,惠泽园 -湛河区,3室2厅 | 135平米 | 南 北 | 简装 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,83,"6,149元/平"
东风路南头永基小区 精装修三室两厅两卫拎包入住,永基小区 -湛河区,3室2厅 | 141平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,60,"4,256元/平"
平安景苑147平大三室大阳台 毛坯房 户型方正 中间楼层,平安景苑 -湛河区,3室2厅 | 147平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,6人关注 / 一年前发布,68,"4,626元/平"
碧桂园全新精装修未住过100平纯南户小三室,碧桂园 -湛河区,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,75,"7,500元/平"
矿工路 亿昇 精装 复式 5室 阳光房 楼顶花园有证有暖,亿昇花园 -卫东区,5室3厅 | 411.03平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,0人关注 / 1个月以前发布,200,"4,866元/平"
此房带装修，装修风格简单温馨一梯一户,中兴路110号 -湛河区,3室2厅 | 147平米 | 东南 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,78,"5,307元/平"
此房122平3室2厅2卫精装修拎包住采光好,碧桂园天玺 -卫东区,3室2厅 | 121.49平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 一年前发布,121,"9,960元/平"
交通便利，小区环境干净舒适，适合居住。,金玉花园 -新华区,4室2厅 | 161平米 | 东 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 4个月以前发布,106,"6,584元/平"
新城区市一高，凤凰花园现房，有钥匙随时看房,凤凰花园A02秋实苑 -新华区,3室2厅 | 140平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 10个月以前发布,105,"7,500元/平"
优诗美地3室两厅两卫，户型方正楼层适中有证可贷款,优诗美地花园 -湛河区,3室2厅 | 149平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 10个月以前发布,85,"5,705元/平"
明珠世纪城6+7 4室2厅2卫 有证无高税,明珠世纪城B区 -卫东区,4室2厅 | 155.16平米 | 西 | 简装 | 高楼层(共7层)  | 板塔结合,1人关注 / 11个月以前发布,85,"5,479元/平"
天安名郡 无高税3室2厅2卫 毛坯随时看,天安名郡 -卫东区,3室2厅 | 125.19平米 | 西 | 毛坯 | 高楼层(共4层)  | 暂无数据,0人关注 / 4个月以前发布,66,"5,272元/平"
国宾府128平3室2厅2卫 毛坯随意装修,绿都国宾府 -新华区,3室2厅 | 128平米 | 西 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 9个月以前发布,128,"10,000元/平"
金水桶大厦小区 3室2厅交通便利 小区环境舒适 适合居,金水桶大厦 -新华区,3室2厅 | 119平米 | 东南 | 精装 | 低楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,125,"10,505元/平"
荣邦花园三室两厅交通便利小区环境干净舒适适合居住,荣邦花园 -卫东区,3室2厅 | 150平米 | 南 北 | 简装 | 高楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,125,"8,334元/平"
新城区一品澜山，观湖好房，有证满2年！,大唐一品澜山 -新华区,3室2厅 | 142平米 | 西北 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,120,"8,451元/平"
阳光花苑简装，南北通透，可分期，有证有暖,阳光花苑豫南家属院 -新华区,4室2厅 | 167平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,165,"9,881元/平"
和谐家园小区，三室两卫两卫，采光好简单装修，稳定出,金世纪和谐家园 -新华区,3室2厅 | 137平米 | 西南 | 简装 | 高楼层(共27层)  | 暂无数据,14人关注 / 一年前发布,73.9,"5,395元/平"
建业桂园，精心装修三房，一期小高层，拎包入住。,建业桂园 -新华区,3室2厅 | 136.92平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,3人关注 / 7个月以前发布,113,"8,253元/平"
新城区森林半岛127平方精装三室两卫仅售90万,建业森林半岛 -新华区,3室2厅 | 127平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,90,"7,087元/平"
恒大君睿府一期四室现房可分期房东急售,平顶山恒大珺睿府 -湛河区,3室2厅 | 132.77平米 | 东 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,118.5,"8,926元/平"
急卖，长安道壹号毛坯四房，观湖一览无余,长安道壹号 -新华区,4室2厅 | 188平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 5个月以前发布,130,"6,915元/平"
百合金山四室两厅两卫交通便利小区环境干净,百合金山 -新华区,4室2厅 | 144平米 | 南 | 简装 | 中楼层(共34层)  | 暂无数据,1人关注 / 4个月以前发布,98,"6,806元/平"
长青路鹰城广场。1楼，三室两厅，有院有暖气。,矿堪路7号院 -新华区,3室2厅 | 85平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,52,"6,118元/平"
银基誉府名铸，8楼三室两厅129平方,银基誉府名铸 -湛河区,3室2厅 | 129平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,98,"7,597元/平"
国昌小区，中层，三室133平方，三卧朝南，有证,国昌开发楼 -湛河区,3室2厅 | 132.74平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,62,"4,671元/平"
人大家属院，2楼，三室120平方，有暖,湛北路39号院 -新华区,3室2厅 | 120平米 | 南 北 | 简装 | 低楼层(共2层)  | 暂无数据,0人关注 / 1个月以前发布,75,"6,250元/平"
人大家属院，4楼，四室两厅两卫，有暖气,湛北路39号院 -新华区,4室2厅 | 150.12平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,87,"5,796元/平"
蓝湾翠园小区四室两厅交通便利，小区环境干净舒适适合,蓝湾翠园 -新华区,4室2厅 | 180平米 | 西 | 精装 | 高楼层(共30层)  | 暂无数据,1人关注 / 10个月以前发布,163,"9,056元/平"
公园南门凯旋国际精装修有证可分期,凯旋国际 -湛河区,3室2厅 | 107平米 | 西南 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 4个月以前发布,70,"6,543元/平"
朗润美辰小区127平，四室二厅二卫，精装修。,朗润·美晨 -湛河区,4室2厅 | 127平米 | 东 | 精装 | 低楼层(共30层)  | 暂无数据,2人关注 / 9个月以前发布,92,"7,245元/平"
在和顺路地中海50米！大套房 位置好出行方便。便宜！,银城开发楼 -湛河区,3室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,75,"5,245元/平"
三室二厅，户型方正，设计合理，釆光充足，无遮挡。,开源路东10号院 -卫东区,3室2厅 | 146平米 | 西南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,70,"4,795元/平"
小区环境优美。交通方便。配套齐全。楼间距宽敞。。。,朗润·美晨 -湛河区,5室4厅 | 400平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 7个月以前发布,240,"6,000元/平"
临市第四妇幼保健院。好楼层。户型合理。交通方便。,华星住宅 -湛河区,3室2厅 | 147平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,88,"5,987元/平"
三室二厅二卫，中间楼层，错层。,精品嘉园 -湛河区,3室2厅 | 112平米 | 东 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 7个月以前发布,62.8,"5,608元/平"
湖光花园，公摊小，4楼大3室，毛坯房随意装修,湖光花园鳳鳴園 -新华区,3室2厅 | 166平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,2人关注 / 4个月以前发布,120,"7,229元/平"
瑞鑫苑，大三室有证，中装修，位置好，适合居住,瑞鑫苑 -湛河区,3室2厅 | 139平米 | 西南 | 精装 | 中楼层(共31层)  | 暂无数据,3人关注 / 10个月以前发布,85,"6,116元/平"
华荣小区 湛北路与光明路步梯 大三室 有证,湛河桥北路西 -新华区,3室2厅 | 120平米 | 西 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,61,"5,084元/平"
开源路湛河畔4楼三室二厅有暖有证,豆制品厂家属院 -新华区,3室2厅 | 104.78平米 | 东 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 7个月以前发布,52,"4,963元/平"
小区环境干净舒适 建业桂园小区3室2厅交通便利 合居住,建业桂园 -新华区,3室2厅 | 139平米 | 东 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 3个月以前发布,108,"7,770元/平"
蓝湾新城 3室 带入户花园 户型方正,蓝湾新城 -新华区,3室2厅 | 143平米 | 东 | 毛坯 | 中楼层(共23层)  | 平房,5人关注 / 一年前发布,93,"6,504元/平"
蓝湾新城精装修大三室两厅一厨两卫价格美丽,蓝湾新城 -新华区,3室2厅 | 144平米 | 西北 | 精装 | 中楼层(共23层)  | 平房,1人关注 / 一年前发布,106,"7,362元/平"
中间楼层！户型方正！有证满二！窗户已封！,九龙广场 -湛河区,4室2厅 | 151.5平米 | 西 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 5个月以前发布,115,"7,591元/平"
龙腾国际！有证！三室！看房方便！精装修！有停车位,龙腾国际 -湛河区,3室2厅 | 110.24平米 | 东南 | 简装 | 高楼层(共21层)  | 塔楼,0人关注 / 5个月以前发布,70,"6,350元/平"
领创大地城 125平 3-2-2-1毛坯 户型方正,领创大地城 -湛河区,3室2厅 | 125.55平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 4个月以前发布,96,"7,647元/平"
光明路与建设路交叉口，蓝鲸国际，124平3室。,蓝鲸国际 -新华区,3室2厅 | 124平米 | 南 | 毛坯 | 中楼层(共30层)  | 暂无数据,4人关注 / 一年前发布,96,"7,742元/平"
复式设计精装修领包住户型方正全明户型,九九绿墅園 -新华区,3室2厅 | 168平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,115,"6,846元/平"
恒大名都精装三室双卫 有证满二 阳台已封 采光好,平顶山恒大名都 -湛河区,3室2厅 | 137平米 | 西 | 精装 | 高楼层(共33层)  | 暂无数据,3人关注 / 11个月以前发布,98,"7,154元/平"
光明路世纪春城 123平 户型端正大三房双卫 看房方便,世纪春城 -湛河区,3室2厅 | 123.49平米 | 东 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 10个月以前发布,69,"5,588元/平"
建设路东段电梯房，三室两厅双卫带入户花园,和谐佳苑上上城 -卫东区,3室2厅 | 134平米 | 南 北 | 精装 | 高楼层(共23层)  | 暂无数据,1人关注 / 4个月以前发布,63,"4,702元/平"
世纪阳光精装有证有暖装修未入住,世纪阳光 -卫东区,3室2厅 | 132平米 | 南 西南 | 精装 | 高楼层(共25层)  | 暂无数据,0人关注 / 7个月以前发布,81,"6,137元/平"
马庄转盘 盛世华庭 126平3室2厅 精装有证可贷款,盛世华庭 -湛河区,3室2厅 | 126平米 | 西南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 一年前发布,80,"6,350元/平"
世纪阳光精装有证有暖装修未入住,世纪阳光 -卫东区,3室2厅 | 132平米 | 南 西南 | 精装 | 高楼层(共25层)  | 暂无数据,0人关注 / 7个月以前发布,81,"6,137元/平"
优诗美地简装三室两厅两卫有证有暖支持商贷和公积金,优诗美地花园 -湛河区,3室2厅 | 142平米 | 东 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,85,"5,986元/平"
客厅朝南通透 户型方正，得房率高，房子空间合理利用,京华金域蓝湾 -湛河区,3室2厅 | 135平米 | 东 | 精装 | 中楼层(共28层)  | 暂无数据,1人关注 / 8个月以前发布,119,"8,815元/平"
中房，135平，3室2厅2卫，81万户型方正精装修拎包入住,中房·听雨苑 -湛河区,3室2厅 | 132平米 | 东 | 简装 | 中楼层(共11层)  | 暂无数据,4人关注 / 11个月以前发布,78,"5,910元/平"
有证有暖 三间卧室都能看见鹰城广场,园林小区 -新华区,3室2厅 | 147.84平米 | 西 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,89,"6,021元/平"
永基状元府三室两厅 交通便利 小区环境干净舒适,永基状元府 -湛河区,3室2厅 | 132平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 一年前发布,64.5,"4,887元/平"
平宝港湾126平米精装3室2厅2卫,豫森·平宝港湾 -卫东区,3室2厅 | 126平米 | 东 南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,76,"6,032元/平"
林溪谷中装四室 中层 有证满五 可贷款 互户型方正,常绿·林溪谷 -湛河区,4室2厅 | 124.15平米 | 东 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 11个月以前发布,82,"6,605元/平"
上上城136平精装3室2卫有证有暖带车位干净舒适,和谐佳苑上上城 -卫东区,3室2厅 | 136平米 | 南 北 | 精装 | 低楼层(共23层)  | 暂无数据,1人关注 / 8个月以前发布,75,"5,515元/平"
沁园西居 122.5平 3室2厅 有证 51万,沁园西居 -湛河区,3室2厅 | 122.5平米 | 北 南 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 10个月以前发布,46,"3,756元/平"
大悦城一本证四室简单装修 139平户型方正房东诚意出售,常绿·大阅城 -新华区,4室2厅 | 139平米 | 南 北 | 简装 | 低楼层(共28层)  | 暂无数据,2人关注 / 一年前发布,98,"7,051元/平"
昌建峰璟3室2厅1厨2卫毛坯现房看房方便,昌建·峰璟 -湛河区,3室2厅 | 141平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,82,"5,816元/平"
此房三室两厅一厨两卫，120平，采光充足，视野宽阔。,碧桂园 -湛河区,3室2厅 | 120平米 | 西 | 精装 | 低楼层(共32层)  | 板塔结合,2人关注 / 9个月以前发布,94,"7,834元/平"
锦绣华庭4楼精装修有证位置优越,锦绣华庭小区 -湛河区,3室2厅 | 143平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,72,"5,035元/平"
碧桂园洋房 看房方便 产权清晰 视野开阔,碧桂园 -湛河区,4室3厅 | 172平米 | 西南 | 精装 | 高楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,180,"10,466元/平"
大乘领仕馆大三室130平 毛坯现房有证,大乘领仕馆 -湛河区,3室2厅 | 130.3平米 | 东南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 7个月以前发布,74,"5,680元/平"
诚朴路金华苑2楼   有证有暖  可随时看房,金华苑 -卫东区,4室2厅 | 160平米 | 南 西南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,89,"5,563元/平"
平安景苑 122平 毛坯三室 有证可贷款 仅售60万,平安景苑 -湛河区,3室2厅 | 122平米 | 西 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,60,"4,919元/平"
东方星河湾，124平三室两厅78万，精装有证有暖可贷款,东方星河湾 -湛河区,3室2厅 | 123.89平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,2人关注 / 4个月以前发布,76,"6,135元/平"
南环路惠泽园 124平三房2卫 毛坯即装即住 随时看,惠泽园 -湛河区,3室2厅 | 124平米 | 西 | 毛坯 | 低楼层(共32层)  | 板塔结合,5人关注 / 一年前发布,76,"6,130元/平"
房子满五唯一，急售，价钱可以再去谈,姚电住宅区 -湛河区,3室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,49.8,"4,294元/平"
小区邻湛河 出行方便，户型方正，精装修 居住方便舒适,平顶山恒大珺睿府 -湛河区,4室2厅 | 141平米 | 西 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,119,"8,440元/平"
九龙广场三室两厅交通便利 小区环境干净舒适 适合居住,九龙广场 -湛河区,3室2厅 | 133.7平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,82,"6,134元/平"
上上城，三室两厅双卫，有证有暖，出小区就是建设路,和谐佳苑上上城 -卫东区,3室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,52,"3,940元/平"
银基誉府小区 4室2厅 交通便利 干净舒适 适合居住,银基誉府 -湛河区,4室2厅 | 141平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,130,"9,220元/平"
精品家园小区 3室2厅交通便利 小区环境 适合居住,精品嘉园 -湛河区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,58,"4,462元/平"
万达隔壁 水漾铭郡 143平毛坯现房 采光无遮挡 可更名,水漾铭郡 -卫东区,3室2厅 | 145平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,1人关注 / 11个月以前发布,88,"6,069元/平"
恒大珺睿府现房，3室，1楼毛坯房，急售,平顶山恒大珺睿府 -湛河区,3室1厅 | 114.8平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 4个月以前发布,74,"6,446元/平"
银基誉府 大三室 南北通透 带入户花园,银基誉府 -湛河区,3室2厅 | 122平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,95,"7,787元/平"
西苑小区，3楼，3室2厅，有证有暖好停车,西苑小区 -湛河区,3室2厅 | 102.88平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 5个月以前发布,51,"4,958元/平"
被单厂家属院，1楼，四室一厅，有院子,被单厂家属院 -卫东区,4室1厅 | 98平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,58,"5,919元/平"
房子满五唯一，急售，价钱可以再去谈,姚电住宅区 -湛河区,3室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,49.8,"4,294元/平"
上上城，三室两厅双卫，有证有暖，出小区就是建设路,和谐佳苑上上城 -卫东区,3室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,52,"3,940元/平"
九龙广场三室两厅交通便利 小区环境干净舒适 适合居住,九龙广场 -湛河区,3室2厅 | 133.7平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,82,"6,134元/平"
银基誉府小区 4室2厅 交通便利 干净舒适 适合居住,银基誉府 -湛河区,4室2厅 | 141平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,130,"9,220元/平"
金域蓝湾135平三室两厅精装修看房方便售价108急售,京华金域蓝湾 -湛河区,3室2厅 | 134.6平米 | 东 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 4个月以前发布,108,"8,024元/平"
九龙广场 瑞鑫苑3室 有证精装可分期,瑞鑫苑 -湛河区,3室2厅 | 147平米 | 东南 | 精装 | 高楼层(共31层)  | 暂无数据,1人关注 / 4个月以前发布,79,"5,375元/平"
金域蓝湾 好楼层 旁边有湛河 二院 河滨公园,京华金域蓝湾 -湛河区,3室2厅 | 129平米 | 南 | 精装 | 中楼层(共29层)  | 平房,0人关注 / 一年前发布,109,"8,450元/平"
一线观湖方 出行方便，户型方正,大唐一品澜山 -新华区,3室2厅 | 153平米 | 东北 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,110,"7,190元/平"
凤凰花园前排湖景房，毛坯3房，南北格局，含车位,凤凰花园A02秋实苑 -新华区,3室2厅 | 125平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 平房,4人关注 / 一年前发布,92,"7,360元/平"
水景润天，临湛河，电梯房，两卫，好楼层，有暖,水景润天 -新华区,3室2厅 | 145平米 | 南 | 精装 | 中楼层(共12层)  | 暂无数据,1人关注 / 7个月以前发布,99.8,"6,883元/平"
：此房有证 满二年 小区东边 好位置 电梯房，2梯四户,常绿·九天庄园 -新华区,4室2厅 | 130平米 | 南 西南 | 精装 | 中楼层(共29层)  | 塔楼,1人关注 / 6个月以前发布,95,"7,308元/平"
湛渔台  精装修大三室 拎包入住 有证满二,湛渔台豪园 -新华区,3室2厅 | 151.86平米 | 西南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 7个月以前发布,97,"6,388元/平"
佳田大厦 4室2厅 南,佳田大厦 -新华区,4室2厅 | 180平米 | 南 | 简装 | 中楼层(共22层)  | 暂无数据,0人关注 / 2个月以前发布,98,"5,445元/平"
此房不带装修，毛坯房，户型结构无拆改,天河盛世 -新华区,7室4厅 | 340.65平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 暂无数据,1人关注 / 8个月以前发布,270,"7,927元/平"
大三室三卧朝南采光好户型方正居住很方便,程庄街22号 -湛河区,3室2厅 | 116平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 8个月以前发布,46,"3,966元/平"
建业桂园123平毛坯通透三室出售,建业桂园 -新华区,3室2厅 | 123平米 | 西 | 毛坯 | 低楼层(共18层)  | 暂无数据,1人关注 / 10个月以前发布,82,"6,667元/平"
万达广场路北宏升国际现房178平米三室两厅一厨两卫,宏升国际 -卫东区,3室2厅 | 178平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 暂无数据,1人关注 / 5个月以前发布,106,"5,956元/平"
小区交通便利 小区环境干净舒适 适合居住,和谐佳苑上上城 -卫东区,3室2厅 | 133平米 | 西 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,50,"3,760元/平"
天园小区，步梯房一梯一户，大三室有证有暖，,天园小区 -卫东区,3室2厅 | 159平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,85,"5,346元/平"
市繁华地带，7.1隔壁，出行方便，配套完善,一服装厂家属院 -卫东区,3室2厅 | 120平米 | 东 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,59.5,"4,959元/平"
三室两厅一厨一卫，出行方便，户型方正，居住方便舒适,立威·金城丽景小区 -湛河区,3室2厅 | 90平米 | 西南 | 精装 | 中楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,47,"5,223元/平"
天安名郡有证满两年~毛坯可分期~南北通透,天安名郡 -卫东区,3室2厅 | 127平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,63,"4,961元/平"
龙腾国际，三室两厅，交通便利 小区环境干净舒适,龙腾国际 -湛河区,3室2厅 | 97平米 | 南 | 精装 | 高楼层(共21层)  | 暂无数据,0人关注 / 3个月以前发布,69,"7,114元/平"
沁园小区户型好生活配套齐全诚意卖房,沁园南院 -湛河区,3室2厅 | 122平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,52,"4,263元/平"
恒大珺睿府，3室2厅，精装交付标准85万，高品质小区,平顶山恒大珺睿府 -湛河区,3室2厅 | 99.74平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,88,"8,823元/平"
锦绣花园三室两厅交通便小区环境干净舒适适合居住。,锦绣花园 -湛河区,3室2厅 | 126平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,60,"4,762元/平"
康达彩虹小区，精装两卫，有证有暖，停车方便,康达彩虹小区 -湛河区,3室2厅 | 125平米 | 南 | 精装 | 低楼层(共23层)  | 暂无数据,3人关注 / 5个月以前发布,62,"4,960元/平"
